Date,INDIA VALUE WEIGHTED
1999-12-15,1060.9372738952372
1999-12-16,1078.605058617253
1999-12-17,1069.7796998308534
1999-12-20,1090.0372187210394
1999-12-21,1088.4428499563387
1999-12-22,1107.652877512294
1999-12-23,1091.5673254626424
1999-12-24,1065.3777518695526
1999-12-27,1052.5878345957124
1999-12-28,1065.5088916273846
1999-12-29,1066.8036021366886
1999-12-30,1067.9262612018665
1999-12-31,1067.9262612018665
2000-01-03,1146.4899267927344
2000-01-04,1174.3399069649133
2000-01-05,1160.386730984552
2000-01-06,1192.0079992960013
2000-01-07,1198.1068845128211
2000-01-10,1212.9717517175636
2000-01-11,1169.6156311461032
2000-01-12,1200.934784979002
2000-01-13,1196.3094366759917
2000-01-14,1211.3453456637196
2000-01-17,1207.7451772470883
2000-01-18,1226.4082215145336
2000-01-19,1223.2937236503071
2000-01-20,1192.4837281953178
2000-01-21,1197.2076109840489
2000-01-24,1197.0652851050122
2000-01-25,1177.5623709832973
2000-01-26,1177.5961478347153
2000-01-27,1175.868003327319
2000-01-28,1181.6660442670843
2000-01-31,1146.6908485830027
2000-02-01,1164.4729902607166
2000-02-02,1188.1089330617847
2000-02-03,1199.327922011211
2000-02-04,1193.2610346616286
2000-02-07,1219.1224316565795
2000-02-08,1240.8463180746496
2000-02-09,1240.9900766097994
2000-02-10,1255.3045229016645
2000-02-11,1251.6657348428598
2000-02-14,1239.051678497437
2000-02-15,1235.683351804985
2000-02-16,1221.4517175618946
2000-02-17,1244.1922611781097
2000-02-18,1207.836254552042
2000-02-21,1226.3255202180098
2000-02-22,1209.863860243281
2000-02-23,1185.0724661941358
2000-02-24,1210.597259588673
2000-02-25,1190.2171610271716
2000-02-28,1258.502462735778
2000-02-29,1184.1078024792046
2000-03-01,1233.6208643618127
2000-03-02,1228.959525886111
2000-03-03,1178.9657457905523
2000-03-06,1215.5231731522972
2000-03-07,1194.088150931171
2000-03-08,1178.8920932730402
2000-03-09,1135.4574379993826
2000-03-10,1102.0521975029646
2000-03-13,1051.377548557655
2000-03-14,1073.9745930031502
2000-03-15,1073.1066332932821
2000-03-16,1042.0381056889164
2000-03-17,1042.3969342377072
2000-03-20,1042.0381056889162
2000-03-21,1061.590801714787
2000-03-22,1073.3291019619608
2000-03-23,1072.722486760915
2000-03-24,1055.8909225441498
2000-03-27,1092.0935511656303
2000-03-28,1104.3676155865592
2000-03-29,1088.6036646656978
2000-03-30,1078.6320168139418
2000-03-31,1097.077314301642
2000-04-03,1116.9155236838637
2000-04-04,1046.7169658098087
2000-04-05,1054.6529415737803
2000-04-06,1066.165318051799
2000-04-07,1132.2469529177179
2000-04-10,1163.5376652073458
2000-04-11,1149.5750149554626
2000-04-12,1120.624400400164
2000-04-13,1083.0811020521835
2000-04-14,1083.0811020521835
2000-04-17,1039.07964424113
2000-04-18,1042.6821480022465
2000-04-19,1040.7660362851261
2000-04-20,1036.333795900107
2000-04-21,1036.333795900107
2000-04-24,1014.2326343071275
2000-04-25,1014.6916242806682
2000-04-26,1052.5411015013663
2000-04-27,1037.1593982817037
2000-04-28,1029.1332383796262
2000-05-01,1029.427983836832
2000-05-02,979.3501281879245
2000-05-03,976.947521312765
2000-05-04,1002.6135827214522
2000-05-05,1025.8653932332086
2000-05-08,999.7251185210263
2000-05-09,999.9523911689246
2000-05-10,980.8361169521781
2000-05-11,957.637435705275
2000-05-12,921.342655802048
2000-05-15,929.9824760692314
2000-05-16,932.6628540694857
2000-05-17,944.1691900402363
2000-05-18,936.4466382532
2000-05-19,931.0042318879432
2000-05-22,915.9574509964079
2000-05-23,913.9492246693741
2000-05-24,921.9336947936293
2000-05-25,943.3728785598931
2000-05-26,959.4194948218731
2000-05-29,994.2519517653118
2000-05-30,1009.7970532199378
2000-05-31,1007.9917002822792
2000-06-01,980.7361047915118
