Date,CHINA A ONSHORE VALUE WEIGHTED
2009-05-26,691.3776110133177
2009-05-27,702.2359546970824
2009-05-28,702.2359546970824
2009-05-29,702.2359546970824
2009-06-01,724.8730267064985
2009-06-02,726.7508193071103
2009-06-03,745.2238285957454
2009-06-04,750.9076269229467
2009-06-05,745.8100269193172
2009-06-08,749.8063826300976
2009-06-09,753.7537283044146
2009-06-10,762.1857783936063
2009-06-11,755.3482561334285
2009-06-12,741.1234162096384
2009-06-15,756.9510802209439
2009-06-16,756.632561024118
2009-06-17,768.7916410491448
2009-06-18,780.3494365371881
2009-06-19,787.8339817687488
2009-06-22,789.5960013375617
2009-06-23,793.208204316349
2009-06-24,801.7971427474574
2009-06-25,800.2088353588555
2009-06-26,801.9975789422014
2009-06-29,812.5144061993938
2009-06-30,807.1433990704173
2009-07-01,825.6632786465469
2009-07-02,834.8000941505506
2009-07-03,844.511524210528
2009-07-06,860.4876445746693
2009-07-07,853.3219612933332
2009-07-08,853.412403728228
2009-07-09,864.1637333033846
2009-07-10,864.087228140647
2009-07-13,856.9478835493443
2009-07-14,881.0630155910794
2009-07-15,891.8642080965371
2009-07-16,893.1156296672456
2009-07-17,896.5483732462588
2009-07-20,913.9788216951537
2009-07-21,899.3988544312664
2009-07-22,915.5689335968443
2009-07-23,926.6534562019522
2009-07-24,930.6880911298524
2009-07-27,951.1950851801888
2009-07-28,961.1434443703703
2009-07-29,913.2631632278776
2009-07-30,934.2312453056778
2009-07-31,959.3817733308962
2009-08-03,976.7463960648955
2009-08-04,975.6209603691697
2009-08-05,963.7771880560812
2009-08-06,941.5982436185645
2009-08-07,913.3525270370724
2009-08-10,911.9336420896628
2009-08-11,914.4966278100884
2009-08-12,873.4189203895523
2009-08-13,883.5035792422182
2009-08-14,856.0179159585211
2009-08-17,802.5693259463667
2009-08-18,814.5794043935513
2009-08-19,773.9621592588167
2009-08-20,805.4900410708497
2009-08-21,821.0881535428096
2009-08-24,826.428185761367
2009-08-25,795.9245922023183
2009-08-26,811.4978067382965
2009-08-27,808.529950800979
2009-08-28,780.7364723595858
2009-08-31,724.8683070292301
2009-09-01,729.3670455886034
2009-09-02,740.518438127204
2009-09-03,781.4530113857082
2009-09-04,786.9435652224926
2009-09-07,792.6729456419216
2009-09-08,808.967155705912
2009-09-09,815.5209840749095
2009-09-10,807.6784753629344
2009-09-11,826.892450116114
2009-09-14,840.3504063788745
2009-09-15,843.4817142859076
2009-09-16,831.7659577807201
2009-09-17,847.8854387908284
2009-09-18,817.3279444261332
2009-09-21,818.4772359832598
2009-09-22,797.8827890944311
2009-09-23,780.8063914588969
