Date,ACWI ex JAPAN IMI MINIMUM VOL (USD)
2004-02-18,1266.8830868841776
2004-02-19,1261.7324709230181
2004-02-20,1254.8026356345158
2004-02-23,1253.2680180894633
2004-02-24,1257.3542470272225
2004-02-25,1257.2117603802485
2004-02-26,1256.7908613788704
2004-02-27,1260.331727519051
2004-03-01,1274.2041845090712
2004-03-02,1267.54457497097
2004-03-03,1260.2970831239365
2004-03-04,1264.4038999048023
2004-03-05,1277.9308182307816
2004-03-08,1275.7182177629236
2004-03-09,1275.310514621255
2004-03-10,1260.4120046824964
2004-03-11,1245.7350324786028
2004-03-12,1249.0841273724468
2004-03-15,1239.5296507127423
2004-03-16,1247.017516327368
2004-03-17,1253.9423921751618
2004-03-18,1259.7221343636033
2004-03-19,1257.6317899468459
2004-03-22,1246.887469476956
2004-03-23,1244.8954984823663
2004-03-24,1237.5293000328106
2004-03-25,1244.1633303803583
2004-03-26,1242.527368322218
2004-03-29,1253.8095258699395
2004-03-30,1262.0480311930655
2004-03-31,1269.2096882188264
2004-04-01,1278.6974734547055
2004-04-02,1277.2523365568222
2004-04-05,1274.116217477387
2004-04-06,1271.1801861567662
2004-04-07,1274.5549306414916
2004-04-08,1271.873792816311
2004-04-09,1271.1936027832985
2004-04-12,1268.1986088881042
2004-04-13,1255.6647919729637
2004-04-14,1245.874605148428
2004-04-15,1249.3743801089333
2004-04-16,1260.3019647821166
2004-04-19,1260.868979443374
2004-04-20,1247.1087831545988
2004-04-21,1245.5030057076422
2004-04-22,1253.9959266247927
2004-04-23,1255.2172821603956
2004-04-26,1255.6350317272281
2004-04-27,1257.0410941463888
2004-04-28,1242.8449154766333
2004-04-29,1237.2244187074587
2004-04-30,1232.2916885691857
2004-05-03,1239.6351004692933
2004-05-04,1249.1954087215142
2004-05-05,1251.5095269259562
2004-05-06,1244.5896863596283
2004-05-07,1224.4097772255889
2004-05-10,1200.9328359614171
2004-05-11,1207.257916221338
2004-05-12,1210.7016968157616
2004-05-13,1207.3309170371915
2004-05-14,1207.584092433753
2004-05-17,1201.1751270589539
2004-05-18,1205.7867872688005
2004-05-19,1212.9151522467046
2004-05-20,1210.0978560273752
2004-05-21,1217.434732002404
2004-05-24,1220.9094816530976
2004-05-25,1235.2585439854872
2004-05-26,1239.847313601364
2004-05-27,1252.5339971551307
2004-05-28,1253.087159519635
2004-05-31,1253.4108806463705
2004-06-01,1253.5502766287382
2004-06-02,1258.8360161006212
2004-06-03,1251.4181252895735
2004-06-04,1255.4846787049394
2004-06-07,1269.9630790864662
2004-06-08,1268.78206335994
2004-06-09,1257.9507347232106
2004-06-10,1260.0039770926778
2004-06-11,1255.392139723771
2004-06-14,1246.007773031977
2004-06-15,1252.7141865223903
2004-06-16,1255.6494253329095
2004-06-17,1258.22183655821
2004-06-18,1261.9021291161262
2004-06-21,1262.2437671971609
2004-06-22,1261.5917828372415
2004-06-23,1267.4790991266955
2004-06-24,1271.6135350407699
2004-06-25,1268.3342636962548
2004-06-28,1268.5501081827308
2004-06-29,1264.693050323177
2004-06-30,1272.239570637282
2004-07-01,1269.634243065314
2004-07-02,1274.9703619551792
2004-07-05,1274.4582912246572
2004-07-06,1275.114315588066
2004-07-07,1282.1431412401068
2004-07-08,1278.3947795705062
2004-07-09,1279.3559316836177
2004-07-12,1280.9153353338604
2004-07-13,1276.5472814283037
2004-07-14,1277.9062655078544
2004-07-15,1277.0359539555059
2004-07-16,1278.293021362467
2004-07-19,1278.394214388789
2004-07-20,1277.7185323477538
2004-07-21,1265.0490357074314
2004-07-22,1259.2534796464026
2004-07-23,1248.0322349058895
2004-07-26,1242.6895858286587
2004-07-27,1244.30115870635
2004-07-28,1244.7007197473547
2004-07-29,1248.782035328731
2004-07-30,1254.262340097273
2004-08-02,1259.6263849181098
2004-08-03,1261.9090126569786
2004-08-04,1259.1355804028196
2004-08-05,1250.4526321468722
2004-08-06,1247.0286410215533
2004-08-09,1245.3308320004091
2004-08-10,1254.1007551783848
2004-08-11,1250.8577701377212
2004-08-12,1245.788273016569
2004-08-13,1249.946908600899
2004-08-16,1257.5942026045675
2004-08-17,1257.1022577427148
2004-08-18,1264.22809924537
2004-08-19,1266.9742790239104
2004-08-20,1274.1458117693528
2004-08-23,1271.06176366678
2004-08-24,1269.3119411708562
2004-08-25,1273.4889487126445
2004-08-26,1275.2720411419225
2004-08-27,1278.7626461388302
2004-08-30,1275.736256609978
2004-08-31,1284.2150362213374
2004-09-01,1291.0816020834402
2004-09-02,1297.526317825895
2004-09-03,1294.154806490878
2004-09-06,1296.0479853554248
2004-09-07,1301.2260897458768
2004-09-08,1298.392337342753
2004-09-09,1297.696021836039
2004-09-10,1303.7348980702498
2004-09-13,1304.5767387699289
2004-09-14,1307.7093245972937
2004-09-15,1300.511743362789
2004-09-16,1305.6163465666236
2004-09-17,1307.8136258859947
2004-09-20,1301.4151172637992
2004-09-21,1311.3762891674028
2004-09-22,1304.413410851776
2004-09-23,1302.8481203047832
2004-09-24,1304.6434441653973
2004-09-27,1301.5822509132138
2004-09-28,1309.7425681627437
2004-09-29,1311.2648414817693
2004-09-30,1319.4202724330785
2004-10-01,1329.7694605879135
2004-10-04,1330.9471838725622
2004-10-05,1334.3127035015316
2004-10-06,1338.8411682150042
2004-10-07,1330.9945712647989
2004-10-08,1333.2271874780065
2004-10-11,1331.566305478472
2004-10-12,1325.584666591201
2004-10-13,1317.5575621717342
2004-10-14,1320.463510681035
2004-10-15,1326.480592171183
2004-10-18,1327.9038304839416
2004-10-19,1324.2384884662602
