Date,MSCI World Ex Mega Cap Speficied Index
2003-02-28,534.8125907501923
2003-03-03,531.8726981891359
2003-03-04,522.1986347453909
2003-03-05,519.7729792852556
2003-03-06,514.347339712276
2003-03-07,509.47377183279394
2003-03-10,497.5467350192368
2003-03-11,493.141473682716
2003-03-12,490.0382683818685
2003-03-13,509.2240035047969
2003-03-14,521.2273498606334
2003-03-17,537.435797263874
2003-03-18,543.3324104234556
2003-03-19,548.7545074065865
2003-03-20,549.1031950826401
2003-03-21,562.1719163233531
2003-03-24,543.2413372063869
2003-03-25,545.941105040884
2003-03-26,546.4803381124078
2003-03-27,542.5363237442076
2003-03-28,538.4600962117016
2003-03-31,520.9457085453681
2003-04-01,525.0625038395706
2003-04-02,541.3180039511914
2003-04-03,543.0287502145036
2003-04-04,546.7909266423003
2003-04-07,558.4381328657137
2003-04-08,552.4983654833825
2003-04-09,547.0034668691085
2003-04-10,541.9934429034668
2003-04-11,543.8427183083846
2003-04-14,548.3960668908614
2003-04-15,554.689304827248
2003-04-16,548.945736684191
2003-04-17,552.6134766969275
2003-04-18,552.6989755177467
2003-04-21,554.1492089419683
2003-04-22,557.0854225679822
2003-04-23,561.9392926828447
2003-04-24,554.5728671707058
2003-04-25,547.4787690439869
2003-04-28,555.9860946128232
2003-04-29,556.8030505030109
2003-04-30,555.4717002786174
2003-05-01,551.709542546089
2003-05-02,557.8620911355362
2003-05-05,557.6568138694875
2003-05-06,562.6021814825884
2003-05-07,559.5555170200075
2003-05-08,548.6123845020991
2003-05-09,553.0082199973499
2003-05-12,555.9925593743685
2003-05-13,556.9343103228528
2003-05-14,558.75041329895
2003-05-15,562.8227812640326
2003-05-16,561.7620684766989
2003-05-19,543.6069731316663
2003-05-20,545.3380330874039
2003-05-21,543.3865184344867
2003-05-22,549.5185567647433
2003-05-23,547.4702665104095
2003-05-26,544.701169749833
2003-05-27,549.4440572431195
2003-05-28,557.4534943137672
2003-05-29,555.412444016723
2003-05-30,562.6874512475697
2003-06-02,570.9098401920487
2003-06-03,569.8534091840006
2003-06-04,578.352187849736
2003-06-05,575.3586420540752
2003-06-06,584.0636106090369
2003-06-09,575.5638505396895
2003-06-10,581.4679426680285
2003-06-11,586.507403669883
2003-06-12,589.127979424443
2003-06-13,581.7964491108788
2003-06-16,587.7138288038792
2003-06-17,592.4034105900507
2003-06-18,596.8672048147778
2003-06-19,589.7367043539591
2003-06-20,593.5287519054459
2003-06-23,589.2071177546221
2003-06-24,586.4781785463878
