Date,JORDAN
2012-12-07,177.53056776759593
2012-12-10,177.25540678535774
2012-12-11,175.55935447785592
2012-12-12,175.41699164309873
2012-12-13,174.5310063745929
2012-12-14,174.02411844782216
2012-12-17,175.92073069999776
2012-12-18,175.23133035635226
2012-12-19,173.7751924936069
2012-12-20,173.17060287956872
2012-12-21,174.33583887932315
2012-12-24,175.53025083020202
2012-12-25,175.53025083020202
2012-12-26,176.29103285978965
2012-12-27,178.4146488511428
2012-12-28,178.5607710332548
2012-12-31,179.36058397915644
2013-01-01,179.36058397915644
2013-01-02,177.31025822554253
2013-01-03,181.19455331625687
2013-01-04,181.8062724857462
2013-01-07,179.94672349448825
2013-01-08,180.46953570479073
2013-01-09,182.4398775191424
2013-01-10,179.9588060215635
2013-01-11,178.2416700106858
2013-01-14,179.1168916448597
2013-01-15,179.863163435104
2013-01-16,182.53774305572662
2013-01-17,181.41046393843033
2013-01-18,182.20241225266122
2013-01-21,178.58215678172547
2013-01-22,178.49601192565243
2013-01-23,178.54475615001928
2013-01-24,181.9917330079681
2013-01-25,180.70404675867314
2013-01-28,188.07005651580508
2013-01-29,185.705785429751
2013-01-30,184.00529043093482
2013-01-31,181.6053431499808
2013-02-01,179.96226207559704
2013-02-04,182.39936783413143
2013-02-05,183.35410618153912
2013-02-06,182.7544490719959
2013-02-07,184.0013175096159
2013-02-08,184.2549839880553
2013-02-11,184.68683365462178
2013-02-12,184.28254099960733
2013-02-13,185.67027261512249
2013-02-14,187.1466849377499
2013-02-15,187.00732222035768
2013-02-18,185.91542056280426
2013-02-19,184.57884469618213
2013-02-20,183.16759913445733
2013-02-21,186.1722515148491
2013-02-22,187.04120899470934
2013-02-25,185.903508412316
2013-02-26,187.6341636984969
2013-02-27,186.78762963212588
2013-02-28,187.53010999493384
2013-03-01,188.87611341249763
2013-03-04,188.041802996485
2013-03-05,186.52848056198215
2013-03-06,186.20413997980654
2013-03-07,184.68727370526855
2013-03-08,186.26883568560564
2013-03-11,186.74326728617996
2013-03-12,189.104456010355
2013-03-13,190.58136000391954
2013-03-14,189.8598108367863
2013-03-15,188.73738516546217
2013-03-18,187.60515168849315
2013-03-19,190.03959721386676
2013-03-20,187.94845690764217
2013-03-21,188.4502592581222
2013-03-22,187.519441905475
2013-03-25,185.38281154529264
2013-03-26,187.0261099592605
2013-03-27,188.73969420572658
2013-03-28,188.33967003750206
2013-03-29,188.33967003750206
2013-04-01,189.7618389768705
2013-04-02,191.86441471052518
2013-04-03,189.08900729731056
2013-04-04,190.3748535138383
2013-04-05,187.90551090475296
2013-04-08,187.6701364424548
2013-04-09,186.92468665556876
2013-04-10,186.38044502168077
2013-04-11,185.90518712650558
2013-04-12,186.40891077909387
2013-04-15,186.27499695827902
2013-04-16,184.99435248537685
2013-04-17,185.68320320297525
2013-04-18,183.64946632181602
2013-04-19,183.6564857563733
2013-04-22,185.54201414808543
2013-04-23,183.9354168790298
2013-04-24,186.8509586644851
2013-04-25,184.6280035060958
