Date,PAKISTAN SMALL CAP
2014-11-14,2556.606726854183
2014-11-17,2565.1580906376907
2014-11-18,2593.1288218509694
2014-11-19,2579.330847926023
2014-11-20,2542.5766567565834
2014-11-21,2564.6602330262485
2014-11-24,2540.7950615526483
2014-11-25,2536.5280259243923
2014-11-26,2548.2380662618853
2014-11-27,2544.4734076699824
2014-11-28,2565.8232787709458
2014-12-01,2592.4176036766053
2014-12-02,2633.2519726133605
2014-12-03,2646.843610699224
2014-12-04,2666.103726591679
2014-12-05,2670.6446676827686
2014-12-08,2650.7174872835903
2014-12-09,2655.2807889931123
2014-12-10,2625.609152916462
2014-12-11,2635.4781353015715
2014-12-12,2632.2634986919484
2014-12-15,2649.452952128926
2014-12-16,2593.341395546801
2014-12-17,2582.126677045779
2014-12-18,2599.238745828248
2014-12-19,2609.2064150686365
2014-12-22,2631.1766935123856
2014-12-23,2630.040744529344
2014-12-24,2645.613433667895
2014-12-25,2645.613433667895
2014-12-26,2664.6468903504356
2014-12-29,2648.3865061224046
2014-12-30,2685.4016918881757
2014-12-31,2720.7114384671468
2015-01-01,2745.3160092552757
2015-01-02,2749.5592197384776
2015-01-05,2739.843617361003
2015-01-06,2733.1725902904845
2015-01-07,2728.784103101879
2015-01-08,2755.8175287669596
2015-01-09,2769.99828525491
2015-01-12,2787.187182827773
2015-01-13,2806.898183265615
2015-01-14,2821.518420971068
2015-01-15,2824.7425519396534
2015-01-16,2820.3528105189757
2015-01-19,2813.808002092178
2015-01-20,2825.0990619938943
2015-01-21,2842.9493325633857
2015-01-22,2841.522188915014
2015-01-23,2827.996218239247
2015-01-26,2861.3048065954376
2015-01-27,2852.6230226721327
2015-01-28,2836.30750415931
2015-01-29,2843.71440788949
2015-01-30,2875.7384463106714
2015-02-02,2885.8953903610873
2015-02-03,2891.137821301165
2015-02-04,2880.8061991966006
2015-02-05,2880.8061991966006
2015-02-06,2888.401250407526
2015-02-09,2877.9178681144726
2015-02-10,2858.914759779264
2015-02-11,2838.9401329952393
2015-02-12,2809.317906490025
2015-02-13,2811.8191778134847
2015-02-16,2804.8227786265998
2015-02-17,2815.9538425499727
2015-02-18,2806.0026745921155
2015-02-19,2814.6437493904514
2015-02-20,2806.296664600388
2015-02-23,2814.7142064260565
2015-02-24,2807.02394367063
2015-02-25,2809.371130078454
2015-02-26,2803.874837263094
2015-02-27,2799.8352439864516
2015-03-02,2761.520695471337
2015-03-03,2774.4850547931087
2015-03-04,2778.7220707931947
2015-03-05,2779.6980346157484
2015-03-06,2783.030399893736
2015-03-09,2755.0915325474816
2015-03-10,2730.00962883309
2015-03-11,2724.2521342022214
2015-03-12,2727.955312079714
2015-03-13,2755.077235431441
2015-03-16,2737.6675393508967
2015-03-17,2733.0981153392227
2015-03-18,2670.321336492408
2015-03-19,2661.1395792231997
2015-03-20,2687.6462726603477
2015-03-23,2687.6462726603477
2015-03-24,2647.026591106082
2015-03-25,2622.755149978041
2015-03-26,2566.4126816731614
2015-03-27,2526.222882365141
2015-03-30,2433.79791022587
2015-03-31,2540.404337914639
2015-04-01,2568.335187245055
2015-04-02,2639.1036542633155
