Date,RUSSIA SMALL GROWTH
2006-10-26,695.534181451145
2006-10-27,699.308667620064
2006-10-30,694.6790340006145
2006-10-31,693.73324390932
2006-11-01,695.3061429308528
2006-11-02,693.6455515211089
2006-11-03,698.8495981305668
2006-11-06,699.5678961929248
2006-11-07,704.3395214444866
2006-11-08,704.9463416079398
2006-11-09,711.126408208584
2006-11-10,711.1740159655726
2006-11-13,718.1817074730754
2006-11-14,720.7198727195238
2006-11-15,726.8861938576139
2006-11-16,730.9992961044857
2006-11-17,728.7189145059209
2006-11-20,726.2408469227967
2006-11-21,726.8195703455012
2006-11-22,733.1382886396502
2006-11-23,750.2384653349906
2006-11-24,751.559739634998
2006-11-27,752.2044969073443
2006-11-28,753.1429969882705
2006-11-29,763.7051244187262
2006-11-30,770.6183752241252
2006-12-01,784.9517008240124
2006-12-04,794.2388149471226
2006-12-05,811.1836795194207
2006-12-06,814.7711960526818
2006-12-07,816.4461460713487
2006-12-08,811.8892940468908
2006-12-11,811.8015467947145
2006-12-12,827.909429096819
2006-12-13,834.8132959166323
2006-12-14,838.7540046877048
2006-12-15,842.300250985494
2006-12-18,854.3631659685349
2006-12-19,864.4958354130544
2006-12-20,882.7355523545529
2006-12-21,883.287871852592
2006-12-22,879.224822815853
2006-12-25,877.8726764463366
2006-12-26,880.6468407377994
2006-12-27,893.4380567683925
2006-12-28,924.2572644028241
2006-12-29,928.2046701536599
2007-01-01,928.2046701536599
2007-01-02,928.3725934021626
2007-01-03,925.5980084473407
2007-01-04,920.6308208858227
2007-01-05,911.1456118542226
2007-01-08,919.824255491979
2007-01-09,892.646781294817
2007-01-10,868.729730434674
2007-01-11,885.0786484441361
2007-01-12,881.162056328679
2007-01-15,891.9891792950147
2007-01-16,888.5824804085431
2007-01-17,892.1209000463685
2007-01-18,878.1212789353602
2007-01-19,877.2835947732635
2007-01-22,895.2082753546027
2007-01-23,892.0628799443296
2007-01-24,902.2221668685056
2007-01-25,915.9222926246277
2007-01-26,918.11639230624
2007-01-29,913.4040390398936
2007-01-30,917.7939056851855
2007-01-31,926.7404445005071
2007-02-01,939.0391604336731
2007-02-02,938.5724537569237
2007-02-05,929.6226690971696
2007-02-06,934.1537031367035
2007-02-07,919.355241268452
2007-02-08,914.7037349859579
2007-02-09,911.8881039119296
2007-02-12,912.4660740117909
2007-02-13,916.1977154806667
2007-02-14,921.733988683651
2007-02-15,930.737132741512
2007-02-16,949.1206688765039
2007-02-19,948.2808552017488
2007-02-20,950.0327898318208
2007-02-21,950.2967036658379
2007-02-22,951.0412993733011
2007-02-23,955.4179153384454
2007-02-26,967.709575173911
2007-02-27,940.8432216560153
2007-02-28,934.864976155966
2007-03-01,902.4357992369773
2007-03-02,890.2417901507056
2007-03-05,856.5795894385589
2007-03-06,870.669421750592
2007-03-07,883.4155686936987
2007-03-08,889.179789008439
2007-03-09,910.24233558039
2007-03-12,909.496350951712
2007-03-13,909.6780476538027
2007-03-14,899.2436853091511
2007-03-15,901.3973076679041
2007-03-16,898.9206725966056
2007-03-19,910.6003633278838
2007-03-20,912.1430943620454
2007-03-21,922.0014471396421
2007-03-22,929.2763331370966
2007-03-23,944.3983482507624
2007-03-26,954.4404549623953
2007-03-27,952.8451023085457
2007-03-28,960.098652351051
2007-03-29,984.4994361861401
2007-03-30,987.3999818586329
2007-04-02,999.6318593527391
2007-04-03,1011.9327112631795
2007-04-04,1021.8517864645844
2007-04-05,1017.3329435321607
2007-04-06,1016.4965711047515
2007-04-09,1032.0171840536834
2007-04-10,1031.4693243158044
2007-04-11,1030.6111442164624
2007-04-12,1029.7717730102197
2007-04-13,1035.9801220129505
2007-04-16,1035.5760934028895
2007-04-17,1024.0778794555165
2007-04-18,1025.2217235292758
2007-04-19,1006.3103535392033
2007-04-20,1018.7462823169632
2007-04-23,1022.3025746559714
2007-04-24,1018.539510653567
2007-04-25,1023.8892862719574
2007-04-26,1024.6728640542206
2007-04-27,1008.9601813034108
2007-04-30,1010.0482272015902
2007-05-01,1012.0016188859528
2007-05-02,1022.2845958281275
2007-05-03,1018.024163948848
2007-05-04,1018.0529814727965
2007-05-07,1016.983786783131
2007-05-08,1013.7987594010098
2007-05-09,1014.3622241859433
2007-05-10,1001.5213631646775
2007-05-11,1007.7557121143852
2007-05-14,1007.0045935201329
2007-05-15,1007.3268196757432
2007-05-16,1013.7142690948976
2007-05-17,1013.2516357369764
2007-05-18,1012.1530051782603
2007-05-21,1008.2400544428796
2007-05-22,1010.9259410750183
2007-05-23,1009.7534329756307
2007-05-24,998.421380273395
2007-05-25,996.4803087255149
2007-05-28,995.8756142557976
2007-05-29,988.4432459364618
2007-05-30,984.8438150041949
2007-05-31,1000.0
2007-06-01,1022.2925845460576
2007-06-04,1025.0933145429972
2007-06-05,1014.0012664912864
2007-06-06,1012.2309485501685
2007-06-07,1003.573499360646
2007-06-08,1002.2179294267569
2007-06-11,1007.3051507571502
2007-06-12,1005.425278275675
2007-06-13,1010.2068218175688
2007-06-14,1012.7554311272245
2007-06-15,1016.561470997327
2007-06-18,1015.302867295069
2007-06-19,1020.2897416898311
2007-06-20,1024.123184963308
2007-06-21,1014.909747855194
2007-06-22,1017.0349011699587
2007-06-25,1019.1596717293584
2007-06-26,1017.0347495332372
2007-06-27,1013.2931783813083
2007-06-28,1012.6680299553024
2007-06-29,1013.373799984968
2007-07-02,1012.3059624590838
2007-07-03,1024.791559373646
2007-07-04,1028.5655652562418
2007-07-05,1037.457106579142
2007-07-06,1043.1281715988764
2007-07-09,1047.9143294838664
2007-07-10,1046.4321962053377
2007-07-11,1049.4781040669484
2007-07-12,1056.4180745112455
2007-07-13,1062.0829075085355
2007-07-16,1064.0244980369316
2007-07-17,1062.2979274729375
2007-07-18,1053.1209167992974
2007-07-19,1056.2842543565578
2007-07-20,1053.306828761076
2007-07-23,1058.828511670085
2007-07-24,1054.1095748699415
2007-07-25,1037.3676380346626
2007-07-26,1034.3018847140695
2007-07-27,1020.9368729281382
2007-07-30,1022.7004728764374
2007-07-31,1027.652290372856
2007-08-01,1010.3367218619796
2007-08-02,1016.6452009752729
2007-08-03,1018.6254998352518
2007-08-06,1012.2465932498717
2007-08-07,1018.8000454752882
2007-08-08,1025.2982853875067
2007-08-09,1008.53843647306
2007-08-10,1001.6730410517243
2007-08-13,1004.8787602100344
2007-08-14,1003.3718457675001
2007-08-15,989.7832167626822
2007-08-16,957.7989576908245
2007-08-17,957.9086674889382
2007-08-20,961.7189396971347
2007-08-21,957.901578306266
2007-08-22,956.2810855871666
2007-08-23,956.0215512888965
2007-08-24,947.1321966106
2007-08-27,951.9569718945706
2007-08-28,947.2095690385919
2007-08-29,950.9352937216346
2007-08-30,949.433951995752
2007-08-31,955.4841030780921
2007-09-03,954.6685050255722
2007-09-04,943.5745422270872
2007-09-05,937.3011386474417
2007-09-06,933.8543868465772
2007-09-07,930.8815634025053
2007-09-10,922.3666227452562
2007-09-11,913.6830675461389
2007-09-12,909.1592220187148
2007-09-13,918.0588316655284
2007-09-14,914.946535683794
2007-09-17,910.4959649842239
2007-09-18,907.9804663696302
2007-09-19,924.5266319121758
2007-09-20,918.8313356202144
2007-09-21,920.6008444330969
2007-09-24,916.5579139395695
2007-09-25,908.9041379999246
2007-09-26,913.2768128447789
2007-09-27,946.8719328537705
2007-09-28,942.4056427156645
2007-10-01,952.111228800702
2007-10-02,969.4409181609374
2007-10-03,960.0775162147327
2007-10-04,981.1454614024461
2007-10-05,988.3496387856271
2007-10-08,979.3923199634942
2007-10-09,987.1937358377554
2007-10-10,995.7396950771154
2007-10-11,1003.6535654486569
2007-10-12,1002.4606779209203
2007-10-15,1008.0767250196246
2007-10-16,998.7194564896594
2007-10-17,1007.1082869815185
2007-10-18,1006.8165844371373
2007-10-19,1006.543438133177
2007-10-22,994.2354651440544
2007-10-23,998.4517694415475
2007-10-24,993.5628067873467
2007-10-25,999.7494334826891
2007-10-26,1012.170605331633
2007-10-29,1008.891583352646
2007-10-30,1009.6385899678621
2007-10-31,1014.9863053684379
2007-11-01,1014.8312355904462
2007-11-02,1021.2371528327147
2007-11-05,1021.7243669345448
2007-11-06,1036.148320861996
2007-11-07,1045.143224247649
2007-11-08,1051.145508462064
2007-11-09,1057.300074677387
2007-11-12,1058.0277557068296
2007-11-13,1054.32999205005
2007-11-14,1066.23744423704
2007-11-15,1065.3606841323922
2007-11-16,1048.8800592296657
2007-11-19,1041.541175985069
2007-11-20,1046.407979214983
2007-11-21,1023.7702262598203
2007-11-22,1023.9586558329659
2007-11-23,1021.5606010972964
2007-11-26,1019.5885777731926
2007-11-27,1008.3386675356661
2007-11-28,1010.8490142079274
2007-11-29,1009.3013282011838
2007-11-30,1010.4243120464357
2007-12-03,1008.5617937733754
2007-12-04,1011.9064117021486
2007-12-05,1014.3762957906472
2007-12-06,1014.3884236702886
2007-12-07,1025.4748837767183
2007-12-10,1038.3298686884514
2007-12-11,1049.0527030638455
2007-12-12,1053.378583493054
2007-12-13,1046.7104420117037
2007-12-14,1039.0550333599017
2007-12-17,1036.9378955464558
2007-12-18,1042.8832331396366
2007-12-19,1033.3459613329037
2007-12-20,1028.470196830776
2007-12-21,1032.4511633907257
2007-12-24,1037.4533543907692
2007-12-25,1036.0885231831846
2007-12-26,1031.5771084775888
2007-12-27,1032.6123511131116
2007-12-28,1038.504909643437
2007-12-31,1046.129220409491
2008-01-01,1046.129220409491
2008-01-02,1045.302548804288
2008-01-03,1048.4683272737495
2008-01-04,1045.9958155264624
2008-01-07,1050.0821704127634
2008-01-08,1054.8727293673564
2008-01-09,1051.2139851949667
2008-01-10,1063.4679936741775
2008-01-11,1070.6509297805103
2008-01-14,1085.1922286611791
2008-01-15,1082.0762639881634
2008-01-16,1059.8982796017747
2008-01-17,1047.9734837900041
2008-01-18,1042.657258602281
2008-01-21,1005.7502706791919
2008-01-22,981.2071433865767
2008-01-23,952.3962000917846
2008-01-24,978.5460304803132
2008-01-25,996.6974429481346
2008-01-28,984.5844335969765
2008-01-29,995.8186383028129
2008-01-30,981.9723621798503
2008-01-31,966.2954307348263
2008-02-01,990.3333626581145
2008-02-04,981.0835684757689
2008-02-05,972.3539794141944
2008-02-06,963.5287510361337
2008-02-07,954.0017549667066
2008-02-08,955.9601606538357
2008-02-11,959.3752752586273
2008-02-12,970.7635168983392
2008-02-13,968.5534473709038
2008-02-14,964.3921904102407
2008-02-15,955.8087873511893
2008-02-18,960.2790091482916
2008-02-19,964.2694042564341
2008-02-20,957.6781133013508
2008-02-21,980.1579009686185
2008-02-22,980.8673756859736
2008-02-25,982.8808893385326
2008-02-26,980.9715932125703
2008-02-27,989.1411954900594
2008-02-28,995.6372809786022
2008-02-29,980.4909867914533
2008-03-03,972.775098501011
2008-03-04,980.7895540662869
2008-03-05,989.1988033861494
2008-03-06,999.0336606277781
2008-03-07,988.0635805347672
2008-03-10,987.8370564406212
2008-03-11,994.6874047354555
2008-03-12,1001.9547610626734
2008-03-13,1014.2448145673046
2008-03-14,1010.3150156636539
2008-03-17,987.0731642212521
2008-03-18,993.9397154144796
2008-03-19,991.9068137754655
2008-03-20,978.3499887018604
2008-03-21,979.7334454200538
2008-03-24,984.0819582524764
2008-03-25,977.4409170965231
2008-03-26,978.6596484329071
2008-03-27,978.4998270008458
2008-03-28,976.3269862522309
2008-03-31,1003.8965518788586
2008-04-01,1000.3046428124761
2008-04-02,1001.5755102073249
2008-04-03,995.0273472253925
2008-04-04,989.9048310412497
2008-04-07,990.8064485819126
2008-04-08,991.0645763408138
2008-04-09,993.5743493661801
2008-04-10,994.3277645977586
2008-04-11,984.3683235452355
2008-04-14,981.1683095537626
2008-04-15,982.2373356238435
2008-04-16,991.3731555447331
2008-04-17,989.8955169158554
2008-04-18,980.4295962303723
2008-04-21,974.820966970284
2008-04-22,974.8257198153111
2008-04-23,961.9865185755847
2008-04-24,952.836696913835
2008-04-25,948.3609185502513
2008-04-28,949.5803367872712
2008-04-29,948.685807381963
2008-04-30,950.8109701749987
2008-05-01,947.7528940854038
2008-05-02,945.1092070144634
2008-05-05,942.9204863036713
2008-05-06,950.6818500608391
2008-05-07,945.0645989602951
2008-05-08,957.3864482313518
2008-05-09,957.6509203844241
2008-05-12,963.7576321030597
2008-05-13,967.5076118368236
2008-05-14,964.7299429962994
2008-05-15,965.6839469912885
2008-05-16,973.1266354567072
2008-05-19,970.4788554714073
2008-05-20,974.8483100277474
2008-05-21,980.8625924814613
2008-05-22,972.5821521676985
2008-05-23,970.5276500279101
2008-05-26,969.085349865088
2008-05-27,966.9366220086956
2008-05-28,968.215062095824
2008-05-29,963.7225592097906
2008-05-30,969.0224370049006
2008-06-02,976.4692459207503
2008-06-03,979.1446860059565
2008-06-04,978.9422994861533
2008-06-05,982.3842217086503
2008-06-06,988.58783319844
2008-06-09,988.9362405598389
2008-06-10,972.0290398499122
2008-06-11,973.4357613482063
2008-06-12,971.5964729761871
2008-06-13,968.3769168406426
2008-06-16,972.598973299408
2008-06-17,979.3625697799184
2008-06-18,975.0879153961796
2008-06-19,971.0792946465194
2008-06-20,973.2242026235521
2008-06-23,967.6856189852244
2008-06-24,957.8435751533286
2008-06-25,955.6757497907082
2008-06-26,959.9362519802113
2008-06-27,954.7639233090199
2008-06-30,957.5219470424062
2008-07-01,937.0229357969306
2008-07-02,942.36995555053
2008-07-03,929.5581175651694
2008-07-04,930.8851939741976
2008-07-07,925.0344661367334
2008-07-08,917.1978313621714
2008-07-09,919.7177869738346
2008-07-10,921.419483666901
2008-07-11,908.7935776988303
2008-07-14,905.292584007589
2008-07-15,891.1962257312737
2008-07-16,890.1149042467555
2008-07-17,891.8627629921489
2008-07-18,886.397690271025
2008-07-21,884.3534030828013
2008-07-22,879.0231512459238
2008-07-23,876.2754504165795
2008-07-24,868.6293021298725
2008-07-25,851.5520233616217
2008-07-28,846.7341379526462
2008-07-29,838.0198061479222
2008-07-30,853.4982195853902
2008-07-31,855.060183976405
2008-08-01,848.225446110963
2008-08-04,841.0081785305612
2008-08-05,831.6961388910506
2008-08-06,829.4792512775774
2008-08-07,829.7572253385512
2008-08-08,804.9789227304498
2008-08-11,803.7839123346555
2008-08-12,823.2134498411317
2008-08-13,815.4477297769265
2008-08-14,819.9937645690178
2008-08-15,810.9001309703197
2008-08-18,812.1135206807106
2008-08-19,800.0223664631869
2008-08-20,804.3834423904734
