Date,UNITED KINGDOM SRI
2014-10-03,1252.1282098626425
2014-10-06,1262.99742079243
2014-10-07,1257.2538542088716
2014-10-08,1253.7664444860384
2014-10-09,1245.379404684847
2014-10-10,1219.481182647359
2014-10-13,1223.1053964549733
2014-10-14,1215.7441564931337
2014-10-15,1190.1805723438995
2014-10-16,1197.745367483029
2014-10-17,1228.4468935173575
2014-10-20,1223.1954512090695
2014-10-21,1242.9816627803598
2014-10-22,1244.5769406544769
2014-10-23,1247.757312690924
2014-10-24,1247.5178228944364
2014-10-27,1247.5114396063902
2014-10-28,1254.1035416148654
2014-10-29,1263.5658629930447
2014-10-30,1251.867960071083
2014-10-31,1261.6320798260501
2014-11-03,1253.2326254380118
2014-11-04,1248.3936785635356
2014-11-05,1262.8274345982527
2014-11-06,1261.6101780872464
2014-11-07,1256.106672038942
2014-11-10,1268.4017615195892
2014-11-11,1278.942784404116
2014-11-12,1273.972803595773
2014-11-13,1274.414990069502
2014-11-14,1272.8184342249383
2014-11-17,1275.5650532432253
2014-11-18,1280.82077887354
2014-11-19,1281.3052362529795
2014-11-20,1284.5129920547247
2014-11-21,1291.7243339992267
2014-11-24,1289.9078522506732
2014-11-25,1293.647809404346
2014-11-26,1300.570734184827
2014-11-27,1294.6097504560569
2014-11-28,1287.5582047007902
2014-12-01,1283.3800795486225
2014-12-02,1292.2916579742441
2014-12-03,1288.3635660796672
2014-12-04,1284.1809626376316
2014-12-05,1289.4247393722178
2014-12-08,1282.3431681287116
2014-12-09,1262.116022831029
2014-12-10,1258.7510032115667
2014-12-11,1254.3079024881376
2014-12-12,1221.2810977461304
2014-12-15,1198.2245432190184
2014-12-16,1233.22447612114
2014-12-17,1225.8359299569247
2014-12-18,1253.0461740033618
2014-12-19,1265.7694828783858
2014-12-22,1272.0836203230383
2014-12-23,1268.6219050288287
2014-12-24,1272.1232549621916
2014-12-25,1272.1232549621916
2014-12-26,1273.104957795603
2014-12-29,1269.9889435385592
2014-12-30,1257.6996621923317
2014-12-31,1265.6354437332632
2015-01-01,1265.6354437332634
2015-01-02,1243.798449439689
2015-01-05,1213.053702165865
2015-01-06,1195.217386509554
2015-01-07,1198.7875178090453
2015-01-08,1225.23796834204
2015-01-09,1220.6739117456302
2015-01-12,1220.334209838571
2015-01-13,1236.13472440641
