Date,EASEA INDEX (EAFE ex JAPAN)
2007-05-10,171.22238988638045
2007-05-11,171.794165501246
2007-05-14,171.72387251857052
2007-05-15,171.98369304169333
2007-05-16,171.69387012988312
2007-05-17,172.41766353425865
2007-05-18,173.75352321853603
2007-05-21,173.8805112406361
2007-05-22,173.78930256992263
2007-05-23,175.070399341874
2007-05-24,173.85504221654966
2007-05-25,173.67641932141296
2007-05-28,173.91329618195363
2007-05-29,174.11677058834053
2007-05-30,173.7700094799782
2007-05-31,175.1944152187235
2007-06-01,176.84519291066775
2007-06-04,176.54888099677734
2007-06-05,175.5872161065315
2007-06-06,173.24787294771508
2007-06-07,171.61205768227595
2007-06-08,171.32217721612602
2007-06-11,172.76183929317662
2007-06-12,172.01471894538602
2007-06-13,172.4336048446337
2007-06-14,174.94901428040342
2007-06-15,176.9907223052744
2007-06-18,176.682121279032
2007-06-19,176.23126961446243
2007-06-20,176.89863279620752
2007-06-21,175.3528883563505
2007-06-22,174.7682822268651
2007-06-25,174.41379115706798
2007-06-26,173.3390488712797
2007-06-27,172.25755617618435
2007-06-28,174.14663005939823
2007-06-29,174.97023458900821
2007-07-02,174.3857950029574
2007-07-03,175.8877144286031
2007-07-04,176.63512427412232
2007-07-05,175.84762365618462
2007-07-06,176.80352048415017
2007-07-09,177.61385334430386
2007-07-10,175.6551568427959
2007-07-11,174.92299655383422
2007-07-12,176.84799466994824
2007-07-13,177.63904320743163
2007-07-16,177.87677361168002
2007-07-17,177.1779402962429
2007-07-18,175.22262753604772
2007-07-19,176.89797623454476
2007-07-20,175.35019522747442
2007-07-23,176.28467966098663
2007-07-24,174.02712830028076
2007-07-25,172.64249108728802
2007-07-26,167.96773737237348
2007-07-27,166.45840972637535
2007-07-30,166.1597007248432
2007-07-31,169.48135468936349
2007-08-01,166.6037007894079
2007-08-02,167.88583586358993
2007-08-03,165.87678835930618
2007-08-06,164.11738248422742
2007-08-07,166.19039362729546
2007-08-08,169.6676629559589
2007-08-09,167.20620046686454
2007-08-10,161.9757564825098
2007-08-13,165.44160154854
2007-08-14,163.58108781531763
2007-08-15,162.73536642380787
2007-08-16,156.82188820334937
2007-08-17,159.55515589749183
2007-08-20,161.6011686192607
2007-08-21,161.71254752388978
2007-08-22,164.38543933011428
2007-08-23,165.26257133373105
2007-08-24,165.61593036874973
2007-08-27,166.26937597522448
2007-08-28,163.48423886705012
2007-08-29,164.027230680414
2007-08-30,165.90386978945847
2007-08-31,168.15883934696564
2007-09-03,168.71576072593854
2007-09-04,169.9287030597723
2007-09-05,167.22342620092095
2007-09-06,167.75343618403585
2007-09-07,164.49579211822353
2007-09-10,162.9405863205551
2007-09-11,165.564330141946
2007-09-12,166.08504293063618
2007-09-13,167.41613488367994
2007-09-14,166.03374109459196
2007-09-17,163.675248589994
2007-09-18,165.56732975846754
2007-09-19,170.2271818822238
2007-09-20,169.33516765117798
2007-09-21,169.95645080957604
2007-09-24,170.23734351047165
2007-09-25,168.58556594908268
2007-09-26,169.72837089688258
2007-09-27,171.15246337284444
2007-09-28,171.1454142378472
2007-10-01,172.4281277164133
2007-10-02,173.4729444740249
2007-10-03,173.71228297962026
2007-10-04,173.6334731161774
2007-10-05,175.1723654501168
2007-10-08,174.91827739871366
2007-10-09,175.89215064117687
2007-10-10,176.08767531012992
2007-10-11,177.195916064128
2007-10-12,177.28762047182255
2007-10-15,175.79894835530297
2007-10-16,174.20741648173953
2007-10-17,175.2806229947872
2007-10-18,174.1765109104387
2007-10-19,172.99972079668066
2007-10-22,170.5120972640963
2007-10-23,172.41382795040386
2007-10-24,171.60202870191065
2007-10-25,173.42994621571498
2007-10-26,174.74188814749076
2007-10-29,176.31976157349422
2007-10-30,175.34976161220948
2007-10-31,176.74320935978162
2007-11-01,174.5511889052264
2007-11-02,172.8486337955155
2007-11-05,171.45506686164637
2007-11-06,172.14696188208634
2007-11-07,171.30618132519245
2007-11-08,169.88852923799504
2007-11-09,167.30691676205228
2007-11-12,166.59740550926486
2007-11-13,167.1719345228395
2007-11-14,168.30474483725607
2007-11-15,166.11196874716467
2007-11-16,164.5847263020066
2007-11-19,161.58846953201567
2007-11-20,162.8681576167168
2007-11-21,158.61332362140217
2007-11-22,159.45584260014118
2007-11-23,161.79276917142514
2007-11-26,161.57468936110743
2007-11-27,160.6783147393267
2007-11-28,164.69922573162907
2007-11-29,165.6417950199003
2007-11-30,167.8396828074134
2007-12-03,167.28846582183337
2007-12-04,164.9752118484014
2007-12-05,167.61088392148636
2007-12-06,167.99944472917792
2007-12-07,169.2059884142233
2007-12-10,169.91347624986312
2007-12-11,169.69181149936645
2007-12-12,169.96044067539526
2007-12-13,166.163833972954
2007-12-14,166.63454705628163
2007-12-17,163.33172779795908
2007-12-18,163.1476421062343
2007-12-19,162.53143978776032
2007-12-20,162.80851629080775
2007-12-21,165.2693554739287
2007-12-24,165.63750359838158
2007-12-25,165.63750359838158
2007-12-26,165.40484806770016
2007-12-27,165.65260923774878
2007-12-28,165.06865043355617
2007-12-31,165.44417164169656
2008-01-01,165.44417164169656
2008-01-02,163.53473092462696
2008-01-03,162.95579532964376
2008-01-04,160.18529636949526
2008-01-07,159.66453344668147
2008-01-08,160.53289655932736
2008-01-09,158.7632759262867
2008-01-10,157.29742444986996
2008-01-11,156.2730940391288
2008-01-14,156.58151927345486
2008-01-15,152.8381553994617
2008-01-16,150.9928538600589
2008-01-17,150.48869074218985
2008-01-18,148.9970518144138
2008-01-21,140.8085852883613
2008-01-22,142.25960112149494
2008-01-23,139.31175380716627
2008-01-24,146.0553438174251
2008-01-25,147.1820170077806
2008-01-28,145.4267830986358
2008-01-29,147.37886590072662
2008-01-30,146.24690381710374
2008-01-31,146.38449789425107
2008-02-01,149.34096630006428
2008-02-04,149.90290771088368
2008-02-05,145.67602543398314
2008-02-06,145.7006591156058
2008-02-07,143.33629362255792
2008-02-08,144.1012685830167
2008-02-11,142.6061943742463
2008-02-12,146.93615927106634
2008-02-13,146.75182644926662
2008-02-14,147.4237065880005
2008-02-15,144.73722995467995
2008-02-18,147.1567092291026
2008-02-19,147.5563028433719
2008-02-20,145.7217778520695
2008-02-21,146.59631037745424
2008-02-22,145.49476521211398
2008-02-25,147.87469973885914
2008-02-26,149.89407656182152
2008-02-27,149.86440457002954
2008-02-28,147.2448152398895
2008-02-29,145.09481156459742
2008-03-03,142.84499505089246
2008-03-04,140.916391917243
2008-03-05,143.18850863855502
2008-03-06,141.56147294943875
2008-03-07,139.6329581423438
2008-03-10,137.8180580261738
2008-03-11,139.30931913057717
2008-03-12,141.0637499419107
2008-03-13,139.00708399839897
2008-03-14,137.88207015276893
2008-03-17,131.5503821832136
2008-03-18,135.80263027706224
2008-03-19,135.26080429581776
2008-03-20,134.42828019414108
2008-03-21,134.42828019414108
2008-03-24,134.6302121754603
2008-03-25,139.0291313366896
2008-03-26,138.31448970711898
2008-03-27,139.72821483467297
2008-03-28,139.11220565947036
2008-03-31,138.63690810329845
2008-04-01,142.80177419734008
2008-04-02,144.81389552200645
2008-04-03,144.52450107156466
2008-04-04,145.01955316493792
2008-04-07,146.3493845837359
2008-04-08,144.97197355650772
2008-04-09,143.8980314555621
2008-04-10,143.36814890460425
2008-04-11,141.58947001699508
2008-04-14,140.16283403077762
2008-04-15,140.93110475049005
2008-04-16,143.36730079816303
2008-04-17,142.81385281326752
2008-04-18,145.67793967891876
2008-04-21,144.72103149034754
2008-04-22,144.0800518041808
2008-04-23,145.339340328477
2008-04-24,145.49251579391978
2008-04-25,147.1493377345837
2008-04-28,148.080764442847
2008-04-29,147.02914196449512
2008-04-30,148.10173482416897
2008-05-01,148.2661062977572
2008-05-02,151.1597251794581
2008-05-05,150.89660501462401
2008-05-06,150.15182663486368
2008-05-07,151.2259290080755
2008-05-08,151.21438291663125
2008-05-09,149.6175107528749
2008-05-12,150.23734015547188
2008-05-13,150.0947298026098
2008-05-14,150.92513589795155
2008-05-15,151.51541822358698
2008-05-16,152.4661215672098
2008-05-19,154.05053420102624
2008-05-20,151.0672450883791
2008-05-21,149.84166504080295
2008-05-22,150.3244041767728
2008-05-23,147.98808019559385
2008-05-26,147.50553902351578
2008-05-27,147.12632201319354
2008-05-28,148.33745612066147
2008-05-29,148.9208396513666
2008-05-30,149.2218439138817
2008-06-02,147.79367547778486
2008-06-03,148.6292856466294
2008-06-04,147.1956312989572
2008-06-05,146.7688786755566
2008-06-06,144.26820093614643
2008-06-09,143.5410055037611
2008-06-10,142.34795919559465
2008-06-11,140.29900602174914
2008-06-12,140.8893046936246
2008-06-13,141.69032329665802
2008-06-16,141.38974348146178
2008-06-17,142.0753965509202
2008-06-18,140.33788173592305
2008-06-19,139.54371471335287
2008-06-20,137.13700552772036
2008-06-23,137.19408150546352
2008-06-24,136.2648858747479
2008-06-25,137.5452854000083
2008-06-26,134.47686494172373
2008-06-27,133.8155837620342
2008-06-30,134.61315345971383
2008-07-01,131.78307609354155
2008-07-02,130.6871443858203
2008-07-03,131.48102107129114
2008-07-04,130.36191694691755
2008-07-07,131.6653022256498
2008-07-08,129.64100715516213
2008-07-09,131.86702187474864
2008-07-10,129.26204089781373
2008-07-11,126.33987206742746
2008-07-14,127.02501014150607
2008-07-15,124.2360299096139
2008-07-16,125.19374830577767
2008-07-17,128.39494110900367
2008-07-18,129.98007897551778
2008-07-21,131.2397779006067
2008-07-22,130.6455395950333
2008-07-23,133.33016986417869
2008-07-24,131.6019556675311
2008-07-25,130.90325255550164
2008-07-28,129.53963665447844
2008-07-29,129.71435998133978
2008-07-30,131.73729176061886
2008-07-31,131.64343527518503
2008-08-01,129.95892972318106
2008-08-04,128.75114877097886
2008-08-05,131.38528357592787
2008-08-06,132.90723710274312
2008-08-07,132.62535478815508
2008-08-08,133.68469503541
2008-08-11,135.38246835232766
2008-08-12,134.98576868971807
2008-08-13,131.78192232257612
2008-08-14,132.50779243962143
2008-08-15,133.04495624503488
2008-08-18,132.97931011462487
2008-08-19,129.6415919841462
2008-08-20,130.40733742827197
2008-08-21,129.18128431950768
2008-08-22,131.43747348863698
2008-08-25,131.09790480270158
2008-08-26,131.26434444105925
2008-08-27,131.53775300921345
2008-08-28,133.2401651610818
2008-08-29,133.82966347091246
2008-09-01,133.25425308309875
2008-09-02,134.31605555663072
2008-09-03,132.33899121565668
2008-09-04,129.14987787461095
2008-09-05,126.25038667221783
2008-09-08,130.77834216720353
2008-09-09,129.76415731196147
2008-09-10,128.71457409914532
2008-09-11,127.69414486087976
2008-09-12,129.90787568949912
2008-09-15,125.58285960586764
2008-09-16,122.20628257718154
2008-09-17,119.73848788181701
2008-09-18,118.83307390649007
2008-09-19,128.40428221059196
2008-09-22,126.69801470132673
2008-09-23,124.16150885901124
2008-09-24,123.64835656657728
2008-09-25,125.64886988651703
2008-09-26,123.47458820260454
2008-09-29,117.23993767990062
2008-09-30,118.75393394889062
2008-10-01,119.94732579391905
2008-10-02,118.38672842431141
2008-10-03,121.18291548960741
2008-10-06,112.02396604789182
2008-10-07,111.84767385054316
2008-10-08,104.55879480094298
2008-10-09,103.06732720281663
2008-10-10,94.77315424402737
2008-10-13,104.06482585890602
2008-10-14,107.64172494877579
2008-10-15,101.12021973894606
2008-10-16,95.85020752335282
2008-10-17,99.21099526387545
2008-10-20,103.24977193724037
2008-10-21,103.04947942695567
2008-10-22,98.01518136731251
2008-10-23,97.0954791800526
2008-10-24,92.12501065403731
2008-10-27,90.3788914479234
2008-10-28,92.76609131797008
2008-10-29,99.02159924511005
2008-10-30,100.6350842742925
2008-10-31,102.98421584136744
2008-11-03,104.19290317107814
2008-11-04,108.30972775322313
2008-11-05,106.46073714792364
