Date,FM ASIA INDEX IMI
2018-04-06,1525.7123533296447
2018-04-09,1522.0232676012326
2018-04-10,1505.9111943982666
2018-04-11,1475.178278541916
2018-04-12,1490.0846875301206
2018-04-13,1483.986589212807
2018-04-16,1469.4614355495848
2018-04-17,1467.4571534339946
2018-04-18,1457.9359155364853
2018-04-19,1430.0982049522122
2018-04-20,1452.9584395239792
2018-04-23,1428.8989998553923
2018-04-24,1434.4643944064817
2018-04-25,1441.075704666297
2018-04-26,1425.6800382627866
2018-04-27,1436.1810033554887
2018-04-30,1432.1583667988155
2018-05-01,1443.107738382006
2018-05-02,1437.5458819291782
2018-05-03,1429.0952273615742
2018-05-04,1432.1802665693592
2018-05-07,1458.4760259919387
2018-05-08,1456.1883875947044
2018-05-09,1450.4371738335199
2018-05-10,1424.2563749648061
2018-05-11,1422.0442955756296
2018-05-14,1438.6982937695163
2018-05-15,1447.78132798219
2018-05-16,1426.1224954030147
2018-05-17,1396.9488834988003
2018-05-18,1416.0302020832537
2018-05-21,1384.492969405886
2018-05-22,1342.7784011518677
2018-05-23,1354.5865258365216
2018-05-24,1355.6688445541417
2018-05-25,1350.1191768836632
2018-05-28,1334.2762644679233
2018-05-29,1356.9720583774092
2018-05-30,1345.2422320139667
2018-05-31,1353.8016377033136
2018-06-01,1377.4182715224727
2018-06-04,1390.5743365113767
2018-06-05,1406.2934192044022
2018-06-06,1405.7089350074568
2018-06-07,1402.3907131291558
2018-06-08,1406.8441574584258
2018-06-11,1398.5422096063776
2018-06-12,1391.7344941646693
2018-06-13,1400.8966630165612
2018-06-14,1406.6901349573711
2018-06-15,1408.3439925606706
2018-06-18,1378.5329303166282
2018-06-19,1356.6548959551817
2018-06-20,1367.6503291017855
2018-06-21,1359.188053608708
2018-06-22,1370.2865311078822
2018-06-25,1373.8381475968006
2018-06-26,1366.3948809412345
2018-06-27,1362.251155986768
2018-06-28,1356.3649214301538
2018-06-29,1348.1563437957311
2018-07-02,1339.3068439244776
2018-07-03,1291.2602208022845
2018-07-04,1305.6777144560338
2018-07-05,1295.3080672868498
2018-07-06,1297.1422049670484
2018-07-09,1289.6492290819776
2018-07-10,1289.3814532879899
2018-07-11,1282.8077810462285
2018-07-12,1286.614043169905
2018-07-13,1294.2270714220895
2018-07-16,1288.950531834608
2018-07-17,1300.5753566898848
2018-07-18,1323.6669434091664
2018-07-19,1331.134601011789
2018-07-20,1310.4725287381887
2018-07-23,1313.9854850522793
2018-07-24,1309.6730344558491
2018-07-25,1307.3719164813353
2018-07-26,1314.550729937102
2018-07-27,1314.4215009960271
2018-07-30,1312.1557929651863
2018-07-31,1318.7481933110255
2018-08-01,1322.195298347944
2018-08-02,1329.3386302978126
2018-08-03,1337.2086066844388
2018-08-06,1338.6622872347482
2018-08-07,1329.4340898935814
2018-08-08,1337.0984896477391
2018-08-09,1336.2544918571023
2018-08-10,1354.9761318399098
2018-08-13,1358.962683615815
2018-08-14,1372.485560917417
2018-08-15,1366.8352361619004
2018-08-16,1360.7337458270101
2018-08-17,1361.952401781591
2018-08-20,1368.8249966932008
2018-08-21,1366.3251261178514
2018-08-22,1360.6958835737576
2018-08-23,1368.2733855772672
2018-08-24,1359.4220150856966
2018-08-27,1358.354840855635
2018-08-28,1356.5876824540278
2018-08-29,1350.6188569457129
2018-08-30,1360.020497267773
2018-08-31,1355.9810516675605
2018-09-03,1356.772670705552
2018-09-04,1351.7396030154891
2018-09-05,1335.5579440602125
2018-09-06,1326.2680557998262
2018-09-07,1341.8496092980365
2018-09-10,1335.4801195900884
2018-09-11,1352.978609199622
2018-09-12,1347.8257980429685
2018-09-13,1338.7251511078352
2018-09-14,1341.4330071628399
2018-09-17,1330.6368409094596
2018-09-18,1333.020045886252
2018-09-19,1336.93088531638
2018-09-20,1326.3964277225155
2018-09-21,1320.4403332783486
2018-09-24,1322.6205307690948
2018-09-25,1324.3235730924464
2018-09-26,1328.5637988743147
2018-09-27,1340.3211324108283
2018-09-28,1350.6829913390848
2018-10-01,1349.6273124943352
2018-10-02,1355.7987107398644
2018-10-03,1360.351731000678
2018-10-04,1362.1453645246293
2018-10-05,1351.842588723743
2018-10-08,1344.9721381407355
2018-10-09,1344.03215632468
2018-10-10,1333.3789687176898
2018-10-11,1289.908784754748
2018-10-12,1309.3868283434717
2018-10-15,1284.2193501426957
2018-10-16,1298.1485765145153
2018-10-17,1309.9399531926485
2018-10-18,1308.5692632916687
2018-10-19,1304.8318900719464
2018-10-22,1295.8053595755844
2018-10-23,1286.2881625429027
2018-10-24,1283.7036362050596
2018-10-25,1275.3284664498844
2018-10-26,1269.684411846189
2018-10-29,1259.1780016105079
2018-10-30,1262.7879189656717
2018-10-31,1287.1126051833216
2018-11-01,1273.972140912701
2018-11-02,1292.6565279773172
2018-11-05,1288.7066289216782
2018-11-06,1283.58638218558
2018-11-07,1279.4131415143243
2018-11-08,1289.3675664546508
2018-11-09,1289.957678736842
2018-11-12,1304.4410325495048
2018-11-13,1289.7040748448842
2018-11-14,1283.0495799652838
2018-11-15,1276.0659904778022
2018-11-16,1259.331670778261
2018-11-19,1268.0887584054683
2018-11-20,1283.906344598897
2018-11-21,1289.77741360833
2018-11-22,1291.506140772087
2018-11-23,1292.1435422472057
2018-11-26,1299.9830570631352
2018-11-27,1313.8443290525793
2018-11-28,1322.4087805515244
2018-11-29,1306.650601122509
2018-11-30,1312.6524339425866
2018-12-03,1329.7224739189803
2018-12-04,1344.5949648845167
2018-12-05,1340.8055510482752
2018-12-06,1331.473855136091
2018-12-07,1335.9227519704916
2018-12-10,1330.9732913326325
2018-12-11,1335.3355520817238
2018-12-12,1332.7918936836322
2018-12-13,1336.5848941213806
2018-12-14,1336.5546851016416
2018-12-17,1315.264271782569
2018-12-18,1302.1782309110283
2018-12-19,1285.4350406529795
2018-12-20,1284.6794593414027
2018-12-21,1273.074432657941
2018-12-24,1280.557816245888
2018-12-25,1276.1147685716076
2018-12-26,1273.8577817155713
2018-12-27,1283.3227210501798
2018-12-28,1264.1220920941225
2018-12-31,1265.3352555488882
2019-01-01,1270.350481424371
2019-01-02,1287.2970119371278
2019-01-03,1276.2866555976098
2019-01-04,1277.8566954661778
2019-01-07,1285.6913117105294
2019-01-08,1290.242865483744
2019-01-09,1292.3713841563197
2019-01-10,1294.1567918043245
2019-01-11,1305.4537433967703
2019-01-14,1308.2586423929026
2019-01-15,1320.0331998220468
2019-01-16,1321.7294388047665
2019-01-17,1315.237274562311
2019-01-18,1319.7615760948324
2019-01-21,1326.0502933759396
2019-01-22,1325.2790954855207
2019-01-23,1328.8785298390217
2019-01-24,1334.6112646452739
2019-01-25,1329.9844239521706
2019-01-28,1329.2315045232583
2019-01-29,1337.0646903760023
2019-01-30,1329.376244551581
2019-01-31,1312.3564283274716
2019-02-01,1305.9161019172018
2019-02-04,1312.7819930819805
2019-02-05,1312.908365815005
2019-02-06,1316.159632529334
2019-02-07,1319.0601822907936
2019-02-08,1322.207956871122
2019-02-11,1342.7326757295127
2019-02-12,1353.6539223333032
2019-02-13,1365.0530160955848
2019-02-14,1376.663225186647
2019-02-15,1376.1158917399573
2019-02-18,1381.109994439562
2019-02-19,1386.7195042742135
2019-02-20,1393.7810252807544
2019-02-21,1418.4293645107944
2019-02-22,1419.3769885768388
2019-02-25,1427.336485131184
2019-02-26,1418.666448649011
2019-02-27,1419.3423056483261
2019-02-28,1388.2200687684033
2019-03-01,1398.8652407936747
