Date,USA ESG LEADERS SELECT SUSTAINABILITY
2021-06-07,1367.7059039372882
2021-06-08,1368.5236418507448
2021-06-09,1365.4032677698458
2021-06-10,1374.5403367757008
2021-06-11,1385.9034409576009
2021-06-14,1387.5512060730841
2021-06-15,1383.843187345685
2021-06-16,1377.447637952016
2021-06-17,1397.071845925316
2021-06-18,1390.0048647123199
2021-06-21,1403.9826422991923
2021-06-22,1412.4862665670385
2021-06-23,1404.6910819752845
2021-06-24,1415.8831408095937
2021-06-25,1418.4694991481915
2021-06-28,1425.48397498987
2021-06-29,1431.2017262357153
2021-06-30,1436.4259057880597
2021-07-01,1442.1346220645007
2021-07-02,1455.9962152237315
2021-07-05,1453.7253447620158
2021-07-06,1454.6406882143374
2021-07-07,1466.3676200115651
2021-07-08,1444.044589713137
2021-07-09,1459.0654396538541
2021-07-12,1462.6110250516442
2021-07-13,1462.7938319194852
2021-07-14,1465.4841790123037
2021-07-15,1462.5749663064878
2021-07-16,1456.39808139198
2021-07-19,1435.5925330670968
2021-07-20,1464.3394354081054
2021-07-21,1471.7766595106693
2021-07-22,1473.8831372762586
2021-07-23,1494.4045323242285
2021-07-26,1488.375665087181
2021-07-27,1479.1951932039783
2021-07-28,1481.264743371983
2021-07-29,1479.5501058635953
2021-07-30,1481.4525497317618
2021-08-02,1476.6509516706874
2021-08-03,1490.3777605231203
2021-08-04,1486.148055164514
2021-08-05,1496.737925480178
2021-08-06,1507.4180916846237
2021-08-09,1507.4307721237333
2021-08-10,1510.5270231855377
2021-08-11,1513.962261187956
2021-08-12,1520.1849868549589
2021-08-13,1515.6390906827037
2021-08-16,1522.137696270463
2021-08-17,1520.485903521579
2021-08-18,1505.5370313628123
2021-08-19,1515.0693488909062
2021-08-20,1528.9311533974262
2021-08-23,1531.8991521652113
2021-08-24,1531.6558892205908
2021-08-25,1537.5948561090954
2021-08-26,1527.948585811631
2021-08-27,1537.1549234948636
2021-08-30,1542.1548432267139
2021-08-31,1539.4606748132483
2021-09-01,1534.6776094103814
2021-09-02,1538.5468430420437
2021-09-03,1536.23490689519
2021-09-06,1538.7604374507232
2021-09-07,1531.014538730125
2021-09-08,1535.0108763343303
2021-09-09,1527.2074705009863
2021-09-10,1514.385464162748
2021-09-13,1519.0933629495016
2021-09-14,1511.108415720256
2021-09-15,1523.5324986792507
2021-09-16,1529.1607249840158
2021-09-17,1519.9381460579268
2021-09-20,1496.8006759528607
2021-09-21,1496.422673827007
2021-09-22,1509.4389879672492
2021-09-23,1524.2940047036982
2021-09-24,1530.242045005851
2021-09-27,1522.7752455161838
2021-09-28,1493.216775089004
2021-09-29,1502.6936758942084
2021-09-30,1487.5812630755006
2021-10-01,1501.4975630432562
2021-10-04,1477.717897897002
2021-10-05,1497.8409687626747
2021-10-06,1510.9875546195651
2021-10-07,1522.395492794804
2021-10-08,1515.4958226368626
2021-10-11,1507.5441466999498
2021-10-12,1508.3600494872692
2021-10-13,1510.9553029784004
2021-10-14,1537.0325799269347
2021-10-15,1542.2039399156927
2021-10-18,1548.467692010157
2021-10-19,1553.8902733541784
2021-10-20,1560.2902206224217
2021-10-21,1566.2411254975173
2021-10-22,1569.7128923701755
2021-10-25,1578.921843674547
2021-10-26,1584.9042879542963
2021-10-27,1578.4865306235022
2021-10-28,1584.5832528291135
2021-10-29,1604.6408120485794
2021-11-01,1605.2609304858915
2021-11-02,1613.5605177247355
2021-11-03,1621.2069517266661
2021-11-04,1632.7556173676003
2021-11-05,1632.4121448760845
2021-11-08,1629.1876397594513
2021-11-09,1625.0350189251299
2021-11-10,1622.5822986810458
2021-11-11,1630.6885671052144
2021-11-12,1647.109459736873
2021-11-15,1648.5070725216333
2021-11-16,1668.5818200862618
2021-11-17,1670.8052473321166
2021-11-18,1666.6031482405988
2021-11-19,1670.5827808859876
2021-11-22,1674.4963799957611
2021-11-23,1672.6125618178867
2021-11-24,1685.119673511642
2021-11-25,1683.0903144043803
2021-11-26,1630.2852933190613
2021-11-29,1660.0722986310145
2021-11-30,1629.0008324148496
2021-12-01,1599.7717748334862
2021-12-02,1630.6767084944213
2021-12-03,1621.0866851805656
2021-12-06,1640.4714082485273
2021-12-07,1678.6390260285236
2021-12-08,1673.253652818746
2021-12-09,1665.5305091708215
2021-12-10,1677.2723896772447
2021-12-13,1667.9782757991115
2021-12-14,1651.9507347607241
2021-12-15,1682.980911002626
2021-12-16,1658.7917511803182
2021-12-17,1647.4715355749272
2021-12-20,1625.4696088030178
2021-12-21,1657.8406214622216
2021-12-22,1667.4819505233086
2021-12-23,1681.6535407734925
2021-12-24,1678.6105627890406
2021-12-27,1705.2449388068187
2021-12-28,1705.5844536094316
2021-12-29,1702.2473890769134
2021-12-30,1700.329536460068
2021-12-31,1691.5445833140623
2022-01-03,1704.7092099523416
2022-01-04,1698.398194687277
2022-01-05,1655.959691707747
2022-01-06,1662.1381948495082
2022-01-07,1643.0643092824037
2022-01-10,1644.6351962744045
2022-01-11,1656.2251525461268
2022-01-12,1649.9891908511936
2022-01-13,1619.1033243089935
2022-01-14,1622.207299448988
2022-01-17,1626.5462736341312
2022-01-18,1605.6109490743283
2022-01-19,1590.1113006570095
2022-01-20,1573.343564521074
2022-01-21,1549.9789216396398
2022-01-24,1563.5062912621866
2022-01-25,1542.3653973010394
2022-01-26,1535.23146125631
2022-01-27,1541.715004375655
2022-01-28,1579.8288456337832
2022-01-31,1603.8105952938706
2022-02-01,1606.9273815922224
2022-02-02,1614.231452762169
2022-02-03,1567.6713319966923
2022-02-04,1562.5127532644215
2022-02-07,1556.6454293244096
2022-02-08,1574.8112775337322
2022-02-09,1599.144149966898
2022-02-10,1562.1864172215658
2022-02-11,1538.859089542736
2022-02-14,1546.014133216381
2022-02-15,1565.528710486221
2022-02-16,1564.648987275396
2022-02-17,1529.5060471860143
2022-02-18,1523.9094730741435
2022-02-21,1524.648843407763
2022-02-22,1509.8651743566747
2022-02-23,1481.3856991892676
2022-02-24,1534.7282574671708
2022-02-25,1550.726879439091
2022-02-28,1545.7851887357574
2022-03-01,1533.4512072641533
2022-03-02,1574.2015824643793
2022-03-03,1568.489565372257
2022-03-04,1573.9966043793718
2022-03-07,1530.4133383808107
2022-03-08,1515.4677648700647
2022-03-09,1536.057947126528
2022-03-10,1524.465042521691
2022-03-11,1509.7372397452514
2022-03-14,1499.3019451806113
2022-03-15,1534.1133295278162
2022-03-16,1568.9654876794314
2022-03-17,1571.3091512320002
2022-03-18,1600.5662571438252
2022-03-21,1594.8436214809003
2022-03-22,1617.6341054466518
2022-03-23,1594.2793365567538
2022-03-24,1615.3349980950811
2022-03-25,1624.0213511892814
2022-03-28,1640.0673738548362
2022-03-29,1645.2611090646842
2022-03-30,1622.8792867515501
2022-03-31,1603.2661962692591
2022-04-01,1622.7920698577018
2022-04-04,1639.8931110556289
2022-04-05,1628.3520684623036
2022-04-06,1613.4223743289917
2022-04-07,1622.7734305435417
2022-04-08,1622.0359862416399
2022-04-11,1593.140830910963
2022-04-12,1587.1707056217676
2022-04-13,1609.4258380806648
2022-04-14,1597.8228639503036
2022-04-15,1597.8228639503036
2022-04-18,1590.6917402730658
2022-04-19,1620.11604293695
2022-04-20,1615.7638872839332
2022-04-21,1597.5339510117872
2022-04-22,1563.0545673457952
2022-04-25,1583.5315299799943
2022-04-26,1545.706166131799
2022-04-27,1570.3301259146156
2022-04-28,1603.439245726898
2022-04-29,1545.8099200335048
2022-05-02,1557.0539315216733
2022-05-03,1561.1580776606168
2022-05-04,1604.8940316175251
2022-05-05,1547.5802832563184
2022-05-06,1525.6056159544803
2022-05-09,1487.9178029516054
2022-05-10,1487.879047440752
2022-05-11,1458.0728593346237
2022-05-12,1479.319547190936
2022-05-13,1517.8604525365047
2022-05-16,1505.989748642039
2022-05-17,1517.10721217533
2022-05-18,1457.6476481165982
2022-05-19,1440.7366738441347
2022-05-20,1444.7031080729319
2022-05-23,1454.164801318415
2022-05-24,1432.652245871433
2022-05-25,1452.7141194969552
2022-05-26,1476.9927367425648
2022-05-27,1517.6421654215699
2022-05-30,1507.857283887473
2022-05-31,1503.7431789077084
2022-06-01,1495.480483357417
2022-06-02,1521.4326783328977
2022-06-03,1493.9795269123376
2022-06-06,1498.1320871160788
2022-06-07,1514.7208142598215
2022-06-08,1492.8474040326419
2022-06-09,1470.7413777104703
2022-06-10,1443.023843097608
2022-06-13,1403.848936707244
2022-06-14,1398.1395895915816
2022-06-15,1419.9735743344863
2022-06-16,1362.5449928583873
2022-06-17,1376.0574544879332
2022-06-20,1365.7401253079827
2022-06-21,1392.930253423278
2022-06-22,1392.2933962337179
2022-06-23,1420.441245600959
2022-06-24,1462.9524143661388
2022-06-27,1448.2226403391505
2022-06-28,1427.4642987317354
2022-06-29,1433.4555575720217
2022-06-30,1425.2883061368225
2022-07-01,1449.9954234504196
2022-07-04,1445.4746203746195
2022-07-05,1478.5024747571333
2022-07-06,1491.3832415247987
2022-07-07,1516.3521885733876
2022-07-08,1512.438809907028
2022-07-11,1510.1933779842477
2022-07-12,1499.196363550984
2022-07-13,1482.403213260603
2022-07-14,1492.8521105741681
2022-07-15,1507.4202783304365
2022-07-18,1474.9462124878105
2022-07-19,1509.8289299763771
2022-07-20,1523.776621794303
2022-07-21,1547.6060265756028
2022-07-22,1527.9470329599478
2022-07-25,1527.4958262434006
2022-07-26,1524.9670975603794
2022-07-27,1565.0412292051824
2022-07-28,1585.4228938572176
2022-07-29,1596.3677950574313
2022-08-01,1580.9743710469531
2022-08-02,1581.4944189308442
2022-08-03,1618.800772708482
2022-08-04,1607.5887849893788
2022-08-05,1611.6878851228876
2022-08-08,1602.7723273792103
2022-08-09,1590.7221504401298
2022-08-10,1608.887920247299
2022-08-11,1607.569815649657
2022-08-12,1652.1484738676143
2022-08-15,1667.8406007798856
2022-08-16,1671.960285676542
2022-08-17,1661.5908125179058
2022-08-18,1669.060956714995
2022-08-19,1659.1618641811153
2022-08-22,1634.4800750538395
2022-08-23,1625.0660882404966
2022-08-24,1629.5384167051634
2022-08-25,1652.78757170566
2022-08-26,1587.5467079885218
2022-08-29,1579.2918075446696
2022-08-30,1563.921734790146
2022-08-31,1541.949771349334
2022-09-01,1564.971455095369
2022-09-02,1532.4790871885095
2022-09-05,1549.0080184247545
2022-09-06,1547.1021273520448
2022-09-07,1573.9998194041984
2022-09-08,1585.9369368069397
2022-09-09,1595.6780509319228
2022-09-12,1597.4763122024967
2022-09-13,1546.2873932593502
2022-09-14,1548.987034800933
2022-09-15,1532.2595314620116
2022-09-16,1514.5524608546582
2022-09-19,1529.0171077686853
2022-09-20,1511.4584866797559
2022-09-21,1505.1311393373157
2022-09-22,1496.6688163509175
2022-09-23,1494.938130712559
2022-09-26,1487.918721971398
2022-09-27,1487.8556040707567
2022-09-28,1514.701054233348
2022-09-29,1462.0558025392047
2022-09-30,1437.3043364097487
2022-10-03,1472.2347975457064
2022-10-04,1496.4673893211586
2022-10-05,1506.6351036292028
2022-10-06,1492.515862467523
2022-10-07,1456.4259720595714
2022-10-10,1457.5840503651164
2022-10-11,1447.9247746618041
2022-10-12,1443.4200561699229
2022-10-13,1476.74378835911
2022-10-14,1434.2648409213996
2022-10-17,1464.2135234307696
2022-10-18,1476.2553343161987
2022-10-19,1466.6447663539545
2022-10-20,1441.0275430623713
2022-10-21,1478.8852689477753
2022-10-24,1486.1205014212533
2022-10-25,1505.883631113674
2022-10-26,1480.6650160652132
2022-10-27,1482.9460758912203
2022-10-28,1531.6946394596516
2022-10-31,1531.0957678718685
2022-11-01,1527.5726536870175
2022-11-02,1486.4476629649569
2022-11-03,1485.9978153100628
2022-11-04,1486.783777569657
2022-11-07,1486.2255141917267
2022-11-08,1484.8390381511801
2022-11-09,1463.7697250869935
2022-11-10,1530.7631361278236
2022-11-11,1526.1289787104251
2022-11-14,1505.7145148091809
2022-11-15,1514.4499403621812
2022-11-16,1495.2799214352858
2022-11-17,1498.340130072865
2022-11-18,1503.0786253696604
2022-11-21,1518.666793801896
2022-11-22,1530.6184625872402
2022-11-23,1528.0516553182272
2022-11-24,1522.9138669579663
2022-11-25,1523.6529816517404
2022-11-28,1499.7417023322798
2022-11-29,1502.8977704002532
2022-11-30,1562.198762943218
2022-12-01,1537.4371416172698
2022-12-02,1537.830833584816
2022-12-05,1500.6252134247493
2022-12-06,1486.213346875077
