Date,SOUTH AFRICA MINIMUM VOLATILITY (ZAR)
2012-01-31,3812.5331085636485
2012-02-01,3885.291314628822
2012-02-02,3945.6141869227645
2012-02-03,3999.31476877388
2012-02-06,3977.7649527817694
2012-02-07,3914.695110679093
2012-02-08,3941.48117952435
2012-02-09,3929.415566958174
2012-02-10,3850.25594395429
2012-02-13,3876.3325788541524
2012-02-14,3889.4300490871055
2012-02-15,3918.58503966762
2012-02-16,3850.712888103283
2012-02-17,3878.612321963993
2012-02-20,3893.2152795783645
2012-02-21,3877.7459387435015
2012-02-22,3863.724201213751
2012-02-23,3878.833709678777
2012-02-24,3907.9685668784255
2012-02-27,3893.711416574799
2012-02-28,3956.4464176136607
2012-02-29,4028.2202358990944
2012-03-01,4044.5171568498754
2012-03-02,4039.929681553856
2012-03-05,4010.2287373259805
2012-03-06,3942.7646116583837
2012-03-07,3942.3893227175813
2012-03-08,3996.760091197062
2012-03-09,4077.52768195326
2012-03-12,4038.065934935544
2012-03-13,4092.7291324288053
2012-03-14,4064.6264678852194
2012-03-15,4076.5878420314702
2012-03-16,4028.4631429001697
2012-03-19,4030.373827517718
2012-03-20,3982.861596165486
2012-03-21,3978.9340851141055
2012-03-22,3908.184579590446
2012-03-23,3899.7841853887803
2012-03-26,3971.155887594293
2012-03-27,4017.693070294201
2012-03-28,3960.4513873279952
2012-03-29,3923.4746591034077
2012-03-30,3963.703226196269
2012-04-02,4024.8613594094263
2012-04-03,4008.58194924135
2012-04-04,3911.644044241204
2012-04-05,3976.8671897044846
2012-04-06,3976.8671897044846
2012-04-09,3945.088334893123
2012-04-10,3870.3397492822573
2012-04-11,3871.6936830504233
2012-04-12,3891.1309125905527
2012-04-13,3896.9475718345475
2012-04-16,3877.256383902297
2012-04-17,3947.1329911807443
2012-04-18,3983.8652296436726
2012-04-19,3951.1372419967443
2012-04-20,3994.3556329200596
2012-04-23,3945.9594753149913
2012-04-24,3966.2519144561725
2012-04-25,3984.182772669824
2012-04-26,4001.3096053119325
2012-04-27,4010.6724202933187
2012-04-30,4030.728245127284
2012-05-01,4040.889067822035
2012-05-02,4055.5300629257895
2012-05-03,4075.8865694549513
2012-05-04,4050.480026309442
2012-05-07,4046.0654632916903
2012-05-08,3974.4973638821743
2012-05-09,3907.5821877082403
2012-05-10,3957.3420382880854
2012-05-11,3941.7309718964643
2012-05-14,3866.8564663356874
2012-05-15,3829.5944112078782
2012-05-16,3865.70628257895
2012-05-17,3837.803728803486
2012-05-18,3804.9814775797913
2012-05-21,3811.181757225636
2012-05-22,3877.2517327359683
2012-05-23,3784.6851724181115
2012-05-24,3855.326995203665
2012-05-25,3851.889057599638
2012-05-28,3854.7235796599716
2012-05-29,3914.090959404659
2012-05-30,3817.221213117708
2012-05-31,3840.0036061344745
2012-06-01,3828.1079154118793
2012-06-04,3859.8420110148254
2012-06-05,3889.7556537294718
2012-06-06,3950.7058214934395
2012-06-07,3989.1020392501923
2012-06-08,3931.4375925301
2012-06-11,3909.57842475318
2012-06-12,3939.3011390209886
2012-06-13,3968.5667221858484
2012-06-14,3910.0406211765494
2012-06-15,3936.164129939236
2012-06-18,4009.8443802821394
2012-06-19,4062.9465537931806
2012-06-20,4083.5973894319513
2012-06-21,4049.3322774458184
2012-06-22,3974.2998261361336
2012-06-25,3945.3213045702105
2012-06-26,3942.4125764093874
2012-06-27,3980.33148092154
2012-06-28,3920.7695774096
2012-06-29,3989.1456243470852
2012-07-02,4028.8838929424996
2012-07-03,4101.97993420394
2012-07-04,4095.3111842356343
2012-07-05,4196.783274381245
2012-07-06,4157.068519067514
2012-07-09,4147.068709615969
2012-07-10,4208.697183730435
2012-07-11,4159.069967065876
2012-07-12,4086.122524842656
2012-07-13,4139.073416992152
2012-07-16,4170.250740094696
2012-07-17,4181.511918835949
2012-07-18,4220.570009946388
2012-07-19,4218.8619206786725
2012-07-20,4219.2954281528155
2012-07-23,4112.799842331574
2012-07-24,4105.589155788252
2012-07-25,4144.809943369574
2012-07-26,4181.419243750452
2012-07-27,4289.686839265517
2012-07-30,4350.392989471727
2012-07-31,4284.070566802868
2012-08-01,4301.174144358938
2012-08-02,4296.27124885029
