Date,AC PACIFIC HIGH DIVIDEND YIELD
2001-04-09,1061.3483222530879
2001-04-10,1064.3707451688756
2001-04-11,1085.1137649816426
2001-04-12,1100.635909093842
2001-04-13,1098.6552327450731
2001-04-16,1093.9603703551538
2001-04-17,1088.592608680978
2001-04-18,1102.4373339294605
2001-04-19,1132.4269997607414
2001-04-20,1134.2469386625728
2001-04-23,1127.8110047663283
2001-04-24,1125.1630985627023
2001-04-25,1124.4782846664366
2001-04-26,1126.7512153172402
2001-04-27,1123.0890561408476
2001-04-30,1133.5301431648327
2001-05-01,1142.3676221662874
2001-05-02,1149.7402706734151
2001-05-03,1155.0605975300182
2001-05-04,1143.4928415700208
2001-05-07,1151.1951525672437
2001-05-08,1143.0172742330099
2001-05-09,1144.6440900714895
2001-05-10,1149.5643499612215
2001-05-11,1152.5454017799673
2001-05-14,1138.7330645331222
2001-05-15,1141.376672397093
2001-05-16,1138.7399516652158
2001-05-17,1160.9596490772465
2001-05-18,1151.5343065091745
2001-05-21,1166.3537446879584
2001-05-22,1164.5385624252453
2001-05-23,1174.995837525664
2001-05-24,1172.2330396636867
2001-05-25,1166.2030678384447
2001-05-28,1164.87955818865
2001-05-29,1167.6916860259867
2001-05-30,1159.0936096489063
2001-05-31,1149.1603343722209
2001-06-01,1149.7906561793682
2001-06-04,1156.209772670053
2001-06-05,1160.396579116533
2001-06-06,1164.8091234889357
2001-06-07,1174.7118628424664
2001-06-08,1181.8467381079622
2001-06-11,1174.2467281358888
2001-06-12,1165.0635621724737
2001-06-13,1163.987591852566
2001-06-14,1159.6596562486645
2001-06-15,1157.8013693519306
2001-06-18,1147.4629138747114
2001-06-19,1148.6405894367113
2001-06-20,1143.635385618929
2001-06-21,1144.640204497827
2001-06-22,1146.3350414505637
2001-06-25,1146.9608270057197
2001-06-26,1148.8061130522897
2001-06-27,1144.4180274127784
2001-06-28,1133.3157028782944
2001-06-29,1148.4421723707505
2001-07-02,1140.3765840213273
2001-07-03,1145.7685970556865
2001-07-04,1146.9102088621528
2001-07-05,1137.1278273083215
2001-07-06,1125.0409586322273
2001-07-09,1116.1845351218487
2001-07-10,1123.7429474519863
2001-07-11,1117.3918222130092
2001-07-12,1123.2910663849232
2001-07-13,1114.6902408882859
2001-07-16,1113.4574036579986
2001-07-17,1105.623721671738
2001-07-18,1101.241933165797
2001-07-19,1099.0914579357272
2001-07-20,1096.0662509234492
2001-07-23,1088.0307750568325
2001-07-24,1082.7827925894899
2001-07-25,1083.1028407803246
2001-07-26,1079.2311627611216
2001-07-27,1082.9814653337107
2001-07-30,1082.9892525462974
2001-07-31,1094.2855085554613
2001-08-01,1109.7482276607736
2001-08-02,1118.6585487287618
2001-08-03,1109.9149928128222
2001-08-06,1108.276518646665
2001-08-07,1108.8950360055246
2001-08-08,1111.2608055127039
2001-08-09,1095.2509613117425
2001-08-10,1102.5158768441581
2001-08-13,1098.6048581890263
2001-08-14,1111.9885549539572
2001-08-15,1125.3501680970853
2001-08-16,1127.1193975145131
2001-08-17,1133.7506766248964
2001-08-20,1123.9139972895218
2001-08-21,1128.6091388765878
2001-08-22,1132.6694431031924
2001-08-23,1130.3160772433366
2001-08-24,1129.4802020938207
2001-08-27,1135.139656922733
2001-08-28,1129.1536629746026
2001-08-29,1129.6248354090262
2001-08-30,1123.2679172746903
2001-08-31,1112.8997681049336
2001-09-03,1105.2746009553318
2001-09-04,1112.4981094558277
2001-09-05,1103.0512316016077
2001-09-06,1096.0436297133613
2001-09-07,1081.4370564536523
2001-09-10,1071.4576909744405
2001-09-11,1077.605675055593
2001-09-12,1016.6354189964829
2001-09-13,1028.134839556748
2001-09-14,1019.3256485763751
2001-09-17,977.1591050591549
2001-09-18,980.2378896171017
2001-09-19,995.9893550872505
