Date,EM EASTERN EUROPE ex RUSSIA VALUE
2009-06-11,687.0799812643844
2009-06-12,687.8353241024795
2009-06-15,659.1433534835148
2009-06-16,661.7803600011993
2009-06-17,645.8090912560216
2009-06-18,648.9413352438431
2009-06-19,658.7951217964625
2009-06-22,619.8378877808988
2009-06-23,621.2767916005489
2009-06-24,640.8233736909306
2009-06-25,630.23088129388
2009-06-26,642.2119092949499
2009-06-29,644.9790866573168
2009-06-30,639.6478025217018
2009-07-01,662.2994982788599
2009-07-02,641.8172530796052
2009-07-03,632.8294578075081
2009-07-06,620.9750811436998
2009-07-07,626.1020386323462
2009-07-08,619.5424064150203
2009-07-09,636.4027197713764
2009-07-10,624.8274254730286
2009-07-13,635.2942736477877
2009-07-14,665.224139031356
2009-07-15,693.3249137096924
2009-07-16,687.467128336715
2009-07-17,684.0716219164466
2009-07-20,718.141064732839
2009-07-21,730.5735990194195
2009-07-22,716.9708785994909
2009-07-23,741.5920122676906
2009-07-24,751.7524475827288
2009-07-27,756.439179176075
2009-07-28,744.1977433706271
2009-07-29,741.2740752478106
2009-07-30,769.9295133929163
2009-07-31,788.6490437100367
2009-08-03,825.8367864452657
2009-08-04,815.5161518136073
2009-08-05,799.4165655565818
2009-08-06,802.5927512656966
2009-08-07,800.4071574044167
2009-08-10,810.9655817312968
2009-08-11,779.5401058888822
2009-08-12,791.3978159586031
2009-08-13,819.5713552403803
2009-08-14,806.7283334859285
2009-08-17,769.2299083546914
2009-08-18,782.4080684377399
2009-08-19,789.5006840503708
2009-08-20,805.2132722258613
2009-08-21,831.1077463837292
2009-08-24,860.6943474581873
2009-08-25,874.303582644754
2009-08-26,844.1720914857411
2009-08-27,827.1882438071533
2009-08-28,849.70775401492
2009-08-31,843.1195329695022
2009-09-01,831.2025324401442
2009-09-02,791.6300387090696
2009-09-03,808.1200077035479
2009-09-04,814.1175918641469
2009-09-07,845.8204957112815
2009-09-08,862.1532095560505
2009-09-09,864.1997793641216
2009-09-10,850.5699032623543
2009-09-11,845.5432582773652
2009-09-14,832.1564917850964
2009-09-15,836.1019650755026
2009-09-16,865.8169638022487
2009-09-17,880.9012477441912
2009-09-18,873.0117856003405
2009-09-21,853.9203260619419
2009-09-22,893.4709544339637
2009-09-23,898.3225522911196
2009-09-24,887.8423708881555
2009-09-25,876.0457970004945
2009-09-28,881.6941051635835
2009-09-29,857.2204033683238
2009-09-30,858.1901706516933
2009-10-01,869.5533956492094
2009-10-02,846.7476959695905
2009-10-05,849.141375580305
2009-10-06,881.0685181458413
2009-10-07,856.7101173470905
2009-10-08,863.7030900751467
2009-10-09,862.2049235540796
2009-10-12,893.6042706295717
2009-10-13,889.8370992592887
2009-10-14,925.5800152505172
2009-10-15,920.2015340272729
2009-10-16,912.4434469863959
2009-10-19,933.2323845159291
2009-10-20,946.0341584245259
2009-10-21,953.8372021328523
2009-10-22,944.0725533088403
2009-10-23,966.268496717484
2009-10-26,953.9042866273155
2009-10-27,919.122186420326
2009-10-28,881.2532591445811
2009-10-29,901.2833877746787
2009-10-30,883.8038134841573
2009-11-02,879.6200474245932
2009-11-03,842.4606477273304
2009-11-04,875.3194493015718
2009-11-05,900.3196456783093
2009-11-06,888.8081514761668
2009-11-09,937.2598998248778
2009-11-10,946.2415333157654
2009-11-11,960.1796646622922
2009-11-12,960.386943341714
2009-11-13,949.3621154655668
2009-11-16,974.6022584445815
2009-11-17,964.6494752584447
2009-11-18,963.3199496235219
2009-11-19,929.9783798668262
2009-11-20,931.8847880641102
2009-11-23,966.4398367415164
2009-11-24,946.7839478118825
2009-11-25,952.9807700195024
2009-11-26,918.0438226284202
2009-11-27,918.2225246088764
2009-11-30,935.7778132742887
2009-12-01,955.8895373511517
2009-12-02,960.9101272587128
2009-12-03,966.9994965609784
2009-12-04,981.391921215852
2009-12-07,967.4595505765835
2009-12-08,924.3404472645044
2009-12-09,910.4379091450451
2009-12-10,911.7303224808174
2009-12-11,913.0337826944617
2009-12-14,918.0385890340901
2009-12-15,900.2330903201558
2009-12-16,908.9672024763076
2009-12-17,885.108816390965
2009-12-18,877.3476429660783
2009-12-21,890.0921677451666
2009-12-22,894.0362068668297
2009-12-23,904.0879272815438
2009-12-24,907.3001688373042
2009-12-25,907.3001688373042
2009-12-28,922.3498225372616
2009-12-29,938.2441288682516
2009-12-30,921.7924982803324
2009-12-31,924.6827917128937
2010-01-01,924.6827917128937
2010-01-04,953.9517631523562
2010-01-05,965.6458727497732
2010-01-06,967.0666346558002
2010-01-07,947.685097783628
2010-01-08,957.7409842840821
