Date,EM (EMERGING MARKETS) VALUE
2004-03-25,166.24163083476958
2004-03-26,167.28603266566097
2004-03-29,169.8257724450202
2004-03-30,171.06250545865478
2004-03-31,173.15965363675568
2004-04-01,174.1691128733714
2004-04-02,175.43330072882637
2004-04-05,176.56104083077065
2004-04-06,176.9097493883158
2004-04-07,177.52519103685034
2004-04-08,178.18220129983166
2004-04-09,177.60347585760758
2004-04-12,178.72584543177206
2004-04-13,177.66530967749324
2004-04-14,175.37748859993658
2004-04-15,174.1140536600316
2004-04-16,173.7154034214707
2004-04-19,173.4185587958645
2004-04-20,173.5292333966822
2004-04-21,171.5887063180496
2004-04-22,169.98877757945803
2004-04-23,171.68778176767682
2004-04-26,170.30189036945066
2004-04-27,169.2332041120381
2004-04-28,166.86984408027035
2004-04-29,162.187350904458
2004-04-30,159.37259290776996
2004-05-03,159.08013231478918
2004-05-04,161.8857703952637
2004-05-05,161.72954475768313
2004-05-06,159.4828320430936
2004-05-07,157.65762072077965
2004-05-10,150.24394809017883
2004-05-11,151.36600164388145
2004-05-12,153.21423254696236
2004-05-13,151.4172884440328
2004-05-14,148.28002081224403
2004-05-17,143.43982650709532
2004-05-18,145.82127059494374
2004-05-19,151.75764822729633
2004-05-20,149.85128828352623
2004-05-21,151.7411681748384
2004-05-24,153.06740079172437
2004-05-25,152.8688826169831
2004-05-26,154.17315840041746
2004-05-27,156.69481316191624
2004-05-28,156.83154214527536
2004-05-31,155.96114522968875
2004-06-01,156.1301480896635
2004-06-02,156.00032848888216
2004-06-03,152.90375683006792
2004-06-04,153.69497662898473
2004-06-07,158.17617071400554
2004-06-08,158.03269283089378
2004-06-09,156.85063270284152
2004-06-10,155.71062120222766
2004-06-11,153.46403303108468
2004-06-14,151.03419653805938
2004-06-15,152.4081440756891
2004-06-16,152.3834990978511
2004-06-17,153.71091617769773
2004-06-18,152.9415443984079
2004-06-21,153.7578482075794
2004-06-22,153.19496824409936
2004-06-23,154.10933162532552
2004-06-24,156.42449950905936
2004-06-25,157.6243940376598
2004-06-28,156.95639326404972
2004-06-29,156.86484253853516
2004-06-30,158.22822691434763
2004-07-01,158.91267380419725
2004-07-02,157.97781751314812
2004-07-05,157.79181629460314
2004-07-06,157.8960376517617
2004-07-07,159.13786756000997
2004-07-08,157.26108854223864
2004-07-09,157.77806414501092
2004-07-12,158.39468841653112
2004-07-13,158.3214778124774
2004-07-14,157.22956568632338
2004-07-15,156.97526062916342
2004-07-16,158.20480775281393
2004-07-19,159.1561369217561
2004-07-20,157.83516127679064
