Date,CHINA A QUALITY
2016-11-04,2497.4416470518354
2016-11-07,2502.8168310759706
2016-11-08,2517.8627461945425
2016-11-09,2519.3044350659584
2016-11-10,2555.3270698004444
2016-11-11,2551.9657682793722
2016-11-14,2563.6397170721584
2016-11-15,2564.477456683005
2016-11-16,2571.826842706895
2016-11-17,2572.1978619589545
2016-11-18,2573.9295433421853
2016-11-21,2556.8095357754787
2016-11-22,2569.6959920298323
2016-11-23,2586.90295273721
2016-11-24,2596.997250154443
2016-11-25,2599.5666834030003
2016-11-28,2611.136463929738
2016-11-29,2653.4057929457977
2016-11-30,2633.343035662368
2016-12-01,2643.9869732826937
2016-12-02,2605.5421694989273
2016-12-05,2563.0757282618565
2016-12-06,2584.614803485644
2016-12-07,2580.650415976135
2016-12-08,2624.256211115389
2016-12-09,2632.884927759189
2016-12-12,2532.0906847621436
2016-12-13,2532.0240438689207
2016-12-14,2502.0607911627394
2016-12-15,2521.00803210413
2016-12-16,2537.6043657491923
2016-12-19,2533.811524036447
2016-12-20,2531.3548407410926
2016-12-21,2532.188567901967
2016-12-22,2525.4051037298527
2016-12-23,2496.3623799637858
2016-12-26,2504.3199916263643
2016-12-27,2502.18897830541
2016-12-28,2507.755319440225
2016-12-29,2484.5474937395757
2016-12-30,2491.7659708729702
2017-01-02,2491.7659708729702
2017-01-03,2548.2108207621295
2017-01-04,2567.471597549965
2017-01-05,2552.0890320627113
2017-01-06,2524.534022294852
2017-01-09,2532.3918719325716
2017-01-10,2525.7758314947414
2017-01-11,2526.7898391105155
2017-01-12,2473.505231314282
2017-01-13,2471.4974148875563
2017-01-16,2473.8498262775065
2017-01-17,2480.535958420656
2017-01-18,2513.2900431384965
2017-01-19,2514.274960898339
2017-01-20,2520.6057534796196
2017-01-23,2515.71171455359
2017-01-24,2516.2643944199076
2017-01-25,2527.670473443549
2017-01-26,2550.2322696052242
2017-01-27,2541.4182399965757
2017-01-30,2544.8651172278874
2017-01-31,2517.54908561889
2017-02-01,2528.7808317021413
2017-02-02,2517.665568711733
2017-02-03,2517.5646609222404
2017-02-06,2542.840900601985
2017-02-07,2541.133922403114
2017-02-08,2548.0901628954352
2017-02-09,2573.148050110851
2017-02-10,2579.7845279612116
2017-02-13,2620.7664108053464
2017-02-14,2634.220102120666
2017-02-15,2610.7352138700435
2017-02-16,2610.758035003874
2017-02-17,2618.993537535084
2017-02-20,2673.789865712171
2017-02-21,2695.671002187687
2017-02-22,2718.4322444866348
2017-02-23,2706.9958095177453
2017-02-24,2704.644397924453
2017-02-27,2666.9213356139817
2017-02-28,2670.931377432959
2017-03-01,2693.7983939923806
2017-03-02,2693.3872326366036
2017-03-03,2697.2788614308074
2017-03-06,2704.298279654791
2017-03-07,2719.7606555823872
2017-03-08,2712.128040096146
2017-03-09,2689.3214931628295
2017-03-10,2697.059552299232
2017-03-13,2728.0570959942324
2017-03-14,2727.054564574381
2017-03-15,2746.1913290606985
2017-03-16,2722.1400671750894
2017-03-17,2695.141480710277
2017-03-20,2708.7785913627204
2017-03-21,2745.2137880982536
2017-03-22,2765.30618052125
2017-03-23,2773.855504862555
2017-03-24,2783.74508721401
2017-03-27,2744.4252291716552
2017-03-28,2740.9469992976565
2017-03-29,2777.060112548692
2017-03-30,2750.830922771952
2017-03-31,2795.320486708491
2017-04-03,2806.6041084807016
2017-04-04,2803.840407539217
2017-04-05,2825.524725228011
2017-04-06,2833.853553727834
2017-04-07,2841.6687108449537
