Date,ITALY IMI
2020-04-29,596.4774361218632
2020-04-30,586.0788074282987
2020-05-01,586.0788074282988
2020-05-04,566.2165349914537
2020-05-05,576.8598197308886
2020-05-06,569.3089237801483
2020-05-07,571.1863771692022
2020-05-08,577.90075557642
2020-05-11,576.5053651285657
2020-05-12,580.2529991192336
2020-05-13,569.7714080384696
2020-05-14,559.6558539015981
2020-05-15,560.0170669832497
2020-05-18,581.503791180481
2020-05-19,569.1164813210482
2020-05-20,574.7173285392646
2020-05-21,571.360048876027
2020-05-22,578.5766419719562
2020-05-25,588.5901669997635
2020-05-26,596.8343016664257
2020-05-27,600.7088000116474
2020-05-28,615.2526424517215
2020-05-29,611.2349225799479
2020-06-01,620.8973644587651
2020-06-02,635.3902357835551
2020-06-03,654.6314766108616
2020-06-04,655.5926222123694
2020-06-05,672.7953728248635
2020-06-08,675.6698309613957
2020-06-09,665.6485101650453
2020-06-10,659.6649254295653
2020-06-11,628.711698776928
2020-06-12,631.512353504871
2020-06-15,634.2353968513374
2020-06-16,655.2998370313782
2020-06-17,653.5786309831435
2020-06-18,650.1136168162382
2020-06-19,654.2615674495233
2020-06-22,651.9405761877038
2020-06-23,663.7977853369098
2020-06-24,641.7947928522583
2020-06-25,644.4775276060353
2020-06-26,641.4178551429567
2020-06-29,652.0053166311087
2020-06-30,648.5215626797635
2020-07-01,647.7758823676016
2020-07-02,666.2019301198113
2020-07-03,660.7582362320039
2020-07-06,669.974952256859
2020-07-07,669.416078186017
2020-07-08,667.1478903297335
2020-07-09,653.7436176180214
2020-07-10,660.7889771937811
2020-07-13,668.1817988786157
2020-07-14,664.7978622733659
2020-07-15,677.4657492478738
2020-07-16,680.3505510190993
2020-07-17,682.1232539090946
2020-07-20,689.1362143603476
2020-07-21,693.0875067985014
2020-07-22,688.7946885138225
2020-07-23,684.0754725044668
2020-07-24,671.6617194575387
2020-07-27,668.8786884400308
2020-07-28,666.672633389669
2020-07-29,667.013024497225
2020-07-30,646.9818724793928
2020-07-31,642.9440751446378
2020-08-03,651.9270242476535
2020-08-04,660.0579458825786
2020-08-05,664.70661283755
2020-08-06,655.9300357451046
2020-08-07,657.389564959701
2020-08-10,662.3159527727988
2020-08-11,679.0953281728355
2020-08-12,686.2097807482752
2020-08-13,680.836323636366
2020-08-14,673.6824957113331
2020-08-17,670.2936854992804
2020-08-18,667.3484399114745
2020-08-19,674.2374589470577
2020-08-20,665.0512753979094
2020-08-21,662.6579223340674
2020-08-24,675.6232407120073
2020-08-25,672.0460300330122
2020-08-26,674.754630114632
2020-08-27,665.5012369488225
2020-08-28,665.9773843952044
2020-08-31,659.6297014098448
2020-09-01,657.2225942967805
2020-09-02,665.6918187411986
2020-09-03,658.0961421917895
2020-09-04,652.9773428294434
2020-09-07,664.5419892410408
2020-09-08,653.8776943298765
2020-09-09,665.1015740132652
2020-09-10,665.8530443489045
2020-09-11,666.0771541823353
2020-09-14,663.659418923999
2020-09-15,668.6790727190954
2020-09-16,668.4521112834956
2020-09-17,661.6789702954446
2020-09-18,655.0067755252358
2020-09-21,631.9453169817501
2020-09-22,635.2036098052112
2020-09-23,636.9631878331716
2020-09-24,635.2893600573542
2020-09-25,629.3837011586171
2020-09-28,643.7655759004184
2020-09-29,639.8469462625097
2020-09-30,638.376613030423
2020-10-01,637.8352134444534
2020-10-02,638.1889170062087
2020-10-05,644.0817045426329
2020-10-06,649.3557687706726
2020-10-07,649.6239019615008
2020-10-08,654.0160275678094
2020-10-09,653.2184518781781
2020-10-12,657.0043782284961
2020-10-13,651.5976213225102
2020-10-14,653.8293905731814
2020-10-15,635.3122737007474
2020-10-16,645.5898398517913
2020-10-19,644.6375664859886
2020-10-20,648.9513823131418
2020-10-21,636.3635205484218
2020-10-22,635.7284203488412
2020-10-23,642.3506222119514
2020-10-26,630.9959945422725
2020-10-27,622.0640377583475
2020-10-28,596.5680310962609
2020-10-29,594.7262119939397
2020-10-30,597.5401801138546
2020-11-02,612.2005622556095
2020-11-03,630.7725244197566
2020-11-04,642.9633497846415
2020-11-05,655.2389703390128
2020-11-06,653.4945524468321
2020-11-09,687.6320054550225
2020-11-10,693.5822421484717
2020-11-11,698.7233826469137
2020-11-12,693.1117251095397
2020-11-13,695.481954941569
2020-11-16,709.0659534851554
2020-11-17,713.0211529757072
2020-11-18,718.8483966160179
2020-11-19,715.6842175412849
