Date,SWEDEN IMI
2012-08-22,994.7240299009339
2012-08-23,988.8126279378976
2012-08-24,996.7473174368158
2012-08-27,1003.6177984685904
2012-08-28,978.2843376319674
2012-08-29,974.0081181674138
2012-08-30,966.9723188572739
2012-08-31,974.2633372258455
2012-09-03,969.6292322624251
2012-09-04,957.3697043244364
2012-09-05,955.9490912247467
2012-09-06,967.8799169438762
2012-09-07,987.0257289650157
2012-09-10,982.2538617571823
2012-09-11,987.2902614614576
2012-09-12,997.2768567742582
2012-09-13,989.3473388628711
2012-09-14,1007.9525099703143
2012-09-17,999.5498520766156
2012-09-18,998.7178187436764
2012-09-19,1013.8997219805548
2012-09-20,1010.4164595057517
2012-09-21,1004.2937269472126
2012-09-24,1006.0830269913478
2012-09-25,1013.3992481727583
2012-09-26,994.9196491902009
2012-09-27,1003.8010019375442
2012-09-28,992.7300477901553
2012-10-01,1000.194168045715
2012-10-02,991.5357330833859
2012-10-03,977.5079422950846
2012-10-04,983.4698152357
2012-10-05,993.6323870327672
2012-10-08,980.9953766879522
2012-10-09,974.217211874815
2012-10-10,961.667504026146
2012-10-11,960.7840652773989
2012-10-12,954.5723252911233
2012-10-15,962.0385059092322
2012-10-16,968.0084949142024
2012-10-17,971.3370006514467
2012-10-18,985.5529991129027
2012-10-19,971.6376691738924
2012-10-22,969.2709807128299
2012-10-23,949.6665423824883
2012-10-24,947.5867594957059
2012-10-25,953.3591861481251
2012-10-26,958.858667589973
2012-10-29,962.2732160681082
2012-10-30,967.2709831321043
2012-10-31,962.011218887793
2012-11-01,970.107262895966
2012-11-02,978.144914249252
2012-11-05,978.0883281203879
2012-11-06,983.4655836175218
2012-11-07,972.3389044096908
2012-11-08,972.8352349245822
2012-11-09,965.8679808419403
2012-11-12,963.7662590126148
2012-11-13,959.4386096128671
2012-11-14,955.9440870755825
2012-11-15,943.3935128626554
2012-11-16,933.5787356592715
2012-11-19,956.5721701332133
2012-11-20,955.7617032978544
2012-11-21,960.1104695244238
2012-11-22,969.2569515645762
2012-11-23,980.3574553411623
2012-11-26,979.9724293872168
2012-11-27,976.2736407681969
2012-11-28,976.4718010393327
2012-11-29,985.4670172845863
2012-11-30,986.8940856132457
2012-12-03,990.037194642822
2012-12-04,993.346332001318
2012-12-05,996.069576917641
2012-12-06,1004.0041925770249
2012-12-07,1003.5691142073276
2012-12-10,1005.7799757808285
2012-12-11,1012.0270850731165
2012-12-12,1002.4174738153843
2012-12-13,985.5172071130834
2012-12-14,987.2570132799256
2012-12-17,992.3235326382048
2012-12-18,1000.2962392543222
2012-12-19,1008.8843221491386
2012-12-20,1014.2737026667733
2012-12-21,1014.0812327184292
2012-12-24,1011.1818358097308
2012-12-25,1011.1818358097308
2012-12-26,1012.7566454273131
2012-12-27,1015.7428222855821
2012-12-28,1012.8686499868081
2012-12-31,1016.5465050903464
2013-01-01,1016.5465050903464
2013-01-02,1041.5850092398812
2013-01-03,1044.2555688125465
2013-01-04,1048.9391361211888
2013-01-07,1046.0546037916333
2013-01-08,1036.4036831819333
2013-01-09,1037.079236305983
2013-01-10,1035.5662039735305
2013-01-11,1032.2526723513515
2013-01-14,1033.8137095621182
2013-01-15,1027.0690903081236
2013-01-16,1031.0058269198364
2013-01-17,1033.097971746009
2013-01-18,1031.7092918988183
2013-01-21,1038.6653001390525
2013-01-22,1036.5336397813617
2013-01-23,1037.1045496437423
2013-01-24,1042.8515204106247
2013-01-25,1052.4906354787804
2013-01-28,1061.3792014505152
2013-01-29,1065.5286977218107
2013-01-30,1072.5223025899568
2013-01-31,1066.3406170599824
2013-02-01,1079.3351450438338
2013-02-04,1073.255211218961
2013-02-05,1081.3731288710744
2013-02-06,1081.2608169306334
2013-02-07,1071.254273566198
2013-02-08,1081.8886971154643
2013-02-11,1082.798231682273
2013-02-12,1088.88731020348
2013-02-13,1112.3440314586876
2013-02-14,1112.523538360146
2013-02-15,1113.269936302828
2013-02-18,1111.3050540553327
2013-02-19,1123.7257703397872
2013-02-20,1133.5955257019607
2013-02-21,1113.7001813911188
2013-02-22,1125.9098801095868
2013-02-25,1121.3319895178472
2013-02-26,1107.8196035997792
2013-02-27,1120.2442497648062
2013-02-28,1128.5208396315852
2013-03-01,1133.405945143671
2013-03-04,1137.6053905060855
2013-03-05,1156.8620827447019
2013-03-06,1149.2474639170046
2013-03-07,1153.0652160773172
2013-03-08,1156.9765238681703
2013-03-11,1157.3705554986634
2013-03-12,1154.208877005796
2013-03-13,1151.7205656630308
2013-03-14,1156.3187664946502
2013-03-15,1155.7111560065907
2013-03-18,1150.6970272833732
2013-03-19,1138.6490041627462
2013-03-20,1138.482521084105
2013-03-21,1127.4441882372241
2013-03-22,1128.304743058206
2013-03-25,1131.6850492332887
2013-03-26,1137.8330217451198
2013-03-27,1141.6458430171494
2013-03-28,1146.3483915896393
2013-03-29,1146.3483915896393
2013-04-01,1144.8445899689775
2013-04-02,1158.9720190169787
2013-04-03,1148.4575604474437
2013-04-04,1122.3540987064794
2013-04-05,1112.5655673710419
2013-04-08,1116.4671751880478
2013-04-09,1123.8287257025297
2013-04-10,1144.4382326900502
2013-04-11,1151.749243108549
2013-04-12,1140.0500006417492
2013-04-15,1130.3488386069337
2013-04-16,1117.7832454680015
2013-04-17,1085.2165450790837
2013-04-18,1078.1243578543445
2013-04-19,1077.8012036770776
2013-04-22,1078.5948655669235
2013-04-23,1091.4557173818848
2013-04-24,1099.345041354443
2013-04-25,1118.6648266956602
2013-04-26,1124.0432711190822
2013-04-29,1127.0473498708232
2013-04-30,1136.4086801878552
2013-05-01,1136.590385200348
2013-05-02,1132.6612931562397
2013-05-03,1141.6328127363804
2013-05-06,1144.4964304516861
2013-05-07,1147.0118922202491
2013-05-08,1157.3776485323765
2013-05-09,1159.1283325603188
2013-05-10,1162.198553303798
2013-05-13,1159.2535797511907
2013-05-14,1155.4032595690148
2013-05-15,1164.8597377264641
2013-05-16,1167.9826540710608
2013-05-17,1172.6978003407712
2013-05-20,1175.9234613561666
2013-05-21,1180.9215852375228
2013-05-22,1189.6555790930806
2013-05-23,1153.1812239404258
2013-05-24,1148.3468747629072
2013-05-27,1162.2130291072983
2013-05-28,1171.9598877158692
2013-05-29,1151.749596586632
2013-05-30,1160.855290086767
2013-05-31,1144.9368938206296
2013-06-03,1147.1193396150002
2013-06-04,1142.6586546862516
2013-06-05,1115.2129099396702
2013-06-06,1110.2213251817993
2013-06-07,1114.1628064269862
2013-06-10,1110.7048054701613
2013-06-11,1100.0121619938488
2013-06-12,1102.7112367372818
2013-06-13,1100.5009895859187
2013-06-14,1116.027610272517
2013-06-17,1121.0218483129772
2013-06-18,1118.9655531898463
2013-06-19,1117.478700425826
2013-06-20,1067.1094080826613
2013-06-21,1057.444541612918
2013-06-24,1020.0639165882276
2013-06-25,1045.0430276447562
2013-06-26,1065.2531512047676
2013-06-27,1072.6702169811474
2013-06-28,1067.1404601630063
2013-07-01,1089.1758196895823
2013-07-02,1086.7975542435527
2013-07-03,1080.6631630883246
2013-07-04,1109.6304792219487
2013-07-05,1089.8342312300404
2013-07-08,1102.3132402228277
2013-07-09,1116.6649972831997
2013-07-10,1120.517194638222
2013-07-11,1131.513170537779
2013-07-12,1131.7505790851412
2013-07-15,1134.8584773541402
2013-07-16,1144.6239032648875
2013-07-17,1147.4430362265002
2013-07-18,1149.4089610109525
2013-07-19,1157.7174398813788
2013-07-22,1157.680923822793
2013-07-23,1164.2920519204538
2013-07-24,1168.3401058740376
2013-07-25,1167.0311444681363
2013-07-26,1166.639613616648
2013-07-29,1166.1962433329384
2013-07-30,1160.780515965437
2013-07-31,1159.7090008209639
2013-08-01,1166.8743745070074
2013-08-02,1161.3899463786586
2013-08-05,1168.30103495443
2013-08-06,1162.6084952890844
2013-08-07,1163.0901738578482
2013-08-08,1173.161936784453
2013-08-09,1178.2993986411677
2013-08-12,1177.4085425637925
2013-08-13,1183.9428936524034
2013-08-14,1193.8041160286011
2013-08-15,1171.7786087666125
2013-08-16,1179.5599432564932
2013-08-19,1178.2350894201847
2013-08-20,1171.4769061807597
2013-08-21,1142.2912710602545
2013-08-22,1163.6039617663737
2013-08-23,1168.7523089877607
2013-08-26,1168.946101737045
2013-08-27,1152.2847581827841
2013-08-28,1146.5607495507938
2013-08-29,1147.394102081001
2013-08-30,1135.9271322910781
2013-09-02,1158.212224182926
2013-09-03,1166.1302807461245
2013-09-04,1170.1094972337942
2013-09-05,1166.661624001576
2013-09-06,1173.745473901323
2013-09-09,1178.5072889766695
2013-09-10,1199.7641538289038
2013-09-11,1203.7590362288474
2013-09-12,1200.7407145833006
2013-09-13,1195.7794755880136
2013-09-16,1212.0022967299594
2013-09-17,1211.769066311126
2013-09-18,1214.5771364953143
2013-09-19,1233.5514504639596
2013-09-20,1225.8541043119596
2013-09-23,1215.5731922173418
2013-09-24,1218.2673469940285
2013-09-25,1197.545022715644
2013-09-26,1206.0066614358632
2013-09-27,1196.3384923185308
2013-09-30,1186.7190353871374
2013-10-01,1206.9094305688645
2013-10-02,1194.2575193979192
2013-10-03,1191.640267154985
2013-10-04,1178.6477656691675
2013-10-07,1171.9708721888403
2013-10-08,1166.6467832715948
2013-10-09,1156.9529167871783
2013-10-10,1171.4130964601977
2013-10-11,1179.50067770703
2013-10-14,1172.35525100961
2013-10-15,1178.5466485964148
2013-10-16,1179.0479141517176
2013-10-17,1182.590286851816
2013-10-18,1192.303198549758
2013-10-21,1204.9036747218895
2013-10-22,1210.4706892287977
2013-10-23,1200.6946011979305
2013-10-24,1205.9280792261357
2013-10-25,1205.604774960556
2013-10-28,1201.3915472067463
2013-10-29,1196.3950670308932
2013-10-30,1196.7287240738358
2013-10-31,1186.863999045933
2013-11-01,1179.9795928356066
2013-11-04,1187.886064028129
2013-11-05,1181.6944862890862
2013-11-06,1192.3649610966834
2013-11-07,1200.9675963465256
2013-11-08,1188.9474608200671
2013-11-11,1196.4681956646173
2013-11-12,1173.9787846585089
2013-11-13,1161.9125540888679
2013-11-14,1173.5873453756324
2013-11-15,1179.1476649962015
2013-11-18,1194.3962491269165
2013-11-19,1184.3150127937404
2013-11-20,1185.640509131548
2013-11-21,1175.7360900313006
2013-11-22,1188.337709007612
2013-11-25,1197.9517111033658
2013-11-26,1194.2616468253423
2013-11-27,1199.149116338917
2013-11-28,1204.5271902566913
2013-11-29,1199.8167588249023
2013-12-02,1200.27759548205
2013-12-03,1181.6878346529443
2013-12-04,1182.6016785671784
2013-12-05,1168.7434823403723
2013-12-06,1167.466653817208
2013-12-09,1167.3414303255793
2013-12-10,1153.892373586222
2013-12-11,1147.2606906908147
2013-12-12,1131.6474751922658
2013-12-13,1135.2680868490884
2013-12-16,1146.8331224994677
2013-12-17,1143.908075716865
2013-12-18,1159.2967405561192
2013-12-19,1180.966304396841
2013-12-20,1192.3074031620768
2013-12-23,1202.463302416079
2013-12-24,1201.3979910697471
2013-12-25,1201.3979910697471
2013-12-26,1203.885802157287
2013-12-27,1216.5968497881377
2013-12-30,1226.6989273072488
2013-12-31,1230.484937152441
2014-01-01,1230.484937152441
2014-01-02,1221.9578799136514
2014-01-03,1223.6513630880552
2014-01-06,1220.1507159988878
2014-01-07,1224.7346258649482
2014-01-08,1218.8516659958918
2014-01-09,1218.7629226429083
2014-01-10,1231.8532090836914
2014-01-13,1232.3552343107383
2014-01-14,1237.649123912095
2014-01-15,1253.8069398292507
2014-01-16,1256.2748445857449
2014-01-17,1265.8356281077483
2014-01-20,1259.5159057316869
2014-01-21,1256.944956670779
2014-01-22,1265.2157990787819
2014-01-23,1248.5815233300991
2014-01-24,1224.5895233956196
2014-01-27,1224.36409959873
2014-01-28,1229.186155567453
2014-01-29,1216.2150456759516
2014-01-30,1208.4251104930424
2014-01-31,1211.338043592752
2014-02-03,1194.2812491273417
2014-02-04,1192.2976757511046
2014-02-05,1198.0259564362748
2014-02-06,1215.961387780991
2014-02-07,1218.304344704313
2014-02-10,1222.6901349905972
2014-02-11,1247.8881316579807
2014-02-12,1247.9635632744591
2014-02-13,1237.7292163284067
2014-02-14,1241.3212416568604
2014-02-17,1245.8216439451837
2014-02-18,1226.140367952414
2014-02-19,1234.2186122168766
2014-02-20,1229.8002623713392
2014-02-21,1233.6681496084884
2014-02-24,1261.4543547166
2014-02-25,1263.0611934303452
2014-02-26,1265.5988675602168
2014-02-27,1258.364573488694
2014-02-28,1272.8065213272703
2014-03-03,1234.146954843374
2014-03-04,1262.5083095562525
2014-03-05,1267.0936073605358
2014-03-06,1272.4322125127312
2014-03-07,1258.7740091072808
2014-03-10,1259.1555924049478
2014-03-11,1262.9144921305822
2014-03-12,1248.781046273713
2014-03-13,1241.4378447455035
2014-03-14,1228.8639269921189
2014-03-17,1255.160592679364
2014-03-18,1267.0473858032142
2014-03-19,1264.671623193654
2014-03-20,1260.0702109484473
2014-03-21,1256.2868905711205
2014-03-24,1241.5683642377787
2014-03-25,1257.403217547603
2014-03-26,1254.312003753357
2014-03-27,1249.6615253268149
2014-03-28,1249.375882851663
2014-03-31,1268.9436845358457
2014-04-01,1283.4437781689785
2014-04-02,1283.0318962180977
2014-04-03,1273.1699864060051
2014-04-04,1276.8510255185597
2014-04-07,1263.7433316962731
2014-04-08,1267.7291236107985
2014-04-09,1270.52648423058
2014-04-10,1250.1786937213956
2014-04-11,1238.767189158628
2014-04-14,1242.6638626852214
2014-04-15,1223.5545345432606
2014-04-16,1232.5876290839344
2014-04-17,1232.0355937497152
2014-04-18,1232.0355937497152
2014-04-21,1230.2816523817426
2014-04-22,1260.3156671727984
2014-04-23,1246.402409737207
2014-04-24,1256.749375452509
2014-04-25,1250.2122111791584
2014-04-28,1252.5821571251586
2014-04-29,1265.4681122326356
2014-04-30,1268.9997771015014
2014-05-01,1271.8686978857577
2014-05-02,1268.1513420880192
2014-05-05,1258.5834247379794
2014-05-06,1259.1707901726456
2014-05-07,1254.9502074260552
2014-05-08,1272.8532780718494
2014-05-09,1270.6332156886015
2014-05-12,1282.9976154475298
2014-05-13,1297.5113965264036
2014-05-14,1297.7042685415754
2014-05-15,1302.0033736295936
2014-05-16,1296.0628601023527
2014-05-19,1293.0680414961562
2014-05-20,1296.520107261598
2014-05-21,1303.6385744866836
