Date,USA VALUE
2011-03-29,109.07137933308356
2011-03-30,109.78527649524236
2011-03-31,108.79130530755963
2011-04-01,109.7427425416918
2011-04-04,109.15829411114326
2011-04-05,109.40043752002464
2011-04-06,108.73612674069913
2011-04-07,108.9652423261219
2011-04-08,107.5517819277736
2011-04-11,107.09846170927119
2011-04-12,105.88194740979937
2011-04-13,105.55782666760076
2011-04-14,105.91631109281793
2011-04-15,106.80299995969136
2011-04-18,107.05241069105394
2011-04-19,106.83248422019103
2011-04-20,106.61807677124746
2011-04-21,106.52223949248831
2011-04-22,106.52223949248831
2011-04-25,106.48724068564272
2011-04-26,107.08878873512418
2011-04-27,107.74392419754656
2011-04-28,106.90648140287543
2011-04-29,107.15349578506077
2011-05-02,106.566885027807
2011-05-03,106.66055371990613
2011-05-04,105.63292699622997
2011-05-05,106.40310103429321
2011-05-06,107.56596936231097
2011-05-09,109.7289359608206
2011-05-10,109.91322412800587
2011-05-11,109.18465587835077
2011-05-12,110.39262614371575
2011-05-13,109.50337954261576
2011-05-16,108.85177100584984
2011-05-17,109.45419733946669
2011-05-18,109.71867578049866
2011-05-19,109.86076480339793
2011-05-20,109.64969481929002
2011-05-23,109.39621198691509
2011-05-24,108.73819377254262
2011-05-25,109.2520667478921
2011-05-26,109.2828258685584
2011-05-27,108.60107139572672
2011-05-30,108.52116450741481
2011-05-31,108.82729420046996
2011-06-01,105.9398584054017
2011-06-02,105.61777252697921
2011-06-03,103.79092883454577
2011-06-06,102.36149205298896
2011-06-07,101.70714851224446
2011-06-08,101.94287056874818
2011-06-09,103.4764643086324
2011-06-10,103.27696629833508
2011-06-13,103.49004794124785
2011-06-14,103.83772634168298
2011-06-15,103.31309237719387
2011-06-16,104.82668937569018
2011-06-17,104.06787934360963
2011-06-20,104.51571889032653
2011-06-21,105.2275405990053
2011-06-22,104.12125262999437
2011-06-23,105.6055441899034
2011-06-24,104.3148151813847
2011-06-27,104.32331987161513
2011-06-28,104.75458360130057
2011-06-29,105.47706501677335
2011-06-30,105.69249892971528
2011-07-01,107.31157535000214
2011-07-04,107.09343233230469
2011-07-05,107.02036358599305
2011-07-06,108.10336783817954
2011-07-07,108.65421543866823
2011-07-08,108.65916368182914
2011-07-11,108.79365576830284
2011-07-12,108.44084816062625
2011-07-13,107.37555761808487
2011-07-14,106.89624784651056
2011-07-15,107.27134037918532
2011-07-18,106.97494852824263
2011-07-19,106.9971431196081
2011-07-20,107.13376728810701
2011-07-21,107.46119656167815
2011-07-22,107.41177034689811
2011-07-25,106.8915448957049
2011-07-26,105.37709480887044
2011-07-27,104.17495930773133
2011-07-28,104.22439327107405
2011-07-29,102.9393624801468
2011-08-01,103.83686858152657
2011-08-02,101.14910268770156
2011-08-03,100.91644332970132
2011-08-04,97.14963997470443
2011-08-05,96.82226412465764
2011-08-08,90.14036559997432
2011-08-09,94.25346365693676
2011-08-10,90.15870314990003
2011-08-11,93.8745464431764
2011-08-12,94.3309330076216
2011-08-15,95.29180972338825
2011-08-16,94.67921221794892
2011-08-17,94.69095055840992
2011-08-18,91.74052597997532
2011-08-19,89.84847926637978
2011-08-22,89.92261699896906
2011-08-23,92.59338790454494
2011-08-24,93.86882527215505
2011-08-25,92.89886483919497
2011-08-26,93.80154691475123
2011-08-29,95.42784921906548
2011-08-30,96.1517841525405
2011-08-31,96.96250023454152
2011-09-01,96.71569420498979
2011-09-02,94.47080617251652
2011-09-05,95.1168118978317
2011-09-06,94.6322268451938
2011-09-07,97.49825855391036
2011-09-08,96.57085165025633
2011-09-09,96.06144327900846
2011-09-12,97.47657620494144
2011-09-13,97.74926283915269
2011-09-14,98.92398006181581
2011-09-15,99.4347091693614
2011-09-16,100.39443931883955
2011-09-19,100.27616064529848
2011-09-20,99.51198798459191
2011-09-21,96.45875344315445
2011-09-22,95.04435111693383
2011-09-23,95.28870201901732
2011-09-26,98.0257359061193
2011-09-27,97.93164770487179
2011-09-28,96.23731857927501
2011-09-29,97.44360319260197
2011-09-30,96.86119901498435
2011-10-03,94.88397510941755
2011-10-04,96.94502334023385
2011-10-05,98.27638220634427
2011-10-06,99.29910300749853
2011-10-07,97.73496976616077
2011-10-10,99.87200431084918
2011-10-11,99.81212366918375
2011-10-12,99.88764661094564
2011-10-13,99.82502222875269
2011-10-14,100.12073971041265
