Date,THAILAND ESG LEADERS
2020-02-21,2271.285805894611
2020-02-24,2168.5121573328975
2020-02-25,2177.087430792273
2020-02-26,2048.2556862434385
2020-02-27,2095.413706304994
2020-02-28,2028.48024185743
2020-03-02,2012.7586617031488
2020-03-03,2067.797033616158
2020-03-04,2091.6973312471127
2020-03-05,2091.2412928066747
2020-03-06,2031.7878572056732
2020-03-09,1867.7599554050187
2020-03-10,1914.5970928834886
2020-03-11,1890.5715230742132
2020-03-12,1719.1795488764214
2020-03-13,1747.1035762517902
2020-03-16,1579.6695134480865
2020-03-17,1582.713561965211
2020-03-18,1622.3924149910754
2020-03-19,1636.694862344884
2020-03-20,1765.8651602770744
2020-03-23,1564.329388725907
2020-03-24,1582.6540792960955
2020-03-25,1653.270834643561
2020-03-26,1652.1352233950051
2020-03-27,1667.542017520061
2020-03-30,1646.353693259294
2020-03-31,1700.4673293295164
2020-04-01,1668.2004362997338
2020-04-02,1714.7690080839673
2020-04-03,1709.4661140138655
2020-04-06,1711.8440053951617
2020-04-07,1829.8192018805862
2020-04-08,1819.9399928286357
2020-04-09,1817.6167762313228
2020-04-10,1842.6677076888727
2020-04-13,1862.3097249269517
2020-04-14,1884.165085513123
2020-04-15,1866.1078204974524
2020-04-16,1826.6038588437714
2020-04-17,1893.1028236959844
2020-04-20,1934.5487227632484
2020-04-21,1914.5706600113015
2020-04-22,1949.5747983484825
2020-04-23,1956.0332878092074
2020-04-24,1921.5296372795851
2020-04-27,1938.096373854551
2020-04-28,1956.8114780596848
2020-04-29,1960.375871963893
2020-04-30,1978.7088035458833
2020-05-01,1968.73302677368
2020-05-04,1985.3247400941739
2020-05-05,1961.9003094953302
2020-05-06,1969.7133878290463
2020-05-07,1938.2945522196774
2020-05-08,1942.591209071108
2020-05-11,1997.0081376624757
2020-05-12,2000.9525250668833
2020-05-13,1996.3618846227052
2020-05-14,1974.2452354902662
2020-05-15,1966.3948436191788
2020-05-18,1972.5844134246524
2020-05-19,2008.5897450705033
2020-05-20,2022.6552838444604
2020-05-21,2024.2183546170577
2020-05-22,2001.6032462158578
