Date,FINLAND SMALL VALUE
2018-12-12,1125.7154577218032
2018-12-13,1113.8487558537706
2018-12-14,1092.8359204254687
2018-12-17,1087.772405691113
2018-12-18,1076.4162755865423
2018-12-19,1092.1943208676641
2018-12-20,1073.4804811727147
2018-12-21,1068.1728263388832
2018-12-24,1068.1728263388832
2018-12-25,1068.1728263388832
2018-12-26,1067.6112950857153
2018-12-27,1042.0713852953345
2018-12-28,1059.3460356216767
2018-12-31,1059.068101465669
2019-01-01,1059.068101465669
2019-01-02,1072.691487050339
2019-01-03,1079.0115293414617
2019-01-04,1111.4734695199495
2019-01-07,1125.5088403331488
2019-01-08,1138.1998594412407
2019-01-09,1158.4646185021763
2019-01-10,1153.6440778228025
2019-01-11,1146.8882847648654
2019-01-14,1140.5495838747586
2019-01-15,1135.0189845713094
2019-01-16,1149.1825850804566
2019-01-17,1155.9322206022734
2019-01-18,1165.6821244684656
2019-01-21,1160.393431373041
2019-01-22,1151.5266142056253
2019-01-23,1150.1866277220406
2019-01-24,1157.2576660722136
2019-01-25,1173.9014518552535
2019-01-28,1170.32532620487
2019-01-29,1167.8008376169707
2019-01-30,1167.972912731345
2019-01-31,1162.607673378395
2019-02-01,1166.0651220920292
2019-02-04,1151.2231781058322
2019-02-05,1166.7712955169713
2019-02-06,1180.9891210575522
2019-02-07,1152.955156108855
2019-02-08,1141.7267833371484
2019-02-11,1159.2045281637425
2019-02-12,1149.9929788332852
2019-02-13,1144.1289036573712
2019-02-14,1142.805842655498
2019-02-15,1143.4175021894264
2019-02-18,1162.737151271159
2019-02-19,1159.461428202943
2019-02-20,1170.1044230367734
2019-02-21,1164.810818413421
2019-02-22,1164.4703011219792
2019-02-25,1172.4999472059628
2019-02-26,1184.2225953333318
2019-02-27,1190.5223604228142
2019-02-28,1183.8826098679594
2019-03-01,1206.4295666779901
2019-03-04,1208.232791037105
2019-03-05,1198.6567559842256
2019-03-06,1195.9145783043969
2019-03-07,1171.8205660957208
2019-03-08,1160.0852252638633
2019-03-11,1169.8258538266086
2019-03-12,1188.5355649167238
2019-03-13,1202.0759108186126
2019-03-14,1216.7197428102236
2019-03-15,1225.6833672479997
2019-03-18,1233.8350751202827
2019-03-19,1248.8257319071483
2019-03-20,1236.254065247239
2019-03-21,1234.4006212369386
2019-03-22,1206.2856832947336
2019-03-25,1194.3168557569222
2019-03-26,1192.1282799599333
2019-03-27,1197.2166371565588
2019-03-28,1194.063579526702
2019-03-29,1200.9974964212493
2019-04-01,1229.601305194276
