Date,AC FAR EAST ex JAPAN VALUE WEIGHTED
2001-02-09,1559.7378993543543
2001-02-12,1552.0223046887304
2001-02-13,1585.6526805597055
2001-02-14,1592.347345294337
2001-02-15,1621.4025754061884
2001-02-16,1596.6604914866853
2001-02-19,1577.1153310506643
2001-02-20,1624.5213625244435
2001-02-21,1601.6423407961302
2001-02-22,1588.0563030491905
2001-02-23,1590.3619404045755
2001-02-26,1598.0416534536996
2001-02-27,1569.5203110940356
2001-02-28,1562.1969198042116
2001-03-01,1514.516341230031
2001-03-02,1481.1541670088689
2001-03-05,1497.6733401605122
2001-03-06,1511.0639396038507
2001-03-07,1511.7369060862893
2001-03-08,1508.0901558742694
2001-03-09,1493.4720222024698
2001-03-12,1446.224899074032
2001-03-13,1430.7623119645718
2001-03-14,1444.1273375531405
2001-03-15,1456.1918949572303
2001-03-16,1465.8623621714903
2001-03-19,1453.4855752096562
2001-03-20,1430.7641624734658
2001-03-21,1429.4614496276295
2001-03-22,1423.8286451081751
2001-03-23,1433.9033765166362
2001-03-26,1454.0848864698726
2001-03-27,1426.9930825021954
2001-03-28,1438.0826325880705
2001-03-29,1430.985344942995
2001-03-30,1429.717245814766
2001-04-02,1409.9295696478055
2001-04-03,1381.9866870777441
2001-04-04,1317.8123226429393
2001-04-05,1331.060377353944
2001-04-06,1343.592565827202
2001-04-09,1309.3910429906625
2001-04-10,1321.9526495595576
2001-04-11,1366.2978756651603
2001-04-12,1367.9514340455626
2001-04-13,1371.9392094742534
2001-04-16,1372.8886080741622
2001-04-17,1368.5951846409775
2001-04-18,1428.2839628990105
2001-04-19,1447.9522184446776
2001-04-20,1411.6670029333984
2001-04-23,1421.8806735966928
2001-04-24,1424.3045365472947
2001-04-25,1419.5835920981033
2001-04-26,1405.7666848972535
2001-04-27,1415.300978367094
2001-04-30,1446.396996040248
2001-05-01,1439.9394204358591
2001-05-02,1461.9142718072687
2001-05-03,1464.3690564070691
2001-05-04,1445.7428500698525
2001-05-07,1468.9069824189285
2001-05-08,1467.2088878764598
2001-05-09,1465.4590116778534
2001-05-10,1467.0224572918592
2001-05-11,1496.05477294735
2001-05-14,1483.3755064416266
2001-05-15,1474.1722927877295
2001-05-16,1457.5763987424805
2001-05-17,1499.681907809151
2001-05-18,1504.5198672121476
2001-05-21,1525.5918490862516
2001-05-22,1550.6673594715319
2001-05-23,1586.5432615008417
2001-05-24,1594.281030518213
2001-05-25,1585.9748093923877
2001-05-28,1568.5591974929944
2001-05-29,1590.7872227385492
2001-05-30,1574.2341197645474
2001-05-31,1574.650415092332
2001-06-01,1567.190795623353
2001-06-04,1573.2338746909484
2001-06-05,1576.5532118803364
2001-06-06,1585.897870949224
2001-06-07,1584.545833000974
2001-06-08,1612.8551208411966
2001-06-11,1612.2938068811684
2001-06-12,1591.1020319390398
2001-06-13,1585.5126465013843
2001-06-14,1555.527429859408
2001-06-15,1546.122933389748
2001-06-18,1532.514813067199
