Date,AC ASIA PACIFIC ex JAPAN VALUE WEIGHTED
2014-01-27,1022.5093014433085
2014-01-28,1023.0462747200648
2014-01-29,1035.273977745973
2014-01-30,1036.824573790153
2014-01-31,1042.3948630075556
2014-02-03,1034.6211534943727
2014-02-04,1019.6102642608482
2014-02-05,1015.3160868086225
2014-02-06,1019.3450004510474
2014-02-07,1027.6399807481873
2014-02-10,1027.2886954287444
2014-02-11,1037.2709389904257
2014-02-12,1055.8642158034622
2014-02-13,1042.2714275060996
2014-02-14,1049.6861122215564
2014-02-17,1057.5560761748482
2014-02-18,1052.7277078941956
2014-02-19,1054.4393308229253
2014-02-20,1048.5563093214807
2014-02-21,1053.7487045438072
2014-02-24,1051.5721201525134
2014-02-25,1052.3506731867471
2014-02-26,1060.136993803086
2014-02-27,1064.0941715804572
2014-02-28,1054.3625330042685
2014-03-03,1048.5597526511935
2014-03-04,1051.1106144653784
2014-03-05,1056.7193418188247
2014-03-06,1058.7393466250646
2014-03-07,1059.8930777804708
2014-03-10,1043.8950402883706
2014-03-11,1047.301681673799
2014-03-12,1030.6691370698022
2014-03-13,1032.2839650829867
2014-03-14,1023.7698931701977
2014-03-17,1028.191997653049
2014-03-18,1033.3917604299265
2014-03-19,1031.775731086253
2014-03-20,1023.4661172069044
2014-03-21,1033.3806077283
2014-03-24,1044.935809588077
2014-03-25,1046.003234263465
2014-03-26,1059.2745739162547
2014-03-27,1068.4258459908838
2014-03-28,1075.1696809877037
2014-03-31,1080.7684208536898
2014-04-01,1085.1076136156578
2014-04-02,1090.448197874428
2014-04-03,1095.274085136663
2014-04-04,1099.8481470549023
2014-04-07,1097.2609146797056
2014-04-08,1101.4826501977686
2014-04-09,1110.0616141000587
2014-04-10,1112.1790592086613
2014-04-11,1105.7953356333858
2014-04-14,1107.1584169230646
2014-04-15,1100.337448073541
2014-04-16,1103.4128095883736
2014-04-17,1104.459463606882
2014-04-18,1106.4275105634765
2014-04-21,1108.0047472693905
2014-04-22,1109.7772321435677
2014-04-23,1101.8472277961928
2014-04-24,1103.8718182807295
2014-04-25,1091.2278075473007
2014-04-28,1090.6673234039308
2014-04-29,1096.1989880720187
2014-04-30,1087.4356642937557
2014-05-01,1085.9154585848255
2014-05-02,1089.2039211978097
2014-05-05,1086.4590832511185
2014-05-06,1085.8590917704712
2014-05-07,1079.5994757218496
2014-05-08,1091.6047057459145
2014-05-09,1099.9802853998485
2014-05-12,1104.8130820770477
2014-05-13,1117.1858443265182
2014-05-14,1128.3406300701042
2014-05-15,1129.533584674617
2014-05-16,1132.0885517853105
2014-05-19,1132.185965531256
2014-05-20,1128.913274225529
2014-05-21,1130.649411311934
2014-05-22,1141.7515298243131
2014-05-23,1146.9589679827488
2014-05-26,1143.8631830883207
2014-05-27,1143.5364848559375
2014-05-28,1151.7720648622844
2014-05-29,1151.017107714269
2014-05-30,1143.7306878918232
2014-06-02,1148.266114292027
2014-06-03,1153.3979984615185
2014-06-04,1149.585129627086
2014-06-05,1152.1700713602295
2014-06-06,1151.9535966786082
2014-06-09,1158.98468102579
2014-06-10,1171.5228171102144
2014-06-11,1171.1376194601467
2014-06-12,1167.139101214127
2014-06-13,1164.8282208809462
2014-06-16,1160.6087636004304
2014-06-17,1160.7053542100039
2014-06-18,1153.5720935377685
2014-06-19,1155.4739819173938
2014-06-20,1152.340071138603
2014-06-23,1149.9366554058472
2014-06-24,1153.2331228329917
2014-06-25,1145.9473467556586
2014-06-26,1162.9567311709975
2014-06-27,1158.1441620543892
2014-06-30,1157.3688271124067
2014-07-01,1157.8318608504424
2014-07-02,1174.2467273131917
2014-07-03,1178.4717216411339
2014-07-04,1182.2079204597505
2014-07-07,1182.2202827732979
2014-07-08,1181.060485010685
2014-07-09,1169.4501633959756
2014-07-10,1176.4656710487136
2014-07-11,1171.5910056986781
2014-07-14,1174.2110104302856
2014-07-15,1182.950744449778
2014-07-16,1186.465467941274
2014-07-17,1189.6450909787761
2014-07-18,1189.864985846773
2014-07-21,1189.5216626077138
2014-07-22,1203.956657542732
2014-07-23,1214.1949788879351
2014-07-24,1217.9236195321412
2014-07-25,1221.0896456308208
2014-07-28,1224.380661146991
2014-07-29,1233.4654961997312
2014-07-30,1241.010755839983
2014-07-31,1235.0194773990086
2014-08-01,1215.610206149179
2014-08-04,1223.1707638582984
2014-08-05,1221.400521993645
2014-08-06,1218.073931980987
2014-08-07,1212.2807072792614
2014-08-08,1195.3587522308064
2014-08-11,1210.6001317224989
2014-08-12,1219.5676447170877
2014-08-13,1225.590321553641
2014-08-14,1228.2687716850235
2014-08-15,1230.4226813277685
2014-08-18,1232.0885919025502
2014-08-19,1244.6098938069333
2014-08-20,1247.5881179265723
2014-08-21,1239.4193159310432
2014-08-22,1252.7854901207388
2014-08-25,1253.8339167052927
2014-08-26,1254.6885587850281
2014-08-27,1259.6006590660566
2014-08-28,1257.943503599778
2014-08-29,1258.0441175568399
2014-09-01,1263.3603148045604
2014-09-02,1258.1515713841472
2014-09-03,1271.1119918325758
2014-09-04,1288.9558791827105
2014-09-05,1285.0665406067685
2014-09-08,1285.4664319302055
2014-09-09,1287.2716136597887
2014-09-10,1272.734187639146
2014-09-11,1262.0484438446128
2014-09-12,1258.9798857455335
2014-09-15,1246.4583830265065
2014-09-16,1238.0626359039707
