Date,CHINA A 50 CONNECT
2015-12-14,1805.1277707710767
2015-12-15,1807.3692409505104
2015-12-16,1793.6402491016163
2015-12-17,1838.3081149423447
2015-12-18,1843.2535248461065
2015-12-21,1884.606265926863
2015-12-22,1874.2392212517027
2015-12-23,1886.2906882976515
2015-12-24,1855.6456099133768
2015-12-25,1861.463999120798
2015-12-28,1804.5719105313237
2015-12-29,1832.5654295113682
2015-12-30,1831.3456459625393
2015-12-31,1824.8326930039366
2016-01-01,1824.8326930039366
2016-01-04,1709.6337841209263
2016-01-05,1738.3519939612938
2016-01-06,1755.9175687138195
2016-01-07,1621.0082184776427
2016-01-08,1649.9867141173042
2016-01-11,1592.1803408257836
2016-01-12,1603.2044933822992
2016-01-13,1576.8292161950278
2016-01-14,1598.8038490271977
2016-01-15,1530.86184567391
2016-01-18,1542.1393731894275
2016-01-19,1589.6468773513345
2016-01-20,1556.4943318835544
2016-01-21,1526.718987952925
2016-01-22,1541.952812736623
2016-01-25,1543.4874378048053
2016-01-26,1450.6291694349384
2016-01-27,1446.115547494267
2016-01-28,1400.3165268561224
2016-01-29,1466.776565658552
2016-02-01,1430.9956854899856
2016-02-02,1455.1976178347834
2016-02-03,1423.9978206417463
2016-02-04,1424.2402537899202
2016-02-05,1423.8204107278812
2016-02-08,1423.3095085845382
2016-02-09,1402.921680617723
2016-02-10,1417.3337573760448
2016-02-11,1398.7166877018672
2016-02-12,1411.0941610588868
2016-02-15,1427.9490302048196
2016-02-16,1465.7038769751184
2016-02-17,1478.879025722354
2016-02-18,1476.9277080600668
2016-02-19,1471.3445670831024
2016-02-22,1519.2321332031734
2016-02-23,1503.7661578670254
2016-02-24,1515.8622818127687
2016-02-25,1429.8849282699628
2016-02-26,1462.0142519244512
2016-02-29,1449.521481626236
2016-03-01,1474.6319401554897
2016-03-02,1536.2152766613106
2016-03-03,1524.3887966402867
2016-03-04,1558.7702069370555
2016-03-07,1561.283124044523
2016-03-08,1553.1182991104165
2016-03-09,1547.7184176396859
2016-03-10,1498.8988268214873
2016-03-11,1506.9468656667195
2016-03-14,1528.4056493741145
2016-03-15,1536.6267321504547
2016-03-16,1553.2780298621542
2016-03-17,1530.776142803205
2016-03-18,1549.637287316021
2016-03-21,1582.2674635251128
2016-03-22,1576.1791839506889
2016-03-23,1583.2892051682536
2016-03-24,1556.7030557756914
2016-03-25,1563.5523450991639
2016-03-28,1541.5745234572469
2016-03-29,1530.5714407245719
2016-03-30,1552.2312394075036
2016-03-31,1548.6938610061186
2016-04-01,1562.4153007472178
2016-04-04,1557.4046994664313
2016-04-05,1567.2590253282258
2016-04-06,1560.7259338333276
2016-04-07,1541.660356857967
2016-04-08,1527.7559468081179
2016-04-11,1541.4477636141346
2016-04-12,1547.2171078645408
2016-04-13,1578.8795226880536
2016-04-14,1581.9320853105776
2016-04-15,1577.6807959202108
2016-04-18,1557.2543392490738
2016-04-19,1555.6141270184726
2016-04-20,1544.9892826892585
2016-04-21,1542.8138465377806
2016-04-22,1550.521806543178
2016-04-25,1538.8007030929025
2016-04-26,1540.6386186630189
2016-04-27,1532.0134534433846
2016-04-28,1531.0448943400268
2016-04-29,1512.4906794108726
2016-05-02,1504.6086764782588
2016-05-03,1528.5971578370156
