Date,EM LATIN AMERICA EQUAL WEIGHTED
2000-09-20,1285.7461729602278
2000-09-21,1280.6622312843301
2000-09-22,1280.8991681177683
2000-09-25,1286.985822459848
2000-09-26,1268.3492852314475
2000-09-27,1257.2873978654295
2000-09-28,1263.779721210849
2000-09-29,1264.323546818174
2000-10-02,1256.7078482697289
2000-10-03,1253.7351057155208
2000-10-04,1255.0481483965418
2000-10-05,1261.7253092762865
2000-10-06,1246.8593548158715
2000-10-09,1237.0616650492402
2000-10-10,1229.9705399626935
2000-10-11,1213.0940605834185
2000-10-12,1205.6913856425463
2000-10-13,1196.735585565799
2000-10-16,1198.4046418136024
2000-10-17,1177.8798545878242
2000-10-18,1160.5170215770045
2000-10-19,1184.5196348098434
2000-10-20,1176.1547422802437
2000-10-23,1163.2109144672345
2000-10-24,1166.3721018175775
2000-10-25,1146.5542591521921
2000-10-26,1157.6970535361077
2000-10-27,1184.253767957302
2000-10-30,1192.3032035662645
2000-10-31,1210.9206680323982
2000-11-01,1213.763851864719
2000-11-02,1214.8039375606622
2000-11-03,1205.7237346575882
2000-11-06,1207.6164993815464
2000-11-07,1208.874957760734
2000-11-08,1202.6028709048946
2000-11-09,1193.809894264007
2000-11-10,1195.1013920603084
2000-11-13,1181.843076596381
2000-11-14,1188.3789496317445
2000-11-15,1182.9770391427728
2000-11-16,1180.4027587362646
2000-11-17,1174.0109320874158
2000-11-20,1182.8969564273461
2000-11-21,1186.7118118223448
2000-11-22,1171.4200479473818
2000-11-23,1166.5526293057133
2000-11-24,1172.245428819121
2000-11-27,1167.1374150381466
2000-11-28,1152.1108738687028
2000-11-29,1153.3293427298752
2000-11-30,1133.682625091734
2000-12-01,1133.54708106354
2000-12-04,1134.3482292213728
2000-12-05,1163.6779557910986
2000-12-06,1162.197656744183
2000-12-07,1165.7384233090465
2000-12-08,1176.3863846920865
2000-12-11,1183.9000794265917
2000-12-12,1179.1524892806412
2000-12-13,1184.0444409840625
2000-12-14,1181.2863532444364
2000-12-15,1171.1492849162735
2000-12-18,1174.5715665886873
2000-12-19,1179.3099008646482
2000-12-20,1157.4004020106527
2000-12-21,1154.9940896016922
2000-12-22,1160.8758213550664
2000-12-25,1160.8758213550664
2000-12-26,1163.850975097046
2000-12-27,1175.64812100988
2000-12-28,1181.7100979294037
2000-12-29,1185.8233877205212
2001-01-01,1185.8233877205212
2001-01-02,1188.5758809260167
2001-01-03,1224.032768920399
2001-01-04,1242.5578509239065
2001-01-05,1235.3202726904892
2001-01-08,1239.0934101627095
2001-01-09,1258.4860085717291
2001-01-10,1257.8518812376078
2001-01-11,1267.5339973563202
2001-01-12,1265.635540740652
2001-01-15,1273.1776025140587
2001-01-16,1267.9535342965175
2001-01-17,1280.7162278021221
2001-01-18,1296.9260319668738
2001-01-19,1309.6542833383996
2001-01-22,1312.0646447493366
2001-01-23,1332.0598375575216
2001-01-24,1331.9397756318895
2001-01-25,1329.9533393572656
2001-01-26,1336.4599168865316
2001-01-29,1340.9911244468208
2001-01-30,1346.005169283117
2001-01-31,1352.9856187882247
2001-02-01,1344.7253102979844
2001-02-02,1333.5898123928264
2001-02-05,1323.4595165103003
2001-02-06,1328.9678047400516
2001-02-07,1310.9233171595765
2001-02-08,1321.6531818332535
2001-02-09,1320.495773077434
2001-02-12,1323.2547683057962
2001-02-13,1323.9692155915745
2001-02-14,1318.8762087952846
2001-02-15,1320.2029731723424
2001-02-16,1297.8780415799845
2001-02-19,1293.3644054385238
2001-02-20,1282.4284336590558
2001-02-21,1257.3568709295314
2001-02-22,1260.0625927693982
2001-02-23,1256.272589209959
2001-02-26,1264.350519275598
2001-02-27,1258.7557557185978
2001-02-28,1246.1927317083766
2001-03-01,1254.5681915499497
2001-03-02,1267.6061027786122
2001-03-05,1278.8373632285666
2001-03-06,1279.6922204896232
2001-03-07,1286.782609626539
2001-03-08,1288.942613088001
2001-03-09,1281.050681632652
2001-03-12,1252.122209373493
2001-03-13,1253.2771546531112
2001-03-14,1234.3362964489068
2001-03-15,1229.3281128323683
2001-03-16,1222.4338370131322
2001-03-19,1209.7924115515366
2001-03-20,1219.2393520379917
2001-03-21,1212.116308186622
2001-03-22,1169.8645054348967
2001-03-23,1173.7994491031816
2001-03-26,1194.9759843561196
2001-03-27,1202.6921352198076
2001-03-28,1192.261825877178
2001-03-29,1181.7946734276827
2001-03-30,1190.126735080601
2001-04-02,1185.5187099969942
2001-04-03,1165.9428620870247
2001-04-04,1169.7064617556555
2001-04-05,1188.5450525186945
2001-04-06,1191.1891371367904
2001-04-09,1189.9356261493365
2001-04-10,1202.6209332325964
2001-04-11,1194.7210285033686
2001-04-12,1193.7477212936135
2001-04-13,1193.8062490112552
2001-04-16,1173.2378902387895
2001-04-17,1175.5583656950466
2001-04-18,1199.8709374412615
2001-04-19,1182.4650312974015
2001-04-20,1158.0652508936241
2001-04-23,1148.2174249979078
2001-04-24,1151.260973079937
2001-04-25,1148.3933713464903
2001-04-26,1175.3585340881498
2001-04-27,1188.8707339715818
2001-04-30,1196.1658651953917
2001-05-01,1192.1316646721855
2001-05-02,1190.9435674824163
2001-05-03,1186.328821560463
2001-05-04,1201.0565112841907
2001-05-07,1202.6810001853564
2001-05-08,1195.020505555156
2001-05-09,1195.8763574752793
2001-05-10,1203.9955715927304
2001-05-11,1196.0410541263786
2001-05-14,1186.9532834238946
2001-05-15,1186.1785616061193
2001-05-16,1199.0705305074657
2001-05-17,1220.661406395592
2001-05-18,1232.2476806550358
2001-05-21,1234.8809599647261
2001-05-22,1238.6540928969805
2001-05-23,1233.1049846804528
2001-05-24,1232.3949760099151
2001-05-25,1226.8691866367128
2001-05-28,1231.8420191254518
2001-05-29,1230.239698002303
2001-05-30,1223.2407324503972
2001-05-31,1237.2129189858663
2001-06-01,1235.7034159547675
2001-06-04,1253.1409796111966
2001-06-05,1254.057138127052
2001-06-06,1251.0668517970876
2001-06-07,1261.147403692448
2001-06-08,1266.0581157356232
2001-06-11,1263.039886237651
2001-06-12,1256.5609299534055
2001-06-13,1256.1912436591786
2001-06-14,1250.045817059101
2001-06-15,1236.3069745141213
2001-06-18,1205.1861876953612
2001-06-19,1193.5375517677726
2001-06-20,1196.4085901624846
2001-06-21,1217.3669811769664
2001-06-22,1228.264645900454
2001-06-25,1233.5778204532048
2001-06-26,1230.3011478348963
2001-06-27,1221.692535175295
2001-06-28,1227.684993748998
2001-06-29,1229.4707067013264
2001-07-02,1231.6323456222917
2001-07-03,1221.1154616019282
2001-07-04,1203.8762498506383
2001-07-05,1190.7012311603992
2001-07-06,1172.3355074770548
2001-07-09,1181.745942902549
2001-07-10,1159.2136826122933
2001-07-11,1137.881058383
2001-07-12,1117.6296870833357
2001-07-13,1122.7460598217822
2001-07-16,1114.1784876632876
2001-07-17,1140.4134923246465
2001-07-18,1138.4917119535833
2001-07-19,1123.765982411431
2001-07-20,1137.729070163835
2001-07-23,1151.0721065907094
2001-07-24,1137.5208263612353
2001-07-25,1130.7136293793212
2001-07-26,1130.2974765000308
2001-07-27,1133.7922186925105
2001-07-30,1140.3583683775494
2001-07-31,1142.0925909942787
2001-08-01,1121.834513844929
2001-08-02,1130.828276811145
2001-08-03,1132.1449441953414
2001-08-06,1136.2424839204182
2001-08-07,1139.892684361044
2001-08-08,1140.4763811048363
2001-08-09,1146.6922113327967
2001-08-10,1152.697543486172
2001-08-13,1148.9968380561234
2001-08-14,1143.4841496268118
2001-08-15,1142.8869835834344
2001-08-16,1143.5797888443174
2001-08-17,1120.178413047176
2001-08-20,1120.1039100459386
2001-08-21,1110.927912899443
2001-08-22,1124.7903104767793
2001-08-23,1117.3696410062867
2001-08-24,1123.946626255608
2001-08-27,1122.1059199627384
2001-08-28,1123.2521723129435
2001-08-29,1133.1564477704587
2001-08-30,1124.6859142558376
2001-08-31,1124.0176882911107
2001-09-03,1115.6281481660874
2001-09-04,1114.1653073533735
2001-09-05,1105.5084565594686
2001-09-06,1086.9024682950464
2001-09-07,1083.1253496965514
2001-09-10,1068.5493832989646
2001-09-11,1007.4454561839519
2001-09-12,1012.3047622582584
2001-09-13,979.9178673755556
2001-09-14,966.248418020466
2001-09-17,973.1782917348929
2001-09-18,972.176719080263
2001-09-19,963.4824533995608
2001-09-20,929.4882754953018
2001-09-21,910.2062402582455
2001-09-24,928.279614616367
2001-09-25,923.510526538656
2001-09-26,909.8074896443075
2001-09-27,910.2948187817407
2001-09-28,914.4426852097937
2001-10-01,910.9938115789229
2001-10-02,904.2608643697951
2001-10-03,893.7771341727343
2001-10-04,889.1867195950713
2001-10-05,888.3180712216894
2001-10-08,876.3863104929839
2001-10-09,879.6438977963744
2001-10-10,895.4999651119921
2001-10-11,911.1652897844109
2001-10-12,906.3262470872959
2001-10-15,913.3895491756164
2001-10-16,920.3562290878035
2001-10-17,933.5228662682679
2001-10-18,925.1029987990319
2001-10-19,935.5125540565087
2001-10-22,946.95991354994
2001-10-23,945.862941130827
2001-10-24,945.2613464488992
2001-10-25,944.1401145296045
2001-10-26,946.3127900205549
2001-10-29,927.14915132024
2001-10-30,917.9143443227484
2001-10-31,931.1781402586242
2001-11-01,932.3111274500271
2001-11-02,933.4066976214934
2001-11-05,958.886957195718
2001-11-06,968.7796736776363
2001-11-07,975.0281259464184
2001-11-08,982.3617680615705
2001-11-09,982.7210567122002
2001-11-12,969.9008112963379
2001-11-13,989.1228400426813
2001-11-14,995.7029292758934
2001-11-15,998.8193889029155
2001-11-16,998.9765649172903
2001-11-19,1015.6220915414375
2001-11-20,1001.4363994471363
2001-11-21,1005.2920201172719
2001-11-22,1011.9022196778876
2001-11-23,1027.5634159029928
2001-11-26,1039.9759537063305
2001-11-27,1039.5759736798448
2001-11-28,1014.7350334373082
2001-11-29,1004.2811762862264
2001-11-30,1003.0729316568445
2001-12-03,1023.0985578629719
2001-12-04,1027.620720270626
2001-12-05,1049.550462704166
2001-12-06,1061.8218871178906
2001-12-07,1066.5825003104771
2001-12-10,1068.5210974359495
2001-12-11,1070.2409582061591
2001-12-12,1074.529077171868
2001-12-13,1067.6607586816258
2001-12-14,1067.6852310452632
2001-12-17,1073.3884142581987
2001-12-18,1082.6036969657462
2001-12-19,1089.8222816764921
2001-12-20,1099.9352501243484
2001-12-21,1108.8974974467017
2001-12-24,1112.0405746059982
2001-12-25,1112.0405746059982
2001-12-26,1115.2542525849642
2001-12-27,1124.2164089632054
2001-12-28,1111.8202598296432
2001-12-31,1112.3811212335797
2002-01-01,1112.3811212335797
2002-01-02,1139.7028063249234
2002-01-03,1180.8994983959267
2002-01-04,1190.1872288775098
2002-01-07,1120.7502816796787
2002-01-08,1114.832938034497
2002-01-09,1106.8313992282315
2002-01-10,1087.6532971466343
2002-01-11,1082.465533214067
2002-01-14,1073.6556846116123
2002-01-15,1090.2731088672285
2002-01-16,1086.481526129587
2002-01-17,1077.3353835174132
2002-01-18,1097.4933781177956
2002-01-21,1113.8364240399862
2002-01-22,1111.2661086792448
2002-01-23,1117.4471275596118
2002-01-24,1114.9423715072155
2002-01-25,1112.4303018424673
2002-01-28,1112.3403874180726
2002-01-29,1092.7092752674519
2002-01-30,1098.960806202132
2002-01-31,1096.5930707456605
2002-02-01,1095.598710045577
2002-02-04,1086.6577984273254
