Date,WORLD ex UK SMALL GROWTH
2019-11-19,2763.112284443006
2019-11-20,2759.7982026939476
2019-11-21,2743.422584847457
2019-11-22,2759.2321193433086
2019-11-25,2801.0059667800733
2019-11-26,2814.7686702804663
2019-11-27,2832.359250587232
2019-11-28,2829.1155025837024
2019-11-29,2812.3533247708933
2019-12-02,2779.9793621893155
2019-12-03,2770.9512952760247
2019-12-04,2786.1548977440025
2019-12-05,2787.8114282728993
2019-12-06,2816.0882932431723
2019-12-09,2800.1911213675244
2019-12-10,2793.6984230718076
2019-12-11,2796.994713802966
2019-12-12,2800.0165488779007
2019-12-13,2797.340358911903
2019-12-16,2816.8613664961676
2019-12-17,2818.298061924559
2019-12-18,2824.079101563292
2019-12-19,2837.486748472601
2019-12-20,2859.2568871551734
2019-12-23,2866.6556829655387
2019-12-24,2872.975530186335
2019-12-25,2871.856270357669
2019-12-26,2873.526305900464
2019-12-27,2858.880246152087
2019-12-30,2839.498986463893
2019-12-31,2837.5092439647847
2020-01-01,2837.6654883958313
2020-01-02,2858.626619601716
2020-01-03,2858.1708686709026
2020-01-06,2847.2034764894975
2020-01-07,2864.8487781170943
2020-01-08,2869.6534261296783
2020-01-09,2888.9803926581644
2020-01-10,2885.698822970062
2020-01-13,2894.7086877716292
2020-01-14,2905.4641570099034
2020-01-15,2907.7293087105327
2020-01-16,2932.0295271875975
2020-01-17,2942.6552251393255
2020-01-20,2948.6662258978376
2020-01-21,2933.1996672304103
2020-01-22,2941.187976926324
2020-01-23,2939.0601291758303
2020-01-24,2926.1904940358336
2020-01-27,2887.191602589103
2020-01-28,2906.734953910268
2020-01-29,2903.944536429426
2020-01-30,2877.6799188283917
2020-01-31,2830.8036279827024
2020-02-03,2849.5166656435945
2020-02-04,2899.506311855337
2020-02-05,2935.8456821302652
2020-02-06,2946.641897563051
2020-02-07,2924.094853963472
2020-02-10,2950.02351178627
2020-02-11,2972.6737869397066
2020-02-12,2999.3460447867537
2020-02-13,3018.692424380505
2020-02-14,3019.134631143974
2020-02-17,3017.8245689623004
2020-02-18,3007.527485133494
2020-02-19,3037.898671767624
2020-02-20,3025.5157155604047
2020-02-21,2985.8685487060884
2020-02-24,2902.215756790851
2020-02-25,2816.3165491043987
2020-02-26,2788.9148890136407
2020-02-27,2675.839776403705
2020-02-28,2627.8175431931895
2020-03-02,2653.118916201796
2020-03-03,2620.3292230142897
2020-03-04,2682.118441046984
2020-03-05,2615.996358578875
2020-03-06,2534.4308975027834
2020-03-09,2327.71978218631
2020-03-10,2389.2880862958673
2020-03-11,2282.6941482416532
2020-03-12,2089.0026083080306
2020-03-13,2164.8424405568953
2020-03-16,1925.3503769385393
2020-03-17,2011.5040208156029
2020-03-18,1895.8141816902546
2020-03-19,1982.6908018341362
2020-03-20,1951.6445578529074
2020-03-23,1913.1004111188101
2020-03-24,2071.763529179059
2020-03-25,2125.924250225065
2020-03-26,2182.622283207269
2020-03-27,2131.870500009963
2020-03-30,2174.5623109241214
2020-03-31,2182.5387502019153
2020-04-01,2092.9580977342453
2020-04-02,2107.964712667405
2020-04-03,2073.3806711645707
2020-04-06,2205.666433764719
2020-04-07,2214.0701872216223
2020-04-08,2288.1987590594595
2020-04-09,2329.9427566350582
2020-04-10,2332.4311139658234
2020-04-13,2309.7736463521487
2020-04-14,2360.8849287844628
2020-04-15,2307.492330405744
2020-04-16,2330.7791201920368
2020-04-17,2391.67197464596
2020-04-20,2384.7113687068554
2020-04-21,2322.9770890630084
2020-04-22,2366.3606663551104
2020-04-23,2395.6673216620266
2020-04-24,2418.5437534952503
2020-04-27,2480.32686721661
2020-04-28,2496.9974433956145
2020-04-29,2570.412331957492
2020-04-30,2506.621967246926
2020-05-01,2433.6046414692314
2020-05-04,2449.8423216727424
2020-05-05,2503.9857268000424
2020-05-06,2522.1301621130942
2020-05-07,2559.6907541561304
2020-05-08,2599.0679069442826
2020-05-11,2614.941206720306
2020-05-12,2558.6626254974412
2020-05-13,2511.585444226364
2020-05-14,2508.521212143718
2020-05-15,2541.4015864940693
2020-05-18,2624.158272540949
2020-05-19,2601.100330594995
2020-05-20,2639.784565382186
2020-05-21,2648.5734348684437
2020-05-22,2668.268607805424
2020-05-25,2687.750133273826
2020-05-26,2709.983207513095
2020-05-27,2735.0462665571913
2020-05-28,2708.4038074998307
2020-05-29,2710.2351004914576
2020-06-01,2738.946016538533
2020-06-02,2751.190971757807
2020-06-03,2779.043276200419
2020-06-04,2737.46008387465
2020-06-05,2784.9432147695256
2020-06-08,2809.8425806721375
2020-06-09,2772.4188790612443
2020-06-10,2757.2829591110294
2020-06-11,2616.2876063456856
2020-06-12,2659.1379778501528
2020-06-15,2681.658240969146
2020-06-16,2749.946832837482
2020-06-17,2749.7461592170666
2020-06-18,2751.378588818871
2020-06-19,2761.9003578302754
2020-06-22,2765.245686468768
2020-06-23,2770.439927663692
2020-06-24,2717.5100950736273
2020-06-25,2745.7645200528777
2020-06-26,2719.9558633086763
2020-06-29,2731.8712576869034
2020-06-30,2770.6593600612337
2020-07-01,2767.955210207341
2020-07-02,2787.601119337354
2020-07-03,2791.6391654910685
2020-07-06,2807.700199605425
2020-07-07,2795.0074504257036
2020-07-08,2802.0248533205954
2020-07-09,2795.6286416673565
2020-07-10,2792.449750001667
2020-07-13,2755.154113958555
2020-07-14,2768.222913974693
2020-07-15,2829.7544861254732
2020-07-16,2804.93040218689
2020-07-17,2828.6999531924466
2020-07-20,2846.6202329763505
2020-07-21,2851.6594646365515
2020-07-22,2837.1662141810984
