Date,GERMANY MOMENTUM
2012-05-16,2014.7400274326803
2012-05-17,1987.9709927253296
2012-05-18,1962.752505141174
2012-05-21,1991.9301830800187
2012-05-22,2021.8479422356238
2012-05-23,1953.1278488559763
2012-05-24,1953.0836829862187
2012-05-25,1943.285310528313
2012-05-28,1953.2587485622273
2012-05-29,1990.5969328822614
2012-05-30,1932.6574906649068
2012-05-31,1928.1084937977132
2012-06-01,1874.8199148545282
2012-06-04,1857.2708857694156
2012-06-05,1862.7156315740963
2012-06-06,1906.191334046613
2012-06-07,1947.74326358614
2012-06-08,1924.8395963054509
2012-06-11,1934.9281435099167
2012-06-12,1924.7799196625629
2012-06-13,1938.6326235969127
2012-06-14,1936.931174045634
2012-06-15,1951.7482369150994
2012-06-18,1959.2718479895184
2012-06-19,2013.5888775515436
2012-06-20,2019.2656530231984
2012-06-21,1993.7800836423517
2012-06-22,1953.7057103537866
2012-06-25,1913.578310978137
2012-06-26,1909.5008540009303
2012-06-27,1923.5809499368245
2012-06-28,1903.1368549755512
2012-06-29,2006.7947734772947
2012-07-02,2007.962923464005
2012-07-03,2042.5797388514497
2012-07-04,2030.1223453768137
2012-07-05,2008.3500847791931
2012-07-06,1966.4159192174745
2012-07-09,1954.0490302081541
2012-07-10,1972.7233962961823
2012-07-11,1964.3777327653825
2012-07-12,1951.928129825707
2012-07-13,2001.7196062930504
2012-07-16,2005.12032819591
2012-07-17,2002.9277028498727
2012-07-18,2040.363359287867
2012-07-19,2066.7763157836966
2012-07-20,2027.2500029752584
2012-07-23,1954.4639883322225
2012-07-24,1946.4383306125956
2012-07-25,1962.3116362983455
2012-07-26,2037.0445224109587
2012-07-27,2074.1251357263222
2012-07-30,2062.910596226991
2012-07-31,2063.741560475876
2012-08-01,2054.421627291289
2012-08-02,2005.8369650004224
2012-08-03,2090.725779594119
2012-08-06,2120.869957339065
2012-08-07,2117.5594919003674
2012-08-08,2103.615370286976
2012-08-09,2099.3413864619984
2012-08-10,2094.4879771483165
2012-08-13,2095.2318481131224
2012-08-14,2109.6145313271018
2012-08-15,2101.1163573464523
2012-08-16,2126.6061578355398
2012-08-17,2128.303247555193
2012-08-20,2130.5487166657185
2012-08-21,2162.443039454358
2012-08-22,2137.3530771983746
2012-08-23,2141.684957560785
2012-08-24,2132.411276801365
2012-08-27,2147.526673598421
2012-08-28,2147.9632764747353
2012-08-29,2149.8387272211558
2012-08-30,2118.41676404797
2012-08-31,2150.940271508696
2012-09-03,2165.992718507405
2012-09-04,2134.8554240554704
2012-09-05,2154.2116835811007
2012-09-06,2205.1851984687255
2012-09-07,2225.298841839502
2012-09-10,2219.083857198949
2012-09-11,2233.129269924861
2012-09-12,2244.4863671811077
2012-09-13,2248.0852881521982
2012-09-14,2311.417592544903
2012-09-17,2301.3822361418374
2012-09-18,2283.089198683962
2012-09-19,2295.114661525502
2012-09-20,2280.5068454535385
2012-09-21,2306.711734362969
2012-09-24,2281.30329808416
2012-09-25,2294.343572936086
2012-09-26,2241.7363955391115
2012-09-27,2253.129291080314
2012-09-28,2244.160546070039
2012-10-01,2285.3887689844896
2012-10-02,2290.218929782119
2012-10-03,2287.97828902859
2012-10-04,2315.9192247361602
2012-10-05,2342.7670863728845
2012-10-08,2304.2124570676624
2012-10-09,2287.267235211106
2012-10-10,2285.643317866129
2012-10-11,2316.7553600997057
2012-10-12,2300.663747854692
2012-10-15,2310.69392180998
2012-10-16,2350.0678285953254
2012-10-17,2367.7055423808915
2012-10-18,2362.332066496803
2012-10-19,2340.183963490222
2012-10-22,2329.7772883223897
2012-10-23,2274.7258114151023
2012-10-24,2288.4403941754176
2012-10-25,2304.3624130397047
2012-10-26,2303.042394732598
2012-10-29,2298.0941513748367
2012-10-30,2328.876026236193
2012-10-31,2304.7443968380294
2012-11-01,2321.179694252624
2012-11-02,2324.014070840651
2012-11-05,2302.9394052725515
