Date,WORLD ex UK VALUE WEIGHTED
1999-06-01,672.9545717
1999-06-02,672.8790374
1999-06-03,674.2835884
1999-06-04,680.0313429
1999-06-07,685.9461064
1999-06-08,686.7815768
1999-06-09,688.2698257
1999-06-10,687.0830503
1999-06-11,688.9880754
1999-06-14,686.2953971
1999-06-15,688.5774472
1999-06-16,693.8439908
1999-06-17,698.547085
1999-06-18,699.407517
1999-06-21,700.4417727
1999-06-22,697.7943897
1999-06-23,692.9430164
1999-06-24,687.5774573
1999-06-25,689.3727881
1999-06-28,692.946381
1999-06-29,698.3493197
1999-06-30,699.8282641
1999-07-01,706.843338
1999-07-02,711.881473
1999-07-05,716.7562596
1999-07-06,715.0526544
1999-07-07,713.6843051
1999-07-08,711.2409169
1999-07-09,714.1397235
1999-07-12,713.5776755
1999-07-13,710.57423
1999-07-14,713.9301704
1999-07-15,720.1024956
1999-07-16,719.1534413
1999-07-19,718.9740872
1999-07-20,714.3408855
1999-07-21,712.5129769
1999-07-22,705.2322379
1999-07-23,700.4166942
1999-07-26,699.3711063
1999-07-27,702.7988764
1999-07-28,705.1076791
1999-07-29,700.2161288
1999-07-30,701.5327006
1999-08-02,699.9236933
1999-08-03,699.311156
1999-08-04,696.4612698
1999-08-05,693.4971221
1999-08-06,687.5249545
1999-08-09,687.0120551
1999-08-10,681.1271869
1999-08-11,683.9410972
1999-08-12,688.2069924
1999-08-13,695.9571518
1999-08-16,701.5101362
1999-08-17,704.6783418
1999-08-18,704.3122058
1999-08-19,703.0127819
1999-08-20,711.4866027
1999-08-23,719.192774
1999-08-24,717.8474298
1999-08-25,719.8889234
1999-08-26,712.2179921
1999-08-27,709.1601472
1999-08-30,704.6473667
1999-08-31,697.3422976
1999-09-01,707.1894342
1999-09-02,703.5411266
1999-09-03,712.8925401
1999-09-06,716.0374024
1999-09-07,711.8317661
1999-09-08,710.1301739
1999-09-09,715.8650589
1999-09-10,715.5524919
1999-09-13,715.3617964
1999-09-14,712.5714391
1999-09-15,707.9454803
1999-09-16,702.4653142
1999-09-17,704.3230592
1999-09-20,705.8280749
1999-09-21,702.1591092
1999-09-22,696.8108267
1999-09-23,690.4055435
1999-09-24,683.0607146
1999-09-27,682.7356249
1999-09-28,684.3692976
1999-09-29,681.1893909
1999-09-30,689.0611733
1999-10-01,690.4685301
1999-10-04,696.7811768
1999-10-05,695.4122936
1999-10-06,701.8102857
1999-10-07,702.5058347
1999-10-08,704.1828596
1999-10-11,704.2852952
1999-10-12,700.3916806
1999-10-13,690.1993135
1999-10-14,691.7098965
1999-10-15,680.5318374
1999-10-18,676.5966583
1999-10-19,680.824131
1999-10-20,688.0206614
1999-10-21,686.4509296
1999-10-22,694.8524612
1999-10-25,693.7734547
1999-10-26,691.9477495
1999-10-27,693.8139579
1999-10-28,707.2226643
1999-10-29,719.9065977
1999-11-01,716.517862
1999-11-02,716.4446827
1999-11-03,717.1584615
1999-11-04,722.0088891
1999-11-05,720.7937141
1999-11-08,720.2824886
1999-11-09,719.103025
1999-11-10,724.3946865
1999-11-11,724.8021271
1999-11-12,727.323017
1999-11-15,728.1771847
1999-11-16,733.7521014
1999-11-17,736.7301053
1999-11-18,741.4287213
1999-11-19,741.1964992
1999-11-22,740.5304509
1999-11-23,737.0836318
1999-11-24,734.5701304
1999-11-25,736.4447919
1999-11-26,739.4307981
1999-11-29,735.4817248
1999-11-30,728.1714959
1999-12-01,731.6380943
1999-12-02,733.6024499
1999-12-03,742.2314759
1999-12-06,741.5453387
1999-12-07,738.8043452
1999-12-08,734.2221144
1999-12-09,734.5515536
1999-12-10,736.4282385
1999-12-13,732.9075398
1999-12-14,729.5242596
1999-12-15,731.078513
1999-12-16,735.6792855
1999-12-17,735.4578634
1999-12-20,735.3842688
1999-12-21,736.1250043
1999-12-22,741.5525829
1999-12-23,751.9427519
1999-12-24,752.5775939
1999-12-27,749.4608872
1999-12-28,752.6701109
1999-12-29,754.1824394
1999-12-30,757.224614
1999-12-31,757.7567738
2000-01-03,755.2442545
2000-01-04,738.6687708
2000-01-05,734.129395
2000-01-06,732.2421737
2000-01-07,746.0378359
2000-01-10,748.6188503
2000-01-11,748.0112276
2000-01-12,745.2920927
2000-01-13,750.6867805
2000-01-14,754.6806666
2000-01-17,758.5057765
2000-01-18,749.8157857
2000-01-19,745.3473317
2000-01-20,741.8192294
2000-01-21,738.1090162
2000-01-24,728.9303347
2000-01-25,723.1022942
2000-01-26,726.5262132
2000-01-27,728.8220642
2000-01-28,717.7686622
2000-01-31,718.9196234
2000-02-01,720.6076918
2000-02-02,723.689123
2000-02-03,732.2711223
2000-02-04,732.8710534
2000-02-07,728.6308223
2000-02-08,731.4351705
2000-02-09,725.872963
2000-02-10,722.020962
2000-02-11,716.6106515
2000-02-14,713.6786772
2000-02-15,711.4403019
2000-02-16,710.3940549
2000-02-17,711.4590561
2000-02-18,700.185242
2000-02-21,694.6292919
2000-02-22,699.4743331
2000-02-23,699.9545447
2000-02-24,694.7008402
2000-02-25,691.8416617
2000-02-28,692.9150074
2000-02-29,695.6672286
2000-03-01,704.6637694
2000-03-02,708.2120202
2000-03-03,711.6265743
2000-03-06,706.7451731
2000-03-07,699.5965323
2000-03-08,697.8255225
2000-03-09,704.8387377
2000-03-10,704.3110889
2000-03-13,698.8855137
2000-03-14,694.4875826
2000-03-15,701.9897627
2000-03-16,727.8275866
2000-03-17,727.3359605
2000-03-20,726.9789529
2000-03-21,734.119707
2000-03-22,730.9850463
2000-03-23,738.2932471
2000-03-24,743.2482869
2000-03-27,745.3153635
2000-03-28,747.1284459
2000-03-29,749.5736101
2000-03-30,743.2186121
2000-03-31,750.2012621
2000-04-03,756.0409277
2000-04-04,754.222989
2000-04-05,752.1194799
2000-04-06,753.885341
2000-04-07,752.5796753
2000-04-10,755.5949732
2000-04-11,755.6181275
2000-04-12,757.6675165
2000-04-13,751.4767652
2000-04-14,728.4224778
2000-04-17,723.8553288
2000-04-18,734.3962149
2000-04-19,731.3202779
2000-04-20,734.8413893
2000-04-21,732.3019021
2000-04-24,739.1347425
2000-04-25,748.1006484
2000-04-26,744.5977497
2000-04-27,735.8178037
2000-04-28,732.7406293
2000-05-01,738.0256248
2000-05-02,740.0074893
2000-05-03,727.2568898
2000-05-04,728.1344883
2000-05-05,732.4316832
2000-05-08,732.5780087
2000-05-09,729.2831622
2000-05-10,724.9592724
2000-05-11,728.4616086
2000-05-12,736.6405515
2000-05-15,743.9613078
2000-05-16,747.753397
2000-05-17,736.6358472
2000-05-18,737.7299176
2000-05-19,730.5564851
2000-05-22,725.2294902
2000-05-23,726.0604166
2000-05-24,726.8127257
2000-05-25,723.0463843
2000-05-26,723.4789158
2000-05-29,726.232195
2000-05-30,735.6553734
2000-05-31,732.8322231
2000-06-01,741.9442823
2000-06-02,753.975408
2000-06-05,755.748974
2000-06-06,757.7053777
2000-06-07,759.0563528
2000-06-08,754.1822641
2000-06-09,752.0685519
2000-06-12,753.0654307
2000-06-13,755.8161731
2000-06-14,756.1754312
2000-06-15,748.9419263
2000-06-16,743.3411372
2000-06-19,748.5750419
2000-06-20,746.6247813
2000-06-21,745.2527802
2000-06-22,740.4092735
2000-06-23,738.4925113
2000-06-26,738.8227563
2000-06-27,743.210393
2000-06-28,746.3950009
2000-06-29,745.1669183
2000-06-30,744.8651239
2000-07-03,752.8012455
2000-07-04,753.3421023
2000-07-05,751.2790923
2000-07-06,751.0183469
2000-07-07,756.6203006
2000-07-10,760.9463368
2000-07-11,762.6750074
2000-07-12,761.6208192
2000-07-13,756.7349623
2000-07-14,759.0446791
2000-07-17,756.2215087
2000-07-18,750.2296843
2000-07-19,747.2297901
2000-07-20,750.9226083
2000-07-21,746.4400299
2000-07-24,743.5877551
2000-07-25,745.5148309
2000-07-26,739.9138983
2000-07-27,737.5677475
2000-07-28,728.0966578
