Date,WORLD ex AUSTRALIA VALUE WEIGHTED
1998-08-31,504.07342722
1998-09-01,512.42555772
1998-09-02,515.8845704
1998-09-03,513.4619753
1998-09-04,511.99254461
1998-09-07,522.74205048
1998-09-08,534.84761879
1998-09-09,525.63229177
1998-09-10,515.834957
1998-09-11,520.01117516
1998-09-14,529.54681195
1998-09-15,532.33689193
1998-09-16,535.10070523
1998-09-17,523.17229948
1998-09-18,520.05135135
1998-09-21,513.45326057
1998-09-22,517.96001964
1998-09-23,529.66256483
1998-09-24,526.29136235
1998-09-25,523.18214851
1998-09-28,526.96750846
1998-09-29,527.6018239
1998-09-30,513.02828086
1998-10-01,499.20262458
1998-10-02,500.63847732
1998-10-05,493.51561531
1998-10-06,500.70907832
1998-10-07,508.05729635
1998-10-08,501.35607108
1998-10-09,509.30342679
1998-10-12,521.15006032
1998-10-13,520.05468071
1998-10-14,523.49336728
1998-10-15,536.71533226
1998-10-16,547.46546508
1998-10-19,549.01408561
1998-10-20,554.92536413
1998-10-21,554.5050364
1998-10-22,555.0983045
1998-10-23,552.48642159
1998-10-26,551.50397575
1998-10-27,552.59310757
1998-10-28,549.58662204
1998-10-29,556.62618648
1998-10-30,563.04854452
1998-11-02,574.59315639
1998-11-03,573.34617232
1998-11-04,582.48346775
1998-11-05,582.93308267
1998-11-06,581.34019117
1998-11-09,571.68575684
1998-11-10,567.38653221
1998-11-11,570.66339603
1998-11-12,564.9302763
1998-11-13,570.4543
1998-11-16,580.7255403
1998-11-17,579.25437282
1998-11-18,580.40339648
1998-11-19,586.25093752
1998-11-20,593.04341682
1998-11-23,601.91440536
1998-11-24,602.7546746
1998-11-25,601.23848553
1998-11-26,605.1072482
1998-11-27,605.33891862
1998-11-30,593.44065269
1998-12-01,588.18675091
1998-12-02,587.7897488
1998-12-03,585.46282133
1998-12-04,590.5317455
1998-12-07,591.52469377
1998-12-08,591.75197254
1998-12-09,595.33202125
1998-12-10,591.66157637
1998-12-11,586.53756792
1998-12-14,580.72316731
1998-12-15,583.01278298
1998-12-16,585.53993391
1998-12-17,591.75535117
1998-12-18,594.23979713
1998-12-21,600.55437703
1998-12-22,597.70304087
1998-12-23,606.40002395
1998-12-24,604.98417571
1998-12-25,605.76950334
1998-12-28,606.57666674
1998-12-29,612.63494641
1998-12-30,609.57498628
1998-12-31,610.83261165
1999-01-01,610.83275231
1999-01-04,616.29587611
1999-01-05,621.50758176
1999-01-06,633.7189029
1999-01-07,632.72827999
1999-01-08,632.91169478
1999-01-11,628.62717359
1999-01-12,618.62095927
1999-01-13,608.43021633
1999-01-14,604.42134719
1999-01-15,611.65124187
1999-01-18,617.08310912
1999-01-19,616.69482541
1999-01-20,619.30992659
1999-01-21,614.30647912
1999-01-22,604.35281218
1999-01-25,606.00082604
1999-01-26,609.68572544
1999-01-27,606.4391803
1999-01-28,609.44823582
1999-01-29,614.2304461
1999-02-01,615.72676119
1999-02-02,614.64095727
1999-02-03,613.39705116
1999-02-04,608.92732492
1999-02-05,606.03665898
1999-02-08,604.66236366
1999-02-09,595.14571707
1999-02-10,594.43947083
1999-02-11,602.41112566
1999-02-12,600.86817155
1999-02-15,600.80836287
1999-02-16,601.61442413
1999-02-17,597.12417016
1999-02-18,599.30798166
1999-02-19,597.4465875
1999-02-22,606.27359127
1999-02-23,607.20419797
1999-02-24,604.8992962
1999-02-25,603.83670694
1999-02-26,602.03799697
1999-03-01,597.61435741
1999-03-02,595.33773813
1999-03-03,593.6518885
1999-03-04,597.06721663
1999-03-05,612.45669447
1999-03-08,612.9729533
1999-03-09,614.73587836
1999-03-10,622.31428261
1999-03-11,626.26483099
1999-03-12,629.39125165
1999-03-15,633.22240838
1999-03-16,635.42965878
1999-03-17,635.62252386
1999-03-18,635.90915701
1999-03-19,638.00247559
1999-03-22,635.53966701
1999-03-23,624.26174493
1999-03-24,621.31150971
1999-03-25,629.16363811
1999-03-26,624.77049087
1999-03-29,631.90779995
1999-03-30,629.14969369
1999-03-31,630.73126473
1999-04-01,633.6973831
1999-04-02,632.7710046
1999-04-05,636.29945011
1999-04-06,640.53307192
1999-04-07,646.0276491
1999-04-08,653.03359749
1999-04-09,653.90274926
1999-04-12,656.37369955
1999-04-13,658.49694862
1999-04-14,659.33672268
1999-04-15,658.05930869
1999-04-16,661.89274372
1999-04-19,662.88094332
1999-04-20,658.88276506
1999-04-21,661.0040025
1999-04-22,666.38676945
1999-04-23,668.25545537
1999-04-26,669.45183475
1999-04-27,676.10088288
1999-04-28,676.0879787
1999-04-29,674.48793482
1999-04-30,672.09282657
1999-05-03,678.55269776
1999-05-04,675.62201882
1999-05-05,676.70304761
1999-05-06,680.18187606
1999-05-07,679.26047884
1999-05-10,678.92911127
1999-05-11,677.9508973
1999-05-12,676.56465932
1999-05-13,677.59918851
1999-05-14,667.31073122
1999-05-17,658.99014111
1999-05-18,659.35339435
1999-05-19,660.7678359
1999-05-20,661.98393283
1999-05-21,660.16672054
1999-05-24,656.17426495
1999-05-25,649.51077021
1999-05-26,651.86334244
1999-05-27,643.45167875
1999-05-28,647.75563351
1999-05-31,647.79066138
1999-06-01,650.18336854
1999-06-02,650.88362802
1999-06-03,652.19885199
1999-06-04,657.43329375
1999-06-07,662.74064206
1999-06-08,663.51361856
1999-06-09,664.70476203
1999-06-10,663.25317367
1999-06-11,666.40306928
1999-06-14,663.46827454
1999-06-15,665.09105846
1999-06-16,670.26543197
1999-06-17,674.2296279
1999-06-18,675.48029328
1999-06-21,677.01226373
1999-06-22,674.20800998
1999-06-23,668.80250398
1999-06-24,663.67814596
1999-06-25,665.4574321
1999-06-28,668.00584529
1999-06-29,671.64360358
1999-06-30,672.89328475
1999-07-01,680.37445677
1999-07-02,684.67612827
1999-07-05,689.71861394
1999-07-06,688.28658115
1999-07-07,686.57840543
1999-07-08,683.90924529
1999-07-09,686.44387445
1999-07-12,685.86688941
1999-07-13,682.07647875
1999-07-14,685.49651438
1999-07-15,692.01835075
1999-07-16,690.91746387
1999-07-19,689.80703973
1999-07-20,685.24006702
1999-07-21,683.30934958
1999-07-22,677.22716086
1999-07-23,671.6935645
1999-07-26,671.49300296
1999-07-27,675.34482841
1999-07-28,677.46634403
1999-07-29,672.65074819
1999-07-30,675.3526939
1999-08-02,674.52222375
1999-08-03,673.60323307
1999-08-04,671.61679024
1999-08-05,667.47857725
1999-08-06,662.41888855
1999-08-09,661.69191484
1999-08-10,655.5021572
1999-08-11,658.51537292
1999-08-12,663.42484801
1999-08-13,670.74417986
1999-08-16,675.38508184
1999-08-17,677.50194319
1999-08-18,677.66758598
1999-08-19,676.49253323
1999-08-20,684.5742206
1999-08-23,692.4195857
1999-08-24,690.4269917
1999-08-25,692.43946443
1999-08-26,685.8531874
1999-08-27,683.29401301
1999-08-30,679.51837264
1999-08-31,672.78086392
1999-09-01,681.28125593
1999-09-02,677.6842399
1999-09-03,687.23599603
1999-09-06,690.14874293
1999-09-07,685.75935322
1999-09-08,684.21401684
1999-09-09,689.55269191
1999-09-10,688.01630287
1999-09-13,686.69975483
1999-09-14,683.43622417
1999-09-15,679.22508755
1999-09-16,674.66488835
1999-09-17,676.39595294
1999-09-20,677.78398155
1999-09-21,673.74267948
1999-09-22,668.54284574
1999-09-23,663.36565722
1999-09-24,656.52347843
1999-09-27,657.95262567
1999-09-28,658.57558046
1999-09-29,655.66820919
1999-09-30,662.91428197
1999-10-01,663.68438856
1999-10-04,670.1260325
1999-10-05,669.03394631
1999-10-06,674.7637705
1999-10-07,676.1078712
1999-10-08,677.56672459
1999-10-11,677.53070335
1999-10-12,673.04411324
1999-10-13,663.49954229
1999-10-14,664.33380169
1999-10-15,653.74002994
1999-10-18,650.0858471
1999-10-19,655.40381686
1999-10-20,661.46999207
1999-10-21,659.38033855
1999-10-22,667.39379862
1999-10-25,665.77096766
1999-10-26,664.8952912
1999-10-27,665.73471048
1999-10-28,678.19882363
1999-10-29,690.61558246
1999-11-01,687.88672421
1999-11-02,687.73110615
1999-11-03,688.21653488
1999-11-04,693.08030601
1999-11-05,691.24405991
1999-11-08,690.42603361
1999-11-09,689.99330865
1999-11-10,694.58668065
1999-11-11,695.52468651
1999-11-12,697.27602874
1999-11-15,698.49710279
1999-11-16,704.14789598
1999-11-17,706.4642623
1999-11-18,709.82922836
1999-11-19,709.05043474
1999-11-22,708.38899378
1999-11-23,706.87545747
1999-11-24,704.22641057
1999-11-25,706.62992803
1999-11-26,708.72655415
1999-11-29,705.17548035
1999-11-30,697.0416371
1999-12-01,700.70681511
1999-12-02,702.29387657
1999-12-03,710.43469372
1999-12-06,709.93972087
1999-12-07,707.33029467
1999-12-08,702.59006262
1999-12-09,702.71379318
1999-12-10,705.16407094
1999-12-13,702.29262131
1999-12-14,699.19067664
1999-12-15,699.58509632
1999-12-16,703.89926441
1999-12-17,704.3060956
1999-12-20,704.13743497
1999-12-21,704.9721183
1999-12-22,709.69614896
1999-12-23,719.7612623
1999-12-24,720.58186593
1999-12-27,717.93095877
1999-12-28,720.60564137
1999-12-29,722.06087805
1999-12-30,725.3564522
1999-12-31,725.82335018
2000-01-03,724.0573046
2000-01-04,707.96957487
2000-01-05,703.47280569
2000-01-06,701.74215228
2000-01-07,713.61926084
2000-01-10,716.06008226
2000-01-11,714.5992824
2000-01-12,712.16042283
2000-01-13,716.40588104
2000-01-14,719.87285854
2000-01-17,722.76417053
2000-01-18,714.01603969
2000-01-19,709.61714572
2000-01-20,705.33797338
2000-01-21,702.53468569
2000-01-24,694.65375221
2000-01-25,688.40146436
2000-01-26,692.08139875
2000-01-27,694.57226846
2000-01-28,683.58160827
2000-01-31,683.80970786
2000-02-01,685.14713043
2000-02-02,686.81456743
2000-02-03,694.55596139
2000-02-04,693.04534161
2000-02-07,688.47217118
2000-02-08,692.36957818
2000-02-09,687.51983975
2000-02-10,683.64433726
2000-02-11,677.94452102
2000-02-14,674.44315035
2000-02-15,672.24146928
2000-02-16,673.3691796
2000-02-17,675.42941086
2000-02-18,665.16363283
2000-02-21,659.95503081
2000-02-22,664.0697593
2000-02-23,665.16467333
2000-02-24,659.81730396
2000-02-25,657.65992291
2000-02-28,657.90597182
2000-02-29,661.08354553
2000-03-01,670.57151099
