Date,EAFE ex JAPAN VALUE WEIGHTED
1997-12-04,1788.8600104822094
1997-12-05,1786.7005658127205
1997-12-08,1801.8404120490404
1997-12-09,1790.2623501678058
1997-12-10,1778.6775693644263
1997-12-11,1741.4544095135732
1997-12-12,1743.4882084772446
1997-12-15,1737.5651328509157
1997-12-16,1747.495708081298
1997-12-17,1771.644821643121
1997-12-18,1771.5466394379525
1997-12-19,1736.0065376417126
1997-12-22,1729.3779442349392
1997-12-23,1742.0584282563539
1997-12-24,1739.7551981574422
1997-12-25,1739.7551981574422
1997-12-26,1739.8964125292314
1997-12-29,1766.0015021410186
1997-12-30,1773.624231432848
1997-12-31,1771.8637405915194
1998-01-01,1771.8637405915194
1998-01-02,1780.5492735303844
1998-01-05,1789.524480352559
1998-01-06,1773.6478245480425
1998-01-07,1756.6338195725589
1998-01-08,1739.1810812235972
1998-01-09,1707.9217627872538
1998-01-12,1662.511856209882
1998-01-13,1693.5313302031554
1998-01-14,1711.7988517448216
1998-01-15,1704.8563909129289
1998-01-16,1733.7378932320144
1998-01-19,1752.0902708776712
1998-01-20,1752.030385372555
1998-01-21,1753.5712660184972
1998-01-22,1757.060898470037
1998-01-23,1762.9084793275122
1998-01-26,1768.5019190115038
1998-01-27,1783.958042541984
1998-01-28,1793.8598358893576
1998-01-29,1792.3239587373612
1998-01-30,1802.59625710676
1998-02-02,1848.875297147493
1998-02-03,1863.0377753668538
1998-02-04,1864.1703397325405
1998-02-05,1890.2754651845157
1998-02-06,1894.3206892052187
1998-02-09,1884.2110438143425
1998-02-10,1892.4113809725152
1998-02-11,1895.948430678775
1998-02-12,1881.1601022418524
1998-02-13,1863.462187777096
1998-02-16,1868.714845738267
1998-02-17,1893.7446225029285
1998-02-18,1913.976195196022
1998-02-19,1905.2742515613963
1998-02-20,1910.930275469583
1998-02-23,1929.0496606915526
1998-02-24,1926.026032573371
1998-02-25,1944.562654462185
1998-02-26,1960.1210496022593
1998-02-27,1972.449832430985
1998-03-02,1997.7486570272913
1998-03-03,1993.9053033041096
1998-03-04,1966.961550729147
1998-03-05,1937.1733087740522
1998-03-06,1965.4580364820392
1998-03-09,1981.2888962589209
1998-03-10,1991.444339575606
1998-03-11,1998.7231622389445
1998-03-12,2006.2490276430658
1998-03-13,2035.287254389643
1998-03-16,2038.22314944927
1998-03-17,2061.5357369430017
1998-03-18,2054.866821986289
1998-03-19,2075.419577995482
1998-03-20,2083.5481012259106
1998-03-23,2100.4766335483414
1998-03-24,2115.3144449268984
1998-03-25,2138.1273288556977
1998-03-26,2123.7139572472643
1998-03-27,2131.1404862032423
1998-03-30,2105.6892332588427
1998-03-31,2109.391460120872
1998-04-01,2123.256559856828
1998-04-02,2128.58440088242
1998-04-03,2134.12167451364
1998-04-06,2160.6515091884994
1998-04-07,2153.81875124648
1998-04-08,2146.145714427025
1998-04-09,2163.6326365059927
1998-04-10,2165.8168019385917
1998-04-13,2159.628126357345
1998-04-14,2184.8744996416067
1998-04-15,2190.3848914586165
1998-04-16,2160.954081633575
1998-04-17,2148.9449542733564
1998-04-20,2171.063200036687
1998-04-21,2175.579491998401
1998-04-22,2164.1355634669353
1998-04-23,2135.371247265581
1998-04-24,2118.9977745071087
1998-04-27,2065.627362296836
1998-04-28,2090.7672008601085
1998-04-29,2088.8994593621437
1998-04-30,2119.5417605461503
1998-05-01,2147.6386446507963
1998-05-04,2177.2506244992587
1998-05-05,2158.1363411543043
1998-05-06,2161.9360501621236
1998-05-07,2136.4183886746027
1998-05-08,2142.641938192117
1998-05-11,2165.626461024317
1998-05-12,2146.2600531062335
1998-05-13,2138.9014176297164
1998-05-14,2132.1067204602773
1998-05-15,2128.915528865034
1998-05-18,2088.8522099760903
1998-05-19,2115.524311592228
1998-05-20,2145.946714144569
1998-05-21,2166.0115456415806
1998-05-22,2171.8901494518486
1998-05-25,2175.9299096640125
1998-05-26,2180.585703889014
1998-05-27,2124.190044509083
1998-05-28,2118.00510762847
1998-05-29,2119.3243154937236
1998-06-01,2106.260374440711
1998-06-02,2112.3020192257577
1998-06-03,2133.7433337085636
1998-06-04,2125.087796063228
1998-06-05,2136.6680553175397
1998-06-08,2148.1362975095294
1998-06-09,2134.932125808857
1998-06-10,2103.2755853833132
1998-06-11,2071.4079756500423
1998-06-12,2042.1391512554958
1998-06-15,1999.982989988027
1998-06-16,2024.356067265228
1998-06-17,2081.4158042026374
1998-06-18,2088.547706613547
1998-06-19,2084.6599080199635
1998-06-22,2055.0672066067214
1998-06-23,2065.7781166482823
1998-06-24,2072.94300319856
1998-06-25,2105.1106515172096
1998-06-26,2093.1371738352673
1998-06-29,2099.6924905821093
1998-06-30,2101.6561286373135
1998-07-01,2121.719733651621
1998-07-02,2133.799132560349
1998-07-03,2140.469357237192
1998-07-06,2146.625398044725
1998-07-07,2146.650302587082
1998-07-08,2151.664333403868
1998-07-09,2131.1777140287027
1998-07-10,2121.634352210142
1998-07-13,2140.746671201871
1998-07-14,2168.686281534959
1998-07-15,2183.144323766491
1998-07-16,2192.7500155692187
1998-07-17,2216.073078826326
1998-07-20,2229.6691043765395
1998-07-21,2208.411267668139
1998-07-22,2168.6143229309364
1998-07-23,2152.8277244827523
1998-07-24,2155.316525007235
1998-07-27,2119.632496587451
