Date,ACWI IMI MINIMUM VOLATILITY (USD)
2013-04-19,1699.6710138740955
2013-04-22,1711.0252845388732
2013-04-23,1722.3731204918697
2013-04-24,1721.6676721163922
2013-04-25,1728.1798178731437
2013-04-26,1725.8139429101707
2013-04-29,1723.3798992578886
2013-04-30,1723.953375650195
2013-05-01,1714.6026354248431
2013-05-02,1731.923357182829
2013-05-03,1728.8389669025664
2013-05-06,1732.848754072026
2013-05-07,1740.9145874052992
2013-05-08,1736.8830343377401
2013-05-09,1736.6812223740922
2013-05-10,1749.9884477970738
2013-05-13,1746.5415667402988
2013-05-14,1753.5919550035062
2013-05-15,1779.5578222099643
2013-05-16,1764.838249204976
2013-05-17,1780.1798791381118
2013-05-20,1774.4370753436237
2013-05-21,1773.6118033952378
2013-05-22,1762.0078388846377
2013-05-23,1739.3185553429312
2013-05-24,1736.7964686071496
2013-05-27,1733.4673321341143
2013-05-28,1742.2443474328204
2013-05-29,1713.7055445881483
2013-05-30,1693.3947640332963
2013-05-31,1683.6971962697992
2013-06-03,1674.7977569944517
2013-06-04,1669.3610501883586
2013-06-05,1651.3817466379421
2013-06-06,1643.1624948558733
2013-06-07,1648.7949119683196
2013-06-10,1654.9521491524274
2013-06-11,1637.9231668693067
2013-06-12,1626.7884817332583
2013-06-13,1633.7876444096362
2013-06-14,1634.2969644472348
2013-06-17,1648.5393769239997
2013-06-18,1645.547862057297
2013-06-19,1632.7573662397795
2013-06-20,1611.9152053367065
2013-06-21,1621.967092794225
2013-06-24,1614.067695186111
2013-06-25,1624.6711606507959
2013-06-26,1646.2187057507233
2013-06-27,1659.5374344190416
2013-06-28,1672.79695036712
2013-07-01,1674.689004473525
2013-07-02,1674.5828925672329
2013-07-03,1679.0450433780215
2013-07-04,1688.5545686138903
2013-07-05,1700.6151938484245
2013-07-08,1699.6889214215819
2013-07-09,1720.3113368078134
2013-07-10,1718.9200467964022
2013-07-11,1720.772477547998
2013-07-12,1719.4327000380224
2013-07-15,1722.8667836582038
2013-07-16,1710.082836453109
2013-07-17,1715.1813212631373
2013-07-18,1719.306455579756
2013-07-19,1713.6713974075965
2013-07-22,1712.1102438449532
2013-07-23,1712.2804879200294
2013-07-24,1700.8044338043144
2013-07-25,1700.856445155126
2013-07-26,1698.9444102316552
2013-07-29,1693.6496313444525
2013-07-30,1697.1086142050142
2013-07-31,1687.215890830577
2013-08-01,1705.051565287874
2013-08-02,1706.9424730919006
2013-08-05,1709.7062038101908
2013-08-06,1699.8214360010872
2013-08-07,1690.1416331362811
2013-08-08,1685.555468232427
2013-08-09,1688.4686555736382
2013-08-12,1694.6418861975155
2013-08-13,1703.9214699511288
2013-08-14,1696.639605615218
2013-08-15,1678.8211208329242
2013-08-16,1662.1218068564463
2013-08-19,1654.0478092869826
2013-08-20,1645.9407679557091
2013-08-21,1640.0900538091867
2013-08-22,1643.6223652508013
2013-08-23,1646.41279617353
2013-08-26,1645.8954918759478
2013-08-27,1631.4435534985898
2013-08-28,1631.1635340730186
2013-08-29,1646.81594610982
2013-08-30,1649.3598931353413
2013-09-02,1652.064435825035
2013-09-03,1656.9278612091214
2013-09-04,1657.3241753141585
2013-09-05,1665.2469722155247
2013-09-06,1665.0748661292064
2013-09-09,1666.9131338343848
2013-09-10,1673.2911252655422
2013-09-11,1673.544756398513
2013-09-12,1670.0126923152222
2013-09-13,1678.4062829204383
2013-09-16,1679.2202999619303
2013-09-17,1680.615009608441
2013-09-18,1696.100362066651
2013-09-19,1679.6642043910363
2013-09-20,1675.263345975792
2013-09-23,1678.4199798434902
2013-09-24,1675.8935106668487
2013-09-25,1671.0932164737706
2013-09-26,1675.351136424368
2013-09-27,1667.196169890263
2013-09-30,1660.7257216807461
2013-10-01,1668.5415809614294
2013-10-02,1656.9203685886237
2013-10-03,1646.1688455593426
2013-10-04,1650.6046267690876
2013-10-07,1644.8096527837922
2013-10-08,1635.266502472584
2013-10-09,1643.3385405760062
2013-10-10,1662.497412838555
2013-10-11,1667.7933956845955
2013-10-14,1667.8921823817604
2013-10-15,1670.5539954884168
2013-10-16,1684.501735398736
2013-10-17,1681.8245383688231
2013-10-18,1683.6312483018696
2013-10-21,1686.6435822084165
2013-10-22,1684.9058291752272
2013-10-23,1681.1755012506555
2013-10-24,1679.4974240136348
2013-10-25,1680.1484831423318
2013-10-28,1687.715978571472
2013-10-29,1693.2480170170697
2013-10-30,1690.4950509840874
2013-10-31,1709.1086431223673
2013-11-01,1717.090235724606
2013-11-04,1716.6542359315176
2013-11-05,1716.9734417603568
2013-11-06,1718.4160529464098
2013-11-07,1723.1063270008085
2013-11-08,1727.5747275452002
2013-11-11,1719.626555953131
2013-11-12,1717.0700566402081
2013-11-13,1722.368063091823
2013-11-14,1724.2752434470879
2013-11-15,1728.0844990274022
