Date,EMEA ex ISRAEL ESG LEADERS
2020-11-02,1289.9765530138889
2020-11-03,1318.3764071195415
2020-11-04,1346.6411101579897
2020-11-05,1364.2430138149284
2020-11-06,1363.675554365061
2020-11-09,1414.764134417805
2020-11-10,1421.0653734599086
2020-11-11,1434.6942673174103
2020-11-12,1426.1783712694726
2020-11-13,1425.6826267236868
2020-11-16,1438.3290682971249
2020-11-17,1434.250177948598
2020-11-18,1439.4727322028002
2020-11-19,1428.1127979271635
2020-11-20,1434.8768686802248
2020-11-23,1430.3802964251802
2020-11-24,1437.4211727916047
2020-11-25,1439.2741071991798
2020-11-26,1440.0734000528635
2020-11-27,1446.9490287532415
2020-11-30,1436.1514774879804
2020-12-01,1441.9756581889524
2020-12-02,1438.1697518596593
2020-12-03,1433.7997987232804
2020-12-04,1441.896067194507
2020-12-07,1438.5418788794177
2020-12-08,1442.983821599874
2020-12-09,1448.5881202210599
2020-12-10,1442.520578758978
2020-12-11,1431.8210616663416
2020-12-14,1439.4988225812222
2020-12-15,1442.5771615324277
2020-12-16,1456.5194738955483
2020-12-17,1460.4229637352946
2020-12-18,1458.3706723888906
2020-12-21,1425.8643962521608
2020-12-22,1442.0579134316956
2020-12-23,1454.0606540888764
2020-12-24,1456.085384289627
2020-12-25,1456.085384289627
2020-12-28,1467.0881434866787
2020-12-29,1477.0861028213787
2020-12-30,1473.1946482660273
2020-12-31,1468.8619857782332
2021-01-01,1468.8619857782332
2021-01-04,1480.307552701936
2021-01-05,1474.4722083862468
2021-01-06,1493.9291363590353
2021-01-07,1500.4320672844617
2021-01-08,1512.1105127306146
2021-01-11,1504.831201548051
2021-01-12,1502.6112935921903
2021-01-13,1505.3167957255757
2021-01-14,1513.8818193158731
2021-01-15,1500.8268785916064
2021-01-18,1501.9816323637833
2021-01-19,1501.5866214008827
2021-01-20,1511.2383087358994
2021-01-21,1514.3112402883337
2021-01-22,1508.290012822761
2021-01-25,1499.6364609423774
2021-01-26,1509.119234828808
2021-01-27,1491.458125402259
2021-01-28,1490.1923752209025
2021-01-29,1461.377490158269
2021-02-01,1482.0253711152102
2021-02-02,1499.7372616522318
2021-02-03,1505.371575323967
2021-02-04,1510.8828101932168
2021-02-05,1505.7647688067038
2021-02-08,1508.1696897164536
2021-02-09,1508.5727789904824
2021-02-10,1503.7776421486424
2021-02-11,1513.5150728588246
2021-02-12,1526.8933000120796
2021-02-15,1543.8463037939048
2021-02-16,1541.01592431441
2021-02-17,1528.7397499442052
2021-02-18,1517.8586288588263
2021-02-19,1524.5308625257223
2021-02-22,1512.9441017801535
2021-02-23,1506.300724785545
2021-02-24,1510.3442821958076
2021-02-25,1508.8565105086882
2021-02-26,1486.2485514630616
2021-03-01,1512.5308128234926
2021-03-02,1516.1402323699267
2021-03-03,1514.9775900448326
2021-03-04,1511.2212322539428
2021-03-05,1497.3418460605667
2021-03-08,1527.483356746789
2021-03-09,1541.1482700317624
2021-03-10,1550.043751066534
2021-03-11,1557.5115142649533
2021-03-12,1551.2179227242082
2021-03-15,1551.844431542912
2021-03-16,1563.760519361807
2021-03-17,1555.3235240701722
2021-03-18,1562.9276878004885
2021-03-19,1553.3263281638115
2021-03-22,1557.6937811931134
2021-03-23,1556.1121289012042
2021-03-24,1556.6214008475924
2021-03-25,1557.1628435700027
2021-03-26,1570.0140043802378
2021-03-29,1575.415841278118
2021-03-30,1583.826030152032
2021-03-31,1580.9646768068849
2021-04-01,1591.0428580620894
2021-04-02,1591.0428580620892
2021-04-05,1592.118532021638
2021-04-06,1601.3368734652074
2021-04-07,1596.534887402709
2021-04-08,1608.5397104351575
2021-04-09,1612.6686392167037
2021-04-12,1603.0978828241798
2021-04-13,1605.7040530202833
2021-04-14,1605.6587066930763
2021-04-15,1614.3761451749128
2021-04-16,1627.677031872797
2021-04-19,1626.3559021395458
2021-04-20,1599.6914856178935
2021-04-21,1612.3082410168965
2021-04-22,1622.2269927101079
2021-04-23,1620.1805742595352
2021-04-26,1621.043430175921
2021-04-27,1617.7423890237844
2021-04-28,1616.3621782893258
2021-04-29,1611.8024783126625
2021-04-30,1606.6793256393614
2021-05-03,1617.8328976564337
2021-05-04,1593.9232463674318
2021-05-05,1624.4352957925082
2021-05-06,1623.6453146514348
2021-05-07,1638.9946877579314
2021-05-10,1638.2983091017284
2021-05-11,1606.662787965083
2021-05-12,1608.5034944075542
2021-05-13,1609.5070471231065
2021-05-14,1631.3808800953097
2021-05-17,1631.3014643983831
2021-05-18,1633.172335097319
2021-05-19,1608.4113674125847
2021-05-20,1630.9325875923332
2021-05-21,1641.016984387848
2021-05-24,1643.6645610278008
2021-05-25,1645.5440856192172
2021-05-26,1645.422312899518
2021-05-27,1641.9400653747184
2021-05-28,1650.9112358579416
2021-05-31,1641.8051338011992
2021-06-01,1652.7678045476275
2021-06-02,1657.0696146231053
2021-06-03,1657.3069283200841
2021-06-04,1663.9754861626946
2021-06-07,1670.3086404276303
2021-06-08,1671.6865194748805
2021-06-09,1673.2189028330722
2021-06-10,1673.8933225091164
2021-06-11,1683.2477435662793
2021-06-14,1688.4972000103623
2021-06-15,1692.9472892507342
2021-06-16,1698.1291141027762
2021-06-17,1697.6956569926147
2021-06-18,1669.6545123362127
2021-06-21,1682.7922952107228
2021-06-22,1686.5950919888694
2021-06-23,1672.9406092664185
2021-06-24,1689.350245784037
2021-06-25,1691.5465061313369
2021-06-28,1684.3682232488322
2021-06-29,1691.0007119452307
2021-06-30,1677.9113522663883
2021-07-01,1687.166638720146
2021-07-02,1691.4344404924584
2021-07-05,1696.6212294853433
2021-07-06,1690.4918590312234
2021-07-07,1705.586653844446
2021-07-08,1676.5712060818319
2021-07-09,1697.0834157776474
2021-07-12,1710.1242629823994
2021-07-13,1712.193810625283
2021-07-14,1711.4433340177102
2021-07-15,1695.9737045283769
2021-07-16,1691.7736882128777
2021-07-19,1657.928878148231
2021-07-20,1665.5738842985656
2021-07-21,1690.4852535272362
2021-07-22,1697.6915493843999
2021-07-23,1716.879816554445
2021-07-26,1713.0659642822002
2021-07-27,1701.749380022706
2021-07-28,1713.525861606629
2021-07-29,1721.4747215598402
2021-07-30,1715.1001142255054
2021-08-02,1723.2655943846585
2021-08-03,1728.2471033456402
2021-08-04,1741.9145768109684
2021-08-05,1751.7543201950514
2021-08-06,1748.8895712134886
2021-08-09,1754.7461248067439
2021-08-10,1759.7664487390457
2021-08-11,1767.143475652112
2021-08-12,1772.0231943635386
2021-08-13,1775.2962001887156
2021-08-16,1767.382295677141
2021-08-17,1767.6507342949442
2021-08-18,1771.9539446226042
2021-08-19,1750.8746872889985
2021-08-20,1757.6706596486463
2021-08-23,1766.9213967330304
2021-08-24,1764.0224571831325
2021-08-25,1762.8040499268236
2021-08-26,1759.5687756880466
2021-08-27,1765.3289244201424
2021-08-30,1766.370065581676
2021-08-31,1761.3254780371967
2021-09-01,1770.2267702752008
2021-09-02,1775.4694071607812
2021-09-03,1765.9646304368641
2021-09-06,1779.9033995352147
2021-09-07,1770.9866781475034
2021-09-08,1753.9737739040893
2021-09-09,1749.6445729925656
2021-09-10,1744.080429215919
2021-09-13,1749.031182798411
2021-09-14,1752.5516865729298
2021-09-15,1738.3145032971765
2021-09-16,1747.6772962034452
2021-09-17,1729.4048770628472
2021-09-20,1704.1280014147642
2021-09-21,1720.6751186297604
2021-09-22,1734.5017819864918
2021-09-23,1752.3545546162743
2021-09-24,1736.584903319994
2021-09-27,1726.4241330997827
2021-09-28,1687.5533865645373
2021-09-29,1696.1040251095683
2021-09-30,1695.1916922692353
2021-10-01,1688.5925813991587
2021-10-04,1680.872068020018
2021-10-05,1700.0213671024546
2021-10-06,1684.1265764600428
2021-10-07,1711.5278349494158
2021-10-08,1704.5107894121695
2021-10-11,1702.0463939949518
2021-10-12,1699.5040943562021
2021-10-13,1712.4752528308231
2021-10-14,1731.3513534783017
2021-10-15,1746.9559038229713
2021-10-18,1740.9128076407821
2021-10-19,1747.3079300836685
2021-10-20,1748.577684640451
2021-10-21,1749.3235896253807
2021-10-22,1761.1974429229879
2021-10-25,1760.0053055365624
2021-10-26,1773.2166533309935
2021-10-27,1770.303034211785
2021-10-28,1776.1293032349051
2021-10-29,1779.494344208115
2021-11-01,1793.0307767568727
2021-11-02,1800.3213883448755
2021-11-03,1807.8666222313584
2021-11-04,1817.1725602687718
2021-11-05,1811.0087431098725
2021-11-08,1813.0900366370581
2021-11-09,1813.3450716493678
2021-11-10,1817.1166226583719
2021-11-11,1823.849851157413
2021-11-12,1828.3491992386191
2021-11-15,1836.4351018646425
2021-11-16,1837.8047916898654
2021-11-17,1841.8434939460321
2021-11-18,1835.7201834652114
2021-11-19,1829.7389118826425
2021-11-22,1826.4058624426045
2021-11-23,1798.6469115891243
2021-11-24,1799.9315039372684
2021-11-25,1806.383545864165
2021-11-26,1746.7745598073502
2021-11-29,1757.355122396188
2021-11-30,1741.9238797746466
2021-12-01,1773.189757923842
2021-12-02,1750.5692221523352
2021-12-03,1742.279236171711
2021-12-06,1764.275845603586
2021-12-07,1808.402729000035
2021-12-08,1799.50553449874
2021-12-09,1797.2727927315013
2021-12-10,1791.6788851343817
2021-12-13,1785.9310570224281
2021-12-14,1766.476391419985
2021-12-15,1772.8536767497012
2021-12-16,1793.2033936417863
2021-12-17,1782.0905483850822
2021-12-20,1755.7181896587551
2021-12-21,1782.1511352730956
2021-12-22,1798.463682317426
2021-12-23,1815.896502118923
2021-12-24,1814.1239752859824
2021-12-27,1825.6583648555938
2021-12-28,1836.5812917091669
2021-12-29,1834.601635900097
2021-12-30,1838.2165712086958
2021-12-31,1834.7787835555007
2022-01-03,1840.888434506137
2022-01-04,1849.063437755659
2022-01-05,1849.508482673764
2022-01-06,1824.6628077577438
2022-01-07,1820.1767442924104
2022-01-10,1789.3888128338992
2022-01-11,1805.812050088952
2022-01-12,1819.0024330216465
2022-01-13,1817.834427489863
2022-01-14,1797.8881390104818
2022-01-17,1810.716991649708
2022-01-18,1791.7864855613643
2022-01-19,1795.5297595992872
2022-01-20,1805.775447415698
2022-01-21,1773.4863399429466
2022-01-24,1710.950540793157
2022-01-25,1720.3881876423886
2022-01-26,1744.829410975026
2022-01-27,1752.9516177130477
2022-01-28,1734.3748114195992
2022-01-31,1749.462789834485
2022-02-01,1768.1779939426829
2022-02-02,1777.5694247667113
2022-02-03,1741.7426139926636
2022-02-04,1716.394855710176
2022-02-07,1728.546128434381
2022-02-08,1727.163038821165
2022-02-09,1757.976591801079
2022-02-10,1752.3505854428802
2022-02-11,1736.4430353433877
2022-02-14,1703.1677746424173
2022-02-15,1730.3685630615917
2022-02-16,1731.6549194040165
2022-02-17,1723.294642707352
2022-02-18,1709.4089935896404
2022-02-21,1685.079992056137
2022-02-22,1684.633652831953
2022-02-23,1680.749126822601
2022-02-24,1629.1489350962765
2022-02-25,1679.5497191748755
2022-02-28,1680.2486044426187
2022-03-01,1643.2183425775877
2022-03-02,1654.3356884260538
2022-03-03,1625.2824245052066
2022-03-04,1568.4784210232713
2022-03-07,1552.4413833443061
2022-03-08,1545.0799273488747
2022-03-09,1619.6935278146968
2022-03-10,1591.705186635392
2022-03-11,1604.3488270340579
2022-03-14,1626.4278439996308
2022-03-15,1622.2464849192725
2022-03-16,1673.410271594343
2022-03-17,1680.3203385112993
2022-03-18,1697.235392735025
2022-03-21,1696.0535233373994
2022-03-22,1709.5518118659522
2022-03-23,1691.5654025517708
2022-03-24,1686.7908852359903
2022-03-25,1684.9450823786171
2022-03-28,1690.1146524513904
2022-03-29,1722.3426424654865
2022-03-30,1713.1568636318405
2022-03-31,1695.807395429723
2022-04-01,1705.4290995855165
2022-04-04,1719.692186101246
2022-04-05,1724.1361481091558
2022-04-06,1697.8193646077098
2022-04-07,1699.4887612146592
2022-04-08,1719.261084468256
2022-04-11,1709.7947180986062
2022-04-12,1699.39214295921
2022-04-13,1700.3140148829161
2022-04-14,1711.280209521723
2022-04-15,1711.280209521723
2022-04-18,1708.7361245007814
2022-04-19,1696.4028850842888
2022-04-20,1713.8162136490046
2022-04-21,1716.4701026414677
2022-04-22,1687.737617526246
2022-04-25,1659.7826712363124
2022-04-26,1645.2136405767678
2022-04-27,1658.4310460850304
2022-04-28,1670.1735273659192
2022-04-29,1684.8201759559445
2022-05-02,1662.1889617188758
2022-05-03,1668.6887740029886
2022-05-04,1650.7220799800507
2022-05-05,1638.5043565647175
2022-05-06,1606.6136461977455
2022-05-09,1561.7097115917338
2022-05-10,1573.5734033281603
2022-05-11,1594.7967326071782
2022-05-12,1585.6439462578703
2022-05-13,1615.424769174573
2022-05-16,1613.1163665867834
2022-05-17,1632.2686870196821
