Date,ACWI ex JAPAN ESG LEADERS
2017-05-01,1938.957026866197
2017-05-02,1947.5061440137558
2017-05-03,1943.2804759992764
2017-05-04,1938.6437950908692
2017-05-05,1940.69799433547
2017-05-08,1948.0483317784312
2017-05-09,1954.0903735694978
2017-05-10,1962.8459539206171
2017-05-11,1957.8163045843182
2017-05-12,1949.7017657254842
2017-05-15,1952.2737454111264
2017-05-16,1938.853219288687
2017-05-17,1905.0925738619912
2017-05-18,1903.011651127091
2017-05-19,1905.5996858529843
2017-05-22,1907.1318922022501
2017-05-23,1913.0703334392613
2017-05-24,1921.957125445175
2017-05-25,1926.2924025316324
2017-05-26,1930.423065780444
2017-05-29,1930.5994382035356
2017-05-30,1929.901516236548
2017-05-31,1920.2102177509748
2017-06-01,1933.303394535383
2017-06-02,1934.3122492321513
2017-06-05,1935.90150224413
2017-06-06,1925.91560337203
2017-06-07,1925.8564548324744
2017-06-08,1931.8838167988583
2017-06-09,1940.333400567045
2017-06-12,1930.680434801156
2017-06-13,1940.9166686176643
2017-06-14,1930.6548397198826
2017-06-15,1939.6235728568615
2017-06-16,1938.1192144479676
2017-06-19,1956.8756538805274
2017-06-20,1949.071174009688
2017-06-21,1943.1348360780833
2017-06-22,1944.6659189201662
2017-06-23,1942.0268846205174
2017-06-26,1946.322171268568
2017-06-27,1921.6250047465262
2017-06-28,1919.9872886738615
2017-06-29,1897.4460411487091
2017-06-30,1899.8855605368497
2017-07-03,1912.1723764707665
2017-07-04,1911.5289014352163
2017-07-05,1915.5131559600252
2017-07-06,1891.4323515843969
2017-07-07,1898.9788225442248
2017-07-10,1903.882352217158
2017-07-11,1898.5638025830292
2017-07-12,1915.4829803503683
2017-07-13,1925.4090827774262
2017-07-14,1930.0884118114716
2017-07-17,1928.6581445867357
2017-07-18,1911.5174258622174
2017-07-19,1932.426487205011
2017-07-20,1918.0647962406674
2017-07-21,1910.6162877179606
2017-07-24,1909.3124248749666
2017-07-25,1911.443481659609
2017-07-26,1915.112322566812
2017-07-27,1912.179902709535
2017-07-28,1896.6411755057118
2017-07-31,1892.8325402671692
2017-08-01,1895.71517272975
2017-08-02,1886.6330238176686
2017-08-03,1880.6467894563393
2017-08-04,1901.765880903681
2017-08-07,1897.8548402695862
2017-08-08,1904.155107046957
2017-08-09,1896.8292411087148
2017-08-10,1875.4110320427274
2017-08-11,1863.2928814349973
2017-08-14,1883.2074711423318
2017-08-15,1889.0606545727253
2017-08-16,1899.1396047317578
2017-08-17,1876.5897133915087
2017-08-18,1868.9106122245773
2017-08-21,1860.5512902095554
2017-08-22,1883.6020756713415
2017-08-23,1872.0506941074275
2017-08-24,1875.7987853273341
2017-08-25,1870.2485774351744
2017-08-28,1857.351556521918
2017-08-29,1843.0588484354946
2017-08-30,1864.9042507091976
2017-08-31,1879.4173868513717
2017-09-01,1886.4796565710737
2017-09-04,1877.4052266647577
2017-09-05,1869.9990029927
2017-09-06,1870.176330455048
2017-09-07,1865.8013893072232
2017-09-08,1864.8276182303025
2017-09-11,1888.6330239360057
2017-09-12,1899.2526268837833
2017-09-13,1903.0597540887525
2017-09-14,1909.3987368204243
2017-09-15,1899.8415531132691
2017-09-18,1906.95057994398
2017-09-19,1904.6354960844988
2017-09-20,1906.2237350628936
2017-09-21,1909.9084360441675
2017-09-22,1905.2632551506283
2017-09-25,1914.8336877286772
2017-09-26,1923.2581547397947
2017-09-27,1931.7262026017695
2017-09-28,1924.1069489816275
2017-09-29,1928.1175019802297
2017-10-02,1946.9517491953036
2017-10-03,1949.96226847973
2017-10-04,1951.7937618414949
2017-10-05,1963.2546646302053
2017-10-06,1959.2191302505335
2017-10-09,1957.6788437671785
2017-10-10,1953.3676536650407
2017-10-11,1953.3399038724485
2017-10-12,1956.5137779589263
2017-10-13,1962.1216403609446
2017-10-16,1968.7290502120752
2017-10-17,1972.2177021020664
2017-10-18,1972.1915919240625
2017-10-19,1960.7525026226158
2017-10-20,1972.2633801123827
2017-10-23,1973.7668271313928
2017-10-24,1969.830043599601
2017-10-25,1954.9987863838437
2017-10-26,1974.8518976294647
2017-10-27,2000.668193451611
2017-10-30,1992.131634433533
2017-10-31,1992.9177839916429
2017-11-01,2003.635932071314
2017-11-02,1994.5748895798865
2017-11-03,2004.470884594718
2017-11-06,2012.0883195074503
2017-11-07,2012.221923979829
2017-11-08,2013.539415199043
2017-11-09,1997.6535078435306
2017-11-10,1988.5333041607335
2017-11-13,1985.0461049882936
2017-11-14,1968.7461969289668
2017-11-15,1951.8289527908048
2017-11-16,1971.3433427371945
2017-11-17,1970.5197398465875
2017-11-20,1980.871333923331
2017-11-21,1996.418259448216
2017-11-22,1986.0071228160425
2017-11-23,1977.7284250082287
2017-11-24,1967.1175099424067
2017-11-27,1966.070697226445
2017-11-28,1987.1989058119602
2017-11-29,1990.3392131791852
2017-11-30,1982.5251563045474
2017-12-01,1985.3403173331394
2017-12-04,1991.6374733824541
2017-12-05,1986.701806392995
2017-12-06,1986.7304268822222
2017-12-07,1989.9079772785317
2017-12-08,2007.5423410726025
2017-12-11,2008.34506474353
2017-12-12,2018.29591248295
2017-12-13,2015.2527025687248
2017-12-14,2007.2528153616101
2017-12-15,2016.111649372755
2017-12-18,2024.411125876447
2017-12-19,2020.8772839759008
2017-12-20,2008.936580418153
2017-12-21,2016.7497311496986
2017-12-22,2021.183154775533
2017-12-25,2021.312928524328
2017-12-26,2017.3313157512314
2017-12-27,2016.8641396063042
2017-12-28,2015.7849723841393
2017-12-29,2002.1622083480904
2018-01-01,2001.870113947568
2018-01-02,2008.0022699409328
2018-01-03,2022.2365002117215
2018-01-04,2027.475066130603
2018-01-05,2046.5837991031765
2018-01-08,2060.5968760591636
2018-01-09,2070.526181012275
2018-01-10,2056.030691147903
2018-01-11,2052.579710435101
2018-01-12,2052.459062451115
2018-01-15,2037.542999525266
2018-01-16,2041.3229644476642
2018-01-17,2052.3978279737985
2018-01-18,2052.565168443644
2018-01-19,2065.969693608902
2018-01-22,2075.317398856798
2018-01-23,2076.9236960297385
2018-01-24,2063.950888023015
2018-01-25,2046.1869787987848
2018-01-26,2072.1970171284224
2018-01-29,2072.0069030262675
2018-01-30,2042.2967693825144
2018-01-31,2036.2959557345382
2018-02-01,2029.9105405845266
2018-02-02,2000.6270405554044
2018-02-05,1943.6357111304192
2018-02-06,1946.025028849665
2018-02-07,1956.3241817778621
2018-02-08,1909.1866545527298
2018-02-09,1915.0353413752541
2018-02-12,1933.209153851854
2018-02-13,1926.284872875485
2018-02-14,1942.863308570514
2018-02-15,1955.4538174752818
2018-02-16,1964.3996559220398
2018-02-19,1968.043520383204
2018-02-20,1970.238062503593
2018-02-21,1970.3798737632699
2018-02-22,1967.236644925822
2018-02-23,1994.1106915874054
2018-02-26,2011.6858207979233
2018-02-27,2000.8624072572588
2018-02-28,1983.537284288259
2018-03-01,1966.4613735930945
2018-03-02,1944.0200660782837
2018-03-05,1956.5034979973666
2018-03-06,1958.539344811606
2018-03-07,1957.4576331715468
2018-03-08,1978.9407294317905
2018-03-09,2005.6858151927686
2018-03-12,2009.5006186519813
2018-03-13,1988.8639848119565
2018-03-14,1986.045433566023
2018-03-15,1990.287243909144
2018-03-16,1998.1208407612476
2018-03-19,1970.063204624859
2018-03-20,1982.3127361657926
2018-03-21,1982.6255359976283
2018-03-22,1939.12732685414
2018-03-23,1898.7070102966882
2018-03-26,1917.3856837323822
2018-03-27,1912.1581032678682
2018-03-28,1909.882895879987
2018-03-29,1935.3604149861612
2018-03-30,1935.8962350010922
2018-04-02,1908.9117130698469
2018-04-03,1924.5129075886857
2018-04-04,1928.7585340671683
2018-04-05,1956.856717930889
2018-04-06,1927.6775992410912
2018-04-09,1927.4796937355059
2018-04-10,1947.902161206525
2018-04-11,1936.679306954659
2018-04-12,1956.4040368567637
2018-04-13,1951.7111044536298
2018-04-16,1953.3473114801568
2018-04-17,1970.7958455920223
2018-04-18,1970.9787310458382
2018-04-19,1967.5112896366575
2018-04-20,1964.1247567724172
2018-04-23,1971.0387076722566
2018-04-24,1957.0361115352532
2018-04-25,1956.8500966277086
2018-04-26,1979.0382435440076
2018-04-27,1987.4930294472215
2018-04-30,1983.8107503913473
2018-05-01,1996.359490328218
2018-05-02,1990.556178926195
2018-05-03,1981.339443230343
2018-05-04,2002.1282692012119
2018-05-07,2010.8049071984005
2018-05-08,2018.7644837035932
2018-05-09,2031.9219804315833
2018-05-10,2042.6288073193043
2018-05-11,2039.8317355459487
2018-05-14,2038.149712577985
2018-05-15,2038.2845792667454
2018-05-16,2055.887295413421
2018-05-17,2056.6570768372403
2018-05-18,2054.3323164613944
2018-05-21,2066.3414040163834
2018-05-22,2062.4375046996106
2018-05-23,2067.921497434387
2018-05-24,2062.093031391219
2018-05-25,2069.3497277342067
2018-05-28,2072.087321992504
2018-05-29,2057.247596912411
2018-05-30,2063.9247076803344
2018-05-31,2043.740354678893
2018-06-01,2065.809515868317
2018-06-04,2074.889279614946
2018-06-05,2076.265136208898
2018-06-06,2074.05412531819
2018-06-07,2065.493357577829
2018-06-08,2073.350469491967
2018-06-11,2072.88501679354
2018-06-12,2078.2111755283586
2018-06-13,2075.0049183293722
2018-06-14,2095.7922160391345
2018-06-15,2093.9083877026073
2018-06-18,2085.735538405286
2018-06-19,2079.204895297414
2018-06-20,2082.7303463167086
2018-06-21,2063.7513076154482
2018-06-22,2069.4694087734956
2018-06-25,2033.0212481332449
2018-06-26,2036.9695307032237
2018-06-27,2033.589041770615
2018-06-28,2037.6676221014236
2018-06-29,2038.9725085380353
2018-07-02,2044.3720895780914
2018-07-03,2038.9680426393961
2018-07-04,2039.9179851675754
2018-07-05,2045.436496199122
2018-07-06,2052.4776694422853
2018-07-09,2069.84777023071
2018-07-10,2081.9592227415324
2018-07-11,2064.028697138677
2018-07-12,2084.2745998007244
2018-07-13,2090.495332464811
2018-07-16,2078.769511613112
2018-07-17,2088.504092976747
2018-07-18,2099.2407246905823
2018-07-19,2096.2126824841225
2018-07-20,2084.8447280384257
2018-07-23,2084.4234739159747
2018-07-24,2093.5233464918942
2018-07-25,2111.7332222766263
2018-07-26,2121.243317413924
2018-07-27,2115.600031361282
2018-07-30,2097.310885813447
2018-07-31,2106.7275928974177
2018-08-01,2105.0197817096805
2018-08-02,2110.8241030434524
2018-08-03,2124.5348745311
2018-08-06,2131.958911848261
2018-08-07,2134.97680270082
2018-08-08,2131.0625043008213
2018-08-09,2134.703388144325
2018-08-10,2135.570585805857
2018-08-13,2126.4626839779776
2018-08-14,2141.7760291071695
2018-08-15,2129.5494620889867
2018-08-16,2130.6361489122382
2018-08-17,2132.4655787459274
2018-08-20,2139.3221272029823
2018-08-21,2131.769099551552
2018-08-22,2122.2619177163124
2018-08-23,2122.215431169059
2018-08-24,2124.7195959787
2018-08-27,2135.95816455152
2018-08-28,2130.8828246616063
2018-08-29,2141.899016182677
2018-08-30,2135.700209180238
2018-08-31,2132.930519953123
2018-09-03,2131.838214074544
2018-09-04,2131.056392271343
2018-09-05,2106.2538905901297
2018-09-06,2099.678472975575
2018-09-07,2103.917989015902
2018-09-10,2105.7630677715256
2018-09-11,2108.7832509141836
2018-09-12,2106.8910551018716
2018-09-13,2109.507249774372
2018-09-14,2116.7678551175068
2018-09-17,2105.7211723102223
2018-09-18,2111.9415566457806
2018-09-19,2119.4438910775184
2018-09-20,2124.0120896868316
2018-09-21,2130.692134205658
2018-09-24,2115.3387733116597
2018-09-25,2113.725965555411
2018-09-26,2118.091180745899
2018-09-27,2132.2434238390606
2018-09-28,2138.3448408240943
2018-10-01,2149.664470060786
2018-10-02,2145.1557848014113
2018-10-03,2149.8595042739785
2018-10-04,2128.1054082880573
2018-10-05,2115.6201734516444
2018-10-08,2111.7455678776705
2018-10-09,2109.220954186304
2018-10-10,2047.096161248097
2018-10-11,1997.5269761281616
2018-10-12,2020.7522428391549
2018-10-15,2007.943374629576
2018-10-16,2045.7391267331204
