Date,EMU
2009-09-30,233.60247997149008
2009-10-01,228.32490166665625
2009-10-02,224.76924592424123
2009-10-05,227.2932699674288
2009-10-06,235.21838624864222
2009-10-07,233.46392020235498
2009-10-08,237.80925565970966
2009-10-09,237.57152640576115
2009-10-12,241.05592056987953
2009-10-13,238.7845422782535
2009-10-14,245.11542520832245
2009-10-15,244.9796505329437
2009-10-16,240.84867058291897
2009-10-19,245.8192278748451
2009-10-20,244.21313440866666
2009-10-21,245.44066577519004
2009-10-22,242.7140101501044
2009-10-23,241.65865981627348
2009-10-26,236.3563877622845
2009-10-27,233.68074155875706
2009-10-28,227.47296156852045
2009-10-29,232.37404277530885
2009-10-30,225.41892598536387
2009-11-02,227.7489000671592
2009-11-03,222.13784290823915
2009-11-04,229.0075432091743
2009-11-05,231.96966655376437
2009-11-06,231.88270473800645
2009-11-09,238.89419368035428
2009-11-10,237.5180853887457
2009-11-11,239.78126516571012
2009-11-12,237.88258321517642
2009-11-13,238.55849387589575
2009-11-16,243.3003053594509
2009-11-17,239.62678202327112
2009-11-18,242.06018576810882
2009-11-19,236.20758494452156
2009-11-20,233.82520289580876
2009-11-23,240.95621814544288
2009-11-24,238.76957853465768
2009-11-25,241.58395785731983
2009-11-26,232.62733288662554
2009-11-27,235.1430734513594
2009-11-30,232.9929953624359
2009-12-01,240.49608178386717
2009-12-02,240.89768558414823
2009-12-03,241.09624321911187
2009-12-04,240.46590141835517
2009-12-07,238.506237901476
2009-12-08,233.25881953353758
2009-12-09,230.69250873277895
2009-12-10,232.69810569977355
2009-12-11,232.05266022929104
2009-12-14,234.494578105645
2009-12-15,233.22652077476326
2009-12-16,236.38254697278245
2009-12-17,230.1180231210389
2009-12-18,227.4847437727159
2009-12-21,231.63031573651307
2009-12-22,231.90760380825287
2009-12-23,234.2402219895279
2009-12-24,234.66429383484106
2009-12-25,234.66429383484106
2009-12-28,236.81743066982182
2009-12-29,237.86807410867115
2009-12-30,234.5980967137461
2009-12-31,235.3138429653249
2010-01-01,235.3138429653249
2010-01-04,240.99246878708976
2010-01-05,240.9265975220422
2010-01-06,240.69055904913236
2010-01-07,239.5536723960206
2010-01-08,240.33446639285765
2010-01-11,243.62633578555085
2010-01-12,240.59153634853837
2010-01-13,240.55211388674851
2010-01-14,241.1088823718189
2010-01-15,235.983199453603
2010-01-18,237.40983822235623
2010-01-19,237.4448578026806
2010-01-20,229.9194815111979
2010-01-21,225.36722306841918
2010-01-22,224.58546616772017
2010-01-25,223.09774602249075
2010-01-26,222.72594752058384
2010-01-27,219.72261338728745
2010-01-28,215.41036762712423
2010-01-29,217.27351063326827
2010-02-01,218.6598084878744
2010-02-02,222.1605952820342
2010-02-03,219.68926179856427
2010-02-04,210.55551807185026
2010-02-05,203.5699950149677
2010-02-08,205.5736940666722
2010-02-09,206.755541984164
2010-02-10,208.34440867112502
2010-02-11,205.68920841241845
2010-02-12,204.99716966919144
2010-02-15,205.31123189936142
2010-02-16,209.4356671231921
2010-02-17,211.5885662666629
2010-02-18,212.27890999335085
2010-02-19,211.79142784867352
2010-02-22,212.1689444127776
2010-02-23,208.5529341554162
2010-02-24,209.35130368166438
2010-02-25,204.367861040943
2010-02-26,209.42293432087217
2010-03-01,210.2193780882221
2010-03-02,213.53856368726935
2010-03-03,217.57667103422654
2010-03-04,216.18987820771758
2010-03-05,220.1509516051479
2010-03-08,221.02831763557165
2010-03-09,219.86808811566496
2010-03-10,223.38518005975848
2010-03-11,222.73422979601926
2010-03-12,224.50920838708328
2010-03-15,220.85830208715907
2010-03-16,225.0246908756401
2010-03-17,226.51936345281362
2010-03-18,223.13356203712095
2010-03-19,221.0136808651738
2010-03-22,220.6071607909482
2010-03-23,222.28968728217205
2010-03-24,219.08053167178662
2010-03-25,221.92498517086065
2010-03-26,222.61910523967876
2010-03-29,224.37409449140029
2010-03-30,222.66403084682048
2010-03-31,223.95949145819063
2010-04-01,227.47964673729305
2010-04-02,227.47964673729305
2010-04-05,226.95873304947355
2010-04-06,225.99027550296688
2010-04-07,224.28561569083902
2010-04-08,222.0666441193541
2010-04-09,227.25493798220063
2010-04-12,230.60034244535416
2010-04-13,229.00773747151814
2010-04-14,231.6039452725775
2010-04-15,231.048860762425
2010-04-16,225.86750180686965
2010-04-19,224.1766152574446
2010-04-20,227.47112305917545
2010-04-21,224.2552252689881
2010-04-22,219.29135820601704
2010-04-23,222.20042349049663
2010-04-26,223.29398310149205
2010-04-27,215.6209342070991
2010-04-28,210.04433116578028
2010-04-29,214.17211679692363
2010-04-30,214.650872478219
2010-05-03,213.26745117517567
2010-05-04,203.44428967452654
2010-05-05,198.10379869139283
2010-05-06,191.92931544106446
2010-05-07,183.81129884793705
2010-05-10,203.3252215497571
2010-05-11,199.55518243767878
2010-05-12,202.49404178586676
2010-05-13,200.78806631272192
2010-05-14,190.21102821497175
2010-05-17,188.5366612759
2010-05-18,192.97688298200842
2010-05-19,187.12991019874318
2010-05-20,183.4674782203039
2010-05-21,187.02404604874624
2010-05-24,183.83653351350245
2010-05-25,176.60829500975967
2010-05-26,179.72577541846928
2010-05-27,186.45419002473506
2010-05-28,187.36003836964488
2010-05-31,186.45517555827132
2010-06-01,186.39259272588978
2010-06-02,185.02230834127516
2010-06-03,187.46692895137792
2010-06-04,179.92199309898947
2010-06-07,176.57321823424348
2010-06-08,175.31948639763763
2010-06-09,180.44207529240023
2010-06-10,184.88556947111957
2010-06-11,186.37954682504116
2010-06-14,192.2713673487194
2010-06-15,194.75250046035544
2010-06-16,194.82509288728846
2010-06-17,196.12267258439476
2010-06-18,197.47232658773467
2010-06-21,199.62004622205384
2010-06-22,196.71221224416368
2010-06-23,193.3518047916771
2010-06-24,190.51613543993233
2010-06-25,188.870831332712
2010-06-28,192.03553214557056
2010-06-29,182.30682100791896
2010-06-30,184.01563447857458
2010-07-01,183.21767667745698
2010-07-02,185.75262199691642
2010-07-05,183.93076818805187
2010-07-06,190.56892748293728
2010-07-07,193.62941458328413
2010-07-08,196.56743402481752
2010-07-09,196.83831228749028
2010-07-12,196.50315054828636
2010-07-13,201.66495427265173
2010-07-14,202.73087722334193
2010-07-15,202.99479004170644
2010-07-16,200.1056915960381
2010-07-19,199.383629482004
2010-07-20,197.47497207747958
2010-07-21,197.8493380550847
2010-07-22,204.5470411171255
2010-07-23,203.6884332074588
2010-07-26,207.1944832633732
2010-07-27,209.42528463750384
2010-07-28,209.40827776785468
2010-07-29,209.76075088634326
2010-07-30,208.0062656761809
2010-08-02,216.1772056228388
2010-08-03,216.8663693554885
2010-08-04,215.98986769464258
2010-08-05,215.84725814913452
2010-08-06,215.08855222182956
2010-08-09,217.40777703125232
2010-08-10,212.7002531738972
2010-08-11,204.2436157731139
2010-08-12,202.97886977664027
2010-08-13,201.08848963523414
2010-08-16,201.98995987110823
2010-08-17,205.5105768793153
2010-08-18,204.71055396161336
2010-08-19,201.37907138868766
2010-08-20,196.09454807307816
2010-08-23,196.70142855975467
2010-08-24,193.93738796386415
2010-08-25,191.22212256449785
2010-08-26,194.46719610285635
2010-08-27,195.69000198304136
2010-08-30,194.41890495475172
2010-08-31,195.22786067269183
2010-09-01,203.16145304576565
2010-09-02,203.6467034532893
2010-09-03,206.0654114955456
2010-09-06,206.98484942559807
2010-09-07,202.58313043016196
2010-09-08,204.53173327992297
2010-09-09,206.70266069582377
2010-09-10,206.48407288115456
2010-09-13,210.58777283384464
2010-09-14,212.54554454981923
