Date,WORLD ex AUSTRALIA WITH USA GROSS
2011-09-02,1535.9302684487438
2011-09-05,1508.5917152018148
2011-09-06,1494.11363276558
2011-09-07,1535.3114087859585
2011-09-08,1529.803229651421
2011-09-09,1483.2503303831988
2011-09-12,1470.1553600628697
2011-09-13,1486.3449642195071
2011-09-14,1502.3306475568677
2011-09-15,1534.2270458207956
2011-09-16,1541.4919077503268
2011-09-19,1517.203823661474
2011-09-20,1524.563066346023
2011-09-21,1490.992600597473
2011-09-22,1429.683120188762
2011-09-23,1438.1646810975396
2011-09-26,1458.800169078848
2011-09-27,1497.2426658565312
2011-09-28,1474.7391916651966
2011-09-29,1485.5285657370027
2011-09-30,1451.1851090498747
2011-10-03,1413.5117303822894
2011-10-04,1414.4902523150452
2011-10-05,1442.7965680522946
2011-10-06,1478.1900575023485
2011-10-07,1479.0789247744108
2011-10-10,1519.2269082769785
2011-10-11,1522.8013951141183
2011-10-12,1544.4208444507249
2011-10-13,1535.3574448905335
2011-10-14,1558.2256650155725
2011-10-17,1537.8498000966283
2011-10-18,1547.2951652950258
2011-10-19,1542.8745433035817
2011-10-20,1533.6425444405693
2011-10-21,1570.3391644601481
2011-10-24,1592.1214107782125
2011-10-25,1570.4108469913438
2011-10-26,1577.2170478061223
2011-10-27,1642.3987897495872
2011-10-28,1646.7428922026218
2011-10-31,1597.9162259404047
2011-11-01,1542.7261941475037
2011-11-02,1563.4173178227143
2011-11-03,1587.7369366403047
2011-11-04,1581.0113176645307
2011-11-07,1584.1930320184592
2011-11-08,1599.043232356087
2011-11-09,1551.3989100877284
2011-11-10,1551.393688047821
2011-11-11,1585.9869598141556
2011-11-14,1571.4196084288567
2011-11-15,1567.6139586094773
2011-11-16,1552.2316522922688
2011-11-17,1530.2586824153482
2011-11-18,1524.476589133742
2011-11-21,1490.0050345013428
2011-11-22,1485.3262531416651
2011-11-23,1454.1301841891238
2011-11-24,1449.8468559658152
2011-11-25,1447.896301487922
2011-11-28,1493.2131078298635
2011-11-29,1502.4848404199045
2011-11-30,1562.3992943260855
2011-12-01,1560.9119490533694
2011-12-02,1564.1966135929288
2011-12-05,1579.5985859511695
2011-12-06,1573.2082459087496
2011-12-07,1577.768020431918
2011-12-08,1547.2239537585883
2011-12-09,1566.0169850254524
2011-12-12,1540.744068722501
2011-12-13,1528.7777227611646
2011-12-14,1502.1584530136195
2011-12-15,1508.0143597307854
2011-12-16,1512.3761256274097
2011-12-19,1498.8181099645699
2011-12-20,1537.4500166873847
2011-12-21,1536.5995556493071
2011-12-22,1549.8826665945803
2011-12-23,1561.1225950959504
2011-12-26,1561.9603767908152
2011-12-27,1562.9971624770474
2011-12-28,1543.0595981029537
2011-12-29,1556.4287857328827
2011-12-30,1562.8597220992908
2012-01-02,1567.6325360033427
2012-01-03,1593.8165801413284
2012-01-04,1589.5491798901696
2012-01-05,1581.7062830356765
2012-01-06,1575.3205677803383
2012-01-09,1576.5080998627277
2012-01-10,1595.9455098482922
2012-01-11,1591.320335568256
2012-01-12,1595.505589564649
2012-01-13,1586.8173153096466
2012-01-16,1589.2871389235652
2012-01-17,1600.5304215112235
2012-01-18,1615.267254160239
2012-01-19,1630.0444014441082
2012-01-20,1633.1193500578158
2012-01-23,1642.4879210217555
2012-01-24,1635.3936478081414
2012-01-25,1643.2954217084834
2012-01-26,1652.291143823585
2012-01-27,1645.9105821263586
2012-01-30,1636.7680492253419
2012-01-31,1639.3525255218374
2012-02-01,1662.3954386734026
2012-02-02,1665.0444658423255
2012-02-03,1684.2069728240735
2012-02-06,1683.4407175987308
2012-02-07,1689.9613620911528
2012-02-08,1694.130272075194
2012-02-09,1698.4335396568165
2012-02-10,1679.808675916327
2012-02-13,1692.1989432967357
2012-02-14,1686.0381930000485
2012-02-15,1687.47203843711
2012-02-16,1696.4159873709202
2012-02-17,1707.2002276711257
2012-02-20,1717.36949763793
2012-02-21,1714.8923549382152
2012-02-22,1707.6631520108353
2012-02-23,1714.956671786116
2012-02-24,1723.215127960265
2012-02-27,1720.772049590991
2012-02-28,1727.6676556396087
2012-02-29,1721.325265209123
2012-03-01,1730.1005068080076
2012-03-02,1721.9038726841704
2012-03-05,1713.7555575076024
2012-03-06,1678.7926445079715
2012-03-07,1687.634301345684
2012-03-08,1714.2480666582524
2012-03-09,1715.5995922527657
2012-03-12,1713.6150559654657
2012-03-13,1739.0664556350214
2012-03-14,1735.3501332585215
2012-03-15,1747.0776604138375
2012-03-16,1755.7080114942391
2012-03-19,1761.9165669423205
2012-03-20,1750.5556540387931
2012-03-21,1745.385723334239
2012-03-22,1734.4807703407255
2012-03-23,1739.431809996188
2012-03-26,1760.0523013520785
2012-03-27,1758.3379508477597
2012-03-28,1746.837640608356
2012-03-29,1737.5467446381517
2012-03-30,1746.6018725421645
2012-04-02,1763.6769822728122
2012-04-03,1753.7703781754076
2012-04-04,1720.0377964902505
2012-04-05,1718.0061729024471
2012-04-06,1716.5409545886766
2012-04-09,1704.2732725963422
2012-04-10,1676.2901526870887
2012-04-11,1686.889668877
2012-04-12,1710.1107854855843
2012-04-13,1688.1395072062073
2012-04-16,1686.7792098519458
2012-04-17,1714.5547441977321
2012-04-18,1709.5059309692901
2012-04-19,1701.232053452456
2012-04-20,1706.7590764743609
2012-04-23,1683.7495849527668
2012-04-24,1694.070472660964
2012-04-25,1713.4051542117488
2012-04-26,1724.0710937301942
2012-04-27,1731.482600911021
2012-04-30,1725.1292352563337
2012-05-01,1729.175684375731
2012-05-02,1722.0467024765528
2012-05-03,1712.779972452993
2012-05-04,1687.2906505561698
2012-05-07,1683.2928199672076
2012-05-08,1669.5660106609603
2012-05-09,1657.893811499108
2012-05-10,1663.7147592678875
2012-05-11,1660.8216312272134
2012-05-14,1636.2038140158288
2012-05-15,1622.5061245200575
2012-05-16,1611.7267839809406
2012-05-17,1593.951185309516
2012-05-18,1578.198544437079
2012-05-21,1596.2504939233995
2012-05-22,1607.1928230713993
2012-05-23,1591.6715753522396
2012-05-24,1597.458990151261
2012-05-25,1594.045862208597
2012-05-28,1595.2547762479915
2012-05-29,1610.5053479796068
2012-05-30,1584.2360556413582
2012-05-31,1579.7203684141625
2012-06-01,1545.8895332752613
2012-06-04,1544.1567010201056
2012-06-05,1553.1151049241296
2012-06-06,1587.9590401924108
2012-06-07,1596.8174620190443
2012-06-08,1595.3068589137972
2012-06-11,1588.4506508801671
2012-06-12,1599.38751762037
2012-06-13,1596.9379812514874
2012-06-14,1605.4508299913775
2012-06-15,1622.2509037761674
2012-06-18,1625.525913967359
2012-06-19,1646.3449876023094
2012-06-20,1649.8086723556453
2012-06-21,1619.5145453676594
2012-06-22,1618.878434511016
2012-06-25,1595.3944050322461
2012-06-26,1598.3745664724563
2012-06-27,1613.9066347605844
2012-06-28,1611.8199815954035
2012-06-29,1659.648515086739
2012-07-02,1665.8741458751845
2012-07-03,1681.2268253368543
2012-07-04,1678.9036836452597
2012-07-05,1668.0394463224159
2012-07-06,1650.82214188362
2012-07-09,1644.3163755299295
2012-07-10,1637.061679090933
2012-07-11,1637.0107928285977
2012-07-12,1622.4371822492249
2012-07-13,1646.8680939414176
