Date,MALAYSIA SMALL VALUE
2021-09-06,2031.66732678316
2021-09-07,2048.472232675859
2021-09-08,2048.730645510095
2021-09-09,2035.1063352537942
2021-09-10,2034.516377048053
2021-09-13,2028.4966640413475
2021-09-14,2013.1028880189047
2021-09-15,2010.525107599058
2021-09-16,2020.0107320706647
2021-09-17,2009.9438024939664
2021-09-20,1979.9790616975927
2021-09-21,1985.086022717864
2021-09-22,1987.4125048284732
2021-09-23,1998.713217784306
2021-09-24,1999.9034301896932
2021-09-27,2000.5406665886942
2021-09-28,1996.3486233839149
2021-09-29,2016.1513489775934
2021-09-30,2027.0995601938828
2021-10-01,2019.2321260547978
2021-10-04,2027.384952633261
2021-10-05,2025.681882046117
2021-10-06,2052.5621091834178
2021-10-07,2040.8127192115637
2021-10-08,2050.935498742833
2021-10-11,2077.8276042638786
2021-10-12,2090.8253008671813
2021-10-13,2111.1160336197563
2021-10-14,2116.9217677237143
2021-10-15,2136.841849481832
2021-10-18,2143.2985052487006
2021-10-19,2135.383881544318
2021-10-20,2132.1142490036655
2021-10-21,2130.286002480325
2021-10-22,2127.599526400941
2021-10-25,2130.343374768753
2021-10-26,2131.3575986636292
2021-10-27,2129.852440198034
2021-10-28,2121.0791041997554
2021-10-29,2146.6870023396978
2021-11-01,2082.124953539659
2021-11-02,2091.716955553767
2021-11-03,2091.7281656566443
2021-11-04,2098.7938967605905
2021-11-05,2096.7789972697888
2021-11-08,2088.6265932669066
2021-11-09,2084.880565810273
2021-11-10,2092.133794529955
2021-11-11,2086.9090203011738
2021-11-12,2099.5673953537666
2021-11-15,2101.364996522069
2021-11-16,2103.1790415180303
2021-11-17,2095.867804132508
2021-11-18,2083.3179782902826
2021-11-19,2081.4359740062782
2021-11-22,2094.8615298750674
2021-11-23,2073.8494753119726
2021-11-24,2068.744906686369
2021-11-25,2053.2889367584216
2021-11-26,2006.8537170466689
2021-11-29,1999.9611444135157
2021-11-30,2030.2147946890905
2021-12-01,1995.2391593066193
2021-12-02,1973.9430370426476
2021-12-03,1980.0372537576964
2021-12-06,1966.8738487835203
2021-12-07,1974.91568375226
2021-12-08,1962.0555350929599
2021-12-09,1982.0532835060915
2021-12-10,1962.5146614959315
2021-12-13,1957.7418334933584
2021-12-14,1941.5208383434547
2021-12-15,1948.5962963940121
