Date,BRAZIL SMALL VALUE
2006-09-22,562.1262069396096
2006-09-25,563.9834085707569
2006-09-26,583.151117809319
2006-09-27,587.784391439155
2006-09-28,594.5199206612717
2006-09-29,600.6224579008342
2006-10-02,604.0400577625288
2006-10-03,602.5994984593616
2006-10-04,619.6616220983568
2006-10-05,617.405619927712
2006-10-06,621.2323263159003
2006-10-09,626.7833516734614
2006-10-10,635.1217930379395
2006-10-11,624.4847849127273
2006-10-12,625.9791112192087
2006-10-13,635.8713040307339
2006-10-16,638.5374443874038
2006-10-17,637.2778375353892
2006-10-18,639.5196535835428
2006-10-19,637.2603977872852
2006-10-20,634.0845959590165
2006-10-23,647.6860524671345
2006-10-24,642.3972718619227
2006-10-25,635.4450900136724
2006-10-26,635.0667385324625
2006-10-27,627.1133031265168
2006-10-30,629.2466105268097
2006-10-31,635.7068398259338
2006-11-01,638.6430042416073
2006-11-02,637.7159067336596
2006-11-03,646.4807119758301
2006-11-06,655.6721859280166
2006-11-07,651.0818456145344
2006-11-08,653.678089444495
2006-11-09,645.4109927376994
2006-11-10,641.6424482489298
2006-11-13,643.1818999136351
2006-11-14,658.4451561032091
2006-11-15,660.7186568820969
2006-11-16,661.3360846921686
2006-11-17,655.6273398715139
2006-11-20,657.7100582566511
2006-11-21,662.0009099167386
2006-11-22,667.862130006763
2006-11-23,675.4587522339593
2006-11-24,666.2869608704835
2006-11-27,652.6675383758968
2006-11-28,654.400548981189
2006-11-29,663.3680017347797
2006-11-30,662.7550808315204
2006-12-01,654.830294567035
2006-12-04,669.5773644665019
2006-12-05,680.5355867805331
2006-12-06,679.4126655609244
2006-12-07,681.6820906571561
2006-12-08,685.2825052803285
2006-12-11,696.6081658162177
2006-12-12,691.7965373263282
2006-12-13,703.0905441854342
2006-12-14,708.6500642596612
2006-12-15,720.0602319330039
2006-12-18,725.195461880047
2006-12-19,717.0009022686683
2006-12-20,709.9074630800295
2006-12-21,709.6199783882536
2006-12-22,713.1264833190744
2006-12-25,713.1264833190744
2006-12-26,721.9647464711305
2006-12-27,731.2872561992797
2006-12-28,730.5482041603597
2006-12-29,730.3657972611732
2007-01-01,730.3657972611732
2007-01-02,731.6871513731658
2007-01-03,732.2616793776384
2007-01-04,733.7076789442419
2007-01-05,713.6965937009312
2007-01-08,720.8313159981319
2007-01-09,713.7067028653086
2007-01-10,718.683638700112
2007-01-11,735.7746853755483
2007-01-12,734.9311903734268
2007-01-15,731.4339131971709
2007-01-16,726.4966990051131
2007-01-17,733.7790821638497
2007-01-18,733.1284614766387
2007-01-19,744.4418338368281
2007-01-22,745.3932596823112
2007-01-23,746.5295866724796
2007-01-24,758.0872448099589
2007-01-25,758.0093480315893
2007-01-26,752.9244206402876
2007-01-29,749.2490897933337
2007-01-30,758.081928341887
2007-01-31,763.9596798284053
2007-02-01,776.2146680188253
2007-02-02,781.2097940988339
2007-02-05,789.6547819626998
2007-02-06,787.6306910680981
2007-02-07,781.3191505905767
2007-02-08,774.2478866890577
2007-02-09,772.0595090533416
2007-02-12,768.5314618778195
2007-02-13,778.4972129866437
2007-02-14,785.5683877464223
2007-02-15,787.6943157235216
2007-02-16,790.136377682206
2007-02-19,788.7711711263245
2007-02-20,787.8409732250617
2007-02-21,799.8986732621521
2007-02-22,816.7661581792403
2007-02-23,805.9554293817572
2007-02-26,808.8484076550425
2007-02-27,754.22144840309
2007-02-28,760.9080162244203
2007-03-01,754.8140422123757
2007-03-02,748.5438052770887
2007-03-05,729.6176345720194
2007-03-06,761.7011963196433
2007-03-07,756.0621649222363
2007-03-08,774.0563488389577
2007-03-09,786.86079801029
2007-03-12,793.2809263050758
2007-03-13,772.2119193851366
2007-03-14,775.2607276471335
2007-03-15,779.4233562020288
2007-03-16,775.7248819950863
2007-03-19,790.4144005231427
2007-03-20,802.3387050190852
2007-03-21,816.4484395339125
2007-03-22,814.1225156058641
2007-03-23,816.5121166621093
2007-03-26,816.039605768908
2007-03-27,811.5084850487792
2007-03-28,794.7716938350258
2007-03-29,811.7071634840357
2007-03-30,824.9281302077349
2007-04-02,817.7328181664284
2007-04-03,834.9477507860727
2007-04-04,840.0141223612104
2007-04-05,839.1898964576444
2007-04-06,839.1898964576444
2007-04-09,845.8248528578501
2007-04-10,842.0769885334822
2007-04-11,836.8399575204315
2007-04-12,834.0019097820942
2007-04-13,845.9659356429817
2007-04-16,855.7019743726711
2007-04-17,855.2918621020684
2007-04-18,851.1692736292063
2007-04-19,857.9349617285683
2007-04-20,868.6476351428015
2007-04-23,867.2878161140206
2007-04-24,853.6006558757821
2007-04-25,867.1054073856212
2007-04-26,867.0056983392527
2007-04-27,868.5252674039748
2007-04-30,875.8726584240272
2007-05-01,878.7256890298505
2007-05-02,885.8481498295786
2007-05-03,894.3471288043927
2007-05-04,891.643407148804
2007-05-07,892.4519050604523
2007-05-08,896.8978834576271
2007-05-09,904.8010027466704
2007-05-10,903.2388329263578
2007-05-11,908.5940037789982
2007-05-14,899.225097810752
2007-05-15,910.7629076217293
2007-05-16,946.0123686319394
2007-05-17,954.611257486095
2007-05-18,952.4134945758783
2007-05-21,972.6304808591653
2007-05-22,975.4481280353035
2007-05-23,972.0718405108569
2007-05-24,945.5856646733572
2007-05-25,971.2227962416935
2007-05-28,978.4944461478046
2007-05-29,976.9310439626694
2007-05-30,985.7888312721348
2007-05-31,1000.0
2007-06-01,1028.1038861433763
2007-06-04,1015.622397232994
2007-06-05,1006.6324645064199
2007-06-06,982.4616685604188
2007-06-07,983.3901864158695
2007-06-08,1004.3209790084941
2007-06-11,1016.7988914475374
2007-06-12,1012.1491078897955
2007-06-13,1034.687297498294
2007-06-14,1046.085029261214
2007-06-15,1055.52485870278
2007-06-18,1053.7211577562675
2007-06-19,1053.612937351886
2007-06-20,1047.4245348491345
2007-06-21,1055.966142462957
2007-06-22,1043.7488834339383
2007-06-25,1029.9690762216899
2007-06-26,1023.8432695300003
2007-06-27,1027.5100741359117
