Date,INDONESIA SMALL GROWTH
1998-01-20,414.28408521235644
1998-01-21,376.2979348872742
1998-01-22,309.2203187813366
1998-01-23,263.7594070197555
1998-01-26,284.0063557630354
1998-01-27,341.1624628295189
1998-01-28,346.9871923128725
1998-01-29,364.41577274867893
1998-01-30,380.0335915807652
1998-02-02,407.69319683191674
1998-02-03,409.1312765625782
1998-02-04,433.87280998031235
1998-02-05,433.2546899068808
1998-02-06,451.23582567561516
1998-02-09,461.71756042392684
1998-02-10,564.3074301765907
1998-02-11,575.1765630721114
1998-02-12,546.4961809469328
1998-02-13,435.7298720821968
1998-02-16,416.83383790906277
1998-02-17,445.14893110635603
1998-02-18,461.41251748884247
1998-02-19,493.49590318015663
1998-02-20,459.27370773290716
1998-02-23,439.06588720893524
1998-02-24,447.14677153365795
1998-02-25,448.50221363665946
1998-02-26,461.50815805118094
1998-02-27,486.94226530770135
1998-03-02,497.37972719288416
1998-03-03,493.87239006760643
1998-03-04,449.3542882722681
1998-03-05,409.93128186884474
1998-03-06,404.79962513982736
1998-03-09,393.9269177562951
1998-03-10,407.8332194994359
1998-03-11,413.9397286951901
1998-03-12,418.835660023415
1998-03-13,449.93382695797845
1998-03-16,428.43067512849893
1998-03-17,441.73001161940147
1998-03-18,428.73244637060435
1998-03-19,435.9075762918759
1998-03-20,466.15055792895294
1998-03-23,495.40873633615206
1998-03-24,517.5520273762603
1998-03-25,532.6297167612029
1998-03-26,562.2683861223223
1998-03-27,560.6718581826503
1998-03-30,547.5187264131486
1998-03-31,550.6835745427044
1998-04-01,538.2988927416199
1998-04-02,531.7680732064098
1998-04-03,524.1482013676925
1998-04-06,527.9495409600528
1998-04-07,529.5069142372209
1998-04-08,534.7831367127353
1998-04-09,555.2499200576557
1998-04-10,554.8398048314363
1998-04-13,606.4569846156975
1998-04-14,590.7979872725828
1998-04-15,576.2111937332575
1998-04-16,548.3760944330727
1998-04-17,542.668134792577
1998-04-20,540.2355843174107
1998-04-21,542.8928497759807
1998-04-22,540.3827524974361
1998-04-23,533.0778509473978
1998-04-24,543.9525407443447
1998-04-27,511.54054476230056
1998-04-28,510.2696365765557
1998-04-29,482.8781224155134
1998-04-30,483.5467203140903
1998-05-01,479.89461672114766
1998-05-04,471.8796779024029
1998-05-05,459.980699358847
1998-05-06,390.5018594145418
1998-05-07,373.72514303250716
1998-05-08,391.2060990244077
1998-05-11,387.04433201350975
1998-05-12,372.4265053814809
1998-05-13,287.29845506839064
1998-05-14,273.58876737944144
1998-05-15,288.18287194213667
1998-05-18,244.35126918013418
1998-05-19,249.5949776158581
1998-05-20,276.10141593980876
1998-05-21,292.342675700974
1998-05-22,305.9565148316517
1998-05-25,313.94712185297567
1998-05-26,323.61642132325363
1998-05-27,313.65166263601606
1998-05-28,280.0714840787048
1998-05-29,284.45574032122926
1998-06-01,266.2526090133132
1998-06-02,251.1835049677435
1998-06-03,250.72527625507243
1998-06-04,257.6614312737127
1998-06-05,253.22324928514195
1998-06-08,243.2936651940227
1998-06-09,242.62686197364735
1998-06-10,212.65546088907834
1998-06-11,200.97775645240515
1998-06-12,199.01763723771074
1998-06-15,184.78416011754445
1998-06-16,170.46808917598355
1998-06-17,157.3495243860475
1998-06-18,181.25493915514787
1998-06-19,182.05231026706093
1998-06-22,175.41742247891642
1998-06-23,175.28470599208623
1998-06-24,173.27106770400366
1998-06-25,181.387675985395
1998-06-26,174.3734523063976
1998-06-29,175.9550135809197
1998-06-30,184.98080808655982
1998-07-01,189.52257677220075
1998-07-02,195.28741075635725
1998-07-03,199.37364397275883
1998-07-06,199.18421870585908
1998-07-07,205.7064982151128
1998-07-08,192.47540326609493
1998-07-09,190.85769888472996
1998-07-10,197.3802008785607
1998-07-13,196.2067857509256
1998-07-14,216.89575653542397
1998-07-15,220.57149964337842
1998-07-16,240.7998753371575
1998-07-17,238.6370086694979
1998-07-20,233.70688425936555
1998-07-21,237.8941557789193
1998-07-22,233.46938791264398
1998-07-23,226.1289635660455
1998-07-24,226.47734708127024
1998-07-27,233.13042375956715
1998-07-28,238.3690138150131
1998-07-29,244.84358122705473
1998-07-30,246.68551304210882
1998-07-31,244.3466125594673
1998-08-03,242.48831556972925
1998-08-04,243.53379177575613
1998-08-05,240.1423577136236
1998-08-06,240.43538251171094
1998-08-07,233.63509323719003
1998-08-10,223.68808954250127
1998-08-11,217.7123598755253
1998-08-12,222.1538058946668
1998-08-13,219.88955022197297
1998-08-14,230.33892887794522
1998-08-17,231.68857103933942
1998-08-18,232.1629407292766
1998-08-19,248.1100171074833
1998-08-20,248.9960394526494
1998-08-21,243.22204592575648
1998-08-24,236.8196188946236
1998-08-25,248.80800382659461
1998-08-26,238.7026931817126
1998-08-27,237.77927964578956
1998-08-28,235.0403946121159
1998-08-31,225.452581979844
1998-09-01,221.6702186977082
1998-09-02,227.12971099355724
1998-09-03,225.26288565254194
1998-09-04,224.33023722008213
1998-09-07,230.22007979160884
1998-09-08,209.2766982051663
1998-09-09,205.89172369852753
1998-09-10,201.9242541879802
1998-09-11,202.6258414280205
1998-09-14,205.8715080193865
1998-09-15,208.07246902180557
1998-09-16,202.41457441321083
1998-09-17,202.19004228361985
1998-09-18,196.34550911112586
1998-09-21,188.138309575404
1998-09-22,191.54282931949774
1998-09-23,195.46645174542468
1998-09-24,205.01736858906324
1998-09-25,203.99517796360067
1998-09-28,209.76599714102724
1998-09-29,210.77331490492213
1998-09-30,206.60516900108973
1998-10-01,199.34387136594435
1998-10-02,198.8073157485321
1998-10-05,205.88732107208205
1998-10-06,214.77927803114912
1998-10-07,230.99842035061766
1998-10-08,250.47955279768007
1998-10-09,254.6331805709916
1998-10-12,261.61894575269105
1998-10-13,264.6255217864369
1998-10-14,267.63106288640256
1998-10-15,267.2082922518541
1998-10-16,299.3252496181963
1998-10-19,305.70730052059406
1998-10-20,309.53370082715355
1998-10-21,329.8206870201558
1998-10-22,313.7227384666018
1998-10-23,293.02226823758906
1998-10-26,312.9957401009418
1998-10-27,300.8078252325026
1998-10-28,306.641282929904
1998-10-29,306.03626583220466
1998-10-30,295.63733847037463
1998-11-02,283.8927441543753
1998-11-03,267.314544913226
1998-11-04,269.738107536946
1998-11-05,292.41103767947175
1998-11-06,292.81543566330737
1998-11-09,287.94614814281834
1998-11-10,303.8819281489639
1998-11-11,314.9629727602551
1998-11-12,300.3692938995664
1998-11-13,316.1712642142326
1998-11-16,314.49891470754164
1998-11-17,319.5108496032794
1998-11-18,328.38414795922057
1998-11-19,329.25804455018147
1998-11-20,345.4606644528612
1998-11-23,365.98387564581145
1998-11-24,362.2272600998081
1998-11-25,346.12019280443786
1998-11-26,352.05660949739064
1998-11-27,357.1154038098853
1998-11-30,345.16514052826017
1998-12-01,339.8826345010391
1998-12-02,336.1310427872092
1998-12-03,329.1085360909944
1998-12-04,328.5116824967748
1998-12-07,335.6699680794099
1998-12-08,337.486920788859
1998-12-09,338.5383284415967
1998-12-10,348.92155222315455
1998-12-11,343.5697048214655
1998-12-14,336.6108626391153
1998-12-15,324.02747108358943
1998-12-16,324.9951149267411
1998-12-17,307.90614285390416
1998-12-18,309.4176179138792
1998-12-21,314.66070086502367
1998-12-22,312.41200859054516
1998-12-23,314.8929623143451
1998-12-24,313.427618656008
1998-12-25,313.427618656008
1998-12-28,300.29300979390183
1998-12-29,298.7265929711159
1998-12-30,314.5380120669492
1998-12-31,320.4726915399105
1999-01-01,320.4726915399105
1999-01-04,307.1956716144503
1999-01-05,316.5814573359776
1999-01-06,326.22905890963943
1999-01-07,350.3727402970047
1999-01-08,345.3410429847419
1999-01-11,342.0061859985439
1999-01-12,352.697855520892
1999-01-13,338.7236594796704
1999-01-14,332.9983082075737
1999-01-15,335.45397489377046
1999-01-18,338.44021205899696
1999-01-19,338.44021205899696
1999-01-20,336.44351464271966
1999-01-21,327.74238926402865
1999-01-22,318.587573921458
1999-01-25,296.03665084901075
1999-01-26,303.471799830204
1999-01-27,309.48502944364185
1999-01-28,308.625172776569
1999-01-29,317.265965702782
1999-02-01,317.6705869096927
