Date,EMU SMALL VALUE
2020-01-30,1173.5044790524112
2020-01-31,1171.6546849037948
2020-02-03,1170.4383550506252
2020-02-04,1184.955194039084
2020-02-05,1191.550796198889
2020-02-06,1196.8903378351954
2020-02-07,1188.2119311880713
2020-02-10,1184.7858249969988
2020-02-11,1197.5744745226878
2020-02-12,1204.1114238789046
2020-02-13,1201.9228154483396
2020-02-14,1206.7373660571602
2020-02-17,1210.4519115485114
2020-02-18,1205.7190399753572
2020-02-19,1206.9783194478848
2020-02-20,1203.7267138447983
2020-02-21,1200.1782648430046
2020-02-24,1149.3328808286017
2020-02-25,1130.6192821554823
2020-02-26,1131.9521045796214
2020-02-27,1109.2521676971494
2020-02-28,1079.219862852584
2020-03-02,1088.1249660016974
2020-03-03,1106.398262481285
2020-03-04,1105.9110783709052
2020-03-05,1084.9938390801174
2020-03-06,1062.9785176643495
2020-03-09,994.7165129981707
2020-03-10,970.0951493988687
2020-03-11,950.4856175188665
2020-03-12,819.8533720091758
2020-03-13,831.8391243831829
2020-03-16,775.364414201052
2020-03-17,762.1967595279206
2020-03-18,729.606484866823
2020-03-19,723.2537612086893
2020-03-20,743.6188879057592
2020-03-23,726.8173736610748
2020-03-24,783.6281077804335
2020-03-25,802.8230359665185
2020-03-26,832.5436710903803
2020-03-27,817.220369274012
2020-03-30,813.6612303098725
2020-03-31,826.1271570530458
2020-04-01,805.0064092085756
2020-04-02,806.303412539551
2020-04-03,791.721183088517
2020-04-06,815.1253978961678
2020-04-07,843.5125315218945
2020-04-08,845.9048485502248
2020-04-09,870.2436293220534
2020-04-10,870.2436293220533
2020-04-13,867.2204307194814
2020-04-14,873.3948028105491
2020-04-15,833.441501111703
2020-04-16,828.9637705128963
2020-04-17,848.8696298623335
2020-04-20,849.9668724169752
2020-04-21,826.4837792725785
2020-04-22,832.1137212419303
2020-04-23,845.6611510645439
2020-04-24,835.1684049387173
2020-04-27,854.8824279261223
2020-04-28,870.4019835110414
2020-04-29,898.0205281276171
2020-04-30,898.4054946566396
2020-05-01,902.9578095432859
2020-05-04,868.0800447932842
2020-05-05,873.8153509188322
2020-05-06,863.9529751054138
2020-05-07,870.6794826041312
2020-05-08,887.4993907429524
2020-05-11,879.0869287741111
2020-05-12,876.9591165042929
2020-05-13,857.0833979836153
2020-05-14,837.864357770667
2020-05-15,843.1864348680278
2020-05-18,875.9587922589203
2020-05-19,875.8638684592139
2020-05-20,883.516461355301
2020-05-21,872.1753307399025
2020-05-22,872.7659783000894
2020-05-25,890.8232230076713
2020-05-26,914.6776137379733
2020-05-27,925.3438751811359
2020-05-28,945.6103868310861
2020-05-29,940.1181324115043
2020-06-01,952.588563821599
2020-06-02,979.4486011208369
2020-06-03,1007.6087763513258
2020-06-04,1024.0279884880704
2020-06-05,1050.0263172711827
2020-06-08,1054.9654572276954
2020-06-09,1033.272309252946
2020-06-10,1016.1569472022694
2020-06-11,971.1574812630548
2020-06-12,965.3315672919063
2020-06-15,968.098761245495
2020-06-16,993.3492820404151
2020-06-17,988.3196276695065
2020-06-18,984.4993726431294
2020-06-19,975.9842494994012
2020-06-22,971.6989475617941
2020-06-23,994.5455288993796
2020-06-24,963.4725232376159
2020-06-25,963.7378200950308
2020-06-26,958.2420935249392
2020-06-29,973.1368867403293
2020-06-30,970.2466100901851
2020-07-01,973.4473356050888
2020-07-02,986.1396027087272
2020-07-03,985.0981354570795
2020-07-06,1007.0268897987601
2020-07-07,997.8289227648322
2020-07-08,990.8311387731309
2020-07-09,975.5368287825673
2020-07-10,986.0062596698479
2020-07-13,1003.0159804622031
2020-07-14,999.2331553272501
2020-07-15,1012.4331496822355
2020-07-16,1014.7029209321842
2020-07-17,1012.6169459114886
2020-07-20,1019.6862085889911
2020-07-21,1033.5075397773087
2020-07-22,1040.3760553807
2020-07-23,1039.5542404982702
2020-07-24,1029.8917939182477
2020-07-27,1030.9123567721256
2020-07-28,1031.0007719279156
2020-07-29,1037.2547184815319
2020-07-30,1017.8871914979693
2020-07-31,1019.6171792687692
2020-08-03,1026.6191410207455
2020-08-04,1036.6998859018292
2020-08-05,1064.2444582492938
2020-08-06,1053.1190736031963
2020-08-07,1049.5879186622353
2020-08-10,1059.2633395845396
2020-08-11,1078.7312238090624
2020-08-12,1087.3912936802847
2020-08-13,1087.0140677903455
2020-08-14,1076.9330009397684
2020-08-17,1077.1145685717074
2020-08-18,1075.106404170091
2020-08-19,1076.9891960724078
2020-08-20,1064.820268854893
2020-08-21,1057.3012332009835
2020-08-24,1077.279591615221
2020-08-25,1073.9366974579991
2020-08-26,1082.6577530290024
2020-08-27,1073.8965849221586
2020-08-28,1084.9497023879421
2020-08-31,1081.1791625692838
2020-09-01,1079.614216558376
2020-09-02,1072.5662665654415
2020-09-03,1067.8563779070764
2020-09-04,1062.674539176432
2020-09-07,1080.4087832540108
2020-09-08,1068.8878737009047
2020-09-09,1083.2364151470902
2020-09-10,1089.292773033394
2020-09-11,1083.1322368853685
2020-09-14,1089.7063751449175
2020-09-15,1090.9151645364086
2020-09-16,1097.7418556657603
2020-09-17,1096.531431784485
2020-09-18,1086.9555661015602
2020-09-21,1036.7073548675353
2020-09-22,1034.3428435278818
2020-09-23,1025.71925821438
2020-09-24,1014.4819804370999
2020-09-25,1008.9206361026614
2020-09-28,1036.1186269922111
2020-09-29,1037.3863268777914
2020-09-30,1047.4281625831065
2020-10-01,1052.1951556030608
2020-10-02,1049.850558156969
2020-10-05,1071.1808799843316
2020-10-06,1083.5001341351167
2020-10-07,1073.5369979766774
2020-10-08,1081.5095193009108
2020-10-09,1087.8426107141295
2020-10-12,1089.5683338695574
2020-10-13,1067.143620980152
2020-10-14,1072.0551031038542
2020-10-15,1048.7590467268533
2020-10-16,1056.4550315558338
2020-10-19,1061.5738258710164
2020-10-20,1065.7664960623786
2020-10-21,1060.2862342687895
2020-10-22,1052.5072973965346
2020-10-23,1061.9636128296681
2020-10-26,1036.6733200574422
2020-10-27,1015.978538534536
2020-10-28,974.2211002275532
2020-10-29,965.3154561952206
2020-10-30,973.2031786154968
2020-11-02,988.683249018101
2020-11-03,1014.1324910965059
2020-11-04,1021.6570549602109
2020-11-05,1044.5829719927376
2020-11-06,1043.8619165464463
2020-11-09,1096.7830169158558
2020-11-10,1116.1363223861329
2020-11-11,1115.0172922111267
2020-11-12,1118.8491830408511
2020-11-13,1126.6061954846903
2020-11-16,1162.7843280620216
2020-11-17,1165.74268686343
2020-11-18,1175.9140363812714
2020-11-19,1159.8428470005665
2020-11-20,1169.8319858097384
2020-11-23,1177.3957614521025
2020-11-24,1207.5081415500615
2020-11-25,1214.8837796241976
2020-11-26,1211.3706591285961
2020-11-27,1221.2719435555412
2020-11-30,1205.1334236709433
2020-12-01,1229.7413661804471
2020-12-02,1229.6831342946984
2020-12-03,1243.3808568389686
2020-12-04,1255.786102846776
2020-12-07,1251.2801247190457
2020-12-08,1248.3265348441603
2020-12-09,1244.702651045164
2020-12-10,1239.521683998746
2020-12-11,1225.9558455914967
2020-12-14,1234.5467184934848
2020-12-15,1250.8559364593345
2020-12-16,1260.3866478932885
2020-12-17,1275.8206822104949
2020-12-18,1266.5472324659952
2020-12-21,1239.8221480789496
2020-12-22,1249.3947122513011
2020-12-23,1266.6232349354311
2020-12-24,1269.6284472260895
2020-12-25,1269.6284472260895
2020-12-28,1279.9147225596553
2020-12-29,1286.4549264802163
2020-12-30,1289.700339916943
2020-12-31,1280.434993042402
2021-01-01,1280.434993042402
2021-01-04,1288.729824918133
2021-01-05,1293.0449184716997
2021-01-06,1315.3702309804626
2021-01-07,1328.5812931463827
2021-01-08,1326.067529940556
2021-01-11,1307.5545459008638
2021-01-12,1317.764559804794
2021-01-13,1317.9820149227248
2021-01-14,1323.4920124508951
2021-01-15,1302.6129819562755
2021-01-18,1309.0839955340577
2021-01-19,1311.585613252162
2021-01-20,1317.9084643580834
2021-01-21,1318.4566011871207
2021-01-22,1308.2851724373716
2021-01-25,1279.8193306500361
2021-01-26,1296.8859156010003
2021-01-27,1272.1201171537803
2021-01-28,1284.4086192813013
2021-01-29,1278.5321441707215
2021-02-01,1285.0695682714831
2021-02-02,1294.7733710104797
2021-02-03,1303.2691770825315
2021-02-04,1307.581440583124
2021-02-05,1319.6854677834979
2021-02-08,1335.817010694983
2021-02-09,1336.9870082101884
2021-02-10,1338.5922740225944
2021-02-11,1342.5202545558693
2021-02-12,1343.782724326192
2021-02-15,1359.1785978670641
2021-02-16,1356.491705897031
2021-02-17,1336.3904603200085
2021-02-18,1324.4602831898997
2021-02-19,1341.805601811015
2021-02-22,1345.8167614166725
2021-02-23,1345.6083178219733
2021-02-24,1353.3831286623717
2021-02-25,1368.0381730906997
2021-02-26,1340.3066845748415
2021-03-01,1356.4239742665775
2021-03-02,1355.0549501436035
2021-03-03,1361.6065692796801
2021-03-04,1347.9677693227045
2021-03-05,1328.522651941889
2021-03-08,1352.8012738196664
2021-03-09,1362.9308911503515
2021-03-10,1365.9044275951903
2021-03-11,1382.146522167751
2021-03-12,1384.161124745099
2021-03-15,1383.661040069414
2021-03-16,1386.22058859343
2021-03-17,1386.4512439460195
