Date,ACWI IMI VALUE
2005-02-24,659.6194086024133
2005-02-25,667.1358301025181
2005-02-28,667.6647001399659
2005-03-01,668.8189430269017
2005-03-02,667.7363470661196
2005-03-03,668.5122047963788
2005-03-04,677.0219485099061
2005-03-07,676.5531894539622
2005-03-08,677.0753121248869
2005-03-09,672.3439486528721
2005-03-10,670.6759150898498
2005-03-11,670.8821537155347
2005-03-14,670.751107570809
2005-03-15,668.7133257362655
2005-03-16,665.5650170483706
2005-03-17,664.842767477186
2005-03-18,664.2832914462477
2005-03-21,659.9629024764243
2005-03-22,656.6465347407892
2005-03-23,649.8221019898496
2005-03-24,649.2413358980887
2005-03-25,649.6921391493012
2005-03-28,648.947984212864
2005-03-29,645.2246591206681
2005-03-30,649.7253466273638
2005-03-31,653.0726054616237
2005-04-01,652.685883080137
2005-04-04,649.1664109967126
2005-04-05,652.0491066728782
2005-04-06,654.8314369431222
2005-04-07,658.2946709630132
2005-04-08,654.7054936150893
2005-04-11,655.8594056686164
2005-04-12,655.5109516051623
2005-04-13,652.9762976923364
2005-04-14,645.3416335395289
2005-04-15,637.1742048082154
2005-04-18,633.5696173374718
2005-04-19,639.4716492385738
2005-04-20,634.6756312868746
2005-04-21,639.8032606883016
2005-04-22,641.2877246314699
2005-04-25,644.3761414870173
2005-04-26,640.3306731039306
2005-04-27,638.611364909429
2005-04-28,633.3289965998242
2005-04-29,638.6874448904338
2005-05-02,639.8893235267399
2005-05-03,640.1454996014407
2005-05-04,647.4437096563273
2005-05-05,648.2024021457645
2005-05-06,647.9948982454183
2005-05-09,648.9826024438
2005-05-10,644.514192720431
2005-05-11,643.6927266645164
2005-05-12,637.7094668271288
2005-05-13,632.853115853071
2005-05-16,634.0197003430408
2005-05-17,636.3012714986984
2005-05-18,642.7922857529662
2005-05-19,646.6736567062738
2005-05-20,644.5369821060603
2005-05-23,648.367445474156
2005-05-24,648.343642968898
2005-05-25,646.3117589869363
2005-05-26,648.3439766184086
2005-05-27,650.2848801312382
2005-05-30,651.2304915056615
