Date,USA IMI HIGH DIVIDEND YIELD
2000-05-25,1208.1400943689014
2000-05-26,1185.411130844814
2000-05-29,1183.111767784521
2000-05-30,1192.1841837123422
2000-05-31,1196.2810830173385
2000-06-01,1202.7271130661645
2000-06-02,1186.092390796542
2000-06-05,1172.907612505855
2000-06-06,1155.7856577804855
2000-06-07,1163.1306242998444
2000-06-08,1156.0413774266212
2000-06-09,1151.7612710802096
2000-06-12,1148.5490917070265
2000-06-13,1149.9433343556714
2000-06-14,1162.0711075601305
2000-06-15,1155.2742437922057
2000-06-16,1118.9064749781965
2000-06-19,1129.9770418595554
2000-06-20,1122.168371955012
2000-06-21,1132.146570593983
2000-06-22,1138.0827879924318
2000-06-23,1142.361160498357
2000-06-26,1146.533874442655
2000-06-27,1140.0594213176987
2000-06-28,1130.170128734752
2000-06-29,1120.6692061855058
2000-06-30,1093.766354209705
2000-07-03,1127.6758498910024
2000-07-04,1129.6941148221122
2000-07-05,1123.2899240746033
2000-07-06,1121.3767425255596
2000-07-07,1137.2654187204025
2000-07-10,1134.2196714917975
2000-07-11,1141.3173890077508
2000-07-12,1145.042101173716
2000-07-13,1149.8023377887478
2000-07-14,1145.2675939954634
2000-07-17,1141.2519038907224
2000-07-18,1141.578677782006
2000-07-19,1151.4634456160122
2000-07-20,1151.7791404829916
2000-07-21,1137.3766165417524
2000-07-24,1138.6069383382714
2000-07-25,1134.889773549489
2000-07-26,1117.4721426596377
2000-07-27,1132.5051569521618
2000-07-28,1140.5522123077144
2000-07-31,1141.8767526412714
2000-08-01,1159.4267867011265
2000-08-02,1179.793985066425
2000-08-03,1203.184780831808
2000-08-04,1206.5097019921307
2000-08-07,1211.9256059631034
2000-08-08,1219.5499271802826
2000-08-09,1214.2667319447792
2000-08-10,1206.812080863873
2000-08-11,1224.136486217936
2000-08-14,1232.5939014731139
2000-08-15,1213.9767959803296
2000-08-16,1211.858776941267
2000-08-17,1207.6096263796703
2000-08-18,1209.8555135811253
2000-08-21,1221.5189724618401
2000-08-22,1233.1671986088975
2000-08-23,1236.607449884307
2000-08-24,1221.0735352580978
2000-08-25,1218.0393198690651
2000-08-28,1227.2334936872712
2000-08-29,1222.6792167749074
2000-08-30,1227.4390691593194
2000-08-31,1240.2534017725568
2000-09-01,1226.1474307124704
2000-09-04,1226.4881407910277
2000-09-05,1250.805184146656
2000-09-06,1266.5703687389407
2000-09-07,1280.0920716808835
2000-09-08,1299.5456332284393
2000-09-11,1316.871363045658
2000-09-12,1318.743407522374
2000-09-13,1311.1203264486626
2000-09-14,1309.2784047904715
2000-09-15,1302.5039822202727
2000-09-18,1299.4982970241745
2000-09-19,1300.822018498357
2000-09-20,1297.8733153503129
2000-09-21,1295.6988819928138
2000-09-22,1275.3494757370424
2000-09-25,1286.0013143832111
2000-09-26,1269.9498715205566
2000-09-27,1274.5162244235573
2000-09-28,1301.48524170878
2000-09-29,1301.6739592462006
2000-10-02,1308.611648974193
2000-10-03,1316.182817670915
2000-10-04,1322.0073426342606
2000-10-05,1335.5670040189677
2000-10-06,1318.4175304885568
2000-10-09,1315.0121938441425
2000-10-10,1310.4673187654364
2000-10-11,1289.8002596701015
2000-10-12,1284.0956522030406
2000-10-13,1300.3230802497353
2000-10-16,1319.2478253319107
2000-10-17,1308.3617594358732
2000-10-18,1309.638950665723
