Date,WORLD ex CANADA IMI
2005-11-25,1205.617944666828
2005-11-28,1200.5698096500746
2005-11-29,1200.3149061708964
2005-11-30,1195.76738600658
2005-12-01,1208.5913853842924
2005-12-02,1213.5294795543052
2005-12-05,1213.4678873227738
2005-12-06,1215.8422045906218
2005-12-07,1211.4668982600422
2005-12-08,1212.0379013927345
2005-12-09,1216.3741291946874
2005-12-12,1224.053402436081
2005-12-13,1227.5540992545878
2005-12-14,1233.9212063952777
2005-12-15,1227.785212820499
2005-12-16,1230.5271869409462
2005-12-19,1225.7030532202932
2005-12-20,1225.0084220347687
2005-12-21,1228.4731780032507
2005-12-22,1233.6737566441138
2005-12-23,1235.0529748972979
2005-12-26,1236.0406306989898
2005-12-27,1227.9691664458317
2005-12-28,1232.0741401769737
2005-12-29,1230.5867814884737
2005-12-30,1222.3302146080869
2006-01-02,1223.6092032843421
2006-01-03,1244.5554378894412
2006-01-04,1258.2260346331102
2006-01-05,1259.2758767079076
2006-01-06,1271.9365846668782
2006-01-09,1274.4088552728851
2006-01-10,1269.637458481005
2006-01-11,1276.5959400310346
2006-01-12,1273.1565762006253
2006-01-13,1272.5236679870354
2006-01-16,1272.8937734282665
2006-01-17,1260.9246032552621
2006-01-18,1251.1335250025002
2006-01-19,1263.2867313014458
2006-01-20,1248.5956102609946
2006-01-23,1252.2024574141767
2006-01-24,1256.3879872807152
2006-01-25,1258.1488481728823
2006-01-26,1268.5445773467957
2006-01-27,1278.08493010451
2006-01-30,1277.6331055928406
2006-01-31,1279.5249946764327
2006-02-01,1280.8443424102772
2006-02-02,1271.383338644604
2006-02-03,1263.387576483588
2006-02-06,1265.266353279257
2006-02-07,1257.8209875290263
2006-02-08,1257.186488163931
2006-02-09,1261.6144774402799
2006-02-10,1259.365870868558
2006-02-13,1253.5318263990723
2006-02-14,1260.7590463861345
2006-02-15,1263.7418665116613
2006-02-16,1270.632763615674
2006-02-17,1268.8632078810936
2006-02-20,1268.3974379317565
2006-02-21,1269.063551898999
2006-02-22,1275.704289629447
2006-02-23,1279.7745516409204
2006-02-24,1281.6540825209422
2006-02-27,1287.5218847367441
2006-02-28,1277.8004793860762
2006-03-01,1284.94995960014
2006-03-02,1282.3596023538048
2006-03-03,1279.6458920821865
2006-03-06,1276.7565389516824
2006-03-07,1265.967663685871
2006-03-08,1264.2166396363582
2006-03-09,1267.8941641724232
2006-03-10,1272.8228351308235
2006-03-13,1281.9075845117065
2006-03-14,1294.1716329070177
2006-03-15,1299.5015629021414
2006-03-16,1303.4886966728152
2006-03-17,1308.4908780345625
2006-03-20,1310.5290401221998
2006-03-21,1302.0717723016485
2006-03-22,1308.0476856824341
2006-03-23,1301.5304230268905
2006-03-24,1306.810252183875
2006-03-27,1306.1714704856254
2006-03-28,1302.3737717638903
2006-03-29,1306.4340981553228
2006-03-30,1316.1631386997349
2006-03-31,1309.8605544507911
2006-04-03,1317.396270732114
2006-04-04,1324.6540426503218
2006-04-05,1329.7429249320273
2006-04-06,1331.9598181034046
2006-04-07,1319.4741290420031
2006-04-10,1319.8275166717765
2006-04-11,1309.916786587812
2006-04-12,1306.975783031356
2006-04-13,1308.553506202871
2006-04-14,1308.598749851002
2006-04-17,1312.1571305161622
2006-04-18,1327.4593982169308
2006-04-19,1337.3198405676403
2006-04-20,1337.9794506054943
2006-04-21,1343.441017669928
2006-04-24,1338.9893057373124
2006-04-25,1337.9017166298609
2006-04-26,1342.5816922703386
2006-04-27,1347.2763354919332
2006-04-28,1346.7140865283816
2006-05-01,1348.3213079764682
2006-05-02,1358.2753555781824
2006-05-03,1351.613177352212
2006-05-04,1358.9461756682265
2006-05-05,1374.6221947452468
2006-05-08,1377.9612363407714
2006-05-09,1381.1609027590384
2006-05-10,1378.1144151534982
2006-05-11,1366.7507663624522
2006-05-12,1348.743234038154
2006-05-15,1339.0878118694386
2006-05-16,1335.4599604217658
2006-05-17,1312.3402111352548
2006-05-18,1301.4567443533138
2006-05-19,1298.7024149046151
2006-05-22,1283.697310852031
2006-05-23,1289.8453574660464
2006-05-24,1282.7745367232437
2006-05-25,1295.1156459051997
2006-05-26,1308.0261302335941
2006-05-29,1309.9058787288616
2006-05-30,1294.8812824915185
2006-05-31,1298.80836707933
2006-06-01,1308.5382781240792
2006-06-02,1319.1377813957613
2006-06-05,1302.6681571859908
2006-06-06,1282.6431599206326
2006-06-07,1275.3856521293503
2006-06-08,1253.6990229633889
2006-06-09,1260.902517147441
2006-06-12,1246.4053998522352
2006-06-13,1221.600717032857
2006-06-14,1228.3900438797841
2006-06-15,1255.6680903086674
2006-06-16,1256.7325586253367
2006-06-19,1248.1780734815297
2006-06-20,1248.5752217421634
2006-06-21,1258.031097733075
2006-06-22,1258.2085993554815
2006-06-23,1256.1645651272152
2006-06-26,1259.9539264829
2006-06-27,1253.200545308096
2006-06-28,1252.1571314854718
