Date,ACWI HIGH DIVIDEND YIELD
2007-09-28,1923.388629653032
2007-10-01,1941.913036332161
2007-10-02,1958.9765327882667
2007-10-03,1959.7564584129382
2007-10-04,1963.8358428669221
2007-10-05,1981.5607626364967
2007-10-08,1980.2380062980922
2007-10-09,1989.719877677766
2007-10-10,1980.6091859247788
2007-10-11,1984.6155456388199
2007-10-12,1989.404234354696
2007-10-15,1972.6286032263586
2007-10-16,1959.6809701149682
2007-10-17,1965.4630031855793
2007-10-18,1947.5616772434673
2007-10-19,1927.158410970862
2007-10-22,1918.1262066762554
2007-10-23,1931.8455122739858
2007-10-24,1925.2701197393858
2007-10-25,1934.672965345054
2007-10-26,1952.1340625416528
2007-10-29,1967.3835232761712
2007-10-30,1957.2093930983033
2007-10-31,1971.0415166930065
2007-11-01,1934.4963738619874
2007-11-02,1914.2425741470533
2007-11-05,1899.4326150843233
2007-11-06,1905.521165912496
2007-11-07,1873.342997490351
2007-11-08,1859.2349884314463
2007-11-09,1837.5411489451553
2007-11-12,1834.6206516247394
2007-11-13,1856.4669314405219
2007-11-14,1858.558152678317
2007-11-15,1836.2089200413163
2007-11-16,1824.844500026035
2007-11-19,1792.3899998966833
2007-11-20,1794.5434876232985
2007-11-21,1751.4953000901835
2007-11-22,1755.9425251242913
2007-11-23,1780.59686585504
2007-11-26,1761.5928357936045
2007-11-27,1764.8466640646222
2007-11-28,1814.791384129176
2007-11-29,1820.7208261583808
2007-11-30,1850.2287238302297
2007-12-03,1843.2228051881193
2007-12-04,1817.0424133228964
2007-12-05,1850.7993842908961
2007-12-06,1865.91091249468
2007-12-07,1872.2620814588743
2007-12-10,1878.624240768109
2007-12-11,1862.1402479364806
2007-12-12,1865.5415391341064
2007-12-13,1841.8984070191482
2007-12-14,1843.2594802522362
2007-12-17,1816.623748625661
2007-12-18,1816.588177910498
2007-12-19,1811.1318375435103
2007-12-20,1813.8490199718146
2007-12-21,1838.175152218013
2007-12-24,1844.8871254859837
2007-12-25,1845.233767963734
2007-12-26,1838.7003375544214
2007-12-27,1830.3710158343558
2007-12-28,1819.8516701100787
2007-12-31,1821.661640995897
2008-01-01,1821.7232416583788
2008-01-02,1793.6313219630842
2008-01-03,1791.1338002677737
2008-01-04,1760.827635910731
2008-01-07,1768.4066716837476
2008-01-08,1762.3511325742545
2008-01-09,1762.5457135530908
2008-01-10,1756.5289822952127
2008-01-11,1741.3937970484742
2008-01-14,1740.771606968973
2008-01-15,1702.3429421210408
2008-01-16,1697.4377869181428
2008-01-17,1674.9043134199903
2008-01-18,1659.370084050382
2008-01-21,1604.0345649503502
2008-01-22,1606.0021143793838
2008-01-23,1606.797918206725
2008-01-24,1649.2745650207412
2008-01-25,1646.402536275092
2008-01-28,1642.6320361942498
2008-01-29,1664.508983883312
2008-01-30,1653.0880595266037
2008-01-31,1660.0458806253632
2008-02-01,1686.4369559199204
2008-02-04,1681.542259042082
2008-02-05,1642.641660312075
2008-02-06,1637.3657592461868
2008-02-07,1633.838847001822
2008-02-08,1629.5463471689088
2008-02-11,1618.8184228027167
2008-02-12,1649.787570682974
2008-02-13,1656.6490076878267
2008-02-14,1649.2780758608762
2008-02-15,1627.0677460237794
2008-02-18,1646.4380247214835
2008-02-19,1641.5117107084836
2008-02-20,1634.590699186042
2008-02-21,1628.5293293034797
2008-02-22,1624.6348974957937
2008-02-25,1650.1684733678665
2008-02-26,1663.7626630417262
2008-02-27,1653.306194723924
2008-02-28,1623.9815780204779
2008-02-29,1591.7673251640995
2008-03-03,1570.659222868018
2008-03-04,1555.1658717891796
2008-03-05,1567.7516385130687
2008-03-06,1537.7213507748938
2008-03-07,1522.2143703476197
2008-03-10,1501.6396844236867
2008-03-11,1544.9893288238836
2008-03-12,1545.0116287780938
2008-03-13,1524.1709386531081
2008-03-14,1499.8612455810821
2008-03-17,1449.5681308273095
2008-03-18,1504.1766168752522
2008-03-19,1498.5308897532932
2008-03-20,1523.6636640301551
2008-03-21,1525.0810444364809
2008-03-24,1537.6159865943223
2008-03-25,1557.9328510388327
2008-03-26,1535.3745234296412
2008-03-27,1537.8446724128703
2008-03-28,1527.1832737490151
2008-03-31,1521.0618698260157
2008-04-01,1583.585793009396
2008-04-02,1601.1484689639012
2008-04-03,1597.6447597453557
2008-04-04,1591.5633816600048
2008-04-07,1602.263196422539
2008-04-08,1588.435758164526
2008-04-09,1572.1606592188193
2008-04-10,1571.734259309228
2008-04-11,1544.3624668884083
2008-04-14,1527.534183359018
2008-04-15,1536.6419263072305
2008-04-16,1559.0678794018472
2008-04-17,1561.9530206258894
2008-04-18,1597.8203913999425
2008-04-21,1577.781422853862
2008-04-22,1567.6085369499071
2008-04-23,1576.191946478228
2008-04-24,1591.80403990609
2008-04-25,1610.793480667936
2008-04-28,1618.8795545336725
2008-04-29,1611.043002810454
