Date,ACWI EX USA HIGH DIVIDEND YIELD
2012-10-09,2495.850750909275
2012-10-10,2484.754931490854
2012-10-11,2493.071981113726
2012-10-12,2483.322925459432
2012-10-15,2494.4360275268828
2012-10-16,2515.1296332538
2012-10-17,2525.6454312708865
2012-10-18,2535.7526717467986
2012-10-19,2521.409639341356
2012-10-22,2509.6416540560813
2012-10-23,2485.9410093615643
2012-10-24,2488.6964824273527
2012-10-25,2494.2581840315042
2012-10-26,2493.1057516355804
2012-10-29,2483.6435458230458
2012-10-30,2492.527069430323
2012-10-31,2491.5744063857765
2012-11-01,2512.411097049536
2012-11-02,2523.5220533497227
2012-11-05,2516.4651997750198
2012-11-06,2527.5713786299716
2012-11-07,2511.876747762121
2012-11-08,2500.7555766176743
2012-11-09,2497.164891091048
2012-11-12,2492.508472084896
2012-11-13,2491.6717718083
2012-11-14,2474.563474229057
2012-11-15,2449.8499173110395
2012-11-16,2439.6513784808913
2012-11-19,2473.2968450117446
2012-11-20,2474.644956307375
2012-11-21,2481.2130999178466
2012-11-22,2488.574069946356
2012-11-23,2500.88400721503
2012-11-26,2494.3894889810094
2012-11-27,2499.6005732097606
2012-11-28,2503.087372088944
2012-11-29,2524.8446131699393
2012-11-30,2523.144817496639
2012-12-03,2518.5182676880695
2012-12-04,2519.6967061336763
2012-12-05,2531.608279142997
2012-12-06,2548.0709174943077
2012-12-07,2556.778274311551
2012-12-10,2564.3664597161173
2012-12-11,2569.4190978554725
2012-12-12,2574.9915649079044
2012-12-13,2567.2260592899197
2012-12-14,2562.6733155834067
2012-12-17,2555.625129366141
2012-12-18,2564.2789440899965
2012-12-19,2572.848224700105
2012-12-20,2575.5277574481893
2012-12-21,2578.1761894245064
2012-12-24,2572.538818710636
2012-12-25,2573.632704740411
2012-12-26,2570.2414374797263
2012-12-27,2572.407288101939
2012-12-28,2564.252118056617
2012-12-31,2570.9724245413927
2013-01-01,2571.0180669570573
2013-01-02,2609.036623098693
2013-01-03,2635.3702711989067
2013-01-04,2647.087990253737
2013-01-07,2632.110072973636
2013-01-08,2630.2672463330537
2013-01-09,2650.217424775705
2013-01-10,2638.7874027224793
2013-01-11,2623.528179690693
2013-01-14,2619.398357112468
2013-01-15,2620.295505374832
2013-01-16,2619.80274537821
2013-01-17,2623.9368988101205
2013-01-18,2629.657073671131
2013-01-21,2633.2820099965647
2013-01-22,2636.1275969989874
2013-01-23,2636.5588494138133
2013-01-24,2632.5159156204336
2013-01-25,2628.0004002336223
2013-01-28,2626.409004968646
