Date,JORDAN + EGYPT + MOROCCO
2006-10-13,1103.2594402219706
2006-10-16,1109.0474146399224
2006-10-17,1114.3393589331101
2006-10-18,1116.007111200876
2006-10-19,1119.6512622523842
2006-10-20,1121.7996110875351
2006-10-23,1120.6221985227185
2006-10-24,1120.8443534073508
2006-10-25,1121.2881596906589
2006-10-26,1125.3203579275719
2006-10-27,1126.356058179256
2006-10-30,1143.7371570502703
2006-10-31,1157.6638972899489
2006-11-01,1160.0060219719737
2006-11-02,1152.922795408145
2006-11-03,1151.9925907765821
2006-11-06,1135.3092839954795
2006-11-07,1141.2766117245644
2006-11-08,1139.1977832508946
2006-11-09,1135.027572579318
2006-11-10,1135.914942595425
2006-11-13,1138.9866812003172
2006-11-14,1143.8609426465202
2006-11-15,1145.2170476802714
2006-11-16,1133.523266572554
2006-11-17,1135.0321245347404
2006-11-20,1116.8610799033318
2006-11-21,1129.8512963125945
2006-11-22,1147.0626175023851
2006-11-23,1155.9494269669337
2006-11-24,1161.1545097470198
2006-11-27,1172.0377980415622
2006-11-28,1160.279562117944
2006-11-29,1147.5733194720767
2006-11-30,1155.423445862676
2006-12-01,1158.7135808118273
2006-12-04,1152.1953805982828
2006-12-05,1147.760539683046
2006-12-06,1171.5409463261456
2006-12-07,1177.986712217486
2006-12-08,1183.693056149343
2006-12-11,1186.7639442497418
2006-12-12,1193.1903918219646
2006-12-13,1195.254957382201
2006-12-14,1186.3364109384543
2006-12-15,1181.818471804593
2006-12-18,1198.4587783757602
2006-12-19,1193.935635234245
2006-12-20,1188.5969343200495
2006-12-21,1190.5028192031168
2006-12-22,1194.091855612407
2006-12-25,1186.9660019645692
2006-12-26,1188.6860360835992
2006-12-27,1202.5566921816655
2006-12-28,1216.8544919745952
2006-12-29,1218.557414089061
2007-01-01,1218.557414089061
2007-01-02,1220.129707497555
2007-01-03,1239.58632494069
2007-01-04,1250.1771992888569
2007-01-05,1252.596098468659
2007-01-08,1263.832487088404
2007-01-09,1248.7802366766598
2007-01-10,1235.1908385633672
2007-01-11,1239.7206308672676
2007-01-12,1238.5400712080987
2007-01-15,1237.2639142515507
2007-01-16,1240.493581161092
2007-01-17,1243.6790431006518
2007-01-18,1239.652106395621
2007-01-19,1237.837640755132
2007-01-22,1237.8229746209518
2007-01-23,1241.0188200042444
2007-01-24,1230.9912823467841
2007-01-25,1223.5546855704727
2007-01-26,1228.2873301241923
2007-01-29,1207.0662785110987
2007-01-30,1222.408573912212
2007-01-31,1231.2509466155664
2007-02-01,1237.074957986044
2007-02-02,1238.5946447547376
2007-02-05,1245.2964810234437
2007-02-06,1260.3904728356636
2007-02-07,1264.0853786434216
2007-02-08,1268.2536850453985
2007-02-09,1269.6245362608586
2007-02-12,1276.0314892189635
2007-02-13,1286.271534813826
2007-02-14,1303.241507596969
2007-02-15,1311.6565420926033
2007-02-16,1316.7616637786427
2007-02-19,1330.9808867410238
2007-02-20,1330.6518026451554
2007-02-21,1335.7269714904787
2007-02-22,1324.4108497929674
2007-02-23,1321.2600863838818
2007-02-26,1330.5130725441702
2007-02-27,1333.6988911383544
2007-02-28,1308.4878470029398
2007-03-01,1305.1663332783648
2007-03-02,1309.3787961034602
2007-03-05,1281.2367243376798
2007-03-06,1290.8695697541332
2007-03-07,1306.900061621135
2007-03-08,1316.7131419927343
2007-03-09,1308.748639153677
2007-03-12,1306.597385549182
2007-03-13,1320.0408493791333
2007-03-14,1307.984349853161
2007-03-15,1317.6910575494317
2007-03-16,1320.2606935401272
2007-03-19,1308.8764354344005
2007-03-20,1310.1602356910391
2007-03-21,1311.7498525499366
2007-03-22,1319.7670683802748
2007-03-23,1321.8459266593047
2007-03-26,1331.1080207580148
2007-03-27,1330.572730296351
2007-03-28,1333.6721474014553
2007-03-29,1327.3882147259978
2007-03-30,1326.5885788960934
2007-04-02,1323.851863045653
2007-04-03,1314.2952422148296
2007-04-04,1320.8776982917107
2007-04-05,1329.5843580522894
2007-04-06,1330.5606580256865
2007-04-09,1330.5701742865447
2007-04-10,1343.5540182982675
2007-04-11,1354.961182385376
2007-04-12,1354.9575040388306
2007-04-13,1356.4986022982853
2007-04-16,1359.5906392592692
2007-04-17,1366.8438716888993
2007-04-18,1368.5583835989953
2007-04-19,1362.238150071274
2007-04-20,1363.6424127004227
2007-04-23,1361.285329681926
2007-04-24,1370.3319059682474
2007-04-25,1370.8012592819596
2007-04-26,1384.0685740511792
2007-04-27,1386.314555425354
2007-04-30,1382.7042744272876
2007-05-01,1382.335008216473
2007-05-02,1391.2830675069683
2007-05-03,1395.5342288823535
2007-05-04,1397.1244049825357
2007-05-07,1411.7314723696022
2007-05-08,1414.528418456
2007-05-09,1412.0475528377845
2007-05-10,1393.2370935621925
2007-05-11,1380.6064886968238
2007-05-14,1367.1024322328585
2007-05-15,1366.5917737017655
2007-05-16,1363.0819041006548
2007-05-17,1365.344470317387
2007-05-18,1364.0185645552715
2007-05-21,1371.366720881313
2007-05-22,1374.8250237688774
2007-05-23,1380.5922398449802
2007-05-24,1378.218455270737
2007-05-25,1378.8085209285039
2007-05-28,1382.7827147093158
2007-05-29,1397.5697027012673
2007-05-30,1393.2498320202544
2007-05-31,1421.1309649452953
2007-06-01,1416.7577268703399
2007-06-04,1425.5556023495171
2007-06-05,1427.5108180912152
2007-06-06,1422.744932745395
2007-06-07,1404.8126992257924
2007-06-08,1404.079998458606
2007-06-11,1403.8188866995663
2007-06-12,1399.715295103036
2007-06-13,1391.4771687164427
2007-06-14,1401.1062994409956
2007-06-15,1399.869504025139
2007-06-18,1428.5822476997205
2007-06-19,1415.845081691786
2007-06-20,1429.7835947059848
2007-06-21,1420.7437505126845
2007-06-22,1420.7164933114145
2007-06-25,1405.5627029403497
2007-06-26,1407.4554921045592
2007-06-27,1397.485806820072
2007-06-28,1407.2287329573803
2007-06-29,1409.3836228207758
2007-07-02,1424.9741009719085
2007-07-03,1442.97308827585
2007-07-04,1448.1250682420164
2007-07-05,1451.0376023872275
2007-07-06,1456.058778345401
2007-07-09,1479.3365327346357
2007-07-10,1493.3758071524821
2007-07-11,1478.7698097812704
2007-07-12,1468.7637294760157
2007-07-13,1471.0211844152327
2007-07-16,1487.8573987169568
2007-07-17,1487.1566982504214
2007-07-18,1479.3591623033944
2007-07-19,1482.303733041407
2007-07-20,1480.9338746532032
2007-07-23,1483.8630076030674
2007-07-24,1481.293527509666
2007-07-25,1478.6283658612385
2007-07-26,1484.3457310149597
2007-07-27,1485.3357991826617
2007-07-30,1450.259900912661
2007-07-31,1466.6476287186388
2007-08-01,1453.357756651078
2007-08-02,1463.7069711570266
2007-08-03,1468.7879378914893
2007-08-06,1461.5234798185977
2007-08-07,1472.1501722950609
2007-08-08,1471.977519920296
2007-08-09,1477.731248932758
2007-08-10,1477.9019771299954
2007-08-13,1444.987268195059
2007-08-14,1469.659851118246
2007-08-15,1459.5153827195456
2007-08-16,1420.6987868263736
2007-08-17,1424.3093093274213
2007-08-20,1398.4763122908614
2007-08-21,1383.0829725446856
2007-08-22,1386.0991968090166
2007-08-23,1391.3596400481606
2007-08-24,1395.7954560623302
2007-08-27,1408.3384146206654
2007-08-28,1416.003233062747
2007-08-29,1410.0410839062054
2007-08-30,1416.1611778322865
2007-08-31,1417.9197459089446
2007-09-03,1446.6654891202345
2007-09-04,1470.0460085459874
2007-09-05,1483.2181590453488
2007-09-06,1481.1531067373458
2007-09-07,1482.0332418918972
2007-09-10,1476.0536241228058
2007-09-11,1483.3359423265808
2007-09-12,1493.8952084747975
2007-09-13,1494.7717227230119
2007-09-14,1497.8478542783087
2007-09-17,1528.9898800852206
2007-09-18,1528.0943025794045
2007-09-19,1539.9613532411115
2007-09-20,1541.0849160000012
2007-09-21,1538.6408409241717
2007-09-24,1529.0571204153457
2007-09-25,1527.2546163088882
2007-09-26,1539.0505585681015
2007-09-27,1556.2925681294435
2007-09-28,1560.661563533667
2007-10-01,1576.742073534731
2007-10-02,1584.9597759465757
2007-10-03,1579.0020060109198
2007-10-04,1589.6557508139622
2007-10-05,1589.6668054140112
2007-10-08,1606.2977435938037
2007-10-09,1613.4342329744857
2007-10-10,1613.0642312156263
2007-10-11,1621.3705098992775
2007-10-12,1617.56252574662
2007-10-15,1621.116003567149
2007-10-16,1630.3191341325123
2007-10-17,1627.5377947339125
2007-10-18,1627.586905336819
2007-10-19,1628.1721981000067
2007-10-22,1620.390220716489
2007-10-23,1636.2479760939336
2007-10-24,1645.5355664047968
2007-10-25,1655.595388060243
2007-10-26,1658.2811142313042
2007-10-29,1683.4407578130285
2007-10-30,1695.3318867769426
2007-10-31,1680.7604853734638
2007-11-01,1703.7212915047037
2007-11-02,1714.922751318765
2007-11-05,1702.6405870397434
2007-11-06,1693.7034154738078
2007-11-07,1691.8280487853474
2007-11-08,1676.2763412610948
2007-11-09,1674.222157890139
2007-11-12,1692.012322953003
2007-11-13,1679.9411294661309
2007-11-14,1691.7073336667092
2007-11-15,1696.2148030674568
2007-11-16,1695.122173012498
2007-11-19,1735.4381500069067
2007-11-20,1735.1430785093796
2007-11-21,1748.8252537634946
2007-11-22,1730.4476223283884
2007-11-23,1724.7947096973596
2007-11-26,1723.0537861784824
2007-11-27,1717.128799388465
2007-11-28,1715.5025863204876
2007-11-29,1728.2283375707252
2007-11-30,1719.3504736513012
2007-12-03,1741.587464360949
2007-12-04,1761.2593627712074
2007-12-05,1773.3457026509375
2007-12-06,1781.5999463016865
2007-12-07,1779.4533820407482
2007-12-10,1769.912423754384
2007-12-11,1743.459167029783
2007-12-12,1753.7284562295927
2007-12-13,1772.4928547684378
2007-12-14,1767.553505412281
2007-12-17,1790.1128117756778
2007-12-18,1795.095592055068
2007-12-19,1796.5941760217331
2007-12-20,1792.3905270580906
2007-12-21,1793.6388190419768
2007-12-24,1818.2511833115145
2007-12-25,1811.1891319357405
2007-12-26,1797.9997506322268
2007-12-27,1821.4436005793266
2007-12-28,1829.5032079176676
2007-12-31,1844.6397423869082
2008-01-01,1844.6397423869082
2008-01-02,1877.166029884648
2008-01-03,1886.138750344488
2008-01-04,1894.298121842906
2008-01-07,1929.483700372989
2008-01-08,1941.5683408407112
2008-01-09,1950.0912085205193
2008-01-10,1950.8228713741955
2008-01-11,1952.6586492456897
2008-01-14,1949.5155853412978
2008-01-15,1958.4334437107257
2008-01-16,1935.1704402200546
2008-01-17,1924.7262007741274
2008-01-18,1920.3504911069322
2008-01-21,1800.4156904281613
2008-01-22,1751.5303836143914
2008-01-23,1811.7268324589236
2008-01-24,1820.37706363031
2008-01-25,1818.0256524520823
2008-01-28,1821.3522472899201
2008-01-29,1833.5749056605387
2008-01-30,1853.6312072838327
2008-01-31,1870.6781299010238
2008-02-01,1871.5168181364745
2008-02-04,1896.9670374581247
2008-02-05,1888.7350289968279
2008-02-06,1861.2724402345123
2008-02-07,1853.793988688041
2008-02-08,1853.479196445156
2008-02-11,1817.1526144404122
2008-02-12,1821.8375036862255
2008-02-13,1845.4326298709086
2008-02-14,1877.7008488886827
2008-02-15,1888.7714885902049
2008-02-18,1912.2209904177398
2008-02-19,1926.3412203463909
2008-02-20,1926.3358614975534
2008-02-21,1966.4231311160595
2008-02-22,1967.6145347942697
2008-02-25,2010.2840692381765
2008-02-26,2032.3186998008844
2008-02-27,2023.86035528653
2008-02-28,2045.1123697479723
2008-02-29,2041.0612639351918
2008-03-03,2011.3410359076938
2008-03-04,2026.7361393566584
2008-03-05,2041.362044656164
2008-03-06,2046.5618039179858
2008-03-07,2048.9693533339996
2008-03-10,2035.0287744180216
2008-03-11,2052.210598455685
2008-03-12,2103.4130149284338
2008-03-13,2087.986578777643
2008-03-14,2082.532303260919
2008-03-17,2032.1333804107198
2008-03-18,2028.9430854218301
2008-03-19,2026.3586315963155
2008-03-20,2017.9385453662155
2008-03-21,2017.9385453662155
2008-03-24,2015.883810233112
2008-03-25,2038.5270587351724
2008-03-26,2045.0236725468258
2008-03-27,2052.7031792301163
2008-03-28,2050.37680581495
2008-03-31,2088.335311302626
2008-04-01,2083.606182382103
2008-04-02,2085.6527555428315
2008-04-03,2081.121209637122
2008-04-04,2091.0728412336275
2008-04-07,2123.7618814794046
2008-04-08,2134.0657570774306
2008-04-09,2125.4758594535874
2008-04-10,2116.943901741061
2008-04-11,2116.0718944680725
2008-04-14,2079.750334413935
2008-04-15,2082.8418300585104
2008-04-16,2083.916291338144
2008-04-17,2121.1197263670074
2008-04-18,2113.534041923238
2008-04-21,2169.062848015336
2008-04-22,2167.4346872792503
2008-04-23,2146.1328925257812
2008-04-24,2141.1744249012463
2008-04-25,2134.612357914823
2008-04-28,2136.9823194600012
2008-04-29,2147.1808351238383
2008-04-30,2144.3742807895765
2008-05-01,2142.7185542651546
2008-05-02,2141.3213046798783
2008-05-05,2158.92092507931
2008-05-06,2150.281628482375
2008-05-07,2126.0227512261945
2008-05-08,2114.0935839519934
2008-05-09,2116.820496170746
2008-05-12,2061.9825056309496
2008-05-13,2045.3608448330313
2008-05-14,2030.2818542515902
2008-05-15,1960.2542276722165
2008-05-16,1970.147290833912
2008-05-19,2011.8511687822047
2008-05-20,2037.4766651378634
2008-05-21,2031.8242100959487
2008-05-22,2036.1509264321112
2008-05-23,2034.9980127499257
2008-05-26,2046.8060052163128
2008-05-27,2058.0747232053814
2008-05-28,2056.1838004664055
2008-05-29,2073.130017100035
2008-05-30,2072.1364362527
2008-06-02,2049.406893579278
2008-06-03,2042.0960524427628
2008-06-04,2073.4049393505966
2008-06-05,2070.595963858595
2008-06-06,2077.6355836497155
2008-06-09,2041.3869579173718
2008-06-10,2014.6795397230096
2008-06-11,2018.0351159528857
2008-06-12,2027.072151491245
2008-06-13,2025.8483190998058
2008-06-16,2049.1261551766156
2008-06-17,2035.4718909094172
2008-06-18,2022.9133900138324
2008-06-19,2007.4804306739575
2008-06-20,2009.1465651443855
2008-06-23,1988.713045494825
2008-06-24,1992.7780932895007
2008-06-25,1976.491883321723
2008-06-26,1978.446429924948
2008-06-27,1976.75998080493
2008-06-30,1961.282918035318
2008-07-01,1963.1372921611107
2008-07-02,1989.5147808377508
2008-07-03,1974.3168925565355
2008-07-04,1976.7716324907617
2008-07-07,1911.222782643491
2008-07-08,1908.7459919470828
2008-07-09,1932.2956593387582
2008-07-10,1956.6053537235614
2008-07-11,1960.4226403137645
2008-07-14,1981.6843355753306
2008-07-15,1988.6306641614053
2008-07-16,1945.8856275605451
2008-07-17,1938.515756403279
2008-07-18,1938.6951036004114
2008-07-21,1936.5322862978733
2008-07-22,1933.0452317171623
2008-07-23,1925.726833618894
2008-07-24,1928.4082969207468
2008-07-25,1927.9633366330233
2008-07-28,1944.5634024727347
2008-07-29,1894.408886920259
2008-07-30,1887.5334340943893
2008-07-31,1896.0338338626245
2008-08-01,1900.5951617167598
2008-08-04,1861.793989543113
2008-08-05,1844.0444984375022
2008-08-06,1852.0560234529476
2008-08-07,1847.7188569349273
2008-08-08,1840.1615882885183
2008-08-11,1801.4768879947094
2008-08-12,1767.2561971131447
2008-08-13,1710.7315307485026
2008-08-14,1760.4910606024573
2008-08-15,1751.6525157945625
2008-08-18,1730.1014413528344
2008-08-19,1696.0931334920458
2008-08-20,1670.3622997394673
2008-08-21,1696.8191913653404
2008-08-22,1694.049047611026
2008-08-25,1721.6943334115701
2008-08-26,1706.0968114318055
2008-08-27,1723.093309405797
2008-08-28,1751.2765453874988
2008-08-29,1748.7801200680158
2008-09-01,1755.28514359493
2008-09-02,1722.2782658203612
2008-09-03,1731.8025032788642
2008-09-04,1724.3563776445237
2008-09-05,1716.5605518032164
2008-09-08,1698.849650263551
2008-09-09,1682.5989417841472
2008-09-10,1653.3398977290706
2008-09-11,1631.7599841076753
2008-09-12,1635.8824769052756
2008-09-15,1543.270939017853
2008-09-16,1479.2103798905564
2008-09-17,1501.1924286057545
2008-09-18,1475.898720476175
2008-09-19,1497.3306369201944
2008-09-22,1562.8995149744067
2008-09-23,1545.823917618966
2008-09-24,1513.816687098156
2008-09-25,1514.6664825252747
2008-09-26,1509.078965559967
2008-09-29,1509.1340474327055
2008-09-30,1477.720498737903
2008-10-01,1475.7678611388417
2008-10-02,1469.982985322506
2008-10-03,1469.9406871585295
2008-10-06,1436.895330751051
2008-10-07,1309.7778943006974
2008-10-08,1251.0668830785817
2008-10-09,1263.6607883199426
2008-10-10,1258.7891191279032
2008-10-13,1299.6533519611444
2008-10-14,1350.6556896888299
2008-10-15,1314.0035392418622
2008-10-16,1282.870780832079
2008-10-17,1296.4301033423185
2008-10-20,1272.2670827575637
2008-10-21,1251.5253961832584
2008-10-22,1177.9572196916756
2008-10-23,1142.198505434975
2008-10-24,1132.2951358221337
2008-10-27,1069.223757899663
2008-10-28,1113.6704797498026
2008-10-29,1139.0703296221566
2008-10-30,1125.9669590510641
2008-10-31,1123.3944658496525
2008-11-03,1180.5158946261859
2008-11-04,1214.7419087466133
2008-11-05,1231.2175062680412
2008-11-06,1207.9082884329664
2008-11-07,1201.4407461499823
2008-11-10,1210.7277015099446
2008-11-11,1183.9970977717992
2008-11-12,1145.7046644456466
2008-11-13,1116.1507203115564
2008-11-14,1117.0795342750516
2008-11-17,1082.1707298580707
2008-11-18,1037.4747354977649
2008-11-19,1013.5472740130483
2008-11-20,972.1454704406256
