Date,WORLD ex ISRAEL SMALL VALUE
2020-09-22,2096.975543056913
2020-09-23,2063.382487425253
2020-09-24,2059.65646701985
2020-09-25,2081.5137941880985
2020-09-28,2130.1485510147113
2020-09-29,2100.7894936925336
2020-09-30,2105.4976185930177
2020-10-01,2123.931737761531
2020-10-02,2143.0838497374402
2020-10-05,2177.8814050374876
2020-10-06,2178.15068128684
2020-10-07,2202.1128461620187
2020-10-08,2233.2528121373766
2020-10-09,2225.420352715513
2020-10-12,2237.131870278643
2020-10-13,2222.1816667311177
2020-10-14,2213.5191679917357
2020-10-15,2227.4562375494943
2020-10-16,2218.344965094416
2020-10-19,2199.2919741472138
2020-10-20,2197.697955288609
2020-10-21,2190.501060371829
2020-10-22,2220.4336245742134
2020-10-23,2234.311924465559
2020-10-26,2192.170684458238
2020-10-27,2160.3433906071405
2020-10-28,2112.8662856611277
2020-10-29,2140.6348743287826
2020-10-30,2132.2542584742655
2020-11-02,2172.8316015490964
2020-11-03,2207.9612323988936
2020-11-04,2203.0438170640846
2020-11-05,2233.691802612012
2020-11-06,2211.6386801096387
2020-11-09,2328.590608703238
2020-11-10,2376.5420592418536
2020-11-11,2381.0153782173293
2020-11-12,2338.5057635384237
2020-11-13,2374.459004984422
2020-11-16,2436.322360525586
2020-11-17,2436.6912185113197
2020-11-18,2422.437452845517
2020-11-19,2429.9446424553544
2020-11-20,2430.739925273795
2020-11-23,2475.816707535885
2020-11-24,2525.937434748014
2020-11-25,2508.437978128648
2020-11-26,2505.989362049451
2020-11-27,2499.692135636784
2020-11-30,2441.3131000481026
2020-12-01,2463.411816365097
2020-12-02,2461.4628328772915
2020-12-03,2470.381670251773
2020-12-04,2512.6760336535517
2020-12-07,2498.6379846244595
2020-12-08,2510.7284533738575
2020-12-09,2521.9580369457276
2020-12-10,2516.8582938751
2020-12-11,2507.7656506635435
2020-12-14,2503.396650030474
2020-12-15,2539.8353353144644
2020-12-16,2535.695277358863
2020-12-17,2543.555285254371
2020-12-18,2523.4311130901765
2020-12-21,2505.995675435587
2020-12-22,2515.1012934866785
2020-12-23,2546.2603961172863
2020-12-24,2553.6659650848064
2020-12-25,2555.8930620098376
2020-12-28,2552.1963896180473
2020-12-29,2538.951771849427
2020-12-30,2543.4760631569893
2020-12-31,2554.0983470257256
2021-01-01,2554.0983470257247
2021-01-04,2525.2360717450006
2021-01-05,2552.852644074409
2021-01-06,2628.42605818415
2021-01-07,2657.7753821512933
2021-01-08,2654.841569529519
2021-01-11,2664.5330061059317
