Date,SINGAPORE IMI MINIMUM VOLATILITY (USD)
2003-12-10,1269.1996635320845
2003-12-11,1274.068229135033
2003-12-12,1282.7093648003363
2003-12-15,1293.7050603183525
2003-12-16,1287.38253650228
2003-12-17,1280.5592886572433
2003-12-18,1279.6516921295954
2003-12-19,1276.0692945194126
2003-12-22,1281.1941766693267
2003-12-23,1283.228689301975
2003-12-24,1289.499913835843
2003-12-25,1289.499913835843
2003-12-26,1293.1568396401858
2003-12-29,1304.3664035001389
2003-12-30,1316.9856379866744
2003-12-31,1320.612087798702
2004-01-01,1320.612087798702
2004-01-02,1335.0087981010558
2004-01-05,1355.1264534224013
2004-01-06,1348.4066708669618
2004-01-07,1356.5384095302134
2004-01-08,1360.8517612554685
2004-01-09,1371.154377986388
2004-01-12,1357.8209556075885
2004-01-13,1366.3928468278682
2004-01-14,1365.8858716362145
2004-01-15,1346.9402813463273
2004-01-16,1347.4022704223428
2004-01-19,1349.8782726183265
2004-01-20,1361.7395250061932
2004-01-21,1382.862473121862
2004-01-22,1388.2629622915838
2004-01-23,1386.1944246321389
2004-01-26,1393.2500963207156
2004-01-27,1390.8885577046801
2004-01-28,1370.3372598245785
2004-01-29,1351.2302302652195
2004-01-30,1369.9399317535742
2004-02-02,1370.8393976971704
2004-02-03,1368.9220276985927
2004-02-04,1366.9618505265043
2004-02-05,1362.5316445713322
2004-02-06,1382.3212086215558
2004-02-09,1407.3995939414729
2004-02-10,1408.4222841732565
2004-02-11,1411.1865544863554
2004-02-12,1405.679802715432
2004-02-13,1409.3002628952358
2004-02-16,1404.834232283825
2004-02-17,1420.722201702753
2004-02-18,1417.4105499114403
2004-02-19,1410.7095669777796
2004-02-20,1410.2738511984949
2004-02-23,1410.6177525497203
2004-02-24,1413.0055487361808
2004-02-25,1404.281948332879
2004-02-26,1406.5986429440343
2004-02-27,1409.875329079119
2004-03-01,1416.8477941833592
2004-03-02,1411.0006684786708
2004-03-03,1399.444190035083
2004-03-04,1405.6239490769
2004-03-05,1411.4686786483564
2004-03-08,1408.059734215748
2004-03-09,1409.594090954046
2004-03-10,1398.6950870351288
2004-03-11,1386.1156958609163
2004-03-12,1375.5559380537459
2004-03-15,1378.6954474019194
2004-03-16,1381.2246997023292
2004-03-17,1386.100562188984
2004-03-18,1393.5133226746964
2004-03-19,1387.643676352682
2004-03-22,1378.8421112471772
2004-03-23,1382.7930449945184
2004-03-24,1389.1438837220796
2004-03-25,1385.8913370682546
2004-03-26,1383.8019804051314
2004-03-29,1389.572883479252
2004-03-30,1400.3589330199572
2004-03-31,1414.820226519404
2004-04-01,1431.8568035368028
2004-04-02,1427.9591085608474
2004-04-05,1430.4670540295244
2004-04-06,1423.0220918665377
2004-04-07,1430.7017481126518
2004-04-08,1440.6846924075621
2004-04-09,1440.6846924075621
2004-04-12,1443.3768454306178
2004-04-13,1441.8206930813633
2004-04-14,1417.791573780296
2004-04-15,1407.5087379801066
2004-04-16,1416.049024329879
2004-04-19,1407.5492632298838
2004-04-20,1413.8261877769808
2004-04-21,1402.6591407865403
2004-04-22,1407.0980777121385
2004-04-23,1413.3965484040837
2004-04-26,1401.8594577830638
2004-04-27,1398.1811092803664
2004-04-28,1398.7347893124065
2004-04-29,1369.5463912664954
2004-04-30,1386.9105864946669
2004-05-03,1386.4785033688352
2004-05-04,1413.9556735514304
2004-05-05,1441.9052946540692
2004-05-06,1439.0753256489272
2004-05-07,1419.891433780827
2004-05-10,1370.6467106202956
2004-05-11,1378.5001297901304
2004-05-12,1386.1685371222923
2004-05-13,1364.4646561509394
2004-05-14,1348.6508742544247
2004-05-17,1310.8592245345603
2004-05-18,1323.5552842910272
2004-05-19,1361.1162359268378
2004-05-20,1344.30202807922
2004-05-21,1365.235133176789
2004-05-24,1369.5935390824377
2004-05-25,1364.464071207567
2004-05-26,1373.2482394739407
2004-05-27,1387.3521271526035
2004-05-28,1387.1722148902438
2004-05-31,1394.4628021745002
2004-06-01,1392.819779021183
2004-06-02,1389.6552375030958
2004-06-03,1379.7285505733266
2004-06-04,1388.3418883667914
2004-06-07,1413.902833003148
2004-06-08,1413.8279757589594
2004-06-09,1422.2357298476775
2004-06-10,1421.423940164587
2004-06-11,1413.9484046970263
2004-06-14,1407.254089169742
2004-06-15,1413.8911802405562
2004-06-16,1418.2894186309118
2004-06-17,1403.733022722726
2004-06-18,1395.206076367735
2004-06-21,1389.7388463549946
2004-06-22,1390.9989638889792
2004-06-23,1399.0536480379321
2004-06-24,1408.4307104126447
2004-06-25,1414.252249615313
2004-06-28,1418.937477193384
2004-06-29,1421.3827281556034
2004-06-30,1419.3821215823777
2004-07-01,1430.4061608309153
2004-07-02,1431.3310288018902
2004-07-05,1435.0689499393286
2004-07-06,1439.8047014585125
2004-07-07,1448.43934002563
2004-07-08,1440.1858469683516
2004-07-09,1447.2449603890059
2004-07-12,1454.484507227048
2004-07-13,1453.992357624396
2004-07-14,1446.9447764263712
2004-07-15,1447.0798224722073
2004-07-16,1453.1455957649173
2004-07-19,1462.831946036178
2004-07-20,1449.599973260048
2004-07-21,1449.2289383663813
2004-07-22,1441.0691466455548
2004-07-23,1425.7596270522256
2004-07-26,1432.623332221892
2004-07-27,1437.2689940050943
2004-07-28,1438.051986337894
2004-07-29,1454.7721224286142
2004-07-30,1459.2409286433817
2004-08-02,1460.5374829404773
2004-08-03,1469.031234123125
2004-08-04,1461.014183778138
2004-08-05,1480.1891089791686
2004-08-06,1471.987204346984
2004-08-09,1472.4470281972926
2004-08-10,1464.630919399488
2004-08-11,1454.9423918250857
2004-08-12,1458.5722414293546
2004-08-13,1450.8771281585896
2004-08-16,1454.7229747952417
2004-08-17,1458.958407122802
2004-08-18,1464.5042242685977
2004-08-19,1478.4627607017908
2004-08-20,1471.0406923651897
2004-08-23,1475.1846457876
2004-08-24,1477.344536192207
2004-08-25,1480.8646841562788
2004-08-26,1483.5530341542883
2004-08-27,1484.0200229001516
2004-08-30,1475.7330875846305
2004-08-31,1486.9750826385584
2004-09-01,1502.5034798754787
2004-09-02,1519.924801173885
2004-09-03,1513.1552717967731
2004-09-06,1511.925714181566
2004-09-07,1530.4476782494953
2004-09-08,1526.925794441783
2004-09-09,1524.1172740521883
2004-09-10,1529.2460905764078
2004-09-13,1544.759858354336
2004-09-14,1558.9403760146702
2004-09-15,1564.8953059900828
2004-09-16,1557.3274299970892
2004-09-17,1561.2980359784963
2004-09-20,1554.2420952896316
2004-09-21,1563.1984376662217
2004-09-22,1557.5359331386858
2004-09-23,1555.6804173428104
2004-09-24,1552.2280442516696
2004-09-27,1555.6474786960525
2004-09-28,1548.8036143887377
2004-09-29,1551.7149217589597
2004-09-30,1563.005495307042
2004-10-01,1563.7552918474607
2004-10-04,1581.7479151138
2004-10-05,1577.398069347292
2004-10-06,1575.5164718550607
2004-10-07,1572.6183127493628
2004-10-08,1582.1728647845412
2004-10-11,1575.4474805214818
2004-10-12,1554.3713163411755
2004-10-13,1553.3940773660977
