Date,INDONESIA GROWTH
2018-01-02,1416.6523213450037
2018-01-03,1399.9070513970087
2018-01-04,1421.2847851836152
2018-01-05,1433.6258799650266
2018-01-08,1436.418648404762
2018-01-09,1429.8735302705404
2018-01-10,1424.762162263241
2018-01-11,1439.298320701809
2018-01-12,1433.5948805402168
2018-01-15,1439.5561641343222
2018-01-16,1453.0622508101235
2018-01-17,1437.7684548129278
2018-01-18,1448.9118212244798
2018-01-19,1448.0062477036367
2018-01-22,1436.9197710680369
2018-01-23,1458.107119139603
2018-01-24,1453.7877872746399
2018-01-25,1448.968592418166
2018-01-26,1461.2362931991609
2018-01-29,1454.015722194789
2018-01-30,1425.5483811499896
2018-01-31,1432.6699108524056
2018-02-01,1438.2470531458166
2018-02-02,1444.3866063598343
2018-02-05,1427.5639012837753
2018-02-06,1406.0065017042893
2018-02-07,1420.732372906844
2018-02-08,1422.0523570847654
2018-02-09,1412.9393278329276
2018-02-12,1408.329437907246
2018-02-13,1425.3736232173385
2018-02-14,1424.2777921860222
2018-02-15,1426.5278274945344
2018-02-16,1426.5278274945344
2018-02-19,1458.3192845584497
2018-02-20,1463.4634240381945
2018-02-21,1452.0881024165735
2018-02-22,1429.7077315378
2018-02-23,1432.9628766365122
2018-02-26,1410.1281931177955
2018-02-27,1415.5565894433907
2018-02-28,1400.3628302115465
2018-03-01,1410.0521361530186
2018-03-02,1403.973824052796
2018-03-05,1392.6208692543773
2018-03-06,1374.1822454916032
2018-03-07,1352.464352757394
2018-03-08,1375.3535128636481
2018-03-09,1377.1120743977958
2018-03-12,1399.757430006656
2018-03-13,1380.522846397112
2018-03-14,1376.9827592163526
2018-03-15,1358.6641289555898
2018-03-16,1349.7505517364311
2018-03-19,1355.8741216085039
2018-03-20,1341.3484772758263
2018-03-21,1354.979710210888
2018-03-22,1344.9857325886587
2018-03-23,1344.3255172796858
2018-03-26,1330.8479918866597
2018-03-27,1328.572505154398
2018-03-28,1314.352166952039
2018-03-29,1323.0102906325126
2018-03-30,1323.0102906325126
2018-04-02,1339.4678147988727
2018-04-03,1335.1590031740475
2018-04-04,1320.9200370002966
2018-04-05,1326.4501950978622
2018-04-06,1318.14919702869
2018-04-09,1332.552234927039
2018-04-10,1361.4907285291843
2018-04-11,1368.8344906663704
2018-04-12,1356.531526296777
2018-04-13,1343.0477623874613
2018-04-16,1347.8960178955572
2018-04-17,1339.6253427494225
2018-04-18,1352.3237521625092
2018-04-19,1358.735235122307
2018-04-20,1344.6654978635593
2018-04-23,1333.5170914663347
2018-04-24,1317.230826643077
2018-04-25,1263.532930448049
2018-04-26,1230.3628846730398
2018-04-27,1243.4381916625339
2018-04-30,1266.925645827651
2018-05-01,1266.9256458276507
2018-05-02,1279.898257310784
2018-05-03,1235.5949577073243
2018-05-04,1218.5336517715102
2018-05-07,1242.037244016854
2018-05-08,1218.907940708163
2018-05-09,1254.9229123720763
2018-05-10,1254.922912372076
2018-05-11,1269.9990353722878
2018-05-14,1267.9251098151037
2018-05-15,1215.6785611268056
2018-05-16,1212.841572930966
2018-05-17,1204.2731133142108
2018-05-18,1191.203483048334
2018-05-21,1179.53733774685
2018-05-22,1189.0897621785011
2018-05-23,1190.6627506401117
2018-05-24,1234.5773518641552
2018-05-25,1239.6178332793693
2018-05-28,1283.348678921517
2018-05-29,1283.348678921517
2018-05-30,1263.4962550444861
2018-05-31,1260.284116283544
2018-06-01,1260.2841162835439
2018-06-04,1282.6184658908276
2018-06-05,1299.9845097630728
2018-06-06,1297.2938494087912
2018-06-07,1301.6511584080436
2018-06-08,1247.0798626794037
2018-06-11,1247.0798626794037
2018-06-12,1247.0798626794037
2018-06-13,1247.0798626794037
2018-06-14,1247.0798626794037
2018-06-15,1247.0798626794037
2018-06-18,1247.0798626794037
2018-06-19,1247.0798626794037
2018-06-20,1223.736447063634
2018-06-21,1191.577620337797
2018-06-22,1200.8025490799494
2018-06-25,1207.3370939634513
2018-06-26,1188.0838839422445
2018-06-27,1183.35818857213
2018-06-28,1142.147205737278
2018-06-29,1182.790338659012
2018-07-02,1169.7975138610373
2018-07-03,1139.5045935680441
2018-07-04,1170.5043940703097
2018-07-05,1173.170210715169
2018-07-06,1159.8719538693897
2018-07-09,1191.855347044369
2018-07-10,1203.3808985825897
2018-07-11,1204.9832274805708
2018-07-12,1213.6929959260615
2018-07-13,1224.3414854339014
2018-07-16,1218.302203170357
2018-07-17,1202.4325884891161
2018-07-18,1213.870650487744
2018-07-19,1202.715134901601
2018-07-20,1199.5941042701816
2018-07-23,1213.3898543599582
2018-07-24,1217.1414924143742
2018-07-25,1219.2938895802947
2018-07-26,1223.5732384072985
2018-07-27,1230.5390169837863
2018-07-30,1239.9212224306373
2018-07-31,1210.207705007773
2018-08-01,1234.3694759019138
2018-08-02,1226.5293607927724
2018-08-03,1223.083545588414
2018-08-06,1245.9619412434822
2018-08-07,1241.6114214979955
2018-08-08,1247.3128664096043
2018-08-09,1245.9387356205068
2018-08-10,1241.4122520828103
2018-08-13,1183.7487790106102
2018-08-14,1167.5654314911844
