Date,TAIWAN GROWTH
2016-03-03,192.84500614878988
2016-03-04,193.13605916362505
2016-03-07,193.68733350303668
2016-03-08,193.1090322956095
2016-03-09,192.02074614089543
2016-03-10,193.20066151751595
2016-03-11,194.76729104288052
2016-03-14,195.70229831900656
2016-03-15,193.38832794264079
2016-03-16,195.06192423730718
2016-03-17,198.50193697591794
2016-03-18,201.57552188460465
2016-03-21,201.5982683830928
2016-03-22,200.67189036910486
2016-03-23,200.18794949698267
2016-03-24,198.47783642122204
2016-03-25,197.2263890805272
2016-03-28,197.10665855234657
2016-03-29,196.46966913699103
2016-03-30,201.8088235606795
2016-03-31,202.7213680799135
2016-04-01,199.2473196713664
2016-04-04,199.2473196713664
2016-04-05,199.2473196713664
2016-04-06,193.33102393570772
2016-04-07,193.8360042639285
2016-04-08,195.84682099583424
2016-04-11,197.58951436048798
2016-04-12,196.69984765832095
2016-04-13,200.54807785583148
2016-04-14,200.28381737896441
2016-04-15,200.5757344992832
2016-04-18,198.74634798352514
2016-04-19,198.64204622482032
2016-04-20,195.41540008739932
2016-04-21,197.22645256265744
2016-04-22,196.2265148841926
2016-04-25,197.02960453892317
2016-04-26,197.63774142322535
2016-04-27,196.72531490956027
2016-04-28,194.2224741913578
2016-04-29,191.32413928468296
2016-05-02,191.32413928468296
2016-05-03,189.2510952265889
2016-05-04,186.4611241529235
2016-05-05,186.08547249673447
2016-05-06,186.36655458747705
2016-05-09,186.32387120987812
2016-05-10,185.66196577059205
2016-05-11,186.16468642732315
2016-05-12,185.2050505970436
2016-05-13,183.14761803657905
2016-05-16,183.35715983636095
2016-05-17,186.24069166979044
2016-05-18,186.19862467014033
2016-05-19,184.4451563061766
2016-05-20,186.2656128322667
2016-05-23,192.67096915511706
2016-05-24,190.2306592466027
2016-05-25,193.60619004338696
2016-05-26,193.97022623153512
2016-05-27,196.48395435719874
2016-05-30,197.54381092776168
2016-05-31,197.7304151909981
2016-06-01,199.86554399872927
2016-06-02,199.3126741107593
2016-06-03,200.83663872891873
2016-06-06,202.50854722095428
2016-06-07,204.86937757962284
2016-06-08,208.07047341586195
2016-06-09,208.07047341586195
2016-06-10,208.07047341586195
2016-06-13,202.35588467645408
2016-06-14,202.98370355182104
2016-06-15,203.88724953886066
2016-06-16,201.2496027687619
2016-06-17,203.61984839549888
2016-06-20,205.04260492608506
2016-06-21,207.26104503626368
2016-06-22,208.19426544688397
2016-06-23,206.81163628003904
2016-06-24,199.55175051121716
2016-06-27,199.97658972331956
2016-06-28,202.07076681878144
2016-06-29,204.78829064129576
2016-06-30,208.5594577856675
2016-07-01,212.41127424006473
2016-07-04,212.5605308690381
2016-07-05,210.21354802460627
