Date,EM GCC COUNTRIES IMI VALUE
2016-05-27,873.0412035044617
2016-05-30,860.9740976795114
2016-05-31,861.7908638878595
2016-06-01,861.258309997611
2016-06-02,852.203378873383
2016-06-03,839.2775460755242
2016-06-06,847.0923408668397
2016-06-07,863.240087625454
2016-06-08,870.8319744000262
2016-06-09,872.0086071842616
2016-06-10,874.1757953615622
2016-06-13,862.38947519791
2016-06-14,872.5707710739399
2016-06-15,868.0058064808613
2016-06-16,872.8960882690649
2016-06-17,864.9987499430431
2016-06-20,876.4425160281718
2016-06-21,887.3170937858288
2016-06-22,888.6409986306097
2016-06-23,886.1906267561247
2016-06-24,904.9015261528027
2016-06-27,898.9873635363458
2016-06-28,890.7282296891004
2016-06-29,886.2145869662351
2016-06-30,894.2418192113712
2016-07-01,892.4771203206293
2016-07-04,907.4540438827426
2016-07-05,908.8981094066604
2016-07-06,911.9764865224877
2016-07-07,911.9131454401025
2016-07-08,915.0287827849962
2016-07-11,917.1845983573731
2016-07-12,923.088265273778
2016-07-13,927.8968675726692
2016-07-14,931.013356240255
2016-07-15,933.9108964737904
2016-07-18,945.8143667097152
2016-07-19,952.822697518009
2016-07-20,954.2546933328383
2016-07-21,952.8275377657659
2016-07-22,954.5220140810642
2016-07-25,957.5072914698612
2016-07-26,953.9928539524826
2016-07-27,957.7756538101577
2016-07-28,953.4064141457555
2016-07-29,944.9657939802802
2016-08-01,949.8517759186836
2016-08-02,935.7768342956823
2016-08-03,930.143324416981
2016-08-04,947.1672916052174
2016-08-05,952.9397155789432
2016-08-08,967.6984396943113
2016-08-09,965.543758093099
2016-08-10,967.085199114271
2016-08-11,963.2478920064062
2016-08-12,963.265152567897
2016-08-15,984.4941434171068
2016-08-16,987.8297176507064
2016-08-17,981.754330689331
2016-08-18,974.8156626238406
2016-08-19,975.1036079307476
2016-08-22,962.6648913640931
2016-08-23,960.0449931205063
2016-08-24,962.857785802012
2016-08-25,957.8882200707369
2016-08-26,958.0407424755778
2016-08-29,974.4595736524434
2016-08-30,981.6147836023684
2016-08-31,963.9422560929595
2016-09-01,955.0769503782241
2016-09-02,957.7054889458483
2016-09-05,963.9008172031124
2016-09-06,946.65245937766
2016-09-07,938.1424401862935
