Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2015-07-14,542.3200107726069
2015-07-15,543.8349770697682
2015-07-16,550.031268305109
2015-07-17,552.0234605988973
2015-07-20,551.4721056659813
2015-07-21,549.4405435170554
2015-07-22,549.5909879024863
2015-07-23,550.6120091060186
2015-07-24,551.7886393642532
2015-07-27,550.1386990942598
2015-07-28,548.078460532113
2015-07-29,553.1423904134908
2015-07-30,546.4504930714354
2015-07-31,550.1732603623951
2015-08-03,552.206422775942
2015-08-04,552.0498794217876
2015-08-05,554.3823588895575
2015-08-06,548.5914491555941
2015-08-07,546.9166127143834
2015-08-10,546.5881543244625
2015-08-11,546.846613781289
2015-08-12,544.4448310482891
2015-08-13,551.6965792000293
2015-08-14,553.2681996848229
2015-08-17,552.3766343903056
2015-08-18,548.9218963791263
2015-08-19,548.0851633143967
2015-08-20,545.5472886320599
2015-08-21,532.4676604914631
2015-08-24,498.9316958558098
2015-08-25,502.7784660461203
2015-08-26,495.72311024755845
2015-08-27,505.9135141700177
2015-08-28,513.0896047422979
2015-08-31,518.3563539697501
2015-09-01,510.5908920445722
2015-09-02,513.3990056045526
2015-09-03,522.076474570837
2015-09-04,516.2201594250225
2015-09-07,512.7640428437887
2015-09-08,516.636963371748
2015-09-09,520.3225396909912
2015-09-10,518.8672213416444
2015-09-11,523.796290875672
2015-09-14,533.8954903592546
2015-09-15,536.133405900441
2015-09-16,545.5513892357434
2015-09-17,544.7779476062096
2015-09-18,543.179438599337
2015-09-21,545.4014516265566
2015-09-22,540.3899836994899
2015-09-23,535.273770009624
2015-09-24,533.6926922624478
2015-09-25,538.5244222631634
2015-09-28,529.2937743869123
2015-09-29,527.0552226192535
2015-09-30,526.5846104149375
2015-10-01,528.8129311970806
2015-10-02,527.9950110625023
2015-10-05,536.8069469233486
2015-10-06,538.3091326765316
2015-10-07,542.3001657952785
2015-10-08,543.4986293152444
2015-10-09,549.9315627522365
2015-10-12,552.7170777506429
2015-10-13,546.0768352614078
2015-10-14,543.567284821527
2015-10-15,550.4222452425289
2015-10-16,543.9231718225841
2015-10-19,545.1803935584226
2015-10-20,545.9912977896867
2015-10-21,540.0794677597169
2015-10-22,539.1239307946281
2015-10-23,541.9979458231331
2015-10-26,542.9446637162594
2015-10-27,538.6620497607395
2015-10-28,538.4479906032429
2015-10-29,533.7568163066771
2015-10-30,533.3976671375776
2015-11-02,534.1857284694987
2015-11-03,532.9690905960937
2015-11-04,534.588830644717
2015-11-05,534.8323059474818
2015-11-06,531.6101575926675
2015-11-09,531.5058112553912
2015-11-10,529.6825289270696
2015-11-11,532.9001566841133
2015-11-12,530.1765959747083
2015-11-13,521.2462669123962
2015-11-16,524.3628726402831
2015-11-17,529.0861919544266
2015-11-18,529.4918123325012
2015-11-19,530.5640906436382
2015-11-20,533.0500953969428
2015-11-23,526.4883867957706
2015-11-24,521.7849437864794
2015-11-25,519.789607469571
2015-11-26,522.8311130280862
2015-11-27,524.0802552426672
2015-11-30,519.4218239440512
2015-12-01,516.8193255386353
2015-12-02,515.3938855228425
2015-12-03,509.99567926060104
2015-12-04,506.3495199197992
2015-12-07,505.82714463310435
2015-12-08,498.1099967853075
2015-12-09,493.3314696284534
2015-12-10,490.6545240812415
2015-12-11,481.7306171795773
2015-12-14,475.8388491095676
2015-12-15,481.84207825436704
2015-12-16,487.72996593002017
2015-12-17,497.29618551081376
2015-12-18,503.34471117063305
2015-12-21,506.57689732175254
2015-12-22,505.0322359240367
2015-12-23,507.63062541059986
2015-12-24,507.7319349738444
2015-12-25,507.7319349738443
2015-12-28,509.3367476557766
2015-12-29,516.223772065777
2015-12-30,512.5849042312757
2015-12-31,507.8965438809265
2016-01-01,507.89654388092634
2016-01-04,499.4587947143957
2016-01-05,502.19664609618746
2016-01-06,497.7986806349282
2016-01-07,491.2705931696107
2016-01-08,482.8155355981162
2016-01-11,476.67940228039856
2016-01-12,486.7003947862527
2016-01-13,489.5851076358628
2016-01-14,479.13320293107626
2016-01-15,472.59177743845083
2016-01-18,462.042652822392
2016-01-19,464.82090994583564
2016-01-20,454.5401583823248
2016-01-21,456.1914124294394
2016-01-22,461.66126005753165
2016-01-25,464.6885138067345
2016-01-26,463.55189037250807
2016-01-27,464.4080673384653
2016-01-28,463.4407968586555
2016-01-29,469.52876113732435
2016-02-01,476.52839913018335
2016-02-02,477.5661602234982
2016-02-03,473.22127881022715
2016-02-04,477.133020051505
2016-02-05,478.11410248334494
2016-02-08,470.5633694994821
2016-02-09,467.5248560769957
2016-02-10,469.83906962123046
2016-02-11,466.66733663868547
2016-02-12,469.1611402707652
2016-02-15,475.00358914912056
2016-02-16,470.672036194846
2016-02-17,477.9799888571313
2016-02-18,481.4966624055631
2016-02-19,479.160212744363
2016-02-22,486.77717835186496
2016-02-23,487.31900810400754
2016-02-24,483.21347491314236
2016-02-25,486.27839865703385
2016-02-26,490.79256027865887
2016-02-29,492.2393409692993
2016-03-01,490.06482183731686
2016-03-02,489.75746764141667
2016-03-03,500.454539947615
2016-03-04,498.0823815964145
2016-03-07,498.5640913447027
2016-03-08,501.05658519119635
2016-03-09,499.52391447627974
2016-03-10,497.0195423549757
2016-03-11,505.0948661549332
2016-03-14,506.17000870123826
2016-03-15,507.62929766157384
2016-03-16,507.4346141281651
2016-03-17,510.39481278218017
2016-03-18,509.8490545187959
2016-03-21,506.23354706069904
2016-03-22,504.49624369045137
2016-03-23,501.2919749956548
2016-03-24,499.99947892294887
2016-03-25,499.99947892294887
2016-03-28,502.25185523398096
2016-03-29,504.9576434320128
2016-03-30,508.49659750623323
2016-03-31,511.15958897134533
2016-04-01,507.80203469058335
2016-04-04,509.41903188465477
2016-04-05,502.8421641935002
