Date,EFM AFRICA SMALL CAP
2021-04-14,1206.6471600432953
2021-04-15,1223.4504831294018
2021-04-16,1221.5037925370254
2021-04-19,1216.9536945124883
2021-04-20,1195.235016442208
2021-04-21,1207.9938722956983
2021-04-22,1211.2029694631792
2021-04-23,1212.9334223757828
2021-04-26,1218.9959102845444
2021-04-27,1211.5163984585022
2021-04-28,1225.8480012515809
2021-04-29,1220.48058026201
2021-04-30,1206.2065685975551
2021-05-03,1200.492112564838
2021-05-04,1194.104220241642
2021-05-05,1215.622666829941
2021-05-06,1231.426381817228
2021-05-07,1246.0751658347
2021-05-10,1250.1669818875832
2021-05-11,1241.7854440439696
2021-05-12,1237.925865355186
2021-05-13,1239.3416163781872
2021-05-14,1243.2635098579985
2021-05-17,1240.992072956535
2021-05-18,1250.569953431805
2021-05-19,1241.1639369163547
2021-05-20,1240.9082411431104
2021-05-21,1245.1033832274775
2021-05-24,1241.266961664288
2021-05-25,1241.9744556650592
2021-05-26,1256.76548319281
2021-05-27,1285.9018655888797
2021-05-28,1302.768774026539
2021-05-31,1298.4114329347126
2021-06-01,1306.0042497563854
2021-06-02,1323.9631965791698
2021-06-03,1325.289059631579
2021-06-04,1330.6284395440211
2021-06-07,1324.6369454989956
2021-06-08,1323.9395101565563
2021-06-09,1332.647975949526
2021-06-10,1338.8290821031294
2021-06-11,1344.941180922256
2021-06-14,1347.0739709465724
2021-06-15,1329.0523675087045
2021-06-16,1333.6480660373597
2021-06-17,1317.001454491118
2021-06-18,1299.533270274136
2021-06-21,1291.702219037911
2021-06-22,1279.8262017557108
2021-06-23,1289.8463039329943
2021-06-24,1295.4499446341026
2021-06-25,1303.668979167424
2021-06-28,1281.9581992828794
2021-06-29,1294.1170495363124
2021-06-30,1305.6978529446399
2021-07-01,1288.0338032805557
2021-07-02,1294.8453141455573
2021-07-05,1300.3081218251045
2021-07-06,1291.9315903960166
2021-07-07,1301.910759475258
2021-07-08,1302.421284291434
2021-07-09,1318.4965787029462
2021-07-12,1313.439797879083
2021-07-13,1286.795086819775
2021-07-14,1293.719867246825
2021-07-15,1288.7419432401682
2021-07-16,1299.2292443670678
2021-07-19,1277.5325862994841
2021-07-20,1277.9077660573319
2021-07-21,1280.0430948818425
2021-07-22,1286.8675657777662
2021-07-23,1289.2512306050176
2021-07-26,1271.7218961192505
2021-07-27,1273.4295090108217
2021-07-28,1281.8245227101015
2021-07-29,1301.3755661824898
2021-07-30,1291.5255438442075
2021-08-02,1306.6381014707301
2021-08-03,1314.934960175506
2021-08-04,1313.1204180038912
2021-08-05,1319.6841272075524
2021-08-06,1303.7139270668124
2021-08-09,1298.6364484791177
2021-08-10,1294.035395295133
2021-08-11,1310.4420347797973
2021-08-12,1304.0755676982187
2021-08-13,1301.8246596350057
2021-08-16,1310.0772359881819
2021-08-17,1312.926885036554
2021-08-18,1320.5265563749483
2021-08-19,1297.328216555478
2021-08-20,1280.939196556107
2021-08-23,1297.4338062690915
2021-08-24,1312.7432791128338
