Date,AC ASIA ex JAPAN SMALL CAP
2020-08-10,1591.8282530854265
2020-08-11,1592.7944288534275
2020-08-12,1579.7847382135665
2020-08-13,1581.7353127202573
2020-08-14,1578.5262195678658
2020-08-17,1580.044469288593
2020-08-18,1569.7031348192481
2020-08-19,1579.3009491361677
2020-08-20,1554.3464545563902
2020-08-21,1581.517158106756
2020-08-24,1596.1366699561124
2020-08-25,1606.204735116836
2020-08-26,1611.611262956029
2020-08-27,1613.7243963108597
2020-08-28,1607.1329132637193
2020-08-31,1595.674438513577
2020-09-01,1606.8870349495087
2020-09-02,1632.1556131987466
2020-09-03,1631.3540825244215
2020-09-04,1625.160529764614
2020-09-07,1615.669131443504
2020-09-08,1612.1404176001015
2020-09-09,1598.3946837557496
2020-09-10,1593.022584430438
2020-09-11,1600.8775734016963
2020-09-14,1619.2017391850427
2020-09-15,1638.0845058134666
2020-09-16,1646.86082289026
2020-09-17,1643.1192412239823
2020-09-18,1649.9722174218023
2020-09-21,1637.8931097861705
2020-09-22,1615.4175129872417
2020-09-23,1616.9272638471255
2020-09-24,1574.7746109900763
2020-09-25,1578.1982708964617
2020-09-28,1603.451191798608
2020-09-29,1599.460853758069
2020-09-30,1607.0513358199778
2020-10-01,1612.3942564936303
2020-10-02,1613.43483390409
2020-10-05,1617.6381709786187
2020-10-06,1633.7961917578377
2020-10-07,1642.3093033705463
2020-10-08,1656.1286587285904
2020-10-09,1646.2715748508774
2020-10-12,1653.3724681124097
2020-10-13,1662.5303343723167
2020-10-14,1655.938232381305
2020-10-15,1649.5174483313792
2020-10-16,1643.943550167041
2020-10-19,1637.9762021289068
2020-10-20,1641.1446046607678
2020-10-21,1640.4131248498245
2020-10-22,1640.7630122418614
2020-10-23,1640.6631712239935
2020-10-26,1628.2646261783686
2020-10-27,1625.6451506989754
2020-10-28,1635.719481950139
2020-10-29,1642.992499122036
2020-10-30,1620.8720243982955
2020-11-02,1623.5089439530798
2020-11-03,1631.6441073165286
2020-11-04,1644.5091899960396
2020-11-05,1664.8629397341265
2020-11-06,1662.1040233325423
2020-11-09,1693.0281184506796
2020-11-10,1690.926948451244
2020-11-11,1703.920868331518
2020-11-12,1697.5600126635698
2020-11-13,1701.628754256689
2020-11-16,1719.0590945543802
2020-11-17,1721.2649306156134
2020-11-18,1731.6437575178409
2020-11-19,1735.6600618836871
2020-11-20,1749.0484005794233
2020-11-23,1771.6641191584852
2020-11-24,1766.9139371187798
2020-11-25,1753.411768070816
2020-11-26,1769.8923392168513
2020-11-27,1780.8620885187477
2020-11-30,1771.711920050451
2020-12-01,1772.244234648297
2020-12-02,1771.9771263518703
2020-12-03,1765.0762766990526
2020-12-04,1782.7201832509122
2020-12-07,1786.7420212484678
2020-12-08,1786.4852813022176
2020-12-09,1800.8920751368541
2020-12-10,1791.1501231911814
2020-12-11,1796.1721795318251
2020-12-14,1801.4875133279209
2020-12-15,1792.4597664779749
2020-12-16,1810.3927063401904
2020-12-17,1807.0746099174048
2020-12-18,1811.8527857788172
2020-12-21,1799.5902292258736
2020-12-22,1777.9829009469038
2020-12-23,1789.6197107955345
2020-12-24,1800.3579220079173
2020-12-25,1803.0207278197547
2020-12-28,1810.0490955917362
2020-12-29,1821.823365383185
2020-12-30,1829.5831898203535
2020-12-31,1842.7582827102551
2021-01-01,1846.5612007182274
2021-01-04,1875.3449873913337
2021-01-05,1881.7417196999202
2021-01-06,1878.70149545996
2021-01-07,1895.1649100672435
2021-01-08,1905.4731407210147
2021-01-11,1912.2890338659313
2021-01-12,1912.909343476067
2021-01-13,1925.1798167290244
2021-01-14,1939.2435558708062
2021-01-15,1924.0070283011876
2021-01-18,1912.5357754621834
2021-01-19,1934.8813014429015
2021-01-20,1951.5890310854295
2021-01-21,1953.9221462171645
2021-01-22,1946.2696763372203
2021-01-25,1963.4675170045305
2021-01-26,1938.6452994151443
2021-01-27,1945.5246926049713
2021-01-28,1897.2157745020506
2021-01-29,1871.4967001381833
2021-02-01,1918.0549355494836
2021-02-02,1959.3335998347006
2021-02-03,1979.0932509529057
2021-02-04,1982.7470201834099
2021-02-05,1978.2570234024308
2021-02-08,1992.0037192171449
2021-02-09,1997.8105552381953
2021-02-10,2008.6292436688047
2021-02-11,2017.734645343931
2021-02-12,2020.795946665728
2021-02-15,2032.6018422394588
2021-02-16,2054.358219473093
2021-02-17,2075.0061199680704
2021-02-18,2061.878713839337
2021-02-19,2055.592951275065
2021-02-22,2037.9951909838967
2021-02-23,2034.680832339952
2021-02-24,2011.6158465028443
2021-02-25,2032.1204043064745
2021-02-26,2009.703862735864
2021-03-01,2039.4152497020882
2021-03-02,2031.764380825721
2021-03-03,2058.2428905207585
2021-03-04,2039.0479847783765
2021-03-05,2046.01586794134
2021-03-08,2015.8482386891214
2021-03-09,2008.3602451172617
2021-03-10,2016.042233248585
2021-03-11,2041.0921640314532
2021-03-12,2056.1356253281774
2021-03-15,2057.0608546144454
2021-03-16,2081.308750021207
2021-03-17,2074.7210413168054
2021-03-18,2076.165021067262
2021-03-19,2067.24901099339
2021-03-22,2072.0511089816246
2021-03-23,2064.810903465574
2021-03-24,2050.7876292818437
2021-03-25,2053.192131210676
2021-03-26,2078.5901031906137
2021-03-29,2086.799176471969
2021-03-30,2105.9160448345892
2021-03-31,2100.903401235236
2021-04-01,2117.438289425235
2021-04-02,2118.482025632363
2021-04-05,2107.7184692853625
2021-04-06,2111.6784663320077
2021-04-07,2108.756330392679
2021-04-08,2124.682664785779
2021-04-09,2121.4144609489204
2021-04-12,2087.9786602937215
2021-04-13,2086.9798001643535
2021-04-14,2088.644548782277
2021-04-15,2096.535672315191
2021-04-16,2120.6802900363436
2021-04-19,2127.760647705199
2021-04-20,2131.4861359203005
2021-04-21,2127.4933190262927
2021-04-22,2128.527241355988
2021-04-23,2132.7814043582352
2021-04-26,2153.380076799672
2021-04-27,2165.99817652876
2021-04-28,2166.905065910768
2021-04-29,2166.3641898171472
2021-04-30,2168.7450663124014
2021-05-03,2133.9000431583036
2021-05-04,2118.9237828604573
2021-05-05,2117.0656296164198
2021-05-06,2117.850081971603
2021-05-07,2124.7638154011524
2021-05-10,2143.603699308681
2021-05-11,2105.7441339554566
2021-05-12,2080.4554512998325
2021-05-13,2054.2212744466597
2021-05-14,2045.708727935221
2021-05-17,2026.541693692792
2021-05-18,2066.460869746556
2021-05-19,2067.24917546349
2021-05-20,2060.994681952576
2021-05-21,2083.160700183106
2021-05-24,2083.6584293670635
2021-05-25,2101.9171526676455
2021-05-26,2122.4890666946694
2021-05-27,2144.1535602813533
2021-05-28,2154.091190372703
2021-05-31,2159.175130616203
2021-06-01,2168.489782735105
2021-06-02,2175.950273437026
2021-06-03,2201.29018917022
2021-06-04,2188.929367031319
2021-06-07,2197.7261732684165
2021-06-08,2200.3012907132543
2021-06-09,2189.3418963207205
2021-06-10,2209.1601263839684
2021-06-11,2227.8033488756055
2021-06-14,2221.6748449905117
2021-06-15,2226.7590652266854
2021-06-16,2210.236553136166
2021-06-17,2235.186050523473
2021-06-18,2255.8360717730125
2021-06-21,2216.761760235639
2021-06-22,2227.423439518035
2021-06-23,2224.7154425990598
2021-06-24,2234.8644036635305
2021-06-25,2244.6500110998436
2021-06-28,2257.201201697033
2021-06-29,2257.0779732264064
2021-06-30,2280.378226961316
2021-07-01,2269.115433041246
2021-07-02,2272.6763899128678
2021-07-05,2289.6397714145432
2021-07-06,2292.181803402246
2021-07-07,2292.430242796295
2021-07-08,2257.6139406227544
2021-07-09,2248.687323047343
2021-07-12,2267.434450241411
2021-07-13,2282.0414606612976
2021-07-14,2281.009395433384
2021-07-15,2306.3717139710516
2021-07-16,2307.0279013584363
2021-07-19,2289.6351080653644
2021-07-20,2271.0946040928807
2021-07-21,2266.570282097886
2021-07-22,2293.670087424359
2021-07-23,2293.5416977973628
2021-07-26,2267.521140251351
2021-07-27,2234.915611934253
