Date,BAHRAIN IMI
2005-01-21,781.8081616880299
2005-01-24,765.8377120561878
2005-01-25,768.6243646723797
2005-01-26,760.9409849234784
2005-01-27,763.3995959258164
2005-01-28,765.1013206870948
2005-01-31,764.3363901416459
2005-02-01,767.2585026100369
2005-02-02,766.5084761194901
2005-02-03,769.6264050929985
2005-02-04,770.3399856887966
2005-02-07,776.8941647919356
2005-02-08,784.3000981418577
2005-02-09,799.0645610643207
2005-02-10,791.2531659840695
2005-02-11,792.2363563429204
2005-02-14,804.4025040680756
2005-02-15,830.5362605682047
2005-02-16,848.9969431785402
2005-02-17,852.1167868955728
2005-02-18,852.0515680530566
2005-02-21,856.7201939237161
2005-02-22,850.3304578268911
2005-02-23,844.2812750928668
2005-02-24,837.9644772442543
2005-02-25,838.8538675388924
2005-02-28,831.144460467568
2005-03-01,854.7203455428528
2005-03-02,877.2324068450988
2005-03-03,872.5013933226724
2005-03-04,864.7938420358172
2005-03-07,888.6049347565552
2005-03-08,900.7572093100874
2005-03-09,898.2506007800943
2005-03-10,901.4125406598165
2005-03-11,898.0305693891387
2005-03-14,872.7507861893184
2005-03-15,869.1489882820408
2005-03-16,849.6896285863036
2005-03-17,842.5631946584675
2005-03-18,848.3969341812207
2005-03-21,855.4211630290962
2005-03-22,851.5042282654816
2005-03-23,862.7264252116775
2005-03-24,864.865536098338
2005-03-25,864.865536098338
2005-03-28,868.6378483778279
2005-03-29,828.7731259131044
2005-03-30,846.3922902345691
2005-03-31,852.5085214066714
2005-04-01,854.8765092752444
2005-04-04,882.3608644778848
2005-04-05,879.7834245329495
2005-04-06,882.9666514289282
2005-04-07,882.9865970170035
2005-04-08,886.8353807829466
2005-04-11,883.3157527667234
2005-04-12,883.0328342891003
2005-04-13,882.0309097489773
2005-04-14,887.3785472756209
2005-04-15,878.9717670241795
2005-04-18,870.8610555644366
2005-04-19,878.4564917158865
2005-04-20,881.5484067170901
2005-04-21,878.7575260763792
2005-04-22,880.6385864892178
2005-04-25,889.7997723987271
2005-04-26,885.1416831885155
2005-04-27,884.7172322713914
2005-04-28,883.5949613414801
2005-04-29,884.0056333092596
2005-05-02,888.4227060057304
2005-05-03,888.1494993390096
2005-05-04,894.2675596398673
2005-05-05,911.3247531714109
2005-05-06,917.9933291326528
2005-05-09,915.386227728096
2005-05-10,910.7449068588752
2005-05-11,908.3820133264768
2005-05-12,920.717160651716
2005-05-13,925.5222318257968
2005-05-16,915.4034779964738
2005-05-17,924.1352940373835
2005-05-18,918.6316619766544
2005-05-19,915.0516101600241
2005-05-20,920.4490689422043
2005-05-23,916.0665892656258
2005-05-24,912.4996022346471
2005-05-25,899.7378188579877
2005-05-26,912.0970084790054
2005-05-27,910.4974123064568
2005-05-30,922.0790508985652
2005-05-31,931.5630792009842
2005-06-01,938.1793967336115
2005-06-02,938.4543520090209
2005-06-03,939.2572012937476
2005-06-06,952.86554656471
2005-06-07,972.7246542519763
2005-06-08,979.197035851154
2005-06-09,991.9342389600478
2005-06-10,997.6620506100544
2005-06-13,991.9933728832403
2005-06-14,987.4919644162268
2005-06-15,978.955357506599
2005-06-16,936.2348288750461
2005-06-17,925.0586476056167
2005-06-20,964.2270392403747
2005-06-21,964.1162139893023
2005-06-22,960.9697201532628
2005-06-23,965.3675478906241
2005-06-24,962.4525978990617
2005-06-27,948.1386274008323
2005-06-28,951.786193231064
2005-06-29,953.2386198457968
2005-06-30,948.4363874752372
2005-07-01,959.4522769976152
2005-07-04,963.7687262772671
2005-07-05,957.5054629458843
2005-07-06,953.0316240326977
2005-07-07,956.8753170218315
2005-07-08,958.3186283476279
2005-07-11,948.001723694196
2005-07-12,926.5108234407263
2005-07-13,940.2080878793373
2005-07-14,946.1933731349477
2005-07-15,950.9862148008172
2005-07-18,945.7926851404832
2005-07-19,947.0441046225745
2005-07-20,941.2021422694544
2005-07-21,939.2170444909914
2005-07-22,939.6046861784281
2005-07-25,940.8663324761145
2005-07-26,939.2653793277386
2005-07-27,930.8243069571562
2005-07-28,919.8776710019365
2005-07-29,915.1065605361131
2005-08-01,900.7354766236558
2005-08-02,900.7354766236558
2005-08-03,890.1807430705154
2005-08-04,880.7056616210431
2005-08-05,882.9899640463216
