Date,USA ESG SELECT
2018-03-14,279.98337224548237
2018-03-15,279.8486226788978
2018-03-16,280.2162849497759
2018-03-19,276.9561407312282
2018-03-20,277.1660232122863
2018-03-21,276.2349851920089
2018-03-22,269.0599568345148
2018-03-23,263.5854654471922
2018-03-26,271.2226522897901
2018-03-27,266.6963718123415
2018-03-28,266.0044875951997
2018-03-29,270.19008773655287
2018-03-30,270.19008773655287
2018-04-02,263.41480438930336
2018-04-03,266.8506593486185
2018-04-04,270.53455471580855
2018-04-05,271.8725301010069
2018-04-06,265.979595169265
2018-04-09,266.95727223139227
2018-04-10,271.59335372031535
2018-04-11,270.19242008589345
2018-04-12,272.5663746816515
2018-04-13,271.85538584417543
2018-04-16,274.70337405629624
2018-04-17,277.57693519583773
2018-04-18,277.9584448246651
2018-04-19,275.82262178501685
2018-04-20,273.03307595568486
2018-04-23,273.90453493361923
2018-04-24,270.0024447309194
2018-04-25,269.9294910099242
2018-04-26,272.2775866369244
2018-04-27,273.0579233433664
2018-04-30,270.69034814790547
2018-05-01,271.51312102502334
2018-05-02,269.3794234698598
2018-05-03,268.26458821146076
2018-05-04,272.00694650908065
2018-05-07,272.84969175009957
2018-05-08,272.33168568199477
2018-05-09,274.8274867917624
2018-05-10,277.18900048747264
2018-05-11,277.20297499099354
2018-05-14,276.9623619205716
2018-05-15,274.4628167323981
2018-05-16,275.4181030167557
2018-05-17,275.26591839929245
2018-05-18,274.37000587740613
2018-05-21,276.299150029999
2018-05-22,275.1850039137033
2018-05-23,276.58725121802036
2018-05-24,276.06242716703196
2018-05-25,275.3570304448606
2018-05-28,275.3570304448606
2018-05-29,272.2820312838876
2018-05-30,275.7860536677048
2018-05-31,273.4620231408465
2018-06-01,276.8258645272704
2018-06-04,278.1242450445867
2018-06-05,278.3254238934573
2018-06-06,281.0358777245344
2018-06-07,280.50382317991307
2018-06-08,281.523790400032
2018-06-11,282.35993781149637
2018-06-12,283.07377719616926
2018-06-13,281.8161872148036
2018-06-14,282.20055707380783
2018-06-15,282.2337192127688
2018-06-18,281.7922551157911
2018-06-19,280.15399559607295
2018-06-20,280.066288455547
2018-06-21,278.23235313309306
2018-06-22,278.39607309019175
2018-06-25,275.44271131823837
2018-06-26,275.8266852370815
2018-06-27,273.3785012584178
2018-06-28,275.13465280699876
2018-06-29,276.2172698356431
2018-07-02,276.57499954106856
2018-07-03,275.0945580465294
2018-07-04,275.0945580465294
2018-07-05,277.6803706728105
2018-07-06,279.7413845828944
2018-07-09,281.87816193535997
2018-07-10,282.9629595266936
2018-07-11,280.4124891907011
2018-07-12,283.0737566817762
2018-07-13,283.7355011360807
2018-07-16,282.6217930285305
