Date,AC ASIA PACIFIC ex JAPAN SMALL VALUE
2000-02-17,407.64304119667156
2000-02-18,406.3004965768981
2000-02-21,404.57438587723897
2000-02-22,389.8371976911324
2000-02-23,393.4243456790915
2000-02-24,390.379975453769
2000-02-25,394.36936669234785
2000-02-28,394.22607009278875
2000-02-29,394.19886769016586
2000-03-01,394.1529894638912
2000-03-02,396.33041870161617
2000-03-03,395.750237312214
2000-03-06,398.3186135692756
2000-03-07,398.78843708018536
2000-03-08,399.4472603893996
2000-03-09,396.17611522117585
2000-03-10,398.2318793692877
2000-03-13,391.7881674076708
2000-03-14,390.95043500118373
2000-03-15,383.72202257076464
2000-03-16,379.06251461497413
2000-03-17,383.1942786228714
2000-03-20,380.1946430925131
2000-03-21,382.2331854559474
2000-03-22,388.9818301502956
2000-03-23,389.1087822106976
2000-03-24,390.12129444057416
2000-03-27,395.94714772026884
2000-03-28,399.0232900355253
2000-03-29,402.2199670406037
2000-03-30,397.32441646402805
2000-03-31,395.73749814205166
2000-04-03,391.0320670157853
2000-04-04,387.0667059703042
2000-04-05,382.1235935497044
2000-04-06,383.90808932075555
2000-04-07,388.27299103410644
2000-04-10,392.23758821098056
2000-04-11,388.8848539213969
2000-04-12,390.88196144628483
2000-04-13,387.8732320202898
2000-04-14,387.8232311241299
2000-04-17,365.2941200279108
2000-04-18,374.55595989583696
2000-04-19,378.8013674925622
2000-04-20,376.8594785783706
2000-04-21,377.927825625469
2000-04-24,374.8761926244477
2000-04-25,378.15359502613774
2000-04-26,376.6546130532993
2000-04-27,378.5652513716021
2000-04-28,381.46223126152495
2000-05-01,380.6103760373441
2000-05-02,380.4072111047664
2000-05-03,384.6759207685529
2000-05-04,385.4703967632982
2000-05-05,389.45560220039243
2000-05-08,385.78379419116635
2000-05-09,378.948904048472
2000-05-10,371.59916561572567
2000-05-11,370.48500938487433
2000-05-12,369.83647677918384
2000-05-15,361.5210715891405
2000-05-16,369.0624602247476
2000-05-17,371.2612968198379
2000-05-18,366.4120082004797
2000-05-19,367.20120222044017
2000-05-22,355.8035280453184
2000-05-23,352.4135314253763
2000-05-24,349.17244656532023
2000-05-25,350.79506564390067
2000-05-26,338.23375072053324
2000-05-29,339.7153211971046
2000-05-30,341.28927307969076
2000-05-31,345.04237995545026
2000-06-01,342.2585007166881
2000-06-02,342.96369148112746
2000-06-05,348.8596883630738
2000-06-06,344.70755542410865
2000-06-07,347.1885973965153
2000-06-08,348.15185565100523
2000-06-09,349.2456189627687
2000-06-12,348.52897420182853
2000-06-13,343.44424148094964
2000-06-14,345.8678650651611
2000-06-15,346.5746766110615
2000-06-16,344.9361133647037
2000-06-19,340.96086462533947
2000-06-20,343.394746750109
2000-06-21,347.35399687332716
2000-06-22,348.5864854761489
2000-06-23,349.223755349692
2000-06-26,347.9104175779781
2000-06-27,347.91325644955197
2000-06-28,348.80779640979597
2000-06-29,344.3418618869897
2000-06-30,343.6838364005733
2000-07-03,346.7121870565256
2000-07-04,346.2130799590024
2000-07-05,344.94349766131796
2000-07-06,345.81510053785814
2000-07-07,350.9143629842351
2000-07-10,353.1531223616315
2000-07-11,354.5712430981982
2000-07-12,358.2863401315831
2000-07-13,359.32189843347356
2000-07-14,358.0899661351975
2000-07-17,360.06465965946524
2000-07-18,356.17680268264826
2000-07-19,359.5769206565895
2000-07-20,359.46994947845997
2000-07-21,358.33350751363537
2000-07-24,353.63723475221065
2000-07-25,349.37867946689533
2000-07-26,349.35175023936995
2000-07-27,348.0276765614274
2000-07-28,351.8470805160054
2000-07-31,351.1051018518295
2000-08-01,353.81115909107643
2000-08-02,359.64565110718513
2000-08-03,363.36705429483936
2000-08-04,361.2322534308113
2000-08-07,359.2189144543329
2000-08-08,362.9354254483115
2000-08-09,364.75886493039775
2000-08-10,360.8246793615217
2000-08-11,362.8495840418901
2000-08-14,364.83751598487254
2000-08-15,362.86921252946524
2000-08-16,366.5160468179827
2000-08-17,367.0284961239066
2000-08-18,368.0513856235199
2000-08-21,369.6105440724422
2000-08-22,372.002372769218
2000-08-23,368.8620862590533
2000-08-24,363.22258437736656
2000-08-25,360.96535557472833
2000-08-28,361.96419957010727
2000-08-29,362.64333494068563
2000-08-30,361.51053167974436
2000-08-31,362.7748216489526
2000-09-01,357.9180446829911
2000-09-04,361.95138151874494
2000-09-05,366.1466485839192
2000-09-06,366.6468967441887
2000-09-07,365.2425968639468
2000-09-08,366.75790864149366
2000-09-11,363.95769369053477
2000-09-12,361.7867331110368
2000-09-13,359.77216012905507
2000-09-14,356.08881587541083
2000-09-15,351.5959146539947
2000-09-18,341.61520720642994
2000-09-19,339.06311589086914
2000-09-20,344.3499897146693
2000-09-21,339.7799675349101
2000-09-22,322.63942178854865
2000-09-25,331.81443981323633
2000-09-26,328.99475499434635
2000-09-27,329.715963416284
2000-09-28,329.317404713781
2000-09-29,329.5657112000419
2000-10-02,326.8481520408348
2000-10-03,330.1904625660625
2000-10-04,329.4920546923373
2000-10-05,331.64676870628716
2000-10-06,333.5022462204812
2000-10-09,329.02750144019757
2000-10-10,328.49883387717034
2000-10-11,323.1204043620565
2000-10-12,324.6353148929391
2000-10-13,323.09903703083074
2000-10-16,329.2499001402782
2000-10-17,325.38209696376373
2000-10-18,322.603300868606
2000-10-19,323.7062234631398
2000-10-20,332.8626898733639
2000-10-23,332.1677219309874
2000-10-24,332.071708531327
2000-10-25,334.51238559753097
2000-10-26,333.8358774179341
2000-10-27,328.3906460165609
2000-10-30,324.670302691839
2000-10-31,321.6638363714866
2000-11-01,323.5804783985223
2000-11-02,323.68982416355647
2000-11-03,327.3384089053124
2000-11-06,328.5040751643194
2000-11-07,328.7167233120654
2000-11-08,330.81886162796064
2000-11-09,329.55701945128106
2000-11-10,327.10798112228974
2000-11-13,321.532419407037
2000-11-14,325.2900254034367
2000-11-15,324.6945854811146
2000-11-16,324.91822583182665
2000-11-17,323.8130897051178
2000-11-20,321.52036851471973
2000-11-21,321.16972934303334
2000-11-22,322.3327099840499
2000-11-23,321.6549632359281
2000-11-24,324.9917670359608
2000-11-27,324.71460225296147
2000-11-28,321.3301737531857
2000-11-29,316.84463930433856
2000-11-30,311.5078054846693
2000-12-01,313.97444904744634
2000-12-04,309.3654557893229
2000-12-05,312.1128683489574
2000-12-06,313.6856616309396
2000-12-07,312.3160333875808
2000-12-08,315.08580277349864
2000-12-11,321.2539430910729
2000-12-12,320.89801594479087
2000-12-13,322.7751904469147
2000-12-14,317.7845138554145
2000-12-15,311.18409164948383
2000-12-18,308.86815171194024
2000-12-19,310.5935449035474
2000-12-20,303.2148090354411
2000-12-21,298.82597979790495
2000-12-22,295.64447743477626
2000-12-25,295.75752271174366
2000-12-26,293.3258694212915
2000-12-27,292.9942410752575
2000-12-28,295.2124389653186
2000-12-29,291.9520205644373
2001-01-01,292.3199475353027
2001-01-02,291.1139074608646
2001-01-03,290.65549945011924
2001-01-04,297.7486035408273
2001-01-05,299.8009934893588
2001-01-08,302.30531921623
2001-01-09,304.9502557533687
2001-01-10,302.90337760964076
2001-01-11,298.1221067423475
2001-01-12,299.1714741207464
2001-01-15,300.9461293313736
2001-01-16,303.1806866690418
2001-01-17,305.40724163330844
2001-01-18,304.19097057490075
2001-01-19,310.51235619746006
2001-01-22,313.7356371603062
2001-01-23,312.99993340921407
2001-01-24,317.5703742501315
2001-01-25,318.7267291150634
2001-01-26,317.4267930595623
2001-01-29,319.0303240729869
2001-01-30,317.5624018837756
2001-01-31,319.5621689753795
2001-02-01,316.3267351244235
2001-02-02,321.897480182938
2001-02-05,318.4834137732635
2001-02-06,322.19961106290685
2001-02-07,318.44087985271665
2001-02-08,322.88778727933385
2001-02-09,323.0245276542749
2001-02-12,322.63973898319114
2001-02-13,325.91562815526765
2001-02-14,325.5838916234736
2001-02-15,332.18879772866296
2001-02-16,327.6677955385471
2001-02-19,326.23299821817244
2001-02-20,333.00290893385966
2001-02-21,330.6466934562912
2001-02-22,328.90988096514576
2001-02-23,328.4088265497916
2001-02-26,328.90228911606437
2001-02-27,324.5459629596284
2001-02-28,323.84091289924055
2001-03-01,317.6131589812175
2001-03-02,313.32671896370243
2001-03-05,313.83302880928704
2001-03-06,315.0350457527126
2001-03-07,315.01546893127767
2001-03-08,313.2232371733268
2001-03-09,310.9231805987856
2001-03-12,305.9293323713918
2001-03-13,303.6218871977106
2001-03-14,306.94600411054756
2001-03-15,307.2239875225009
2001-03-16,310.2009301392355
2001-03-19,307.9495737295454
2001-03-20,305.8609358032479
2001-03-21,307.0777059185168
2001-03-22,309.8908098345496
2001-03-23,308.2103907596531
2001-03-26,310.7362648722522
2001-03-27,308.80446103653424
2001-03-28,310.20850974138574
2001-03-29,309.65331163226836
2001-03-30,307.80915048059063
2001-04-02,305.2057305520948
2001-04-03,300.0410356411343
2001-04-04,292.5572204715106
2001-04-05,295.5848678417459
2001-04-06,296.7207388324086
2001-04-09,293.9373762272621
2001-04-10,298.480993389326
2001-04-11,302.6132793324196
2001-04-12,303.2664763705279
2001-04-13,304.43051216525777
2001-04-16,306.59165092320825
2001-04-17,307.3984062157567
2001-04-18,313.8437077141735
2001-04-19,312.6247315156396
2001-04-20,309.5122830751531
2001-04-23,309.6541278347311
2001-04-24,310.97831339141396
2001-04-25,309.88539713358455
2001-04-26,310.1611922890604
2001-04-27,311.92879369551736
2001-04-30,315.511263410942
2001-05-01,315.4919085277693
2001-05-02,318.12134601947986
2001-05-03,317.7266520268553
2001-05-04,313.9234509804946
2001-05-07,315.79180938463355
2001-05-08,316.27950751348686
2001-05-09,317.29923240607843
2001-05-10,318.6375866888503
2001-05-11,322.4062232047279
2001-05-14,322.03978452678734
2001-05-15,322.19643182741083
2001-05-16,320.0936266652572
2001-05-17,325.9902463469376
2001-05-18,327.1129835610955
2001-05-21,329.2039046473415
2001-05-22,332.1102554759897
2001-05-23,338.235828241663
2001-05-24,341.57960591433556
2001-05-25,342.7464092206985
2001-05-28,341.5778899580628
2001-05-29,342.58695270461675
2001-05-30,339.5532112380064
2001-05-31,342.0304889056883
2001-06-01,342.02247932255244
2001-06-04,342.4446081465138
2001-06-05,342.6132280266337
2001-06-06,344.343458485364
2001-06-07,344.22521866881095
2001-06-08,347.82156052842186
2001-06-11,350.11185863166475
2001-06-12,346.7869330184517
2001-06-13,346.8229386738674
2001-06-14,340.3729205074106
2001-06-15,339.193016480343
2001-06-18,337.0700039157677
2001-06-19,338.00883625705757
2001-06-20,339.174043497286
2001-06-21,341.2918165817983
2001-06-22,341.5781118619102
2001-06-25,339.8337765967544
2001-06-26,338.7672775545344
2001-06-27,338.7806580627135
2001-06-28,340.02184959366167
2001-06-29,342.99635484790275
2001-07-02,341.2886202948595
