Date,KOKUSAI MINIMUM VOLATILITY (JPY)
1999-08-23,1068.6990061
1999-08-24,1065.69665239
1999-08-25,1073.72316344
1999-08-26,1068.72537897
1999-08-27,1065.96746343
1999-08-30,1056.08754703
1999-08-31,1050.36284694
1999-09-01,1057.91672249
1999-09-02,1053.59455104
1999-09-03,1065.5730231
1999-09-06,1067.63225707
1999-09-07,1064.9085169
1999-09-08,1064.61815867
1999-09-09,1069.37099419
1999-09-10,1064.49759665
1999-09-13,1058.62758585
1999-09-14,1054.9765834
1999-09-15,1047.11722232
1999-09-16,1043.12326471
1999-09-17,1048.78563243
1999-09-20,1045.13861707
1999-09-21,1034.7549304
1999-09-22,1032.01492349
1999-09-23,1021.70846925
1999-09-24,1016.82730917
1999-09-27,1024.42040687
1999-09-28,1020.58071393
1999-09-29,1019.08699734
1999-09-30,1023.0255666
1999-10-01,1023.34263787
1999-10-04,1033.93088715
1999-10-05,1030.02925531
1999-10-06,1038.62437588
1999-10-07,1041.58758189
1999-10-08,1045.68113414
1999-10-11,1047.87745877
1999-10-12,1040.26258556
1999-10-13,1033.05033364
1999-10-14,1036.44887266
1999-10-15,1021.07884349
1999-10-18,1017.49878216
1999-10-19,1025.07564547
1999-10-20,1032.59786065
1999-10-21,1030.77678543
1999-10-22,1038.41289101
1999-10-25,1033.01237039
1999-10-26,1029.36302175
1999-10-27,1032.31398728
1999-10-28,1049.60666218
1999-10-29,1060.87910878
1999-11-01,1061.38521924
1999-11-02,1055.8165141
1999-11-03,1059.30602902
1999-11-04,1058.16316157
1999-11-05,1058.19391991
1999-11-08,1060.64569462
1999-11-09,1060.16666342
1999-11-10,1065.0082614
1999-11-11,1067.63977536
1999-11-12,1070.62143764
1999-11-15,1071.08548146
1999-11-16,1079.98024789
1999-11-17,1083.44067792
1999-11-18,1081.9758758
1999-11-19,1075.93397462
1999-11-22,1069.839913
1999-11-23,1065.07930969
1999-11-24,1064.02366174
1999-11-25,1071.34749958
1999-11-26,1067.49892487
1999-11-29,1061.17153548
1999-11-30,1050.99458792
1999-12-01,1058.38214001
1999-12-02,1062.48743026
1999-12-03,1074.09889014
1999-12-06,1075.9958063
1999-12-07,1069.32792272
1999-12-08,1063.25109431
1999-12-09,1063.93024875
1999-12-10,1065.02097492
1999-12-13,1065.80632985
1999-12-14,1060.62763328
1999-12-15,1061.13531877
1999-12-16,1066.99653586
1999-12-17,1065.26874845
1999-12-20,1063.79813403
1999-12-21,1065.07937706
1999-12-22,1070.13329477
1999-12-23,1089.29868566
1999-12-24,1093.5352818
1999-12-27,1089.27783498
1999-12-28,1091.60512461
1999-12-29,1093.12217817
1999-12-30,1095.8580364
1999-12-31,1098.92208834
2000-01-03,1094.96787059
2000-01-04,1068.84571784
2000-01-05,1067.16831445
2000-01-06,1073.75471024
2000-01-07,1098.69291716
2000-01-10,1102.03531292
2000-01-11,1093.2754042
2000-01-12,1087.34597442
2000-01-13,1094.1039097
2000-01-14,1095.3201146
2000-01-17,1094.03731352
2000-01-18,1086.43058841
2000-01-19,1087.17705236
2000-01-20,1083.35640063
2000-01-21,1082.48160111
2000-01-24,1066.0044328
2000-01-25,1057.83574018
2000-01-26,1060.92647833
2000-01-27,1057.08088232
2000-01-28,1035.47501109
2000-01-31,1039.73866636
2000-02-01,1039.06187566
2000-02-02,1038.1257256
2000-02-03,1049.16782002
2000-02-04,1044.81318724
2000-02-07,1037.27498077
2000-02-08,1048.05600223
2000-02-09,1037.77247357
2000-02-10,1031.12230582
2000-02-11,1020.6228521
2000-02-14,1021.55705537
2000-02-15,1024.29657381
