Date,EUROPE MINIMUM VOLATILITY (EUR)
1998-03-02,1031.33648547
1998-03-03,1032.68654985
1998-03-04,1019.92329101
1998-03-05,1008.52486571
1998-03-06,1022.52744166
1998-03-09,1032.75892042
1998-03-10,1034.70057984
1998-03-11,1037.57387783
1998-03-12,1042.24659261
1998-03-13,1057.07992323
1998-03-16,1054.46229613
1998-03-17,1066.11167158
1998-03-18,1056.21370014
1998-03-19,1060.0902255
1998-03-20,1063.26595862
1998-03-23,1071.45345957
1998-03-24,1079.36217363
1998-03-25,1089.96894546
1998-03-26,1082.93838749
1998-03-27,1088.49307595
1998-03-30,1078.24329372
1998-03-31,1080.54589554
1998-04-01,1091.40347818
1998-04-02,1098.99535534
1998-04-03,1102.93794249
1998-04-06,1112.15811809
1998-04-07,1108.5527316
1998-04-08,1105.1019634
1998-04-09,1112.5851298
1998-04-10,1113.43289108
1998-04-13,1110.3569759
1998-04-14,1124.67416577
1998-04-15,1127.80906073
1998-04-16,1111.65752756
1998-04-17,1107.1092597
1998-04-20,1119.07400383
1998-04-21,1123.57809029
1998-04-22,1118.61154835
1998-04-23,1107.41535548
1998-04-24,1100.40543939
1998-04-27,1076.66286237
1998-04-28,1085.39666842
1998-04-29,1087.57554062
1998-04-30,1102.02780804
1998-05-01,1119.47549037
1998-05-04,1134.83558147
1998-05-05,1130.63554758
1998-05-06,1135.27456814
1998-05-07,1123.35593736
1998-05-08,1129.87538368
1998-05-11,1143.14573419
1998-05-12,1134.93190347
1998-05-13,1136.03346269
1998-05-14,1129.35158207
1998-05-15,1126.59849205
1998-05-18,1109.12024768
1998-05-19,1125.09078423
1998-05-20,1143.04995643
1998-05-21,1151.13415041
1998-05-22,1156.82424555
1998-05-25,1160.45393606
1998-05-26,1168.31368066
1998-05-27,1145.19200535
1998-05-28,1144.48319025
1998-05-29,1144.50872487
1998-06-01,1146.05265652
1998-06-02,1149.11347417
1998-06-03,1158.36966913
1998-06-04,1157.38035864
1998-06-05,1167.82983978
1998-06-08,1175.77961757
1998-06-09,1172.86031145
1998-06-10,1161.68031473
1998-06-11,1151.03402722
1998-06-12,1133.89582317
1998-06-15,1113.27032841
1998-06-16,1127.52635413
1998-06-17,1149.18092449
1998-06-18,1146.51644966
1998-06-19,1146.05911693
1998-06-22,1136.81547366
1998-06-23,1140.87656274
1998-06-24,1144.1752698
1998-06-25,1160.096218
1998-06-26,1151.88229498
1998-06-29,1156.1725253
1998-06-30,1156.58863595
1998-07-01,1163.08769678
1998-07-02,1168.32644319
1998-07-03,1175.64893343
1998-07-06,1182.77434229
1998-07-07,1184.86596776
1998-07-08,1182.11673708
1998-07-09,1172.16803834
1998-07-10,1170.10818995
1998-07-13,1185.86455734
1998-07-14,1199.00271206
1998-07-15,1199.37464941
1998-07-16,1199.41143277
1998-07-17,1210.47585765
1998-07-20,1222.82529485
1998-07-21,1213.78764038
1998-07-22,1199.32109013
1998-07-23,1188.85419809
1998-07-24,1192.08244243
1998-07-27,1176.40657981
1998-07-28,1180.67749169
1998-07-29,1174.78446214
1998-07-30,1182.63834701
1998-07-31,1168.44269235
1998-08-03,1153.18255826
1998-08-04,1152.62812944
1998-08-05,1137.08267424
1998-08-06,1127.22877062
1998-08-07,1139.22274244
1998-08-10,1124.78987665
1998-08-11,1094.56135243
1998-08-12,1109.76125658
1998-08-13,1091.29321526
1998-08-14,1094.11949129
1998-08-17,1093.51277123
1998-08-18,1120.19543742
1998-08-19,1124.70345362
1998-08-20,1118.69855603
1998-08-21,1080.62392961
1998-08-24,1082.93262715
1998-08-25,1099.40538044
1998-08-26,1073.89981978
1998-08-27,1045.11182406
1998-08-28,1049.22403853
1998-08-31,1052.99983995
1998-09-01,1048.86836812
1998-09-02,1073.2226626
1998-09-03,1067.09247285
1998-09-04,1068.8914687
1998-09-07,1086.34570409
1998-09-08,1097.43216479
1998-09-09,1089.84690637
1998-09-10,1071.12294737
1998-09-11,1072.01301017
1998-09-14,1091.62765958
1998-09-15,1089.51063259
1998-09-16,1092.74977862
1998-09-17,1066.41312214
1998-09-18,1044.28067019
1998-09-21,1019.68101718
1998-09-22,1039.84307059
1998-09-23,1052.53428691
1998-09-24,1052.94649825
1998-09-25,1048.03828505
1998-09-28,1051.28818264
1998-09-29,1049.17668076
1998-09-30,1034.20578238
1998-10-01,1008.3092293
1998-10-02,990.11829267
1998-10-05,977.51735544
1998-10-06,1008.28171697
1998-10-07,1018.69578001
1998-10-08,998.62440555
1998-10-09,1004.0272042
1998-10-12,1032.08325675
1998-10-13,1040.32816304
1998-10-14,1051.52084387
1998-10-15,1069.06043299
1998-10-16,1079.86421636
1998-10-19,1073.07240793
1998-10-20,1090.24161267
1998-10-21,1074.79851984
1998-10-22,1080.93685094
1998-10-23,1080.5816876
1998-10-26,1082.73716945
1998-10-27,1092.84387429
1998-10-28,1080.05233373
1998-10-29,1087.46498118
1998-10-30,1093.3200096
1998-11-02,1117.61928328
1998-11-03,1108.23292016
1998-11-04,1119.90572286
1998-11-05,1106.00925736
1998-11-06,1109.19569165
1998-11-09,1092.23436404
1998-11-10,1085.72133345
1998-11-11,1095.16349265
1998-11-12,1082.46053519
1998-11-13,1086.38967787
1998-11-16,1111.45779883
1998-11-17,1105.92163182
1998-11-18,1105.93248412
1998-11-19,1112.225267
1998-11-20,1121.29774721
1998-11-23,1128.6450033
1998-11-24,1118.57671104
1998-11-25,1112.6498219
1998-11-26,1126.40303313
1998-11-27,1129.08655786
1998-11-30,1116.58831414
1998-12-01,1091.68585302
1998-12-02,1085.71684004
1998-12-03,1098.17869436
1998-12-04,1103.73104256
1998-12-07,1103.08634165
1998-12-08,1109.92961018
1998-12-09,1118.23887474
1998-12-10,1121.14067695
1998-12-11,1116.34375239
