Date,CHINA A INTERNATIONAL MOMENTUM
2011-05-10,1526.0433005043772
2011-05-11,1524.346558749592
2011-05-12,1501.6788220398903
2011-05-13,1510.7389627996345
2011-05-16,1494.8992858141835
2011-05-17,1499.9760817250826
2011-05-18,1513.1040290910596
2011-05-19,1510.27656736393
2011-05-20,1512.704516393926
2011-05-23,1462.0653017448153
2011-05-24,1469.1770567038002
2011-05-25,1457.5155692089338
2011-05-26,1448.9601802059258
2011-05-27,1427.193810726155
2011-05-30,1430.2032690298174
2011-05-31,1464.0293216181406
2011-06-01,1471.5236049705259
2011-06-02,1462.1673742141381
2011-06-03,1479.2063763892072
2011-06-06,1479.2063763892072
2011-06-07,1491.837865905017
2011-06-08,1494.847968236893
2011-06-09,1467.0545083389795
2011-06-10,1468.7477817197062
2011-06-13,1474.6358933227834
2011-06-14,1502.1064734319978
2011-06-15,1490.4981144823744
2011-06-16,1480.0873978016386
2011-06-17,1462.6305463759272
2011-06-20,1458.039718170207
2011-06-21,1483.5482293732255
2011-06-22,1489.5324218595197
2011-06-23,1517.1500111493106
2011-06-24,1539.0512523409232
2011-06-27,1546.2452686140293
2011-06-28,1559.2759040950618
2011-06-29,1539.417485849905
2011-06-30,1561.2597296128693
2011-07-01,1564.135952664249
2011-07-04,1593.2456427652762
2011-07-05,1590.5763564817894
2011-07-06,1584.3936228613309
2011-07-07,1568.1010110681764
2011-07-08,1570.9125699919489
2011-07-11,1577.4508459669125
2011-07-12,1550.967445967919
2011-07-13,1578.0206509069744
2011-07-14,1585.600631487583
2011-07-15,1589.2880579800096
2011-07-18,1580.5423684029163
2011-07-19,1568.970946423646
2011-07-20,1569.2690417403269
2011-07-21,1555.9853650348582
2011-07-22,1564.932694639244
2011-07-25,1519.2721438012436
2011-07-26,1519.257975116547
2011-07-27,1533.948524383949
2011-07-28,1529.7089766732342
2011-07-29,1515.9486729033865
2011-08-01,1519.5495048495875
2011-08-02,1508.3548217103773
2011-08-03,1509.8651185662986
2011-08-04,1515.4111232310902
2011-08-05,1489.0748780194024
2011-08-08,1435.7610406219542
2011-08-09,1447.004800774592
2011-08-10,1464.5412866597137
2011-08-11,1485.7115427426659
2011-08-12,1491.0729339153888
2011-08-15,1509.2305304950178
2011-08-16,1502.594378022019
2011-08-17,1491.671162269325
2011-08-18,1462.4056573058633
2011-08-19,1442.4873865800598
2011-08-22,1412.8153618052704
2011-08-23,1436.3124782252953
2011-08-24,1431.350357307931
2011-08-25,1477.835726903794
2011-08-26,1479.570838728758
2011-08-29,1458.256059268456
2011-08-30,1454.9724316490035
2011-08-31,1460.208020595913
2011-09-01,1450.0059250194845
2011-09-02,1437.1703894090779
2011-09-05,1400.8430780416654
2011-09-06,1377.1188751769785
2011-09-07,1406.8196534831015
2011-09-08,1397.7317980653727
2011-09-09,1388.8307858917483
2011-09-12,1388.8307858917483
2011-09-13,1369.7372213565052
2011-09-14,1372.6251619429647
2011-09-15,1371.8093070313587
2011-09-16,1378.6111707748696
2011-09-19,1353.0541475643417
2011-09-20,1359.650704698804
2011-09-21,1409.5693544940307
2011-09-22,1363.7285068740548
2011-09-23,1357.7986454005309
2011-09-26,1330.5371950950905
2011-09-27,1348.450416564274
2011-09-28,1339.2128267530936
2011-09-29,1325.0775508943484
2011-09-30,1322.1183594474105
2011-10-03,1322.1183594474105
2011-10-04,1322.1183594474105
2011-10-05,1322.1183594474105
2011-10-06,1322.1183594474105
2011-10-07,1322.1183594474105
2011-10-10,1310.391866878687
2011-10-11,1286.5521313099596
2011-10-12,1332.2411076052504
2011-10-13,1340.5157957795934
2011-10-14,1338.2445087692797
2011-10-17,1350.5391819333552
2011-10-18,1313.9347572757754
2011-10-19,1305.261409837661
2011-10-20,1268.7357128519232
2011-10-21,1259.8143765594907
2011-10-24,1294.9251276648004
2011-10-25,1327.5829943819472
2011-10-26,1344.829002847138
2011-10-27,1346.3800723862219
2011-10-28,1379.249340817494
2011-10-31,1372.5394227595707
2011-11-01,1368.9277310829327
2011-11-02,1383.4672349861862
2011-11-03,1386.1086696160908
2011-11-04,1397.5853171895626
2011-11-07,1380.873289985042
2011-11-08,1377.2699856927761
2011-11-09,1387.9510840526211
2011-11-10,1360.114522161163
2011-11-11,1357.2874180636677
2011-11-14,1383.1714722141357
2011-11-15,1382.5520412747
2011-11-16,1345.8729792029933
2011-11-17,1342.2739795411178
2011-11-18,1313.0210212960408
2011-11-21,1308.8303814879084
2011-11-22,1310.3636850718176
2011-11-23,1300.1929222814877
2011-11-24,1296.6641702430984
2011-11-25,1288.9847107263668
2011-11-28,1286.6809867739464
2011-11-29,1304.4242516929137
2011-11-30,1263.1821194720396
2011-12-01,1289.5564013863332
2011-12-02,1280.0274367173738
2011-12-05,1259.5198705172013
2011-12-06,1253.1196662039106
2011-12-07,1258.5204538309852
2011-12-08,1253.3406396551902
2011-12-09,1238.1043931931933
2011-12-12,1220.9538399544435
2011-12-13,1197.2442971941973
2011-12-14,1186.0590467190061
2011-12-15,1163.5191719582647
2011-12-16,1192.2153053561617
2011-12-19,1188.9692158800924
2011-12-20,1184.1190456402812
2011-12-21,1172.9276152494265
2011-12-22,1177.137055854258
2011-12-23,1184.7239315785669
2011-12-26,1168.779867007975
2011-12-27,1151.1722352662027
2011-12-28,1150.494315140481
2011-12-29,1159.2911338946376
2011-12-30,1183.1323259307621
2012-01-02,1183.132325930762
2012-01-03,1183.1323259307617
2012-01-04,1154.2930302502004
2012-01-05,1143.4633644832124
2012-01-06,1150.5737411583593
2012-01-09,1184.7472861765382
2012-01-10,1219.271146716808
2012-01-11,1214.1980840845147
2012-01-12,1207.3878609194783
2012-01-13,1194.668189633164
2012-01-16,1160.000868997393
2012-01-17,1206.768538817864
2012-01-18,1181.8486443164331
2012-01-19,1202.3072368093453
2012-01-20,1219.0888726750939
2012-01-23,1219.0888726750939
2012-01-24,1219.0888726750939
2012-01-25,1219.0888726750939
2012-01-26,1219.0888726750939
2012-01-27,1219.0888726750939
2012-01-30,1197.7141023605186
2012-01-31,1207.0636988909355
2012-02-01,1195.8511127964487
2012-02-02,1219.4160626056253
2012-02-03,1226.7041006541986
2012-02-06,1228.4531009225263
2012-02-07,1211.946909451057
2012-02-08,1245.6212389964141
2012-02-09,1246.2730763834256
2012-02-10,1247.957728971299
2012-02-13,1249.584238796143
2012-02-14,1244.1874554859417
2012-02-15,1254.5321442663926
2012-02-16,1244.1776785762358
2012-02-17,1245.3114562828564
2012-02-20,1245.422751951382
2012-02-21,1256.2524991424982
2012-02-22,1270.03760583763
2012-02-23,1277.5317958480393
2012-02-24,1297.6565827622585
2012-02-27,1300.1469238285742
2012-02-28,1304.4062861874443
2012-02-29,1299.5078313006175
2012-03-01,1295.0480942219026
2012-03-02,1312.9700362494045
2012-03-05,1300.4707082297834
2012-03-06,1281.971898842605
2012-03-07,1274.945475338728
2012-03-08,1285.306314270404
2012-03-09,1305.8947932182382
2012-03-12,1298.896511453418
2012-03-13,1311.3782387849378
2012-03-14,1281.9391432997834
2012-03-15,1278.0401537362964
2012-03-16,1301.0472492006256
2012-03-19,1299.2062058316492
2012-03-20,1282.9289252277433
2012-03-21,1279.0340551466763
2012-03-22,1283.0826766101263
2012-03-23,1271.858782479786
2012-03-26,1277.7272376041242
2012-03-27,1264.8980933016871
2012-03-28,1238.5967231166046
2012-03-29,1228.7002312942493
2012-03-30,1230.1419327551682
2012-04-02,1230.1419327551682
2012-04-03,1230.1419327551682
2012-04-04,1230.1419327551682
2012-04-05,1254.1248830014272
2012-04-06,1261.1823048992087
2012-04-09,1254.0592771282518
2012-04-10,1261.8851975837865
