Date,AC AMERICAS IMI VALUE
2015-06-05,1580.6511501767884
2015-06-08,1558.8788835785497
2015-06-09,1556.885620449595
2015-06-10,1567.7867974909261
2015-06-11,1578.708693695988
2015-06-12,1563.453774258446
2015-06-15,1557.6017020072923
2015-06-16,1569.441416556617
2015-06-17,1571.5811476890792
2015-06-18,1563.3016840534044
2015-06-19,1563.3407531992143
2015-06-22,1563.0075288157013
2015-06-23,1593.4981409873749
2015-06-24,1582.3347117722149
2015-06-25,1574.1729123075604
2015-06-26,1581.95419611847
2015-06-29,1548.9406358807512
2015-06-30,1551.148438024528
2015-07-01,1564.7738263276874
2015-07-02,1563.8480764922206
2015-07-03,1564.1412168797526
2015-07-06,1559.8694844208892
2015-07-07,1587.1463165927837
2015-07-08,1545.5197165809905
2015-07-09,1549.2437787785684
2015-07-10,1547.6868578861972
2015-07-13,1583.9511869219332
2015-07-14,1592.339510604483
2015-07-15,1595.1682093716297
2015-07-16,1613.4444254060752
2015-07-17,1612.5661949399905
2015-07-20,1605.738684113417
2015-07-21,1587.6402256654778
2015-07-22,1589.1345707387432
2015-07-23,1567.1048380012794
2015-07-24,1551.3593920289766
2015-07-27,1523.3304425934348
2015-07-28,1548.6341912762612
2015-07-29,1565.0933823765831
2015-07-30,1580.1706948772398
2015-07-31,1559.7697426324787
2015-08-03,1564.7072348182526
2015-08-04,1562.7762587883403
2015-08-05,1580.4482409106001
2015-08-06,1567.7416667300934
2015-08-07,1557.7680246479952
2015-08-10,1573.3850074468273
2015-08-11,1549.5986396469543
2015-08-12,1531.5810332166682
2015-08-13,1535.0568535025802
2015-08-14,1544.8778090738886
2015-08-17,1555.4184081022984
2015-08-18,1555.9752420259867
2015-08-19,1537.400763184789
2015-08-20,1491.2072798673223
2015-08-21,1436.603199918177
2015-08-24,1347.9882300848794
2015-08-25,1346.4711680625585
2015-08-26,1391.6085666972785
2015-08-27,1451.8301816696332
2015-08-28,1453.5887392254544
2015-08-31,1448.0678793073953
2015-09-01,1398.279030119766
2015-09-02,1420.4036539690103
2015-09-03,1444.3279116033123
2015-09-04,1417.404070051607
2015-09-07,1411.396576285103
2015-09-08,1441.5816129450352
2015-09-09,1425.0599270703008
2015-09-10,1422.1941611489156
2015-09-11,1417.0689391857288
2015-09-14,1411.339691602177
2015-09-15,1431.39153384006
2015-09-16,1445.619019974566
2015-09-17,1438.1873954791618
2015-09-18,1407.1147516747665
2015-09-21,1436.1025389689285
2015-09-22,1425.532572761776
2015-09-23,1419.187440608856
2015-09-24,1398.3935365918671
2015-09-25,1417.635467247864
2015-09-28,1382.258484211558
2015-09-29,1385.4312557205956
2015-09-30,1416.0346187511775
2015-10-01,1410.593765579891
2015-10-02,1420.4576727030521
2015-10-05,1460.398858130041
2015-10-06,1455.9135357810985
2015-10-07,1475.1590099206846
2015-10-08,1484.1898499982985
2015-10-09,1472.5329711630302
2015-10-12,1469.372845996267
2015-10-13,1458.90888851409
2015-10-14,1444.7246519762411
2015-10-15,1470.7621664499313
2015-10-16,1478.5088950199804
2015-10-19,1483.6576609955127
2015-10-20,1480.7720462005918
2015-10-21,1468.4692761646418
2015-10-22,1519.4091906981098
2015-10-23,1549.5843014203026
2015-10-26,1540.1755898926317
2015-10-27,1530.7940875384352
2015-10-28,1551.3691818230923
2015-10-29,1559.275120091516
2015-10-30,1539.6830369071106
2015-11-02,1559.9643542608608
2015-11-03,1577.938634924213
2015-11-04,1585.7282645797613
2015-11-05,1583.6271071235933
2015-11-06,1599.3562551540324
2015-11-09,1583.3675105384614
2015-11-10,1594.026631661195
2015-11-11,1584.5813448615008
2015-11-12,1555.5591925254353
2015-11-13,1546.795287942624
2015-11-16,1572.3499426645003
2015-11-17,1577.6208272386837
2015-11-18,1598.857379354925
2015-11-19,1586.2900440491321
2015-11-20,1597.2096233358027
2015-11-23,1604.050820147874
2015-11-24,1606.1148895467131
2015-11-25,1609.6230411564723
2015-11-26,1607.6037142849527
2015-11-27,1612.086468889635
2015-11-30,1613.7686266635258
2015-12-01,1622.290462796985
2015-12-02,1606.7181466257696
2015-12-03,1545.9857546277572
2015-12-04,1564.9514775680493
2015-12-07,1552.9315042408593
2015-12-08,1534.037657523384
2015-12-09,1516.7518793736965
2015-12-10,1521.7179029959239
2015-12-11,1484.583958115171
2015-12-14,1481.234566188927
2015-12-15,1518.1538466036898
2015-12-16,1535.6686273191315
2015-12-17,1529.5540307084393
2015-12-18,1504.3876521385084
2015-12-21,1503.169667045576
2015-12-22,1511.1421000057394
2015-12-23,1547.8344159637932
2015-12-24,1534.3503729034135
2015-12-25,1534.3503729034135
2015-12-28,1526.8606376060836
2015-12-29,1550.0559205170118
2015-12-30,1537.0715973756078
2015-12-31,1531.0792304647955
2016-01-01,1531.0792304647955
2016-01-04,1519.6196081585133
2016-01-05,1536.0866932240574
2016-01-06,1507.3265863432855
2016-01-07,1461.36764850918
2016-01-08,1434.0805394107508
2016-01-11,1439.25015987497
2016-01-12,1448.3626217434805
2016-01-13,1415.1411556726573
2016-01-14,1439.4435089151073
2016-01-15,1393.131042383983
2016-01-18,1401.8900885231678
2016-01-19,1395.785233252568
2016-01-20,1375.8440629420197
2016-01-21,1395.5781599774791
2016-01-22,1425.518542215282
2016-01-25,1398.5613603287215
2016-01-26,1422.6187843704627
2016-01-27,1413.663401346107
2016-01-28,1413.4018264814306
2016-01-29,1466.4150636262784
2016-02-01,1451.861108514082
2016-02-02,1421.738650254466
2016-02-03,1416.6855134328998
2016-02-04,1409.665492079795
2016-02-05,1395.5466348570478
2016-02-08,1377.3311735386826
2016-02-09,1351.8595715316312
2016-02-10,1360.4617189388923
2016-02-11,1322.011426889193
2016-02-12,1363.7999086252455
2016-02-15,1376.7259189940517
2016-02-16,1397.9747983101404
2016-02-17,1421.8449508590802
2016-02-18,1424.6499057162214
2016-02-19,1419.3252353667065
2016-02-22,1451.4109345603733
2016-02-23,1432.2609462291568
2016-02-24,1437.1421430885212
2016-02-25,1453.3510235544893
2016-02-26,1466.0832014579312
2016-02-29,1464.9866717635414
2016-03-01,1496.775295090694
2016-03-02,1515.4189672296952
2016-03-03,1511.5410606665725
2016-03-04,1510.001881169339
2016-03-07,1522.1567431478659
2016-03-08,1491.3974460429974
2016-03-09,1507.6247621501698
2016-03-10,1489.1735211344615
2016-03-11,1512.8729125109462
2016-03-14,1514.7867400996727
2016-03-15,1506.9533430539166
2016-03-16,1520.5465262569762
2016-03-17,1507.8848955424705
2016-03-18,1516.0449748637645
2016-03-21,1520.270913458403
2016-03-22,1522.5884964376353
2016-03-23,1514.7430775361506
2016-03-24,1515.694986945239
2016-03-25,1515.694986945239
2016-03-28,1510.5536399897705
2016-03-29,1526.8104345507766
2016-03-30,1512.0202138746458
2016-03-31,1503.837893812308
2016-04-01,1514.4265947936512
2016-04-04,1503.1165289940154
2016-04-05,1486.3308944869455
2016-04-06,1498.3460064173787
2016-04-07,1480.5533196027181
2016-04-08,1487.1700514533597
2016-04-11,1482.2047816937775
2016-04-12,1508.675557758546
2016-04-13,1536.9776186483443
2016-04-14,1539.0352561213067
2016-04-15,1532.7031186422137
2016-04-18,1538.4896606064913
2016-04-19,1546.0706934053053
2016-04-20,1552.6563838548136
2016-04-21,1547.5860428966803
2016-04-22,1559.8243487750626
2016-04-25,1550.3747834451299
2016-04-26,1552.343171263746
2016-04-27,1561.204214414566
2016-04-28,1549.3507900505367
2016-04-29,1524.290017697694
2016-05-02,1524.2529698252629
2016-05-03,1504.8091583815246
2016-05-04,1498.278365740912
2016-05-05,1509.2887870075986
2016-05-06,1511.0566083982872
2016-05-09,1510.3355093119276
2016-05-10,1531.4674839041277
2016-05-11,1518.4040164093383
2016-05-12,1522.8267323583984
2016-05-13,1521.6276174144853
2016-05-16,1532.0991079626313
2016-05-17,1518.9258481231586
2016-05-18,1525.2790751298792
2016-05-19,1528.7605140603266
2016-05-20,1537.1828524134467
2016-05-23,1535.4901029957323
2016-05-24,1559.3533260301078
2016-05-25,1575.2853346878603
2016-05-26,1569.281652332378
2016-05-27,1583.122225756389
2016-05-30,1581.8201124741922
2016-05-31,1581.5551895120266
2016-06-01,1578.1482002136652
2016-06-02,1585.7645290623775
2016-06-03,1559.3670380504582
2016-06-06,1566.4406530268543
2016-06-07,1574.5778105396255
2016-06-08,1575.4851640329878
2016-06-09,1579.679654510895
2016-06-10,1566.8053295629045
2016-06-13,1554.309697564288
2016-06-14,1559.74448605539
2016-06-15,1554.6977715408125
2016-06-16,1570.7897251663996
2016-06-17,1559.2217032114365
2016-06-20,1557.4133709626108
2016-06-21,1571.369901707017
2016-06-22,1566.2526371898323
2016-06-23,1581.6474362773004
2016-06-24,1555.3414601224324
2016-06-27,1540.9725090317966
2016-06-28,1558.4596428207096
2016-06-29,1580.0163106928046
2016-06-30,1603.3132393388248
2016-07-01,1602.7446953294573
2016-07-04,1603.7014394364373
2016-07-05,1591.917902282999
2016-07-06,1603.4696340777252
2016-07-07,1600.145572918038
2016-07-08,1629.6807369280511
2016-07-11,1635.2142025524204
2016-07-12,1647.4339935460898
2016-07-13,1644.1234091229474
2016-07-14,1652.6548236461213
2016-07-15,1657.4370428727009
2016-07-18,1660.8793376190813
2016-07-19,1665.1019751759673
2016-07-20,1672.0939186732587
2016-07-21,1669.9966968467309
2016-07-22,1680.706459251139
2016-07-25,1673.7492171828158
2016-07-26,1674.518331478721
2016-07-27,1667.4399088853063
2016-07-28,1653.2706037662144
2016-07-29,1644.3695459979247
2016-08-01,1637.3952601767392
2016-08-02,1619.2729863634463
2016-08-03,1634.5107520417155
2016-08-04,1640.676874597358
2016-08-05,1666.337568678846
2016-08-08,1667.8963801746559
2016-08-09,1663.1690489175953
2016-08-10,1649.5302596713811
2016-08-11,1655.5891142939493
2016-08-12,1654.0002936390572
2016-08-15,1658.165242798496
2016-08-16,1640.7108411047764
2016-08-17,1642.0306325880451
2016-08-18,1641.776415147613
2016-08-19,1637.397576105032
2016-08-22,1634.3753931559331
2016-08-23,1639.804728683867
2016-08-24,1642.091137784349
2016-08-25,1638.5209389667293
2016-08-26,1635.6617001415157
2016-08-29,1662.2983327039813
2016-08-30,1663.4836090726112
2016-08-31,1660.4102764136464
2016-09-01,1651.4056146242108
2016-09-02,1666.5395282719871
2016-09-05,1669.7131342706864
2016-09-06,1661.7319880867783
2016-09-07,1662.518259603269
2016-09-08,1658.0652708810849
2016-09-09,1624.4855412425347
2016-09-12,1643.6954755127103
2016-09-13,1610.7557700721743
2016-09-14,1605.5935942639421
2016-09-15,1622.0329160521221
2016-09-16,1626.2860739200403
2016-09-19,1627.0891603950683
2016-09-20,1627.1913118499365
2016-09-21,1651.5549593722367
2016-09-22,1649.9598440993373
2016-09-23,1642.493660404258
2016-09-26,1620.5126743288617
2016-09-27,1636.915978988151
2016-09-28,1653.0189213430026
2016-09-29,1634.0984791796923
2016-09-30,1644.5939126567089
2016-10-03,1642.0700864067564
2016-10-04,1641.0043396653216
2016-10-05,1645.429569269639
2016-10-06,1649.5315994277455
2016-10-07,1644.0583117280737
2016-10-10,1656.9074624261737
2016-10-11,1651.9645230759943
2016-10-12,1659.400294431226
2016-10-13,1651.5636792233117
2016-10-14,1655.9591769986985
2016-10-17,1655.0054288473507
2016-10-18,1667.7287447033445
2016-10-19,1674.8661873150804
2016-10-20,1676.7287089766803
2016-10-21,1683.2271939659886
2016-10-24,1686.2966144614231
2016-10-25,1687.3136051945992
2016-10-26,1678.5202647615563
2016-10-27,1673.5306684937536
2016-10-28,1668.0588339691585
2016-10-31,1665.173922400081
2016-11-01,1641.0261897596024
2016-11-02,1616.3366481690837
2016-11-03,1616.3056114336307
2016-11-04,1608.9418857061432
2016-11-07,1657.3043334975882
2016-11-08,1661.6705274130784
2016-11-09,1699.5543360716347
2016-11-10,1716.9260688500815
2016-11-11,1718.330932351021
2016-11-14,1750.3664619605097
2016-11-15,1764.1454328539664
2016-11-16,1766.0385879769017
2016-11-17,1771.129424568458
2016-11-18,1786.5401156409057
2016-11-21,1792.7363098244077
2016-11-22,1804.4184299965548
2016-11-23,1816.5520802670396
2016-11-24,1811.094167744563
2016-11-25,1811.209046377207
2016-11-28,1805.656261902458
2016-11-29,1798.1361459281982
2016-11-30,1807.4530007036133
2016-12-01,1805.7620861718426
2016-12-02,1798.026170542471
2016-12-05,1800.0322464678127
2016-12-06,1808.1330582345747
2016-12-07,1827.2709474850792
2016-12-08,1862.1857129348466
2016-12-09,1885.1416476418713
2016-12-12,1871.6313310627013
2016-12-13,1875.24638325549
2016-12-14,1853.4775433672953
2016-12-15,1901.360996918277
2016-12-16,1901.1435380976832
2016-12-19,1900.0014488581257
2016-12-20,1919.5179299805889
2016-12-21,1904.1192944711313
2016-12-22,1896.271714336383
2016-12-23,1898.4820724772428
2016-12-26,1898.8417960401232
2016-12-27,1902.139619747605
2016-12-28,1899.2739177912758
2016-12-29,1883.868039212257
2016-12-30,1868.7644973983313
2017-01-02,1868.4988744248553
2017-01-03,1914.1430193885465
2017-01-04,1910.409062235205
2017-01-05,1882.4809006708356
2017-01-06,1886.626077363281
2017-01-09,1878.148892421384
2017-01-10,1874.0975354214177
2017-01-11,1902.1848809169223
2017-01-12,1864.570209888402
2017-01-13,1873.2653287605517
2017-01-16,1876.1553505000632
2017-01-17,1852.3045345165974
2017-01-18,1855.3455964576008
2017-01-19,1859.2248669016872
2017-01-20,1856.6843791588558
2017-01-23,1838.424632210995
2017-01-24,1853.4311138484575
2017-01-25,1870.4268186181469
2017-01-26,1879.825772086297
2017-01-27,1870.6954591343424
2017-01-30,1859.7049893998758
2017-01-31,1840.924204130331
2017-02-01,1844.4945569669085
2017-02-02,1838.8570137837273
2017-02-03,1859.687698516662
2017-02-06,1861.248136299733
2017-02-07,1867.8898355133415
2017-02-08,1864.229615442481
2017-02-09,1883.797958359787
2017-02-10,1900.0925144356981
2017-02-13,1914.535980588081
2017-02-14,1929.6768500607452
2017-02-15,1937.6885286090596
2017-02-16,1920.3436311677058
2017-02-17,1926.868663898
2017-02-20,1929.4077112502953
2017-02-21,1956.570081115284
2017-02-22,1951.1714562370175
2017-02-23,1945.7322813819703
2017-02-24,1947.3732177685588
2017-02-27,1941.4115657697748
2017-02-28,1930.9469814144911
2017-03-01,1969.340856140325
2017-03-02,1959.8892452214939
2017-03-03,1954.8900814720207
2017-03-06,1941.6209892395461
2017-03-07,1937.600242197528
2017-03-08,1932.6344827289602
2017-03-09,1926.3932521529894
2017-03-10,1918.6171636723448
2017-03-13,1917.2038271525307
2017-03-14,1914.6073963621036
2017-03-15,1935.3490062130115
2017-03-16,1916.048658968811
2017-03-17,1910.6425487890501
2017-03-20,1902.5794023408757
2017-03-21,1865.3104113732668
2017-03-22,1867.8153376606801
2017-03-23,1871.906119440703
2017-03-24,1866.7622911848355
2017-03-27,1850.929278072701
2017-03-28,1868.240115698903
2017-03-29,1890.2474309703928
2017-03-30,1902.1530230567478
2017-03-31,1903.0836930425792
2017-04-03,1905.3529417941425
2017-04-04,1906.1980811015876
2017-04-05,1898.3465665935905
2017-04-06,1904.7982163416166
2017-04-07,1909.7485931603994
2017-04-10,1914.6361476126276
2017-04-11,1909.544257574006
2017-04-12,1901.9324281759436
2017-04-13,1884.8355788001525
2017-04-14,1884.8355788001525
2017-04-17,1895.1084767937527
2017-04-18,1881.9400377092168
2017-04-19,1872.1468997694512
2017-04-20,1875.8283096807331
2017-04-21,1881.8681859152975
2017-04-24,1872.8954871934666
2017-04-25,1872.7886578109233
2017-04-26,1879.7747273252983
2017-04-27,1876.2902336443947
2017-04-28,1863.3830128223326
2017-05-01,1860.8307697195282
2017-05-02,1861.5167182453622
2017-05-03,1858.7244419854671
2017-05-04,1848.4529036746803
2017-05-05,1851.1224477153844
2017-05-08,1858.3968061910957
2017-05-09,1859.3087792600734
2017-05-10,1868.511241796292
2017-05-11,1861.5665995392505
2017-05-12,1846.7942135321343
2017-05-15,1849.308703591118
2017-05-16,1831.2941059338689
2017-05-17,1788.5273480533763
2017-05-18,1789.8328463802206
2017-05-19,1793.359849164642
2017-05-22,1792.0923227755522
2017-05-23,1802.2714168750658
2017-05-24,1811.4548799176207
2017-05-25,1809.2788452820325
2017-05-26,1814.1051115844587
2017-05-29,1815.2143172823887
2017-05-30,1810.7671236849324
2017-05-31,1797.0515156003594
2017-06-01,1817.5905289276332
2017-06-02,1811.6229415630503
2017-06-05,1812.409929716119
2017-06-06,1807.595431927765
2017-06-07,1808.6580720114705
2017-06-08,1819.840637520532
2017-06-09,1842.631759419035
2017-06-12,1842.5608238096454
2017-06-13,1847.73324867102
2017-06-14,1833.1210935129209
2017-06-15,1850.6654312225965
2017-06-16,1845.2071858587015
2017-06-19,1859.9120169606451
2017-06-20,1852.6279782644526
2017-06-21,1840.7477641708936
2017-06-22,1839.0039490251572
2017-06-23,1834.7339110118785
2017-06-26,1840.5455322628652
2017-06-27,1817.5230473190904
2017-06-28,1820.846487195806
2017-06-29,1803.01039414747
2017-06-30,1808.0348201552179
2017-07-03,1826.9158177886611
2017-07-04,1830.167721753726
2017-07-05,1829.1367953287092
2017-07-06,1799.8893290484382
2017-07-07,1809.5926379190948
2017-07-10,1808.920816446342
2017-07-11,1802.044014629475
2017-07-12,1812.9231255440682
2017-07-13,1820.5889696309239
2017-07-14,1820.4767175119175
2017-07-17,1817.3169532018117
2017-07-18,1797.418030762074
2017-07-19,1817.5555193635903
2017-07-20,1800.6217854970018
2017-07-21,1793.3763595161727
