Date,AC ASIA ex JAPAN IMI VALUE
2000-05-11,548.6185608963686
2000-05-12,550.6242868052975
2000-05-15,538.5643409100817
2000-05-16,552.5425559012048
2000-05-17,561.3687872512871
2000-05-18,553.234450751468
2000-05-19,556.4566839066259
2000-05-22,531.2395595903687
2000-05-23,524.5532638982513
2000-05-24,521.4343763883016
2000-05-25,523.0743969114783
2000-05-26,504.05492102111845
2000-05-29,505.3106516653377
2000-05-30,507.93272235296644
2000-05-31,520.8285909058791
2000-06-01,520.0104759789109
2000-06-02,522.9423102610206
2000-06-05,536.3944315273309
2000-06-06,528.1540300080729
2000-06-07,534.496767985146
2000-06-08,534.2994458436102
2000-06-09,542.8462610448878
2000-06-12,541.2421460322724
2000-06-13,527.3458482919793
2000-06-14,534.1614293535014
2000-06-15,532.5409475451709
2000-06-16,528.1300380403701
2000-06-19,523.2427930527034
2000-06-20,528.2440203392568
2000-06-21,532.978774650801
2000-06-22,536.6577712800288
2000-06-23,537.4144431759985
2000-06-26,535.8520666687018
2000-06-27,533.8882677724635
2000-06-28,534.3420035278355
2000-06-29,522.9852901090208
2000-06-30,522.1789906773791
2000-07-03,528.8082123110098
2000-07-04,526.0107494648988
2000-07-05,529.6799856107268
2000-07-06,530.441996054751
2000-07-07,536.7393651875914
2000-07-10,541.635034561319
2000-07-11,544.3699736848756
2000-07-12,549.4974656578862
2000-07-13,555.2209249833218
2000-07-14,554.0567484733167
2000-07-17,557.5665572529862
2000-07-18,549.2160967310715
2000-07-19,556.318173319486
2000-07-20,552.050200818743
2000-07-21,548.4562733704556
2000-07-24,538.1123913656389
2000-07-25,529.7276617864308
2000-07-26,529.64362882432
2000-07-27,529.1899475333304
2000-07-28,531.237841552454
2000-07-31,530.3909888787477
2000-08-01,533.5509243114066
2000-08-02,542.9981720223943
2000-08-03,548.5656081141508
2000-08-04,547.8774702099219
2000-08-07,542.3704053132709
2000-08-08,545.8575686287111
2000-08-09,555.8367159462051
2000-08-10,550.7693804061452
2000-08-11,552.6854669593613
2000-08-14,556.1143727341062
2000-08-15,553.6578668062152
2000-08-16,561.5036316699262
2000-08-17,562.583995627884
2000-08-18,562.9373650989564
2000-08-21,567.4841453180366
2000-08-22,572.6863701148609
2000-08-23,569.7299986071208
2000-08-24,560.4681238466953
2000-08-25,556.6203592459374
2000-08-28,557.8479148829836
2000-08-29,557.8303334022343
2000-08-30,552.0169073374041
2000-08-31,551.6964471802343
2000-09-01,545.2495102470027
2000-09-04,553.7503803836004
2000-09-05,560.9035234295086
2000-09-06,561.5610761455016
2000-09-07,557.9170240185283
2000-09-08,559.6043326944655
2000-09-11,557.8846445490619
2000-09-12,553.0766211158543
2000-09-13,551.116623504871
2000-09-14,546.8468454563629
2000-09-15,537.2650183654554
2000-09-18,518.0818467087331
2000-09-19,515.3244588281017
2000-09-20,526.8814363805545
2000-09-21,517.6391450916203
2000-09-22,483.1526181811102
2000-09-25,502.4239177357612
2000-09-26,498.5668702847458
2000-09-27,500.58761047102774
2000-09-28,498.3021725127654
2000-09-29,501.04314246281746
2000-10-02,492.36561774626
2000-10-03,498.83858959795486
2000-10-04,500.49239268074246
2000-10-05,504.48427662045043
2000-10-06,507.0657774121319
2000-10-09,495.172650516316
2000-10-10,493.0404951252333
2000-10-11,479.07374563895985
2000-10-12,481.58826355593453
2000-10-13,476.02771092701397
2000-10-16,487.285241627689
2000-10-17,476.0097145917866
2000-10-18,470.83346395626694
2000-10-19,471.33318530103463
2000-10-20,487.93382846536167
2000-10-23,485.65491952698625
2000-10-24,489.1569707962158
2000-10-25,496.87544526854583
2000-10-26,494.425491734841
2000-10-27,482.24900240462057
2000-10-30,476.6441417010737
2000-10-31,477.2035926092207
2000-11-01,480.86362124697024
2000-11-02,484.1174530523259
2000-11-03,487.89467038105687
2000-11-06,486.6263338028975
2000-11-07,488.3212008637763
2000-11-08,493.64972769107254
2000-11-09,491.97214681922543
2000-11-10,487.627473090955
2000-11-13,474.35604585467286
2000-11-14,483.37806521962233
2000-11-15,480.5998095129146
2000-11-16,479.2193784408691
2000-11-17,476.7684064614327
2000-11-20,470.24053624552573
2000-11-21,471.0403305185767
2000-11-22,467.8933032046443
2000-11-23,467.197562619772
2000-11-24,475.5921625444011
2000-11-27,478.1140200801878
2000-11-28,471.0432128142157
2000-11-29,460.215029365971
2000-11-30,449.89557176145894
2000-12-01,455.3982857201681
2000-12-04,444.80527547584654
2000-12-05,452.31002767337407
2000-12-06,458.5027110869074
2000-12-07,455.81405210952374
2000-12-08,461.48450477942293
2000-12-11,473.810020456285
2000-12-12,471.89772470893024
2000-12-13,477.7686937511382
2000-12-14,467.54120054496065
2000-12-15,453.2442059680892
2000-12-18,453.0908795984804
2000-12-19,455.2419960387891
2000-12-20,442.5719926561106
2000-12-21,434.94149561806324
2000-12-22,429.63154013436514
2000-12-25,429.6057933767218
2000-12-26,424.37303100300835
2000-12-27,421.9186332390708
2000-12-28,428.56854351626475
2000-12-29,424.8801730150322
2001-01-01,425.55661223250326
2001-01-02,422.75364654329945
2001-01-03,420.51523924639156
2001-01-04,436.3956886491279
2001-01-05,443.0291645352591
2001-01-08,443.7083969882924
2001-01-09,451.4838254811865
2001-01-10,447.2831673607124
2001-01-11,436.1674192922486
2001-01-12,440.519753367808
2001-01-15,444.9446247317709
2001-01-16,450.13028995802665
2001-01-17,455.76748456958154
2001-01-18,455.1508503576473
2001-01-19,467.95553553855285
2001-01-22,473.7210454991816
2001-01-23,470.360734031238
2001-01-24,479.35348898132736
2001-01-25,481.5551261185974
2001-01-26,476.2684752519883
2001-01-29,476.47527629821167
2001-01-30,475.26324965336556
2001-01-31,480.2272739840561
2001-02-01,473.9741304103951
2001-02-02,482.02631630857877
2001-02-05,470.44008077190216
2001-02-06,474.22191202560344
2001-02-07,470.0329545561107
2001-02-08,480.16386055176486
2001-02-09,480.21927991072465
2001-02-12,478.22256382044264
2001-02-13,486.39293135861277
2001-02-14,486.57874043193897
2001-02-15,498.7609154977505
2001-02-16,488.8822198205879
2001-02-19,483.529951782006
2001-02-20,495.2819804363429
2001-02-21,490.4762354398355
2001-02-22,486.97255279300987
2001-02-23,486.94461600925683
2001-02-26,488.31818605449206
2001-02-27,480.13997253801404
2001-02-28,478.10622393134565
2001-03-01,464.8171165425007
2001-03-02,456.74921142126635
2001-03-05,461.9899465864092
2001-03-06,465.0127570384423
2001-03-07,466.9450327411685
2001-03-08,464.3975713258673
2001-03-09,458.61789485343115
2001-03-12,446.4692444416921
2001-03-13,443.1311783064668
2001-03-14,447.67669982797094
2001-03-15,452.5277468202477
2001-03-16,455.3555066115013
2001-03-19,451.1660281131117
2001-03-20,445.16873580072206
2001-03-21,447.22150957564986
2001-03-22,447.43950420562305
2001-03-23,448.31039694604556
2001-03-26,453.9702714855384
2001-03-27,448.69565618967
2001-03-28,452.44769123306634
2001-03-29,451.6768784273581
2001-03-30,449.39928577534545
2001-04-02,442.7842974037144
2001-04-03,436.0242362992433
2001-04-04,419.68303147274213
2001-04-05,424.49499408908247
2001-04-06,426.88142243521236
2001-04-09,418.08633241986854
2001-04-10,422.4109737913258
2001-04-11,431.0771267247064
2001-04-12,429.6261107602573
2001-04-13,430.25224757388685
2001-04-16,432.4464119191526
2001-04-17,431.9568041389738
2001-04-18,446.8600128256325
2001-04-19,448.6797894732
2001-04-20,440.2483103729621
2001-04-23,444.16626307536893
2001-04-24,445.0097028214289
2001-04-25,442.9315239952449
2001-04-26,439.3700395386364
2001-04-27,442.10712489093214
2001-04-30,448.31350062936855
2001-05-01,446.43158082215115
2001-05-02,451.0486285931119
2001-05-03,451.1417541751259
2001-05-04,445.16629642530813
2001-05-07,450.4508251575542
2001-05-08,450.94431099867234
2001-05-09,452.0906917288188
2001-05-10,452.11014210964964
2001-05-11,459.1135257196684
2001-05-14,455.33056929920195
2001-05-15,453.05027321895653
2001-05-16,449.07851413876364
2001-05-17,457.91156130168844
2001-05-18,458.40549494046513
2001-05-21,460.1392956078631
2001-05-22,467.2657363612748
2001-05-23,477.175870215863
2001-05-24,480.57449702915414
2001-05-25,478.6808401960248
2001-05-28,475.164915038736
2001-05-29,479.51430871895235
2001-05-30,473.26679276834346
2001-05-31,475.3988402068302
2001-06-01,473.4746156096317
2001-06-04,474.66522826365014
2001-06-05,477.4609626147008
2001-06-06,480.54266923534834
2001-06-07,478.0261693383704
2001-06-08,484.891044056934
2001-06-11,486.7789955776713
2001-06-12,481.3775589010566
2001-06-13,479.5554431512618
2001-06-14,469.0733684292907
2001-06-15,465.9949124701379
2001-06-18,462.74476038509385
2001-06-19,465.63716461814727
2001-06-20,466.4069061879572
2001-06-21,466.9647206027638
2001-06-22,465.43487734902925
2001-06-25,461.355048309495
2001-06-26,459.4092719684207
2001-06-27,460.7041650792524
2001-06-28,463.1906009051357
2001-06-29,470.18345173967924
2001-07-02,467.17162486005384
2001-07-03,466.11176118406115
2001-07-04,465.8958120028001
2001-07-05,469.82367679650923
2001-07-06,462.6891835000139
2001-07-09,453.8694358580646
2001-07-10,451.31748674187475
2001-07-11,442.7739483497966
2001-07-12,451.8009375740064
2001-07-13,447.0988559115867
2001-07-16,441.4674032350798
2001-07-17,440.4898081004692
2001-07-18,426.49399004541317
2001-07-19,425.9725516879623
2001-07-20,425.27100591406554
2001-07-23,424.91808239088397
2001-07-24,420.2130811505885
2001-07-25,417.6633892414003
