Date,ACWI IMI GROWTH
2014-09-25,1402.6756376355809
2014-09-26,1413.7610217006138
2014-09-29,1410.5295302943414
2014-09-30,1412.0872587418696
2014-10-01,1399.2713096653101
2014-10-02,1386.1169721754534
2014-10-03,1408.7379134091036
2014-10-06,1406.2006380241774
2014-10-07,1384.4685871347174
2014-10-08,1384.933573356009
2014-10-09,1367.943661163246
2014-10-10,1352.6532101547884
2014-10-13,1334.25675053143
2014-10-14,1335.0671200197978
2014-10-15,1316.9406398951344
2014-10-16,1314.283913166928
2014-10-17,1331.5059906907243
2014-10-20,1342.2080500869238
2014-10-21,1368.2149550234408
2014-10-22,1371.641971027349
2014-10-23,1384.3382080790207
2014-10-24,1387.466382738424
2014-10-27,1381.4519416266621
2014-10-28,1394.7899345552457
2014-10-29,1396.193268423188
2014-10-30,1415.5215624295295
2014-10-31,1441.2269688125818
2014-11-03,1439.6864830437994
2014-11-04,1427.8476602127757
2014-11-05,1440.3649113978097
2014-11-06,1448.3180162227177
2014-11-07,1449.2416441475084
2014-11-10,1453.703699503227
2014-11-11,1457.8511001130164
2014-11-12,1453.1270736316662
2014-11-13,1454.8167775150628
2014-11-14,1454.9965761824867
2014-11-17,1452.756050773663
2014-11-18,1455.733254033407
2014-11-19,1451.8200563598093
2014-11-20,1454.270224521887
2014-11-21,1479.284824853436
2014-11-24,1482.6441062466072
2014-11-25,1479.010702929129
2014-11-26,1478.4862289444059
2014-11-27,1483.3155413469271
2014-11-28,1480.7858341337328
2014-12-01,1466.0610684911758
2014-12-02,1478.3025523613094
2014-12-03,1492.2502531312107
2014-12-04,1477.3007496733755
2014-12-05,1495.4318148974921
2014-12-08,1485.2280345067522
2014-12-09,1468.2317251045297
2014-12-10,1449.8787551127893
2014-12-11,1452.9301908442158
2014-12-12,1427.6682323523275
2014-12-15,1415.9264638193686
2014-12-16,1401.6236468777258
2014-12-17,1428.9735254485918
2014-12-18,1470.6440708934344
2014-12-19,1482.0020302323126
2014-12-22,1488.4066525340934
2014-12-23,1495.695488710939
2014-12-24,1496.7262359378958
2014-12-25,1496.3305511852934
2014-12-26,1503.4617910158304
2014-12-29,1506.1112319235326
2014-12-30,1499.6175961256176
2014-12-31,1500.3360400410068
2015-01-01,1500.3260935303042
2015-01-02,1503.8849821374126
2015-01-05,1489.8797168396525
2015-01-06,1475.8405625548244
2015-01-07,1498.9738584312997
2015-01-08,1529.3942785743207
2015-01-09,1517.852610988545
2015-01-12,1513.507025361264
2015-01-13,1520.8008829573134
2015-01-14,1510.8351891736756
2015-01-15,1532.4671136830284
2015-01-16,1553.7292299228818
2015-01-19,1541.0620833555672
2015-01-20,1552.3293218187284
2015-01-21,1560.3094882759221
2015-01-22,1597.0769755016297
2015-01-23,1623.909246253302
2015-01-26,1628.8428656682458
2015-01-27,1604.1870944799916
2015-01-28,1601.3026381557536
2015-01-29,1604.6786141337755
2015-01-30,1598.7297353581225
2015-02-02,1601.1560267856323
2015-02-03,1602.7520697172667
2015-02-04,1608.038699364999
2015-02-05,1618.0800249564456
2015-02-06,1623.4369374293951
2015-02-09,1618.1500756897683
2015-02-10,1630.3869706671403
2015-02-11,1631.5814834365856
2015-02-12,1640.2402073232845
2015-02-13,1647.5154350499126
2015-02-16,1647.3495597325798
2015-02-17,1650.1815381306646
2015-02-18,1661.5336975989953
2015-02-19,1662.2666489649991
2015-02-20,1673.0623839402504
2015-02-23,1679.2663195051894
2015-02-24,1684.9356447077416
2015-02-25,1686.0539988478886
2015-02-26,1707.3846078568595
2015-02-27,1704.6180738118017
2015-03-02,1713.629783161822
2015-03-03,1707.8475130531274
2015-03-04,1719.1083819702967
2015-03-05,1728.6301443111995
2015-03-06,1737.711420747066
2015-03-09,1737.6716322916816
2015-03-10,1732.2062636559035
2015-03-11,1753.1096871980242
2015-03-12,1765.3456951614648
2015-03-13,1773.1772698879245
2015-03-16,1782.967120130784
2015-03-17,1777.9023797435448
2015-03-18,1787.414287088547
2015-03-19,1793.7004624795468
2015-03-20,1784.5100740343125
2015-03-23,1764.6909348365714
2015-03-24,1765.2972170078397
