Date,ZHONG HUA IMI GROWTH
2019-10-07,2155.729482360297
2019-10-08,2142.0946439920876
2019-10-09,2132.1990028533423
2019-10-10,2139.6996522997697
2019-10-11,2182.3582607882167
2019-10-14,2193.066892849137
2019-10-15,2209.6980907247007
2019-10-16,2223.834727948817
2019-10-17,2214.25664115152
2019-10-18,2178.465311300934
2019-10-21,2187.9632424861747
2019-10-22,2177.895997728371
2019-10-23,2163.450516541779
2019-10-24,2189.2784778733185
2019-10-25,2200.4498229537485
2019-10-28,2238.914310061037
2019-10-29,2221.014430510909
2019-10-30,2219.513482140214
2019-10-31,2228.268441801677
2019-11-01,2241.1580591045263
2019-11-04,2292.013169667629
2019-11-05,2320.3634747720484
2019-11-06,2324.3088818750584
2019-11-07,2356.1104317191275
2019-11-08,2346.490475410075
2019-11-11,2304.729671729796
2019-11-12,2325.4388004559837
2019-11-13,2289.764518072896
2019-11-14,2270.6258254643376
2019-11-15,2271.097547400567
2019-11-18,2282.1061878879323
2019-11-19,2310.0548433392223
2019-11-20,2285.912367545453
2019-11-21,2268.9314766931934
2019-11-22,2294.8609866102224
2019-11-25,2334.6069752148583
2019-11-26,2342.2812460493155
2019-11-27,2369.0265640844277
2019-11-28,2370.433476861857
2019-11-29,2331.1273820523684
2019-12-02,2316.820308873997
2019-12-03,2306.961445738634
2019-12-04,2287.3968419263906
2019-12-05,2320.0256330904617
2019-12-06,2354.215636632416
2019-12-09,2333.1987185489265
2019-12-10,2329.5333468074964
2019-12-11,2356.1929589765823
2019-12-12,2375.9143564941587
2019-12-13,2412.362194505067
2019-12-16,2414.279339630461
2019-12-17,2444.9413270735677
2019-12-18,2460.6769847643277
2019-12-19,2451.3715914866007
2019-12-20,2462.629409836613
2019-12-23,2476.4999885198554
2019-12-24,2473.7533764211016
2019-12-25,2474.4206398497013
2019-12-26,2482.6460873746073
2019-12-27,2483.4161413055094
2019-12-30,2472.5737200511608
2019-12-31,2451.6693720946646
2020-01-01,2451.669372094664
2020-01-02,2522.8884415927623
2020-01-03,2521.711403219337
2020-01-06,2500.953799440596
2020-01-07,2537.474534629381
2020-01-08,2531.883156405544
2020-01-09,2589.091557567371
2020-01-10,2605.69612266865
2020-01-13,2650.0727997562462
2020-01-14,2632.4965270115504
2020-01-15,2622.601768416286
2020-01-16,2633.873225944918
2020-01-17,2661.206943436147
2020-01-20,2652.903282156141
2020-01-21,2577.535234709323
2020-01-22,2608.111117850972
2020-01-23,2566.0927419151412
2020-01-24,2550.088633867711
2020-01-27,2518.2483848351326
2020-01-28,2544.9986656520514
2020-01-29,2522.27349907816
2020-01-30,2457.1979979221846
2020-01-31,2431.310080271174
2020-02-03,2467.1636344324857
2020-02-04,2551.729704075533
2020-02-05,2555.681815527074
2020-02-06,2601.0944882310546
