Date,NORTH AMERICA VALUE
2001-04-02,3170.174614047316
2001-04-03,3067.405862661178
2001-04-04,3056.693916199082
2001-04-05,3170.2272891589014
2001-04-06,3105.9702827881156
2001-04-09,3138.8909874515775
2001-04-10,3221.870504999939
2001-04-11,3207.235246041553
2001-04-12,3237.0177487830606
2001-04-13,3237.0177487830606
2001-04-16,3249.478979932891
2001-04-17,3274.343490700114
2001-04-18,3381.312199951443
2001-04-19,3395.60338838273
2001-04-20,3364.0744682082354
2001-04-23,3336.5666782246008
2001-04-24,3317.0781054378153
2001-04-25,3360.9851872945214
2001-04-26,3389.376685593484
2001-04-27,3426.2616875418084
2001-04-30,3406.0662340411172
2001-05-01,3442.996839341675
2001-05-02,3431.405415342073
2001-05-03,3394.750733665519
2001-05-04,3433.2464711013604
2001-05-07,3426.342443370823
2001-05-08,3403.653946795706
2001-05-09,3404.7397069790673
2001-05-10,3415.9076508956246
2001-05-11,3389.7158681601063
2001-05-14,3412.0825491334526
2001-05-15,3413.7245500591807
2001-05-16,3493.973549793072
2001-05-17,3499.1372124456216
2001-05-18,3512.635310992479
2001-05-21,3545.7361875611487
2001-05-22,3544.659991655076
2001-05-23,3501.0203568418797
2001-05-24,3504.3927321790393
2001-05-25,3474.300804734796
2001-05-28,3474.4143713462468
2001-05-29,3457.8959795397295
2001-05-30,3423.478187410177
2001-05-31,3455.791023446043
2001-06-01,3457.9931027068815
2001-06-04,3475.265682222997
2001-06-05,3499.6115056400513
2001-06-06,3459.207167362969
2001-06-07,3452.601722741081
2001-06-08,3432.717602258455
2001-06-11,3424.3907943115355
2001-06-12,3419.1206683819496
2001-06-13,3399.552119130146
2001-06-14,3337.8354341469594
2001-06-15,3332.962081223265
2001-06-18,3312.851066998982
2001-06-19,3323.560523943636
2001-06-20,3343.215833390073
2001-06-21,3387.0311488891853
2001-06-22,3364.1411827345914
2001-06-25,3338.129428186319
2001-06-26,3331.797176989004
2001-06-27,3322.5301435116935
2001-06-28,3350.6920665869407
2001-06-29,3373.9564750056725
2001-07-02,3399.304864480917
2001-07-03,3395.3707294064375
2001-07-04,3395.1856402070766
2001-07-05,3370.681207720963
2001-07-06,3312.6153606374087
2001-07-09,3328.034433585578
2001-07-10,3296.681290510564
2001-07-11,3286.7493727659757
2001-07-12,3344.704640950755
2001-07-13,3358.902656401864
2001-07-16,3339.4452532067207
2001-07-17,3366.955802548252
2001-07-18,3343.6153224300247
2001-07-19,3349.3291381937793
2001-07-20,3338.079986497279
2001-07-23,3294.3424155459534
2001-07-24,3231.148862789467
2001-07-25,3283.196543546764
2001-07-26,3323.648764369742
2001-07-27,3331.4703842160893
2001-07-30,3330.694755303629
2001-07-31,3335.273318901087
2001-08-01,3345.353773546331
2001-08-02,3356.9601647746017
2001-08-03,3339.9951104936144
2001-08-06,3308.840939857166
2001-08-07,3319.8127132342984
2001-08-08,3275.421414952794
2001-08-09,3270.127607693206
2001-08-10,3293.4351336833106
2001-08-13,3287.079943507633
2001-08-14,3270.377700728073
2001-08-15,3251.7939791073436
2001-08-16,3257.802895663578
2001-08-17,3209.9373179601844
2001-08-20,3227.416556364989
2001-08-21,3205.4944672736906
2001-08-22,3217.020701735249
2001-08-23,3211.9196574519165
2001-08-24,3252.717873752526
2001-08-27,3235.1926251267882
2001-08-28,3198.336976661883
2001-08-29,3162.4691191071224
2001-08-30,3120.0208412171464
2001-08-31,3138.9319052467004
2001-09-03,3138.799745135468
2001-09-04,3147.583226469552
2001-09-05,3125.3242055383685
2001-09-06,3069.460153607425
2001-09-07,3005.731965392204
2001-09-10,3021.0260683381002
2001-09-11,3016.1724278802594
2001-09-12,3017.265595771805
2001-09-13,3018.336306144172
2001-09-14,3014.6880152662834
2001-09-17,2845.3319045633775
2001-09-18,2837.816675547775
2001-09-19,2797.9329458021907
2001-09-20,2713.731978658485
2001-09-21,2675.46215410306
2001-09-24,2772.176321687131
2001-09-25,2795.8574072991973
2001-09-26,2783.3672258946776
2001-09-27,2813.046738427237
2001-09-28,2885.8276520711624
2001-10-01,2870.3626928308254
2001-10-02,2913.457670917717
2001-10-03,2962.654513931977
2001-10-04,2951.3504957107307
2001-10-05,2929.404686260005
2001-10-08,2894.7222038275177
2001-10-09,2894.1238602486246
2001-10-10,2955.2655761893143
2001-10-11,2994.6542232810243
2001-10-12,2967.651943647501
2001-10-15,2958.8858434166114
2001-10-16,2985.004911301922
2001-10-17,2938.3305657753785
2001-10-18,2897.6866150493165
2001-10-19,2901.8715408334
2001-10-22,2935.6255692965087
2001-10-23,2926.0310501072445
2001-10-24,2905.8719705596573
2001-10-25,2942.5533733970674
2001-10-26,2965.2030120403588
2001-10-29,2900.179041973112
